split,scope,n,n_bs_0,n_bs_1,n_bs_2,n_bs_3,pct_0bs,pct_1bs,pct_2bs,pct_3bs,pct_ge_2bs
train,overall,49765,0,1472,17613,30680,0.0,0.029579021400582738,0.35392344016879335,0.6164975384306239,0.9704209785994172
train,scene_0,24352,0,1472,7508,15372,0.0,0.06044678055190539,0.308311432325887,0.6312417871222076,0.9395532194480947
train,scene_1,25413,0,0,10105,15308,0.0,0.0,0.3976311336717428,0.6023688663282571,1.0
val,overall,4779,0,199,2028,2552,0.0,0.04164051056706424,0.4243565599497803,0.5340029294831554,0.9583594894329358
val,scene_0,2464,0,199,829,1436,0.0,0.08076298701298701,0.3364448051948052,0.5827922077922078,0.919237012987013
val,scene_1,2315,0,0,1199,1116,0.0,0.0,0.5179265658747301,0.48207343412527,1.0
