split,scope,snr_db,n_evaluated,n_blind,position_n,position_mae,position_rmse,position_median,position_p75,position_p90,position_p95,position_p99,position_max,velocity_n,velocity_mae,velocity_rmse,velocity_median,velocity_p75,velocity_p90,velocity_p95,velocity_p99,velocity_max,vx_n,vx_mae,vx_rmse,vx_median,vx_p75,vx_p90,vx_p95,vx_p99,vx_max,vy_n,vy_mae,vy_rmse,vy_median,vy_p75,vy_p90,vy_p95,vy_p99,vy_max
train,overall,-10.0,49765,0,49765,0.3515899743153148,0.4601488228822026,0.2845126004545225,0.43465404870458346,0.6437865621958451,0.8413012877601797,1.521553264146524,4.531413149672625,49765,0.7313827246039595,0.9072733970126612,0.6082368320279807,0.920006593152998,1.3356788760811937,1.7108169095591366,2.9309737673096854,5.184043688688919,49765,0.2378871021190183,0.33497792772600093,0.17356532688583393,0.3160514535976091,0.5084254514698291,0.6875842454896073,1.1674759430630952,2.7600397757023813,49765,0.20902276027444652,0.3154785684262416,0.15190732865237777,0.27253567039362103,0.4260527229047414,0.5598984283443371,1.1497076142317952,3.9094172980505775
train,overall,-5.0,49765,0,49765,0.19770118270654743,0.25875872297429053,0.1599518473782489,0.2444088295586738,0.361942634766614,0.4733517582831444,0.854797120761954,2.5469767442499682,49765,0.4373589103388535,0.6030050542295917,0.3422968889497952,0.5194747941355148,0.7730091102754417,1.0452475346959582,2.7305273481427177,4.902063515383112,49765,0.13377010126916247,0.1883631712009568,0.09768179987582215,0.17765807601543093,0.2859298676915721,0.38656133120933467,0.6567309417476682,1.539892804078164,49765,0.11752946105410893,0.17741305603141128,0.08538544109347868,0.1533423053640952,0.23946720650028722,0.3151183057294654,0.6474300584058638,2.2078812292344097
train,overall,0.0,49765,0,49765,0.11119499250989855,0.14554334914469516,0.08996996693424592,0.13744569180399763,0.20359971979581937,0.2661527156818815,0.4808856569671003,1.4323317600214602,49765,0.27237696116223137,0.4673615759357938,0.19251422392474496,0.29239748113086433,0.4365150988745737,0.6104105375230294,2.7403089220028636,4.832343592134313,49765,0.07523859256712286,0.1059442419551389,0.05492080069286054,0.09991944244912077,0.1608267576168819,0.21743415036601293,0.36928477885593375,0.8622692632778381,49765,0.0661020793866511,0.09979320656640725,0.048027874464896314,0.08621755659898866,0.1347387633270934,0.1771742299075775,0.36442129964117004,1.2449082982170196
train,overall,5.0,49765,0,49765,0.06257083450027344,0.08190887451522103,0.050630269052185095,0.07732104637412993,0.11453468511034808,0.1497720440309783,0.2707599139894777,0.8062983284182699,49765,0.17973895672381482,0.4154256684347176,0.10829391639860965,0.16446615534580594,0.24584091567502675,0.3461694022168091,2.752600259107356,4.822356251674908,49765,0.042337991916360625,0.05961961250154556,0.03089986937515654,0.05618349327030092,0.09046596815264482,0.12240039527082551,0.20793409056694043,0.48413292066449287,49765,0.03719622284043823,0.056165519044301344,0.027025723712358563,0.048501479525103974,0.07585566742763773,0.09974575046311823,0.2051896182309333,0.7017978813485612
train,overall,10.0,49765,0,49765,0.0352604166640865,0.04617482751623422,0.02852977649745643,0.043562375752251484,0.06452022170953202,0.08441819653973005,0.15272966847111114,0.4551371698715398,49765,0.12770812470308232,0.3976365287470213,0.06094239169942247,0.09253896004533654,0.13832581321204018,0.1951384797665571,2.7495944132584933,4.817667631050069,49765,0.023859000510437784,0.03360408907920133,0.017413576910628947,0.03166257625696289,0.05098135148215838,0.06897271179676201,0.11727852714656657,0.2727423697164397,49765,0.020960986120937934,0.03166827897614714,0.015231951128473753,0.027323601301411315,0.04273030086013171,0.05616880498553342,0.11575903679224044,0.3964255285605489
train,scene_0,-10.0,24352,0,24352,0.3599648479314489,0.49804642947530564,0.2801942062516021,0.42858039828531386,0.6466114475554461,0.879008084946391,1.9402856777486843,4.531413149672625,24352,0.7333587093816223,0.9279265929573518,0.5971622176397551,0.9066409847786806,1.3210239059867068,1.72665760767521,3.135312696566166,5.184043688688919,24352,0.21899964726948323,0.3122633215631436,0.16169790507358117,0.2901275519821561,0.4521262086736243,0.6028243446185019,1.1336859098421537,2.7600397757023813,24352,0.24425038805836596,0.38799724730911855,0.16386016223311195,0.3008268226925641,0.5102082130128963,0.7203038762999513,1.6173539191730002,3.9094172980505775
train,scene_0,-5.0,24352,0,24352,0.20241458458944434,0.2800841160389819,0.15765782060482914,0.24100185795654147,0.363678240684342,0.49450890339247844,1.0909748217748938,2.5469767442499682,24352,0.46568248027949544,0.6952877038972538,0.33599636105647745,0.5130699656354272,0.7992364133133705,1.2259468048178679,3.066064042299718,4.902063515383112,24352,0.12314811219974525,0.17558179747431882,0.09089724177251224,0.1630436271737037,0.2540518937240142,0.33875865598087007,0.6366023321212447,1.539892804078164,24352,0.13734889729569252,0.21821582081284843,0.092207321266919,0.16899379285540522,0.28689615963065535,0.40474245340155185,0.9115643489207973,2.2078812292344097
train,scene_0,0.0,24352,0,24352,0.11384989737413974,0.15754686668104587,0.08865960914055682,0.1355648473813992,0.20446573509660304,0.2781544144734954,0.613648520274524,1.4323317600214602,24352,0.3158742800975943,0.603534381891652,0.18899288609046783,0.28900287520914936,0.4562523549342225,1.0725521435690757,3.0515576634125967,4.832343592134313,24352,0.06926460925096789,0.09875433115999648,0.05112833493776159,0.09164340079309125,0.14293269612403225,0.19043738909295035,0.3596452376701348,0.8622692632778381,24352,0.07725595670192568,0.1227542149099451,0.05187506187401558,0.09506514472119434,0.1614400175070098,0.22759454147943128,0.5134330409477684,1.2449082982170196
train,scene_0,5.0,24352,0,24352,0.06406852949510479,0.0886749648894082,0.04988722560371493,0.07627140747875785,0.11505214648762041,0.1565742963115919,0.34554696697645343,0.8062983284182699,24352,0.2318972487440538,0.5715743108140857,0.10627330780887337,0.16255593897047405,0.2580646779397602,1.0581527611437611,3.0427972240098113,4.822356251674908,24352,0.03897587845860492,0.05557577216670226,0.02876662255708551,0.0515721615883189,0.08041754599993,0.1071374002340935,0.2028817874335164,0.48413292066449287,24352,0.043479369206177516,0.06909835704423499,0.029191843062324807,0.05349996263752699,0.09080205664443064,0.1281811777133343,0.28927600064396514,0.7017978813485612
train,scene_0,10.0,24352,0,24352,0.036109757324399853,0.05000681153998296,0.02810830733748634,0.042968356281442,0.0648283189586056,0.08836624268363723,0.19508231500300935,0.4551371698715398,24352,0.1847783520501535,0.5611520292239052,0.05979877337210764,0.09147773263671902,0.1452514444172318,1.055659495651752,3.039476744849889,4.817667631050069,24352,0.021963033722542494,0.031329992250878985,0.016219330762822892,0.029054791925482437,0.04535185647639502,0.06040322667600968,0.1144224900134188,0.2727423697164397,24352,0.02451157565469366,0.0389757974383493,0.01646040104817814,0.0301476345442242,0.051173639197001033,0.07229224770751479,0.16332910084572191,0.3964255285605489
train,scene_1,-10.0,25413,0,25413,0.34356475406189735,0.4206420371309153,0.28867088203504804,0.4405437591109483,0.6414747653938854,0.8140482725236776,1.2322662513550469,2.8070532458945348,25413,0.7294892377544866,0.8870314100148129,0.6199920527638053,0.9333237187728809,1.3470943093359478,1.698528317880362,2.565341457123567,4.6426849774284555,25413,0.25598600034023894,0.3553846318200914,0.18709045801871227,0.34315457680913886,0.5582749726407988,0.7546181558807077,1.1793304164603486,2.687681663411375,25413,0.17526589600049206,0.22503663450146158,0.1411074950579163,0.24948930488985255,0.3698370633095123,0.4508856639785591,0.6234696208599058,1.165423909094379
train,scene_1,-5.0,25413,0,25413,0.19318456669693398,0.2365265215087046,0.162356319246473,0.24765967513009393,0.36047333350478455,0.4576478613080518,0.6940460314664384,1.57684135123475,25413,0.4102178575235813,0.4988058710465644,0.3486362257298938,0.5247001623169112,0.7573058610010698,0.9549681418372732,1.4422341073291247,2.611023933780008,25413,0.14394861926461555,0.19984541632921166,0.10512688576481288,0.19295853034563026,0.3140560171735674,0.4250311890552908,0.6626792788808293,1.5082477821361557,25413,0.09853749192984007,0.12651721206702185,0.07938404801662813,0.1402808134787108,0.20778863304859668,0.2537184048634454,0.35029409633961284,0.6526790671460461
train,scene_1,0.0,25413,0,25413,0.10865093068114944,0.1330286116085654,0.09133464860693738,0.1392803227232884,0.20266018808917263,0.257320251993258,0.390274417002139,0.886362934757463,25413,0.23069566770164193,0.28051426021897125,0.19602178684408078,0.2950169823196616,0.42581733894166496,0.5370869316529723,0.811063404317183,1.4684504377848495,25413,0.08096316037552823,0.11240329308832438,0.0590814572542353,0.10845971347932348,0.17667582088233308,0.23916044022551863,0.3724186628505278,0.8473179134486983,25413,0.055413879631346086,0.07114851515950836,0.04467823523512848,0.0789359799601641,0.11682914112741258,0.1426941005065826,0.1967035873815991,0.36623230156550335
train,scene_1,5.0,25413,0,25413,0.06113566869874928,0.07485362804645837,0.05136783177577783,0.07836333824211263,0.11403042888837803,0.14473837773462972,0.2196330818355765,0.4986537631621295,25413,0.12975828827550645,0.15777921023615601,0.11027457740634394,0.16589993810545067,0.23951716991321836,0.30206832481510604,0.4561884157610928,0.8259724498440391,25413,0.04555973617808758,0.06325252034173397,0.033239516231171606,0.06103117170430039,0.09942502208037785,0.1345790730697109,0.20980331184496817,0.47653486762554564,25413,0.03117539962796888,0.04002729446435356,0.025125041234765888,0.044400907522188504,0.06575142873385714,0.08031938615136623,0.11065451080248315,0.20575666131905734
