split,scope,speed_bin_mps,snr_db,n,mean_true_speed_mps,position_rmse_m,velocity_rmse_mps,velocity_error_median_mps,velocity_error_p95_mps,n_ge2bs,position_rmse_m_ge2bs,velocity_rmse_mps_ge2bs,velocity_error_over_speed_median,velocity_error_over_speed_p95,direction_angle_median_deg,direction_flip_fraction
train,overall,"[0,0.5)",-10.0,4696,0.0987967523007753,0.30587540797376866,0.6463385013070635,0.5175889657621631,1.1453538489809605,4696,0.30587540797376866,0.6463385013070635,,,,
train,overall,"[0,0.5)",-5.0,4696,0.0987967523007753,0.17201389539077383,0.363440508697099,0.2908626173761167,0.6439408558131324,4696,0.17201389539077383,0.363440508697099,,,,
train,overall,"[0,0.5)",0.0,4696,0.0987967523007753,0.09675037358043351,0.20438317173335432,0.1635147118608067,0.36201995705617324,4696,0.09675037358043351,0.20438317173335432,,,,
train,overall,"[0,0.5)",5.0,4696,0.0987967523007753,0.05444129566158211,0.1149560973770926,0.09196460929339728,0.20358625081794862,4696,0.05444129566158211,0.1149560973770926,,,,
train,overall,"[0,0.5)",10.0,4696,0.0987967523007753,0.030675151142161145,0.06468936601219533,0.05175229760436229,0.11456700110657698,4696,0.030675151142161145,0.06468936601219533,,,,
train,overall,"[0.5,1)",-10.0,763,0.7285653888477206,0.32282920176311186,0.659004939507966,0.540854667118844,1.139578103892324,763,0.32282920176311186,0.659004939507966,,,,
train,overall,"[0.5,1)",-5.0,763,0.7285653888477206,0.18154459693289798,0.3705719225979939,0.30449966983327253,0.6413250905369913,763,0.18154459693289798,0.3705719225979939,,,,
train,overall,"[0.5,1)",0.0,763,0.7285653888477206,0.10211022192980011,0.20839765599142202,0.17124009265106782,0.36081999817293,763,0.10211022192980011,0.20839765599142202,,,,
train,overall,"[0.5,1)",5.0,763,0.7285653888477206,0.057457465923082235,0.11721557716834533,0.09631536554234489,0.2029969446357515,763,0.057457465923082235,0.11721557716834533,,,,
train,overall,"[0.5,1)",10.0,763,0.7285653888477206,0.03237545407316713,0.06596139184750724,0.054199820972889265,0.11423756037999218,763,0.03237545407316713,0.06596139184750724,,,,
train,overall,"[1,2)",-10.0,1156,1.4861689500232909,0.322846244422132,0.6676039915915134,0.5276144462766795,1.1840827881946012,1156,0.322846244422132,0.6676039915915134,,,,
train,overall,"[1,2)",-5.0,1156,1.4861689500232909,0.18149597855731595,0.3754003224048692,0.29646360572471714,0.6658624085930791,1156,0.18149597855731595,0.3754003224048692,,,,
train,overall,"[1,2)",0.0,1156,1.4861689500232909,0.10206417651605842,0.21111005216327317,0.16681334738735024,0.37442347209884386,1156,0.10206417651605842,0.21111005216327317,,,,
