selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
best_J,2026,V_select,0,5,97,85,8,8,0.07737917453050613,0.07754343748092651,0.00016426295042037964,0.4270150065422058,0.4274372458457947,0.0004222393035888672,0.29088667780160904,0.29126206040382385,0.00037538260221481323,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,0,10,97,85,8,8,0.07738147675991058,0.07754460722208023,0.00016313046216964722,0.4270188808441162,0.42744046449661255,0.0004215836524963379,0.2908909171819687,0.2912648394703865,0.00037392228841781616,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,0,15,97,85,8,8,0.07738404721021652,0.07754399627447128,0.00015994906425476074,0.42701902985572815,0.42744332551956177,0.00042429566383361816,0.2908935621380806,0.29126565903425217,0.0003720968961715698,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,0,20,97,85,8,8,0.07738402485847473,0.07754378020763397,0.00015975534915924072,0.42701923847198486,0.42744332551956177,0.0004240870475769043,0.29089364409446716,0.29126544296741486,0.00037179887294769287,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,1,5,97,85,8,8,0.7082012891769409,0.7055344581604004,-0.0026668310165405273,2.6623830795288086,2.6563682556152344,-0.006014823913574219,2.039392828941345,2.0337185859680176,-0.005674242973327637,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,1,10,97,85,8,8,0.7096520662307739,0.7065057158470154,-0.003146350383758545,2.66473650932312,2.658546209335327,-0.006190299987792969,2.042020320892334,2.035778820514679,-0.006241500377655029,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,1,15,97,85,8,8,0.7119755744934082,0.7086760997772217,-0.0032994747161865234,2.6678643226623535,2.6613523960113525,-0.0065119266510009766,2.045907735824585,2.039352297782898,-0.006555438041687012,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,1,20,97,85,8,8,0.7119768261909485,0.7086800932884216,-0.0032967329025268555,2.6678590774536133,2.6613595485687256,-0.006499528884887695,2.045906364917755,2.0393598675727844,-0.006546497344970703,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,2,5,97,85,8,8,1.5495576858520508,1.6910176277160645,0.14145994186401367,2.966282367706299,4.275267124176025,1.3089847564697266,3.0326988697052,3.828651189804077,0.795952320098877,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,2,10,97,85,8,8,1.5540578365325928,1.6895493268966675,0.1354914903640747,2.9753174781799316,4.268982887268066,1.2936654090881348,3.0417165756225586,3.8240407705307007,0.7823241949081421,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,2,15,97,85,8,8,1.5501415729522705,1.6896636486053467,0.13952207565307617,2.9623119831085205,4.2693023681640625,1.306990385055542,3.0312975645065308,3.824314832687378,0.7930172681808472,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,2,20,97,85,8,8,1.5486054420471191,1.6900218725204468,0.14141643047332764,2.9580435752868652,4.270310401916504,1.3122668266296387,3.0276272296905518,3.8251770734786987,0.797549843788147,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,3,5,97,85,8,8,1.528444766998291,1.3026964664459229,-0.22574830055236816,3.258338212966919,2.78654408454895,-0.47179412841796875,3.1576138734817505,2.695968508720398,-0.46164536476135254,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,3,10,97,85,8,8,1.5278328657150269,1.311001181602478,-0.21683168411254883,3.2569522857666016,2.8117401599884033,-0.44521212577819824,3.1563090085983276,2.7168712615966797,-0.43943774700164795,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,3,15,97,85,8,8,1.5273534059524536,1.3145973682403564,-0.21275603771209717,3.2556684017181396,2.8203532695770264,-0.4353151321411133,3.1551876068115234,2.7247740030288696,-0.4304136037826538,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,3,20,97,85,8,8,1.5265271663665771,1.3130459785461426,-0.21348118782043457,3.2542521953582764,2.818246841430664,-0.4360053539276123,3.1536532640457153,2.7221693992614746,-0.4314838647842407,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,4,5,97,85,8,8,1.2709827423095703,1.201686143875122,-0.06929659843444824,2.261467218399048,2.351778507232666,0.09031128883361816,2.4017163515090942,2.377575397491455,-0.02414095401763916,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,4,10,97,85,8,8,1.2713818550109863,1.2025070190429688,-0.06887483596801758,2.2621097564697266,2.3535335063934326,0.09142374992370605,2.4024367332458496,2.379273772239685,-0.02316296100616455,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
