model,seed,epoch,execution_stage,loss,ADE,FDE,J,gradient_norm,graph_gradient_norm,elapsed_seconds,source_history
gnn,2026,1,parent_1_40,1.923344499163852,0.7793928201124072,1.6375181551510467,1.5981518976879305,1.6786328554153442,0.2419050931930542,34.02451436035335,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,2,parent_1_40,1.841420071020623,0.7660600264871028,1.594289564799983,1.5632048088870945,2.11698317527771,0.8468518853187561,67.17348801344633,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,3,parent_1_40,1.7988874837071385,0.7542107971402583,1.5716977021098137,1.5400596481951652,2.8721506595611572,1.4841338396072388,100.26386862620711,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,4,parent_1_40,1.7629416887771763,0.7369337035069474,1.514230900571565,1.49404915379273,4.2723164558410645,1.5372512340545654,133.62286660261452,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,5,parent_1_40,1.728159140522232,0.7278162685618736,1.5051447194314096,1.4803886282775784,3.111912727355957,0.7580077648162842,166.70053726807237,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,6,parent_1_40,1.6947359872478733,0.7134543206740637,1.468265302949585,1.4475869721488561,3.991596221923828,1.1214853525161743,199.8742335420102,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,7,parent_1_40,1.6645058937428512,0.7124599139450584,1.4568877254030665,1.4409037766465915,4.774749755859375,1.058961033821106,233.2691164072603,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,8,parent_1_40,1.6341674634413066,0.6982086148136296,1.423574183001183,1.4099957063142212,2.5132930278778076,0.8176857233047485,266.4842850789428,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,9,parent_1_40,1.604913221734948,0.6969768268335611,1.4214970204222481,1.4077253370446852,10.449624061584473,3.4679999351501465,310.76398170925677,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,10,parent_1_40,1.5771506662346433,0.681266778697609,1.3756963914015796,1.3691149743983988,4.432622909545898,1.5560137033462524,355.8309441972524,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,11,parent_1_40,1.5593681690778405,0.6732345339754829,1.3653101142018567,1.3558895910764113,7.080688953399658,4.209889888763428,400.4064490478486,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,12,parent_1_40,1.5330867309530785,0.6487527338467771,1.2970093811734114,1.2972574244334827,3.970886468887329,1.2565476894378662,433.7221860755235,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,13,parent_1_40,1.5160538537542247,0.6671406730177113,1.3522676571953343,1.3432745016153784,4.6823272705078125,2.3101093769073486,466.8356720749289,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,14,parent_1_40,1.4900737950384648,0.6373669612588129,1.2946458738826914,1.2846898982001584,6.957647800445557,3.8580942153930664,500.0404305793345,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,15,parent_1_40,1.470787595362035,0.6256361633096821,1.264209981331369,1.2577411539753665,3.3561880588531494,1.198405385017395,540.8806899916381,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,16,parent_1_40,1.4710445153131035,0.6243703069945332,1.2596827122831018,1.254211663136084,3.273303508758545,1.6543328762054443,585.44887682423,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,17,parent_1_40,1.4440371731977932,0.6414550802903249,1.3218418684700737,1.3023760145253618,4.292784214019775,1.7073391675949097,630.3515624701977,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,18,parent_1_40,1.4335018592732385,0.6378649894287809,1.3136945157847366,1.2947122473211492,5.205746650695801,0.8353255987167358,675.0268266368657,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,19,parent_1_40,1.4142731886594053,0.6230648434045725,1.2746599754982162,1.2603948311536806,2.867567777633667,0.9444534778594971,719.7020666562021,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,20,parent_1_40,1.4165655226508955,0.6211020670377183,1.2720506016380386,1.2571273678567376,6.632656574249268,1.6330925226211548,764.2112843003124,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,21,parent_1_40,1.3891547049331459,0.627782136721653,1.2758612353808714,1.2657127544120885,4.851742744445801,2.311161994934082,808.9522032160312,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,22,parent_1_40,1.3826728187867985,0.6160898601799272,1.2551067734201207,1.2436432468899876,5.32859468460083,2.761543035507202,842.2185392603278,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,23,parent_1_40,1.3719780120275582,0.639287508612033,1.3229025499121054,1.3007387835680857,5.1971964836120605,2.641239643096924,875.4100480414927,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,24,parent_1_40,1.3664418058172823,0.5974008273199434,1.2066454855690245,1.2007235701044556,3.363661289215088,1.5277267694473267,908.8812735509127,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,25,parent_1_40,1.3502276441302894,0.6041051974758739,1.2309028355806368,1.2195566152661923,6.224323272705078,2.337430477142334,942.1798304636031,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,26,parent_1_40,1.3502867930986835,0.6058845636626938,1.2357354289630893,1.2237522781442385,5.612846374511719,2.832085132598877,975.4139171689749,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,27,parent_1_40,1.3300082075808537,0.6018697295192397,1.2224408644397045,1.213090161739092,4.895336151123047,2.847684621810913,1008.6214274000376,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,28,parent_1_40,1.3244721272718285,0.6045662606466794,1.2343823441123822,1.2217574327028706,5.197484493255615,2.4378504753112793,1047.3508077207953,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,29,parent_1_40,1.3211678176296575,0.592768324909266,1.1912886135588634,1.1884126316886978,4.087180137634277,1.414406418800354,1091.8958807010204,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,30,parent_1_40,1.3060913469624273,0.6037641283025732,1.231362091600313,1.2194451741027297,4.137612819671631,1.3876150846481323,1136.7193136774004,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,31,parent_1_40,1.2963490869616965,0.5961122975620673,1.210436399092432,1.2013304971082834,12.469505310058594,9.583484649658203,1181.4493531603366,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,32,parent_1_40,1.2906480682800645,0.5873833548789844,1.188511241124943,1.181638975441456,17.01955795288086,12.180215835571289,1226.392666440457,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,33,parent_1_40,1.2977182068767195,0.5977237498020986,1.209813072378165,1.202630285991181,5.265206813812256,3.069755792617798,1270.8564622867852,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,34,parent_1_40,1.2800602662625624,0.597825415515108,1.2176315750047797,1.2066412030174978,7.103768825531006,2.957916498184204,1315.4968877192587,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,35,parent_1_40,1.2622512121805523,0.5898536000342574,1.1960550906613936,1.1878811453649543,6.973287582397461,3.89058518409729,1348.826425569132,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,36,parent_1_40,1.2584377097576496,0.5875607248069719,1.192582390771131,1.1838519201925375,6.185815334320068,3.852152109146118,1382.3200895562768,project/results/qgat_extend100/seed2026/gnn/history.json
gnn,2026,37,parent_1_40,1.2525875524134866,0.5878678869700525,1.1908633697341429,1.183299571837124,4.497341632843018,2.393686056137085,1415.6157342605293,project/results/qgat_extend100/seed2026/gnn/history.json
