quality,score,position_error_m,velocity_error_mps
95.0,0.05129329438755058,0.05129329438755058,0.0
95.0,0.05129329438755058,0.044421295983412566,0.02564664719377529
95.0,0.05129329438755058,0.0,0.05129329438755058
90.0,0.10536051565782628,0.10536051565782628,0.0
90.0,0.10536051565782628,0.09124488311550567,0.05268025782891314
90.0,0.10536051565782628,0.0,0.10536051565782628
80.0,0.2231435513142097,0.2231435513142097,0.0
80.0,0.2231435513142097,0.19324798412878205,0.11157177565710485
80.0,0.2231435513142097,0.0,0.2231435513142097
60.0,0.5108256237659907,0.5108256237659907,0.0
60.0,0.5108256237659907,0.4423879670853798,0.25541281188299536
60.0,0.5108256237659907,0.0,0.5108256237659907
50.0,0.6931471805599453,0.6931471805599453,0.0
50.0,0.6931471805599453,0.6002830669264718,0.34657359027997264
50.0,0.6931471805599453,0.0,0.6931471805599453
40.0,0.916290731874155,0.916290731874155,0.0
40.0,0.916290731874155,0.7935310510552538,0.4581453659370775
40.0,0.916290731874155,0.0,0.916290731874155
25.0,1.3862943611198906,1.3862943611198906,0.0
25.0,1.3862943611198906,1.2005661338529436,0.6931471805599453
25.0,1.3862943611198906,0.0,1.3862943611198906
10.0,2.3025850929940455,2.3025850929940455,0.0
10.0,2.3025850929940455,1.9940971849081972,1.1512925464970227
10.0,2.3025850929940455,0.0,2.3025850929940455
