split,scene_id,frame,timestamp,vehicle_id,snr_db,n_bs,rank,condition_ratio,x_hat,y_hat,vx_hat,vy_hat,x_true,y_true,vx_true,vy_true,position_error,velocity_error,vx_error,vy_error,quality
train,0,144,14.414414414414415,6,-10.0,2,2,0.35769878255095927,26.18163212842985,-4.536319146654849,18.054828423842924,-13.479819625859436,26.801691,-4.677348,17.135002,-13.671442,0.6358947567708808,0.939574256922213,0.9198264238429239,0.1916223741405645,32.15727143265233
train,0,144,14.414414414414415,6,-5.0,2,2,0.3540815812057917,26.452211829458196,-4.596546250694647,17.65185818801498,-13.563376127601401,26.801691,-4.677348,17.135002,-13.671442,0.35869849920705454,0.5280327185569536,0.5168561880149802,0.10806587239859944,52.816630114813634
train,0,144,14.414414414414415,6,0.0,2,2,0.3520624590043541,26.604890328034458,-4.6314187837803775,17.425547595205973,-13.61056828224382,26.801691,-4.677348,17.135002,-13.671442,0.20208908280418955,0.2968540927914796,0.29054559520597323,0.06087371775618067,69.82952421158195
train,0,144,14.414414414414415,6,5.0,2,2,0.35093177257287445,26.690910859559636,-4.651337028849752,17.298390095251136,-13.637165090861474,26.801691,-4.677348,17.135002,-13.671442,0.11379283868577188,0.16694482971893781,0.16338809525113618,0.034276909138526435,81.70638124760524
train,0,144,14.414414414414415,6,10.0,2,2,0.3502976853469395,26.739319052534753,-4.662614413067767,17.226944312418446,-13.652130336107886,26.801691,-4.677348,17.135002,-13.671442,0.06408852014594622,0.09394854535932513,0.09194231241844619,0.019311663892114694,89.25022149132641
train,0,145,14.514514514514515,6,-10.0,2,2,0.32637020462447375,28.36948922308543,-6.658917176247512,16.67741173221335,-13.605205866470834,28.518288,-6.04572,17.127637,-13.695923,0.6309927519149438,0.4592737637502372,-0.4502252677866494,0.0907171335291661,45.82050470480537
train,0,145,14.514514514514515,6,-5.0,2,2,0.32626249787947165,28.435040882805463,-6.390933294421493,16.874200918347174,-13.645628921309335,28.518288,-6.04572,17.127637,-13.695923,0.3551088581921618,0.25837829211232227,-0.2534360816528256,0.0502940786906656,64.45775381210062
train,0,145,14.514514514514515,6,0.0,2,2,0.3261958669353324,28.47160812150616,-6.2400048260436805,16.985026299985222,-13.667872719764075,28.518288,-6.04572,17.127637,-13.695923,0.19981392515793905,0.14534314562448059,-0.14261070001477805,0.028050280235925484,78.10755046813505
train,0,145,14.514514514514515,6,5.0,2,2,0.32615644674797534,28.492075808260886,-6.155084426768314,17.04738902688538,-13.680230093609397,28.518288,-6.04572,17.127637,-13.695923,0.11246180168452659,0.08176799190385561,-0.08024797311461995,0.015692906390603056,87.01884018540417
train,0,145,14.514514514514515,6,10.0,2,2,0.326133599258204,28.503551884850797,-6.107361524838662,17.082453475584416,-13.68713698099113,28.518288,-6.04572,17.127637,-13.695923,0.06337847169288578,0.046029827380058036,-0.045183524415584486,0.008786019008869772,92.46593166541066
train,0,146,14.614614614614615,6,-10.0,2,2,0.30928935121916473,29.8274105868339,-7.171660392472792,16.69229867021566,-13.993135068880491,30.232427,-7.416596,17.119331,-13.72171,0.47331992010547913,0.5059922713815103,-0.427032329784339,-0.27142506888049134,50.01418258116893
