scene_index,target_index,target_id,eligible,ade_margin_m,fde_margin_m,lstm_ade_m,lstm_fde_m,transformer_ade_m,transformer_fde_m,target_interaction_gnn_ade_m,target_interaction_gnn_fde_m,proposed_ade_m,proposed_fde_m,initial_heading_rad,net_longitudinal_m,net_lateral_m,path_length_m,path_efficiency,heading_change_deg,max_lateral_excursion_m,speed_ratio,motion_type
19,2,1532,False,-0.10252082347869873,-0.0685320496559143,0.6973697543144226,1.1444300413131714,0.6355628371238708,1.0445120334625244,0.3990700840950012,0.8833471536636353,0.5015909075737,0.9518792033195496,0.2450055629014969,13.343949897872568,5.462254455762502,14.676101929871344,0.9824571651116176,33.02191976244808,5.462254455762502,1.0053976356419758,left
19,3,1558,False,-0.15875637531280518,-0.31152284145355225,0.6134273409843445,1.227198839187622,0.507129430770874,1.288006067276001,0.7287795543670654,1.35677969455719,0.6658858060836792,1.5387216806411743,-0.40765082836151123,15.38772361368083,0.6153156885693318,15.40737567989447,0.9995226617132333,0.490279330414039,0.6153156885693318,1.353104981401864,straight
19,4,1551,False,-0.2671097218990326,-0.3870687484741211,0.4567626416683197,0.6794308423995972,0.8201198577880859,1.1025630235671997,0.6934219598770142,1.0072777271270752,0.7238723635673523,1.0664995908737183,-0.501335084438324,14.947198848393697,1.522915390394314,15.048563888025193,0.9984062794820731,11.049542940542532,1.522915390394314,1.0617667116512102,lateral_or_mild_curve
19,5,1542,False,-0.17523843050003052,0.605242133140564,0.7101186513900757,2.110506534576416,1.1358137130737305,2.533449172973633,1.121059775352478,2.2553913593292236,0.8853570818901062,1.505264401435852,-0.547208309173584,15.596901751359722,3.7272372011260395,16.25559835817379,0.9864954076466854,25.990923868456992,3.7272372011260395,0.9380459889148834,left
19,6,1565,True,0.07208982110023499,0.0047945380210876465,1.6106369495391846,3.342567205429077,0.7296019196510315,1.3937779664993286,0.4759444296360016,0.6439006328582764,0.4038546085357666,0.6391060948371887,-0.37311863899230957,19.695201210106564,0.19427756772523422,19.698481604370713,0.9998821117069814,3.3729936395556264,0.19427756772523422,1.0115756291467326,straight
19,7,1554,True,0.020596981048583984,0.26493239402770996,1.7607371807098389,4.833691596984863,2.4484715461730957,6.281540393829346,1.135143756866455,3.074376106262207,1.114546775817871,2.809443712234497,-0.49964600801467896,7.330735047984174,0.14011754047439665,7.338599327130277,0.9991108223585394,-0.223383006623395,0.15382706373277868,3.656180719220214,straight
20,0,1532,False,-0.05982311815023422,-0.04261918365955353,0.06520505994558334,0.17075328528881073,0.16135695576667786,0.15202336013317108,0.14548052847385406,0.23241621255874634,0.12502817809581757,0.1946425437927246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
20,1,1547,True,0.03283904492855072,0.07099990546703339,0.20228584110736847,0.24114559590816498,0.2616872191429138,0.33832788467407227,0.25066304206848145,0.28694459795951843,0.16944679617881775,0.1701456904411316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
20,2,1525,False,-0.037890106439590454,-0.010648280382156372,0.24684974551200867,0.2851460874080658,0.16512951254844666,0.22697566449642181,0.26176998019218445,0.3458986282348633,0.2030196189880371,0.23762394487857819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
20,3,1562,True,0.05650189518928528,0.2587350010871887,0.5390108227729797,1.2158817052841187,0.7574014067649841,1.9517390727996826,0.4461241662502289,1.2766849994659424,0.3896222710609436,0.9571467041969299,-1.5784385204315186,11.10732183976076,0.06751236446964047,11.10922987884624,0.9998467162300344,1.7219054367674282,0.06751236446964047,0.7213237477657005,straight
20,4,1536,True,0.05408988893032074,0.09398187696933746,0.19515414535999298,0.2859160900115967,0.1499590277671814,0.2958042621612549,0.17030756175518036,0.23106515407562256,0.09586913883686066,0.1370832771062851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
20,5,1544,False,-0.037995412945747375,-0.0014700740575790405,0.166909858584404,0.20439653098583221,0.18466386198997498,0.3301525115966797,0.198022723197937,0.13236650824546814,0.20490527153015137,0.13383658230304718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
20,6,1325,False,-0.09414100646972656,-0.7849407196044922,1.4150989055633545,3.2241594791412354,1.336722731590271,2.3146848678588867,1.5846681594848633,3.346572160720825,1.4308637380599976,3.099625587463379,1.5608938932418823,10.10015482747743,-0.011238858259777103,10.100524977139255,0.9999639724970385,1.1551751992734902,0.04605727886268441,1.1029777725372605,straight
20,7,1524,False,0.021875619888305664,-0.013592690229415894,0.1759771853685379,0.15431828796863556,0.20842345058918,0.28335002064704895,0.26041027903556824,0.3285531997680664,0.15410156548023224,0.16791097819805145,0.0,0.04602479934692383,-0.0414581298828125,0.08612207052857218,0.71925809500527,55.66866768345886,0.0414581298828125,1435367.8421428697,left
21,0,1468,False,-0.013574860990047455,-0.0441012978553772,0.16418208181858063,0.06835649162530899,0.10624325275421143,0.1712956726551056,0.16165363788604736,0.29194164276123047,0.11981811374425888,0.11245778948068619,1.6863737106323242,0.37498197582387716,-0.005178269776662587,0.375976809081553,0.9974490963717965,-18.359495019442367,0.005178269776662587,0.10284408420373281,right
21,1,1479,False,-0.03501828759908676,-0.13632138073444366,0.0583111047744751,0.060133785009384155,0.09505990147590637,0.10375083982944489,0.10383367538452148,0.24544169008731842,0.09332939237356186,0.19645516574382782,1.249983549118042,0.01357888260883073,0.0016209163980462024,0.013992121981114568,0.9773560529063124,-26.565051177077994,0.0017180549124270327,1.012940299241244,right
21,2,1533,True,0.11298421025276184,0.23534899950027466,0.3910495638847351,0.8401055335998535,0.5835793614387512,1.315847396850586,0.4350823760032654,0.7922325730323792,0.27806535363197327,0.5568835735321045,1.3677384853363037,0.7527165158496585,0.07002550890037348,0.7605552652483207,0.9939668860832488,12.709430531066129,0.07002550890037348,0.22072092086152814,left
21,3,1456,False,-0.060861360281705856,-0.1883428543806076,0.05222119018435478,0.11652909964323044,0.06730972230434418,0.07468278706073761,0.16386228799819946,0.3071916401386261,0.11308255046606064,0.2630256414413452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
