original_path,archive_path,file_size,sha256,classification,reason
data/dataset_lankershim_clean_v1/10dB/bs1_feat_4.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_4.npy,9830528,4512daaed8ad7201ca42576ee10e7d3cb85548309f1a323e5a480a639c0924c7,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs1_feat_5.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_5.npy,9830528,a3cf2d7f88ddb2801a4f92045cbfdea7fc1afe42179e843a97b82e229d7734e2,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs1_feat_6.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_6.npy,9830528,aa62905127e7fcb09b5fddddd873ece054765015b532d6c73f63a1fc304828c3,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs1_feat_7.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_7.npy,9830528,ad9dfd61446f35159cbef491b753613c56a6190721dd19cb91cb18dad2df7377,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs1_feat_8.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_8.npy,9830528,ca34e9d07db8f12046628c4040cd6e0f03f675a7ac2a2d61bb0a2dc1942bcc80,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs1_feat_9.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs1_feat_9.npy,9830528,14afe7cceefd7065cbac3caa19dc747b3aa67132cc5d1f51c7db5d96f4290600,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_0.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_0.npy,9830528,2579251734602574dd0013921c86e24516fc95b61d4e9eb053a38b99a6a6fa6a,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_1.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_1.npy,9830528,4d39cd4a74cbecde7146b9de739af2b7599aae266183f8d24aa0b05ead7a6725,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_10.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_10.npy,9830528,f27edec8c35e8d943fe92c69152c2d359fac90187f710315a0603ba07e7fcd20,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_11.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_11.npy,9830528,dbbd358e729f8954d8a297baebb7266f1fea673cec5ce688df18404f481550ce,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_12.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_12.npy,9830528,3252819ec90d08b4b8a024a6594ec63f640f469250cb43051e55850146cfd51b,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_13.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_13.npy,9830528,e872d1b83f6283d513f7f81b9375afbefc5fd0e767372010092c7d1fd0605637,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_14.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_14.npy,9830528,22f7fbc8cd748178c690785071dd71c41dcc13c5a7636b28e41808ccb9b16051,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_15.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_15.npy,9830528,43b4ade0eff6356ebebcd7b6f4b7c7486c75f1516ed499a343be7766b8e4f46c,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_16.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_16.npy,9830528,f0a3404c935bb9ba6594f9990c48e6cea1f16ae7fa9ab42659fb73603ce7d490,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_17.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_17.npy,8294528,070a44c035a9f51d8948c5419aa6777fe4b5547815ecde7f0375dbfe5b1fc88a,B,old clean dataset; reports/exposure_manifest.json marks it legacy
data/dataset_lankershim_clean_v1/10dB/bs2_feat_18.npy,/home/dell/YrM/ICCT/archive/legacy_data_precanonical/data/dataset_lankershim_clean_v1/10dB/bs2_feat_18.npy,9830528,2446902a20412bb654aeaa132c9f871a170d99ee614fcc321d66179e945130d3,B,old clean dataset; reports/exposure_manifest.json marks it legacy
