snr_ref_db,position_mean_m,position_median_m,position_rmse_m,position_p90_m,velocity_mean_mps,velocity_median_mps,velocity_rmse_mps,velocity_p90_mps,displacement_scale_2s_m,association_accuracy,crowded_association_accuracy,normal_association_accuracy,temporal_accuracy,id_switches,rank_deficient_velocity_frames,ill_conditioned_velocity_frames
-5,0.05442538195409071,0.046610663344022064,0.06556443587012852,0.10140493184826849,0.16466969543393778,0.05931505294225588,0.8940023513498405,0.19145935221854465,1.788004702699681,0.999208435207824,0.9992141688258557,0.9991587957497048,1.0,0,947,14878
0,0.045936581659020884,0.04026525068936429,0.05434264485309327,0.08438899410032917,0.12030941609759142,0.040248239411107445,0.7770601742129842,0.1297422687743923,1.5541203484259685,0.9998533007334963,0.9998534024273831,0.9998524203069658,1.0,0,196,14128
5,0.03890465551870443,0.03434695267679261,0.045822562440043686,0.0712527443631449,0.09241948732049673,0.028418612430571116,0.7035814638164265,0.09146006186530804,1.407162927632853,0.9999709657701712,0.9999676121641893,1.0,1.0,0,38,13982
10,0.03325505589898865,0.029325820801078498,0.03919377076255366,0.06109532487755724,0.08075921926613036,0.023637248608153128,0.6761577456500043,0.07568808514730134,1.3523154913000086,1.0,1.0,1.0,1.0,0,0,13954
15,0.031174986817037693,0.02747167631845198,0.03673852068055714,0.05726546467298141,0.07479992752480868,0.02115904907516672,0.6609823930091746,0.06791356529528413,1.3219647860183492,1.0,1.0,1.0,1.0,0,0,13967
20,0.02935653630451526,0.025855816794581217,0.03459707081049405,0.05391093992687793,0.0708545668589462,0.019556948902642802,0.6495719267638933,0.06276633014489934,1.2991438535277866,1.0,1.0,1.0,1.0,0,0,13963
