r_gt_m,u_gt,vr_gt_mps,r_hat_m,u_hat,vr_hat_mps,e_r_m,e_u,e_vr_mps,position_error_m,x_m,y_m,pos_consistency_m,detected,peak_to_noise_db,grid_index
30.000000000000004,-0.8660254037844387,-7.3597034440529425,30.002563673772883,-0.8658950698264221,-7.360695417391506,0.002563673772879582,0.0001303339580166485,-0.00099197333856349,0.008135900626899577,-49.43554997795135,-132.52255938328673,0.0,True,23.957598057945006,"[37, 249, 4]"
30.000000000000004,-0.8660254037844387,-7.3597034440529425,30.00258666764132,-0.8658935022737273,-7.360736385516475,0.0025866676413173195,0.00013190151071140743,-0.0010329414635323886,0.00823119803327649,-49.43545804100806,-132.52253320299764,0.0,True,23.957565894888795,"[37, 249, 4]"
30.000000000000004,-0.8660254037844387,-7.3597034440529425,30.002600243083197,-0.8658943627575508,-7.360710261106746,0.0026002430831937318,0.00013104102688787922,-0.001006817053803566,0.008187407603870028,-49.435495217727066,-132.52257058032336,0.0,True,23.95751343576069,"[37, 249, 4]"
30.000000000000004,-0.49999999999999983,-8.80332710500627,30.002593208667808,-0.49999982451956426,-8.802211769629746,0.0025932086678039923,1.754804355713624e-07,0.0011153353765234186,0.0026299971899979703,-38.61406810947332,-121.69829570168595,0.0,True,25.502268464310713,"[37, 247, 16]"
30.000000000000004,-0.49999999999999983,-8.80332710500627,30.002597495967827,-0.5000000974335609,-8.802210880993853,0.0025974959678229936,-9.74335610526289e-08,0.0011162240124171774,0.0026343405668063963,-38.614069005211846,-121.69830594936155,0.0,True,25.502542501283976,"[37, 247, 16]"
30.000000000000004,-0.49999999999999983,-8.80332710500627,30.00259318180211,-0.4999992425992707,-8.802202192287258,0.0025931818021049935,7.574007291344387e-07,0.001124912719012272,0.002630090359361251,-38.61405819401746,-121.69827847309774,0.0,True,25.50242577672417,"[37, 247, 16]"
30.0,0.0,-7.888106377466155,30.002604486121122,7.658552550152821e-07,-7.888161784350736,0.0026044861211218517,7.658552550152821e-07,-5.5406884580833093e-05,0.0026415249109115932,-34.65068531675432,-106.9067637836731,0.0,True,25.541157927498872,"[37, 248, 32]"
30.0,0.0,-7.888106377466155,30.002605563210622,2.755169269203935e-07,-7.888161324432725,0.0026055632106221083,2.755169269203935e-07,-5.4946966570490474e-05,0.002642532690511774,-34.650684224381344,-106.90677828937135,0.0,True,25.54110157557727,"[37, 248, 32]"
30.0,0.0,-7.888106377466155,30.002599249516358,1.2782992900833032e-06,-7.888131373667558,0.0025992495163578155,1.2782992900833032e-06,-2.4996201402949225e-05,0.0026363880861137567,-34.65069062764321,-106.90674862402733,0.0,True,25.541478382490066,"[37, 248, 32]"
30.000000000000004,0.49999999999999983,-4.859273916273193,30.002593055178153,0.5000006755656436,-4.858148723392272,0.0025930551781492284,6.755656438151014e-07,0.0011251928809210554,0.002629935933280556,-38.61408277996517,-92.11525207962667,0.0,True,25.501142279580264,"[37, 251, 48]"
30.000000000000004,0.49999999999999983,-4.859273916273193,30.002603197869746,0.49999928147074263,-4.858131795910316,0.0026031978697425018,-7.185292572042812e-07,0.001142120362877641,0.00264023531455128,-38.61405006073647,-92.11528817791296,0.0,True,25.50083903424667,"[37, 251, 48]"
30.000000000000004,0.49999999999999983,-4.859273916273193,30.002593632572157,0.5000009443109804,-4.858116692495322,0.0025936325721538367,9.443109805773453e-07,0.0011572237778709749,0.0026306180384786312,-38.61408686295413,-92.11524383653362,0.0,True,25.501141345259818,"[37, 251, 48]"
30.000000000000004,0.8660254037844389,-0.5284029334132109,30.002594451269363,0.8658936524669396,-0.5273328516468297,0.0025944512693598654,-0.0001317513174993179,0.0010700817663811257,0.008225302656577742,-49.435461783309215,-81.29102839845129,0.0,True,23.971034914223573,"[37, 255, 60]"
30.000000000000004,0.8660254037844389,-0.5284029334132109,30.002588250901457,0.8658939115063324,-0.5273219764207174,0.002588250901453648,-0.0001314922781064931,0.0010809569924934426,0.008208776615997013,-49.43547819383006,-81.29102618028637,0.0,True,23.970832576703827,"[37, 255, 60]"
30.000000000000004,0.8660254037844389,-0.5284029334132109,30.0026021555715,0.8658938919598917,-0.5273185833474927,0.002602155571494791,-0.00013151182454718136,0.0010843500657181648,0.008214393289002439,-49.43547013874359,-81.29101454780226,0.0,True,23.970854811186122,"[37, 255, 60]"
60.0,-0.8660254037844385,-7.438139443901798,59.99923402663181,-0.8658930559370276,-7.436834171325204,-0.0007659733681890657,0.00013234784741089634,0.0013052725765936302,0.01584143168321509,-34.32475633751879,-158.67899556660973,0.0,True,23.114946177885614,"[75, 248, 4]"
60.0,-0.8660254037844385,-7.438139443901798,59.9991576084931,-0.8658933727978979,-7.4367751249375,-0.0008423915069002419,0.00013203098654057666,0.0013643189642973397,0.01580750814730421,-34.32482749165648,-158.6789481109642,0.0,True,23.116391039004757,"[75, 248, 4]"
60.0,-0.8660254037844385,-7.438139443901798,59.999287090631796,-0.865890787170403,-7.4367759279147405,-0.0007129093682038956,0.00013461661403546543,0.0013635159870570845,0.016109850254956534,-34.324494891225896,-158.67890602384813,0.0,True,23.115896043983703,"[75, 248, 4]"
60.0,-0.49999999999999983,-8.897148516252892,59.999243873547556,-0.4999979494405983,-8.897623335242955,-0.0007561264524440503,2.0505594015562956e-06,-0.00047481899006207584,0.0007718600418587911,-12.453524042037486,-136.80193631085004,0.0,True,24.405443827653283,"[75, 247, 16]"
60.0,-0.49999999999999983,-8.897148516252892,59.99925184079187,-0.5000050299422296,-8.897528531048277,-0.0007481592081290955,-5.029942229783924e-06,-0.00038001479538429805,0.0008271962327877232,-12.453761538645708,-136.80236365546833,0.0,True,24.405490864391773,"[75, 247, 16]"
60.0,-0.49999999999999983,-8.897148516252892,59.99924012754935,-0.5000003065326575,-8.89748629388402,-0.0007598724506507892,-3.0653265764568616e-07,-0.0003377776311275227,0.0007628183788645906,-12.453608664324335,-136.80207536313083,0.0,True,24.406696864435347,"[75, 247, 16]"
60.0,0.0,-7.972173828734266,59.99929225957947,1.7680989985995992e-07,-7.973486096568067,-0.000707740420530456,1.7680989985995992e-07,-0.0013122678338008953,0.0007102894315754622,-4.443132155249437,-106.90677586843115,0.0,True,24.35786030769675,"[75, 248, 32]"
60.0,0.0,-7.972173828734266,59.99915081477049,3.090082285010687e-06,-7.9736386731034665,-0.0008491852295122726,3.090082285010687e-06,-0.0014648443692006907,0.0008719484967487523,-4.443274094056477,-106.9066016825848,0.0,True,24.35532513309642,"[75, 248, 32]"
60.0,0.0,-7.972173828734266,59.99916361836382,7.360791963380426e-06,-7.973586185658409,-0.0008363816361764975,7.360791963380426e-06,-0.0014123569241428768,0.0009476926914287984,-4.4432612471063635,-106.90634633483006,0.0,True,24.35568278862219,"[75, 248, 32]"
60.0,0.49999999999999983,-4.911061601885761,59.99922000616349,0.5000034075323724,-4.910736547473363,-0.0007799938365096182,3.407532372545763e-06,0.0003250544123982735,0.0008173074124966625,-12.45373319804414,-77.01132220229661,0.0,True,24.40575167181303,"[75, 251, 48]"
60.0,0.49999999999999983,-4.911061601885761,59.999182408527275,0.5000009491147426,-4.910682451760258,-0.0008175914727246436,9.491147427431734e-07,0.0003791501255028251,0.0008230578614804344,-12.453681006934197,-77.01148805683883,0.0,True,24.408709336296802,"[75, 251, 48]"
60.0,0.49999999999999983,-4.911061601885761,59.99919981174269,0.5000022627845389,-4.910655763035589,-0.0008001882573083208,2.2627845390199575e-06,0.0004058388501722021,0.0008180372270618435,-12.453711230866105,-77.0114007798666,0.0,True,24.406580351237878,"[75, 251, 48]"
60.0,0.8660254037844385,-0.5340343848324712,59.99922381839859,0.8658933436851541,-0.5327660366962725,-0.0007761816014095757,-0.00013206009928434792,0.0012683481361986937,0.015807578665056003,-34.32479124287645,-55.134568978870426,0.0,True,23.09385338190122,"[75, 255, 60]"
60.0,0.8660254037844385,-0.5340343848324712,59.999154821563835,0.8658956635457252,-0.532890380111369,-0.0008451784361653836,-0.00012974023871326068,0.0011440047211022097,0.015534251363175586,-34.325065977397834,-55.13449022578642,0.0,True,23.094363947044112,"[75, 255, 60]"
60.0,0.8660254037844385,-0.5340343848324712,59.99925679280168,0.8658919047600772,-0.5328399879042593,-0.0007432071983188848,-0.00013349902436132766,0.0011943969282118827,0.015977787901702786,-34.3246257663957,-55.134626361025546,0.0,True,23.09491323663496,"[75, 255, 60]"
100.0,-0.8660254037844385,-7.454765649488874,100.00225003250715,-0.8659062885765019,-7.4531651178615235,0.002250032507149058,0.00011911520793661534,0.001600531627350854,0.023895043389915962,-14.27453799366856,-193.39106003517077,0.0,True,24.282415154806294,"[124, 248, 4]"
100.0,-0.8660254037844385,-7.454765649488874,100.0024617980993,-0.8659117571482162,-7.452979814761347,0.0024617980993042465,0.00011364663622226434,0.0017858347275270248,0.022830162991215337,-14.275377449356434,-193.3917898206116,0.0,True,24.277627519873867,"[124, 248, 4]"
100.0,-0.8660254037844385,-7.454765649488874,100.00227430660061,-0.8658939576354332,-7.453012524924131,0.002274306600611453,0.00013144614900528762,0.0017531245647433025,0.02634925460945391,-14.272393911070523,-193.38984950072887,0.0,True,24.282241193355397,"[124, 248, 4]"
100.0,-0.49999999999999983,-8.917035992346296,100.00249739449114,-0.5000008942412533,-8.917946840962312,0.002497394491143723,-8.942412534351796e-07,-0.0009108486160158691,0.002502647843640772,22.26260774980568,-156.84558690411748,0.0,True,25.711290532915466,"[124, 247, 16]"
100.0,-0.49999999999999983,-8.917035992346296,100.00238936146066,-0.49999850919154737,-8.917777963411185,0.002389361460657824,1.4908084524645204e-06,-0.0007419710648886024,0.002398523774746091,22.262651605209513,-156.84529460750264,0.0,True,25.713741148373654,"[124, 247, 16]"
100.0,-0.49999999999999983,-8.917035992346296,100.00229429332104,-0.500003907373366,-8.917966886099613,0.0022942933210430283,-3.907373366140998e-06,-0.0009308937533170081,0.0023409480581073985,22.26225788808975,-156.84578616943568,0.0,True,25.712128221462205,"[124, 247, 16]"
100.0,0.0,-7.989993742175272,100.00242252977239,-1.0291718678821585e-05,-7.991799980679896,0.0024225297723887707,-1.0291718678821585e-05,-0.0018062385046242468,0.0026343748678350175,35.64362167545204,-106.90781434956122,0.0,True,25.63735354025409,"[124, 248, 32]"
100.0,0.0,-7.989993742175272,100.00228925390213,-1.195298878744692e-06,-7.9917997870175785,0.0022892539021341918,-1.195298878744692e-06,-0.001806044842306953,0.0022952275866801914,35.643488237899945,-106.90690582312179,0.0,True,25.639592300581334,"[124, 248, 32]"
