q_min_db,q_max_db,samples,sigma_r_m,sigma_u,detection_rate,fallback_used,median_abs_e_r_m,median_abs_e_u
,6.0,5,0.07180847903062611,0.008574983246436997,0.0019561815336463224,True,0.11677489886608328,0.005383625539203796
6.0,12.0,85,0.07180847903062611,0.004751724409206673,0.03325508607198748,False,0.04989324244650106,0.003177109704026293
12.0,20.0,316,0.027950305657415353,0.0018622499679523394,0.12363067292644757,False,0.019345994469603056,0.0012491768345225251
20.0,,2022,0.0026872558588068272,0.0001727148345477119,0.7910798122065728,False,0.002317219749073729,0.00011622004794653584
