snr_db,variant_key,ade_m,fde_m,interaction_ade_m,interaction_fde_m,collision_rate,ground_truth_collision_rate,excess_collision_rate
5,full_model,0.8348197477733944,1.527391876590817,0.8094995640548052,1.475673819638072,0.02,0.000875,0.019333333333333334
10,full_model,0.6682584079124173,1.2898700970667594,0.6432605955900315,1.238501743477897,0.00625,0.000875,0.005666666666666667
15,full_model,0.6526421446206156,1.2695553646066617,0.6276888862811287,1.2183346927248808,0.005791666666666666,0.000875,0.005208333333333333
20,full_model,0.5899768692235305,1.193547949743639,0.5653159633442671,1.1429360205066823,0.0031666666666666666,0.000875,0.002625
5,without_graph_context,0.8690063045884441,1.5888271058407482,0.8433994828066157,1.5364187706939592,0.021291666666666667,0.000875,0.020666666666666667
10,without_graph_context,0.7024799586656733,1.3563085183813395,0.6768232293231127,1.3037588873831745,0.0055,0.000875,0.004958333333333334
15,without_graph_context,0.6855552355378307,1.333576746628329,0.6599156742352145,1.2811421795871976,0.005083333333333333,0.000875,0.004541666666666667
20,without_graph_context,0.6176356454195235,1.2492997780392952,0.5920542058866343,1.196970671777468,0.00325,0.000875,0.00275
5,without_lora,0.8355989910828108,1.5288995273846644,0.810471578975956,1.477172144318511,0.018583333333333334,0.000875,0.017916666666666668
10,without_lora,0.6708089069337014,1.2966112584762826,0.6458872624470723,1.2450369617879633,0.006291666666666667,0.000875,0.0057083333333333335
15,without_lora,0.6549126793504945,1.2756736696489328,0.629964578830848,1.2241459520065217,0.005458333333333333,0.000875,0.004875
20,without_lora,0.5915432096605395,1.1986164231810312,0.5667399493512035,1.1474606055184766,0.0030833333333333333,0.000875,0.002625
5,without_soft_token,0.8466838489267503,1.5559633568339994,0.8216563611787551,1.5040221743622357,0.018833333333333334,0.000875,0.01825
10,without_soft_token,0.6810011542171995,1.3188102377289055,0.6558628356615518,1.266356402266281,0.005833333333333334,0.000875,0.005291666666666667
15,without_soft_token,0.6648951063397964,1.2973703605206037,0.6397310915121385,1.2450874720860985,0.005458333333333333,0.000875,0.004958333333333334
20,without_soft_token,0.5994197292811553,1.2163802915528958,0.5743306934633488,1.1643056464462889,0.002958333333333333,0.000875,0.0025
5,without_token_loss,0.8499529686100297,1.5683321480714236,0.8249455591867033,1.5164854241964576,0.020083333333333335,0.000875,0.019458333333333334
10,without_token_loss,0.6865280464281716,1.3378158821686363,0.661601518676263,1.2858772989084213,0.0060416666666666665,0.000875,0.0055
15,without_token_loss,0.6702064919603173,1.3160796143385647,0.6453010802911685,1.2642862479849069,0.005458333333333333,0.000875,0.004916666666666666
20,without_token_loss,0.6038845949688189,1.2324528619499164,0.578993115437802,1.1807287300285567,0.003416666666666667,0.000875,0.002916666666666667
5,without_uncertainty,0.8411256040259785,1.5435713106636963,0.8163514202025094,1.4923452825977241,0.020958333333333332,0.000875,0.02033333333333333
10,without_uncertainty,0.6707784250211032,1.2969354766206416,0.6458573895019813,1.245373609373869,0.005958333333333334,0.000875,0.005416666666666667
15,without_uncertainty,0.654787282722919,1.2756165005012017,0.6298763450067758,1.2241939811476847,0.0055,0.000875,0.005
20,without_uncertainty,0.5912663442323595,1.1977272748684278,0.5665550646027568,1.1466364066449874,0.00325,0.000875,0.00275
