snr_db,model_key,ade_m,fde_m
5,lstm,2.2945101261138916,4.907224655151367
5,transformer,1.9570645093917847,4.165938854217529
5,target_interaction_gnn,1.1065294742584229,2.2018139362335205
5,proposed,1.0115879774093628,1.7968723773956299
20,lstm,1.9881504774093628,4.704010009765625
20,transformer,1.7605648040771484,3.8807640075683594
20,target_interaction_gnn,0.9633873105049133,1.9968934059143066
20,proposed,0.9573511481285095,1.8211896419525146
