snr_db,ade_reduction_vs_gnn_pct,fde_reduction_vs_gnn_pct
5,4.0438479936217036,4.194144023312852
10,5.684608431630609,5.905836800679595
15,5.715188729748387,5.908669485318868
20,5.456897711598708,5.512827241162323
