snr_db,model_key,ade_m,fde_m,interaction_ade_m,interaction_fde_m,collision_rate,ground_truth_collision_rate,excess_collision_rate
5,constant_velocity,1.5537836278812363,2.5660054401368266,1.5266046687155996,2.5007356009367303,0.16475,0.000875,0.16429166666666667
10,constant_velocity,1.2511137105821906,2.243311943214021,1.2220322678416329,2.175345786955568,0.09083333333333334,0.000875,0.090375
15,constant_velocity,1.215381512121434,2.2059478591532007,1.1858620838414413,2.1373752207047083,0.07945833333333334,0.000875,0.07908333333333334
20,constant_velocity,1.0496596109039071,2.0349535520442132,1.017644411115069,1.962733120957454,0.03833333333333333,0.000875,0.03779166666666667
5,graph_motion_token_gpt2,0.8338600449735564,1.5227506357884855,0.8086966978495257,1.4711860488767834,0.020958333333333332,0.000875,0.020291666666666666
10,graph_motion_token_gpt2,0.6683209053552663,1.2903549328922832,0.6435831884793899,1.2392761389506506,0.007333333333333333,0.000875,0.006791666666666666
15,graph_motion_token_gpt2,0.6526358398975848,1.2701877850550407,0.6279377239840402,1.2192553722952295,0.0067083333333333335,0.000875,0.006166666666666667
20,graph_motion_token_gpt2,0.5894733964779149,1.19413846824503,0.5650166353822348,1.143803606539906,0.003958333333333334,0.000875,0.0035
5,independent_gru,0.9784547728819253,1.8602417025834224,0.9509264217301564,1.8030214736248913,0.046125,0.000875,0.04545833333333334
10,independent_gru,0.797680812108083,1.6032235647115318,0.7698010805237134,1.5447879457722251,0.0155,0.000875,0.014833333333333334
15,independent_gru,0.7791729689222712,1.5776539576487347,0.7512881852786483,1.5192886624638822,0.013708333333333333,0.000875,0.013041666666666667
20,independent_gru,0.7017864458616145,1.4737503539635302,0.6735697381295839,1.414547090604341,0.008416666666666666,0.000875,0.007791666666666666
5,lstm,0.9401143436789381,1.7634218966684898,0.9192816975439962,1.721230911131115,0.06116666666666667,0.000875,0.060625
10,lstm,0.7182955027520328,1.4193997081348626,0.6963749061323827,1.374423726694254,0.017708333333333333,0.000875,0.017125
15,lstm,0.6979821649486201,1.3904856554597058,0.6759922898660494,1.345528207260351,0.015041666666666667,0.000875,0.014458333333333333
20,lstm,0.6210233401936759,1.2890421773790657,0.5986285278193171,1.2432923998466838,0.008166666666666666,0.000875,0.007583333333333333
5,target_interaction_gnn,0.869001129722385,1.5894129020245098,0.8432544836439926,1.5370032618800016,0.02,0.000875,0.019375
10,target_interaction_gnn,0.7086021636996538,1.3713442885494547,0.6830519062477381,1.3193759443308484,0.00625,0.000875,0.0057083333333333335
15,target_interaction_gnn,0.6921961566289967,1.3499519861257063,0.6666910741328089,1.2981867169605024,0.00575,0.000875,0.005208333333333333
20,target_interaction_gnn,0.6234969894257769,1.2638101377981368,0.5980142814778382,1.212120265406655,0.003833333333333333,0.000875,0.0033333333333333335
5,tcn,0.9765395933107084,1.8071440068994624,0.9550261623696408,1.7635569195620293,0.056625,0.000875,0.05604166666666666
10,tcn,0.7467686642412315,1.468947973955821,0.7244261465420527,1.422215598790578,0.016833333333333332,0.000875,0.016208333333333335
15,tcn,0.7254715285464185,1.4398138447922408,0.7030941686237118,1.393111525337251,0.014625,0.000875,0.013958333333333333
20,tcn,0.6427601127245987,1.3341179726799373,0.6201185097753443,1.2868105669069063,0.009416666666666667,0.000875,0.008791666666666666
5,transformer,0.9802438229999311,1.811173064075205,0.9560125541465998,1.7598809128426456,0.04583333333333333,0.000875,0.04516666666666667
10,transformer,0.747748139201609,1.475152162259574,0.7242319409448285,1.4251212892604137,0.013833333333333333,0.000875,0.013166666666666667
15,transformer,0.726245128627386,1.4464916998916844,0.7028057230904788,1.3967371362400807,0.012458333333333333,0.000875,0.011791666666666667
20,transformer,0.6436794609902581,1.3394432194046306,0.6202273714612747,1.2893804800260702,0.00875,0.000875,0.008083333333333333
