snr_db,variant_key,ade_m,fde_m,interaction_ade_m,interaction_fde_m,collision_rate,ground_truth_collision_rate,excess_collision_rate
5,full_model,0.8338600449735564,1.5227506357884855,0.8086966978495257,1.4711860488767834,0.020958333333333332,0.000875,0.020291666666666666
10,full_model,0.6683209053552663,1.2903549328922832,0.6435831884793899,1.2392761389506506,0.007333333333333333,0.000875,0.006791666666666666
15,full_model,0.6526358398975848,1.2701877850550407,0.6279377239840402,1.2192553722952295,0.0067083333333333335,0.000875,0.006166666666666667
20,full_model,0.5894733964779149,1.19413846824503,0.5650166353822348,1.143803606539906,0.003958333333333334,0.000875,0.0035
5,without_graph_context,0.8682330732755651,1.5874125319778458,0.8424593815632242,1.5348872674298866,0.02033333333333333,0.000875,0.019708333333333335
10,without_graph_context,0.7038896924474142,1.3613216984758303,0.678186153197606,1.3089978242928262,0.0057083333333333335,0.000875,0.005166666666666667
15,without_graph_context,0.6870909231368867,1.3389507525022395,0.6614224722342339,1.2867926120095476,0.005291666666666667,0.000875,0.00475
20,without_graph_context,0.6178511708521396,1.2508601784837547,0.5922173564404528,1.1988583716953287,0.0037916666666666667,0.000875,0.0032916666666666667
5,without_lora,0.8321193976859668,1.5205082028019914,0.8066928521396111,1.4682630236151597,0.019208333333333334,0.000875,0.018583333333333334
10,without_lora,0.6691013175518536,1.292038108548098,0.6439760060799073,1.240398475457011,0.007166666666666667,0.000875,0.006666666666666667
15,without_lora,0.6534538025104224,1.2715571680037425,0.6283621480145792,1.2201076064081091,0.006375,0.000875,0.005875
20,without_lora,0.5912535753008287,1.196282158192358,0.5663608094992261,1.1455449767720298,0.003,0.000875,0.0025416666666666665
5,without_soft_token,0.8467346083736735,1.5544505580914718,0.8212756545684566,1.5018434385297472,0.01879166666666667,0.000875,0.018166666666666668
10,without_soft_token,0.6817799897283283,1.3206507118166215,0.6563472858687391,1.2680791328045835,0.006291666666666667,0.000875,0.00575
15,without_soft_token,0.66576162386624,1.2998169786480585,0.6403476391748567,1.2474162325697842,0.0055,0.000875,0.005
20,without_soft_token,0.6015035758391762,1.2210555676982842,0.5761739714280031,1.16897157965511,0.0031666666666666666,0.000875,0.0027083333333333334
5,without_token_loss,0.8521848822849194,1.5619947793071036,0.8269930786274261,1.5103682110235008,0.02033333333333333,0.000875,0.01975
10,without_token_loss,0.686316077454219,1.328736885853087,0.6611670515615953,1.276865092301272,0.006833333333333334,0.000875,0.006333333333333333
15,without_token_loss,0.6699361082369333,1.307250927774751,0.6447724279180176,1.2554833119309794,0.005791666666666666,0.000875,0.005333333333333333
20,without_token_loss,0.6031151542957983,1.224831169153653,0.5780012132723896,1.1732751550311333,0.0033333333333333335,0.000875,0.002916666666666667
5,without_uncertainty,0.8353412316100468,1.525500399117433,0.8097622104260211,1.4735401865228717,0.018375,0.000875,0.01775
10,without_uncertainty,0.6703260939491886,1.29339057560661,0.645253950073737,1.2421514054979281,0.006416666666666667,0.000875,0.005916666666666666
15,without_uncertainty,0.6545837570577367,1.2729509263212127,0.6296096504921712,1.2220578690599986,0.005583333333333333,0.000875,0.005083333333333333
20,without_uncertainty,0.5913306013988423,1.1969534170535592,0.5666432134670014,1.1466945122408791,0.0031666666666666666,0.000875,0.0027083333333333334
