recording,object_index,uuid,obj_type,length_m,width_m,n_points,t_start_s,t_end_s,duration_s,path_length_m,net_displacement_m,x_min,x_max,y_min,y_max,speed_median_mps,speed_p95_mps,speed_max_mps,accel_median_mps2,accel_p95_mps2,accel_max_mps2,jerk_max_mps3,fd_speed_mae_mps,fd_speed_p95_abs_mps,fd_speed_max_abs_mps,heading_err_p95_rad,max_step_m,max_step_speed_mps
recording_A,0,cb8c2963-5511-4d1b-bee6-6b03ff82f390,car,3.913586049637437,1.5,136,0.0,4.504504504504505,4.504504504504505,80.74149537525523,80.73908807177163,8.889453618973821,71.45713570586229,-41.977234084464264,9.053006958816644,17.917330956143672,18.1069024003043,18.19142330372923,0.1489869818039095,0.4107412968574206,0.4340939125748797,0.28474964352903076,0.023415533651391037,0.044917304198858685,0.04754894487274797,0.0020241920016663252,0.6070124926201814,18.19216440382652
recording_A,1,91bc93f4-14b6-403d-9cd1-152f0509ceb6,car,4.685592272180343,2.024589769417347,265,0.0,8.80880880880881,8.80880880880881,83.87567845177836,79.5398660074981,-38.58164294275386,-7.211495635201423,-48.606562767459955,24.485872835639302,10.094547588141014,12.063919388922457,12.097636060173878,1.5156635039139215,2.6451390874048353,2.67740119149103,1.0643726134916272,0.058531049843864175,0.15638370927869386,0.19548585179828848,0.023312176717186613,0.40863060385672767,12.246659197586242
recording_A,2,60dc2b38-5918-46d6-bd81-c49d80e17671,van,5.563701185375655,1.7846524787426918,273,2.6693360026693362,11.745078411745078,9.075742409075742,163.66571521007262,163.62537387726212,-52.33841407952707,73.89342821021735,-37.12364872052274,66.9858367676445,18.09804010100317,19.330076778758844,19.517188080241734,0.43561533276630265,0.5091812024349488,0.7016468416789399,0.49444999257904004,0.020030928664618922,0.05964542501407358,0.11952321355991558,0.004095996350697017,0.6512279486294993,19.517301620426274
recording_A,3,ff933788-5d70-40dd-9f90-101c58459fb1,car,4.2931707002538815,1.813664664323732,192,7.173840507173841,13.546880213546881,6.37303970637304,165.87609906528695,165.83015589616087,-53.529671825603415,74.55677192301795,-37.25161157730656,68.07409056787863,26.848616785489966,27.011605339941575,27.014686288222457,0.6359236791369558,1.4974056296233844,1.507137741974635,0.9379292431292797,0.04955299701437007,0.1152155254950582,0.13672303374397643,0.0033647128428484496,0.9050010625243518,27.122881843855073
recording_A,4,d1c6e02c-ab53-4f6a-85ff-d12336af841d,car,3.4359299496190907,1.5465586000443725,264,5.538872205538873,14.314314314314315,8.775442108775442,166.7261951399617,166.70612842098646,-57.3735005568216,71.49397886696488,-41.39324669043093,64.36168700097848,18.990975477251187,19.074411741696622,19.077438217826472,0.1972526019391497,0.33328941932829914,0.357511474398519,0.31678778484636555,0.01447052167470409,0.03626412869639103,0.05460850174123166,0.0028803751851389932,0.637561184748523,19.107708706912902
recording_A,5,19b0171f-88d0-4b02-b20a-3a4e6a38df1a,car,4.2720326844412195,1.5435470437491374,226,9.476142809476142,16.983650316983653,7.50750750750751,164.9660888849429,164.9477520885408,-56.93688181359445,70.46639855650459,-40.81973479060027,63.947459836347015,21.949391639821954,22.145514406812897,22.21538473141399,0.2914714860522708,0.34973480622737785,0.35145936408367356,0.3178440761904329,0.02191041606178107,0.051356258098952855,0.08318722989670846,0.002888044810541146,0.7412580959994934,22.21550513710325
recording_A,6,e32f850b-9ea1-47d3-a677-6abc91bd02fd,car,3.9682165968701186,1.5,236,16.649983316649983,24.491157824491157,7.841174507841174,164.91972672938527,164.87543905493868,-53.075416394392896,74.11833016503422,-37.016663723793556,67.89120652308075,21.37486238081985,22.17506288853653,22.1814519203605,0.37629583035306124,0.8939254706171771,0.9072623042494984,0.4896414857262143,0.0295845078935075,0.07753430629100926,0.10306291373309406,0.0025906451689504894,0.7416578807240599,22.227486685298505
recording_A,7,462f68f7-80e3-46a2-9ca3-324a961461e6,car,3.432994818606989,1.6170171799048072,250,18.084751418084753,26.393059726393062,8.308308308308309,166.93810564960467,166.89856834659375,-53.78742599648358,74.9291992152488,-37.415654541807356,68.82540395369637,20.13859169254329,20.318206678769265,20.385459219147883,0.2139489858955274,0.5895079305126264,0.6101325120369215,0.4670952582314165,0.023938964197597515,0.06449988321140125,0.19126727731701365,0.0033565894766584667,0.6801930925296992,20.385386983115815
recording_A,8,e41ea4db-d5e7-49b8-97fe-f9009b1999c2,car,3.770170456285929,1.5892464412274214,294,17.450784117450784,27.227227227227228,9.776443109776444,167.6903892281482,167.66152375942227,-57.79602467117989,71.46668154948942,-42.01975864087847,64.75823220854825,17.226196522411474,17.378990157804413,17.528995435810668,0.21484673733270054,0.2979370060590905,0.32429316932482816,0.30851222713272936,0.01623512803337173,0.0416926484283216,0.06035752978487352,0.0035449996216465585,0.5848835003214549,17.52895850463463
recording_A,9,e8e6a546-734e-4542-9403-d8812b558b05,car,4.732263735194399,1.9618928519862797,494,15.615615615615615,32.0653987320654,16.44978311644978,183.62513435446522,112.38778602677371,-38.27957144300985,73.45056111183199,-48.62855180468313,22.523069647628475,11.276005482325772,17.22355823666806,17.73595768292289,1.7653164731983766,3.098541940867632,3.2277021667716252,1.7969372473316092,0.05667717933904338,0.1692591495793841,0.23094023863009028,0.02858747370153702,0.5918035601451509,17.736352697549865
