group,comparison,metric,estimate,low,high
test,llm_vs_plain,ade_m,1.0721624214535044,0.594114293268377,1.5549016892429628
test,llm_vs_plain,fde_m,1.5407183034398964,0.8864465937631019,2.2136451390704974
test,llm_vs_classical,ade_m,0.25252065160480225,-0.3619667614820872,0.8459915560692395
test,llm_vs_classical,fde_m,0.7669040916367126,-0.17549424507131994,1.650584072218091
ablation,quantum_no_entanglement_llm,ade_m,2.7983999166748634,2.1203687664978186,3.486336951077055
ablation,quantum_no_entanglement_llm,fde_m,3.666344265399066,2.5830716488548804,4.899127939539486
ablation,quantum_depth1_llm,ade_m,0.9722577590515182,0.519213408898803,1.4881852310723427
ablation,quantum_depth1_llm,fde_m,1.0541043690420944,0.5114762061010418,1.6864918064558971
ablation,quantum_no_reupload_llm,ade_m,1.0740406430111782,0.5186180217470641,1.7907699190647002
ablation,quantum_no_reupload_llm,fde_m,1.648890346371262,0.9125190155987795,2.7040816001376893
