model,epoch,train_loss,train_ade,val_loss,val_ade,val_fde,best_val_ade,straight_ade,turn_ade,step1_ade,step5_ade,step10_ade,step15_ade,step20_ade
lstm_snr5,1,0.036343684909080375,7.0130876260233626,0.005107077812620749,2.1038920332943754,2.772731823380621,2.1038920332943754,1.6408051252365112,6.558741569519043,2.5108304784411475,1.90825708593641,1.8143776201066517,2.1988256692886354,2.7727318389075144
lstm_snr5,2,0.007492149950627948,3.523772804992004,0.004147608705153245,1.7858619989128783,2.321641531297272,1.7858619989128783,1.4085716009140015,5.712533950805664,1.9222188836052305,1.4838622348649162,1.6980604222842626,1.939539186727433,2.321641532580058
lstm_snr5,3,0.005583701793405089,3.008286415655908,0.0035905775417285485,1.4832042742354263,2.0452359804248164,1.4832042742354263,1.116375207901001,5.305196285247803,1.3386787840298244,1.2243036111195882,1.329766364892324,1.6462635437647501,2.045235982395354
lstm_snr5,4,0.004759708843125612,2.7574816299934306,0.0036664598100330857,1.5763765979547142,2.040986154094294,1.4832042742354263,1.2104463577270508,5.429300308227539,1.4924304360435123,1.3671229112715948,1.4549681867871966,1.67785865295501,2.0409861394337248
lstm_snr5,5,0.004311598675321608,2.5989779271419695,0.003538379467846382,1.4068124575928473,1.9639716990964926,1.4068124575928473,1.0467047691345215,5.250836372375488,1.1806711741856166,1.1993444851466588,1.266499358131772,1.5801444019590105,1.9639717102050782
lstm_snr5,6,0.003994244946932237,2.4932514561547174,0.0036959745402869192,1.6405229781804207,2.187223239871136,1.4068124575928473,1.2737209796905518,5.460904598236084,1.4420141078176953,1.3861353522255306,1.597923241342817,1.8009823163350422,2.187223223277501
lstm_snr5,7,0.003740545785917551,2.401955971178019,0.00387565230429616,1.6604259113104836,2.198769652698233,1.4068124575928473,1.3363840579986572,5.3100972175598145,1.36788098074141,1.4366067545754568,1.5808771405901227,1.8277969825835454,2.1987696329752606
lstm_snr5,8,0.0035827531898101356,2.345299757501614,0.0037441515541147617,1.6193544240014273,2.0865435546335425,1.4068124575928473,1.2757580280303955,5.269491195678711,1.3283730546633403,1.3560795977002098,1.557225521405538,1.7836909226008824,2.0865435554867697
lstm_snr5,9,0.0035175401766235847,2.3190703789393106,0.0036765271307168793,1.5872109317276184,2.138963786904545,1.4068124575928473,1.1859849691390991,5.520570278167725,1.2508482700302488,1.2800580092838831,1.5176469916389101,1.774541827610561,2.138963783354986
lstm_snr5,10,0.003352108865437455,2.2472892274896554,0.003412287675365362,1.349294863955029,1.8631034113476441,1.349294863955029,1.0024874210357666,5.13466215133667,1.055089641185034,1.1278552327837263,1.2849907256308055,1.5194584108534313,1.8631034198261442
lstm_snr5,11,0.0032662873681579994,2.2068812239844844,0.0036910575476386365,1.5565868041999193,2.0277565097066272,1.349294863955029,1.217933177947998,5.248653411865234,1.2660409683272953,1.342396971157619,1.4528026983851479,1.70526590858187,2.0277565195446923
lstm_snr5,12,0.003192610915924034,2.1796016850561464,0.00353699409280948,1.4106538421579726,1.898807907520036,1.349294863955029,1.0470553636550903,5.2456955909729,1.0932524908156622,1.1757779501733325,1.3407088251340957,1.5816025353613354,1.8988079150517783
lstm_snr5,13,0.003157200848935582,2.173619023908859,0.0035125039321082154,1.436038274182162,1.9603190422403194,1.349294863955029,1.0717265605926514,5.257096290588379,1.1008974892752512,1.2035710743495396,1.3551396438053676,1.6161554296811422,1.9603190422058105
lstm_snr5,14,0.0031254859711970953,2.1553346890823395,0.0038884372824603427,1.5633536684071823,2.0969225812106744,1.349294863955029,1.1861647367477417,5.441192626953125,1.2002099655923388,1.3131461983635313,1.4744737409410023,1.7465487497193473,2.0969225656418575
lstm_snr5,15,0.003067599301005809,2.132626071416107,0.0035515348662600098,1.3923148419990736,1.9455190639890914,1.349294863955029,1.0318657159805298,5.306535243988037,1.0219142425627936,1.1250940459115164,1.3253704059691656,1.5770131786664328,1.9455190579096475
lstm_snr5,16,0.0030663485977548786,2.130627813079322,0.003742986035511075,1.572309746145315,2.07608235766886,1.349294863955029,1.250955581665039,5.211504936218262,1.2366287322271439,1.3536427191325597,1.5090159484318324,1.7316184815906344,2.0760823545001803
lstm_snr5,17,0.003063096432991529,2.1349606286554716,0.0035726602751916894,1.4694854378703028,1.9964117184173942,1.349294863955029,1.0925744771957397,5.346741199493408,1.134170696565083,1.2244280979746864,1.396880106698899,1.6407467314175197,1.9964117095583962
lstm_snr5,18,0.003014527234410871,2.1071083633154943,0.0035217417961186065,1.4125868027309134,1.9690048604692925,1.349294863955029,1.0596569776535034,5.205594062805176,1.0255664865175882,1.1395610769589741,1.3363930361611502,1.6109121646199906,1.9690048490251815
lstm_snr5,19,0.003004370810292208,2.10179186267173,0.003401182397058056,1.3158724297744422,1.8839570915835793,1.3158724297744422,0.963105320930481,5.099599838256836,0.9319532411439079,1.0367739575249808,1.2482705201421465,1.508232736019861,1.8839570840199789
lstm_snr5,20,0.0030181128822122576,2.1111427228155875,0.003373597823693195,1.328438262417469,1.8633484934699525,1.3158724297744422,0.991746723651886,5.046538829803467,0.9923768645241147,1.0702006828217279,1.2574994705972218,1.4970373800822667,1.8633485169637771
lstm_snr5,21,0.00298711537618768,2.097464310798005,0.003282270689738826,1.2628708726066786,1.8439482316966556,1.2628708726066786,0.9093253016471863,5.010240077972412,0.835192133415313,0.9790896952152253,1.194291449160803,1.4725516727992467,1.8439482280186243
lstm_snr5,22,0.0029923628522200312,2.1073100609349504,0.0034162839849679067,1.3974930197352522,1.9380744120329922,1.2628708726066786,1.0646052360534668,5.072035312652588,1.0332756045318785,1.1367203502427965,1.3207344923700606,1.5918520779836745,1.9380744116646902
lstm_snr5,23,0.002948786972082792,2.0924109267988547,0.003371400751417414,1.359682783218644,1.9141019891431261,1.2628708726066786,1.0195906162261963,5.035993576049805,0.9750335154079256,1.0959113705725896,1.2883011704399472,1.5438489703905014,1.9141019900639853
lstm_snr5,24,0.0029675300277972622,2.100862316365512,0.0036622440492335173,1.594416633190676,2.056332799491273,1.2628708726066786,1.2695316076278687,5.183256149291992,1.2920070142973037,1.3698899785677592,1.5389619344756718,1.7276987620762416,2.0563327812013172
lstm_snr5,25,0.0029479323179056904,2.080722928297095,0.003485521394205058,1.4352730778542104,1.9724980157815264,1.2628708726066786,1.0936753749847412,5.11386775970459,1.0364024128232683,1.1639775599752153,1.3824817543938046,1.625551458199819,1.972498020671663
lstm_snr5,26,0.002933018136500094,2.0790945643898824,0.0035083242669878972,1.426224575216128,1.977754381363186,1.2628708726066786,1.0749132633209229,5.24306583404541,1.0501694838205973,1.1660680384862991,1.360035048779987,1.607309134801229,1.97775437718346
lstm_snr5,27,0.0029005663707633686,2.0606714502070687,0.0034649837515427777,1.4474726416009833,1.9617431021794411,1.2628708726066786,1.1085339784622192,5.138509273529053,1.1374167096047174,1.2094962244942076,1.3792725761731466,1.6073521602721441,1.9617430845896402
lstm_snr5,28,0.0029271744385428056,2.0705584867445426,0.003278082157928674,1.2843770017085177,1.846830318794396,1.2628708726066786,0.936089813709259,4.973621845245361,0.8887945104212988,1.0098422249158223,1.219579385575794,1.4813279861495607,1.8468303203582763
lstm_snr5,29,0.0028924315711932424,2.0622608434229277,0.003470796448666425,1.4498937101114453,1.95024043342391,1.2628708726066786,1.1100040674209595,5.0965256690979,1.1501057894456954,1.217129665897006,1.3877082875796727,1.592319625332242,1.9502404264041355
lstm_snr5,30,0.0029257726267398,2.0825648297803707,0.0035335568522679665,1.4614306213860844,1.9828755914010496,1.2628708726066786,1.1256378889083862,5.095268726348877,1.0905376505284083,1.212688740662166,1.3992709778604053,1.6368096175647917,1.9828755764734178
lstm_snr5,31,0.0029083504990735083,2.0652802852714585,0.003405279483247016,1.4443358359459255,1.9690742779121917,1.2628708726066786,1.1157654523849487,5.027373313903809,1.090554172084445,1.1922068709418887,1.376316281159719,1.6132426420847574,1.9690742765154157
lstm_snr5,32,0.0028902436787188366,2.061364411058166,0.0033974014341809034,1.348896374530159,1.8614554900735951,1.2628708726066786,0.9926183223724365,5.168365478515625,1.0359276226588658,1.1044790006819225,1.2719152887662253,1.5072814827873593,1.8614554876372928
lstm_snr5,33,0.0028794920413639687,2.0660172620909267,0.003340434204853539,1.4188333512522235,1.9141675261612927,1.2628708726066786,1.1035081148147583,5.021647930145264,1.1377510564667839,1.1891453498885745,1.3457357537178767,1.562266002382551,1.914167521113441
lstm_snr5,34,0.0028577188695673547,2.0552003353646717,0.003390404346698363,1.532635987538933,1.9999926247410864,1.2628708726066786,1.229596734046936,5.0090012550354,1.2705943601472036,1.3052290116037641,1.4710963419505527,1.6685595421564012,1.9999926124300276
lstm_snr5,35,0.0028897519494295587,2.0595735211542316,0.003267475417427098,1.2745891565379377,1.8198212374669052,1.2628708726066786,0.9339592456817627,4.968943119049072,0.8979603054977598,1.0104413685344515,1.20962587084089,1.462544578029996,1.8198212277321588
lstm_snr5,36,0.0028551154927618067,2.053265533607211,0.0034437175294096093,1.4618044392056098,1.9410040622954727,1.2628708726066786,1.1192214488983154,5.131776809692383,1.1343941495532082,1.2492115389733087,1.3914716873850141,1.616407142934345,1.9410040821347918
lstm_snr5,37,0.002857353348398202,2.0530882653950147,0.003388548943413688,1.351974847890614,1.9378234878946734,1.2628708726066786,1.017335057258606,5.037327766418457,0.9301244091419947,1.062568598134177,1.2856667439142864,1.5569686929384867,1.9378234999520438
lstm_snr5,38,0.002854259949972154,2.0510013063498764,0.003297729769976632,1.3273591251844274,1.8270068837636029,1.2628708726066786,0.9915182590484619,5.031924724578857,1.01245523975009,1.1086377722876413,1.2567637449219113,1.4841000420706614,1.8270068923632303
