model,epoch,train_loss,train_ade,val_loss,val_ade,val_fde,best_val_ade,train_token_acc,val_token_acc,train_token_temp,val_token_temp,step1_ade,step5_ade,step10_ade,step15_ade,step20_ade
gpt2_soft_snr10,1,0.7378791250147909,2.2871617451153963,2.7287826197487965,2.2465061817850387,3.8733795892624627,2.2465061817850387,0.7831032288241722,0.3883258995910486,0.22971234597125142,0.22953624186061677,0.8102843210810706,1.523253476052057,1.9540856605484371,2.9043696278617497,3.8733795892624627
gpt2_soft_snr10,2,0.39409449315420986,1.815575978041195,2.4810803458804176,1.8367367511703854,3.013316076710111,1.8367367511703854,0.8640715203695077,0.4208519410519373,0.2297123461274481,0.22953624186061677,0.7270838411081405,1.2810457524799166,1.6922710220019022,2.317718651748839,3.013316076710111
gpt2_soft_snr10,3,0.3591134808723282,1.5492917131827812,2.4294721603393556,1.6647805946213858,2.620731502487546,1.6647805946213858,0.8674405577047816,0.41358631735756285,0.22971234462796017,0.22953624186061677,0.7056295831998189,1.207345603761219,1.551305481933412,2.0860550732839673,2.620731502487546
gpt2_soft_snr10,4,0.34336837582618185,1.4010504919028133,2.153047461169107,1.5326205015182495,2.297855544090271,1.5326205015182495,0.8685305408461789,0.4374962864177568,0.22971234725206402,0.22953624186061677,0.7065650465942565,1.1896672816503615,1.4229555811200822,1.8763387776556468,2.297855544090271
gpt2_soft_snr10,5,0.33443776004219455,1.309488656885719,2.3666889167967295,1.474578981740134,2.2547795477367583,1.474578981740134,0.8688564735388605,0.40841146721726374,0.22971234497159282,0.22953624186061677,0.6997343352862767,1.1451942926361447,1.3589169207073393,1.7903890155610585,2.2547795477367583
gpt2_soft_snr10,6,0.3283072290180614,1.257510448401829,2.4456690050306773,1.472973554474967,2.200430540811448,1.472973554474967,0.8693470046455255,0.4188653349166825,0.22971234565885812,0.22953624186061677,0.7127174814542134,1.1577032866932098,1.3749280554907664,1.7799211848349799,2.200430540811448
gpt2_soft_snr10,7,0.3244165337685519,1.2326780770059902,2.245635059333983,1.4527738020533607,2.168776588212876,1.4527738020533607,0.8697761197260091,0.4408631037388529,0.2297123464398414,0.22953624186061677,0.7011344342004685,1.1659933697609675,1.3487785736719766,1.7435932460285368,2.168776588212876
gpt2_soft_snr10,8,0.3209259243256391,1.2059327241509716,2.1290529097829545,1.4136811880838303,2.0780504930587043,1.4136811880838303,0.8699890383884342,0.4618861696549824,0.22971234540894347,0.22953624186061677,0.692534346523739,1.1338629364967345,1.329278260185605,1.6871097292218888,2.0780504930587043
gpt2_soft_snr10,9,0.3184990456144265,1.1905139988323428,2.4089349372046334,1.4377190044948034,2.127178164890834,1.4136811880838303,0.8702330757986825,0.4129538756750879,0.22971234609620875,0.22953624186061677,0.6966739325296312,1.1435570995012918,1.3373605154809498,1.7451542076610385,2.127178164890834
gpt2_soft_snr10,10,0.3168012233025373,1.1810679260789723,2.4075971983727955,1.3693252432914007,1.987418194044204,1.3693252432914007,0.8705123278080042,0.40812128856778146,0.22971234600249077,0.22953624186061677,0.6928547186510904,1.1258946640150889,1.2763550275848026,1.6259854311034794,1.987418194044204
gpt2_soft_snr10,11,0.3150719263643589,1.173518461251409,2.375575700260344,1.4065923985980806,2.0320360955737886,1.3693252432914007,0.8706589151228499,0.42760417340766815,0.22971234572133678,0.22953624186061677,0.6912634960242681,1.1542666526067824,1.3175422912552244,1.6737104779198055,2.0320360955737886
gpt2_soft_snr10,12,0.31299940913728197,1.147893425303685,2.0350125630696616,1.33700050058819,1.9409459176517667,1.33700050058819,0.8708251558509763,0.453776050110658,0.22971234628364476,0.22953624186061677,0.6884050758112045,1.1031242387635367,1.2371477586882456,1.5837139424823579,1.9409459176517667
gpt2_soft_snr10,13,0.31183159063947025,1.1415034217654534,2.2264986055237905,1.3408201705841791,1.9511215845743815,1.33700050058819,0.8710257915830713,0.42609375860719456,0.2297123455651401,0.22953624186061677,0.6929116697538467,1.1161073128382364,1.2433566712197803,1.5767848798206874,1.9511215845743815
gpt2_soft_snr10,14,0.3115680472343473,1.133332231634568,2.2369250314576283,1.3635698449044,1.9729191717647372,1.33700050058819,0.8709045905986922,0.44501116900216964,0.2297123458462941,0.22953624186061677,0.6872163409278507,1.124737923485892,1.2672659930728731,1.6234243994667417,1.9729191717647372
gpt2_soft_snr10,15,0.3099731068816075,1.1211382655477624,1.9304050087928772,1.320166838736761,1.9069521268208822,1.320166838736761,0.8710847548218893,0.4893303646218209,0.22971234700214938,0.22953624186061677,0.6913681209087372,1.098554357460567,1.222911806901296,1.5534300310271127,1.9069521268208822
gpt2_soft_snr10,16,0.3089246817354886,1.1139157505655188,1.8725548659052167,1.301039791674841,1.8681309751101902,1.301039791674841,0.8713091376942409,0.47842634675048645,0.22971234597125142,0.22953624186061677,0.6889942668733142,1.0831072688102723,1.2032342218217396,1.5307271338644481,1.8681309751101902
gpt2_soft_snr10,17,0.3078752648030687,1.1025626671889044,2.467590351331802,1.3372415349597022,1.9384750377564204,1.301039791674841,0.871554814294699,0.4390662277028674,0.2297123453464648,0.22953624186061677,0.687697488353366,1.0936282992362976,1.2463880709239414,1.588018869218372,1.9384750377564204
gpt2_soft_snr10,18,0.30676365642177733,1.0937418680271014,2.3643644156910124,1.324820663815453,1.8795629927090236,1.301039791674841,0.8715515379135964,0.44246280448777336,0.2297123455339008,0.22953624186061677,0.7036827252024696,1.1227603111948286,1.2367196673438663,1.5454496644792102,1.8795629927090236
gpt2_soft_snr10,19,0.3060688167123175,1.0898567072000644,2.339509019965217,1.3019660518282936,1.8953815108253842,1.301039791674841,0.8719446204243466,0.45187500701064154,0.22971234497159282,0.22953624186061677,0.6887840009870984,1.0755696444284348,1.205684620993478,1.533140181927454,1.8953815108253842
gpt2_soft_snr10,20,0.3051259730409526,1.0796882077832892,1.9881315197263445,1.2749885184424263,1.8200248542286102,1.2749885184424263,0.871824236910798,0.4735528370454198,0.2297123467209954,0.22953624186061677,0.6906835652533032,1.0588675348531633,1.187720339071183,1.5004315614700316,1.8200248542286102
gpt2_soft_snr10,21,0.3042233701584474,1.075268391418257,2.13066516206378,1.2602958667845954,1.8035187965347654,1.2602958667845954,0.8718627267663583,0.4524479250113169,0.22971234562761877,0.22953624186061677,0.6892150109722501,1.052327525615692,1.163127414953141,1.4762294065384638,1.8035187965347654
gpt2_soft_snr10,22,0.30338267650869155,1.0687975681053017,2.180211593423571,1.2992336216427032,1.8341949201765515,1.2602958667845954,0.8719708249753876,0.4526748593364443,0.22971234547142214,0.22953624186061677,0.6977002538385846,1.0759077793075924,1.219577659879412,1.5360801282383147,1.8341949201765515
gpt2_soft_snr10,23,0.3034726883005546,1.063824229520322,2.2027754000255038,1.2793819245837983,1.8646576467014495,1.2602958667845954,0.8720764665233764,0.45390625794728595,0.22971234581505479,0.22953624186061677,0.694156346150807,1.055284291221982,1.1782367882274447,1.5059856959751674,1.8646576467014495
gpt2_soft_snr10,24,0.3021251281539849,1.0583382522535023,2.3338185730434597,1.2876487011001223,1.8491037845611573,1.2602958667845954,0.8724032159371446,0.4315476267110734,0.2297123455339008,0.22953624186061677,0.6957174891517276,1.058272396666663,1.2011734672955103,1.5251493096351623,1.8491037845611573
gpt2_soft_snr10,25,0.3007126433669396,1.048848170279457,2.2250915101596287,1.2452218691507975,1.7823779242379325,1.2452218691507975,0.8725195009753389,0.45713542373407456,0.22971234603373009,0.22953624186061677,0.6940610868590219,1.0412802633785065,1.150301836785816,1.4500160336494445,1.7823779242379325
gpt2_soft_snr10,26,0.30028237486785314,1.0443367921831224,2.2941201113519214,1.2864788435754322,1.8315660822959172,1.2452218691507975,0.8724859275657926,0.45448661347230274,0.22971234569009744,0.22953624186061677,0.7069646985757918,1.0588256472632998,1.192714724654243,1.5135988593101501,1.8315660822959172
gpt2_soft_snr10,27,0.3001034598118104,1.0500489359631728,2.1433871371405466,1.2910967520305088,1.7964980017571222,1.2452218691507975,0.872561266087386,0.4597433125688916,0.22971234675223473,0.22953624186061677,0.6948486532483782,1.058578466233753,1.222396126815251,1.5316693436531794,1.7964980017571222
gpt2_soft_snr10,28,0.2998030933256669,1.0378718103752695,1.939703979946318,1.3071913554554895,1.8759033061209178,1.2452218691507975,0.8725162265935534,0.4650930139280501,0.22971234606496943,0.22953624186061677,0.6976920388993763,1.084684198527109,1.2195908126376924,1.5397944319815862,1.8759033061209178
gpt2_soft_snr10,29,0.29882671045182385,1.029038144232592,2.3323326054073514,1.269552172933306,1.7668690777960279,1.2452218691507975,0.8727758248147225,0.4455952471210843,0.2297123468147134,0.22953624186061677,0.713721380631129,1.0536057730515798,1.1979506878625779,1.4857635378837586,1.7668690777960279
gpt2_soft_snr10,30,0.2979588056885221,1.0283569782285071,2.2074576763879685,1.3067547173727125,1.8027863002958753,1.2452218691507975,0.8728167695819207,0.4448846811339969,0.22971234634612342,0.22953624186061677,0.7102268593651908,1.0727390133199237,1.250574747153691,1.537008109546843,1.8027863002958753
gpt2_soft_snr10,31,0.2972654578758236,1.0186550570983808,2.123898540224348,1.2518078321502322,1.7365963385218666,1.2452218691507975,0.8729699086593132,0.46345982892172677,0.22971234550266145,0.22953624186061677,0.7181878160862696,1.046586659408751,1.1751349647839864,1.4581213281268166,1.7365963385218666
gpt2_soft_snr10,32,0.29655923508498155,1.0136673617912788,2.089367781366621,1.257080977303641,1.7580017237436203,1.2452218691507975,0.8731607168725452,0.46822917745226905,0.2297123465335594,0.22953624186061677,0.7026468146414984,1.03731915922392,1.1868174723216465,1.4740109897795177,1.7580017237436203
gpt2_soft_snr10,33,0.29645695741946343,1.0162572933193024,1.7932143790381296,1.250276574066707,1.7138900524093992,1.2452218691507975,0.8732270498445699,0.5053608718372526,0.22971234603373009,0.22953624186061677,0.7169215818246205,1.0519159819398607,1.1773644969576882,1.4472682805288406,1.7138900524093992
gpt2_soft_snr10,34,0.29578490848936123,1.007669286657929,2.2083133436384657,1.245040496190389,1.7271104727472577,1.245040496190389,0.8731566218959961,0.43997768617811656,0.22971234559637946,0.22953624186061677,0.7171128883248283,1.0383684595425924,1.1711570580800374,1.442468770345052,1.7271104727472577
gpt2_soft_snr10,35,0.29637923171310304,1.0379151495747596,2.1070285167012894,1.2368730545043944,1.765220027878171,1.2368730545043944,0.8731942932810673,0.44332962319964453,0.22971234606496943,0.22953624186061677,0.7042891397362664,1.029247595298858,1.1546067203794206,1.433887473174504,1.765220027878171
gpt2_soft_snr10,36,0.2948137858816163,1.0167978514665328,2.0048715233802796,1.23686660357884,1.6674682844252813,1.23686660357884,0.8734096674799169,0.4664843840258462,0.2297123458462941,0.22953624186061677,0.7187072910013653,1.0498764591557639,1.176673900513422,1.4254798843747094,1.6674682844252813
