model,epoch,train_loss,train_ade,val_loss,val_ade,val_fde,best_val_ade,straight_ade,turn_ade,step1_ade,step5_ade,step10_ade,step15_ade,step20_ade
transformer_snr5,1,0.036042943255159714,7.381262061480956,0.004846373011934615,2.2915116109996148,2.688493798491046,2.2915116109996148,1.9130204916000366,5.864100933074951,2.6072978383018857,2.3616065695172264,2.025736878031776,2.320404176484971,2.6884937808627174
transformer_snr5,2,0.010274822148152743,4.306388372645189,0.0042165624299308375,2.0645405571065134,2.5093363456673354,2.0645405571065134,1.7444955110549927,5.417801856994629,1.9937845406078156,1.9142945107959566,1.9126044227963401,2.1045148611068725,2.5093363341831028
transformer_snr5,3,0.007847564279314607,3.728941067709613,0.0045560926226677284,2.1327100042907876,2.5128313372385622,2.0645405571065134,1.7826818227767944,5.562118053436279,2.0940262329010735,2.062991606621515,1.9823898735500518,2.2551442640168324,2.5128313439232963
transformer_snr5,4,0.006726738409113834,3.4330310301710725,0.0037590861229026425,1.7592824881042664,2.2116509256285055,1.7592824881042664,1.3688666820526123,5.3083391189575195,1.5646266789663406,1.5552648027737936,1.649109757514227,1.8512370206060864,2.2116509517033895
transformer_snr5,5,0.006011024737375275,3.2208513223899984,0.0042321017660599735,2.138497283062454,2.539471540902152,1.7592824881042664,1.8158525228500366,5.422122955322266,1.923261246794746,2.0467947324117026,2.0162279259590874,2.260843920140039,2.5394715388615925
transformer_snr5,6,0.005465112217512583,3.0530316009961336,0.004442932104159678,2.1388270046201625,2.5568357720917056,1.7592824881042664,1.824248194694519,5.4618330001831055,1.9243057716460454,1.913047614551726,2.023970627784729,2.2200264067876905,2.556835766065688
transformer_snr5,7,0.005099515964626579,2.9411108303869797,0.004144990359920831,1.882592271288879,2.302976307451692,1.7592824881042664,1.569628119468689,5.1702165603637695,1.6649879909697034,1.7655857483545938,1.7871661049979073,2.0172898939677646,2.302976323309399
transformer_snr5,8,0.004885132453332126,2.863571625835491,0.003944136832641171,1.904515384860514,2.3107164630486903,1.7592824881042664,1.5814874172210693,5.175329685211182,1.705619093917665,1.7400708385876247,1.8070134287788755,2.0483493021556307,2.3107164496467227
transformer_snr5,9,0.004664405848463876,2.779860305586201,0.004076752870432323,2.023232032803242,2.410757616825521,1.7592824881042664,1.7168887853622437,5.283875942230225,1.8231109647523789,1.9029287519909086,1.907764388266064,2.1602485645385014,2.410757623400007
transformer_snr5,10,0.0045613198701206364,2.747585759972626,0.004172013150638945,2.029369226231661,2.389393288680973,1.7592824881042664,1.7067400217056274,5.408803462982178,1.8475566529092335,1.9111086748895192,1.9486612717310587,2.147554286321004,2.3893932819366457
transformer_snr5,11,0.004340551928783019,2.686145420094456,0.004485992518519717,2.2467813855441774,2.6189915848384513,1.7592824881042664,1.861046314239502,5.686243534088135,1.987075253895351,2.123166939190456,2.1753288774263293,2.345301989146641,2.6189915725163053
transformer_snr5,12,0.004318026565620578,2.663761664736446,0.004230747195071585,2.0140381379285826,2.368011475443477,1.7592824881042664,1.6578377485275269,5.352119445800781,1.801103100890205,1.8775238752365113,1.9544493334633963,2.1363585960297358,2.368011450767517
transformer_snr5,13,0.004190136394922307,2.6210769262453795,0.0034383381193038077,1.5269145802749942,1.9657240362753372,1.5269145802749942,1.218053936958313,4.780196666717529,1.269250248159681,1.3368090186800277,1.4572457234064737,1.6738495452063424,1.9657240288598197
transformer_snr5,14,0.004110913671967056,2.5838147119406134,0.0035120619150499502,1.6220362727796394,2.0497626864885596,1.5269145802749942,1.3167743682861328,4.838654041290283,1.3466032499358767,1.4316639446076893,1.5671291862215315,1.7668705923216683,2.0497626883643014
transformer_snr5,15,0.00408867069625489,2.5811248420419433,0.0038642899227505994,1.9590407285046587,2.430097041716328,1.5269145802749942,1.593088150024414,5.353733062744141,1.642413494132814,1.7758225321769714,1.911439695812407,2.1153338500431604,2.430097055435181
transformer_snr5,16,0.00404495106516035,2.5593482028513335,0.003991151099935883,1.9275769154081077,2.2567391714659086,1.5269145802749942,1.5832176208496094,5.379231929779053,1.7736967035702296,1.8183638487543379,1.8568349384126208,2.0140165033794584,2.2567391577221096
transformer_snr5,17,0.00392600731676214,2.521115285545525,0.004024958133231849,1.895346844954128,2.319182272532695,1.5269145802749942,1.5177676677703857,5.398089408874512,1.6114586103530157,1.6989663765543983,1.8517872725214277,2.042922722725641,2.319182294890994
transformer_snr5,18,0.003909617784946563,2.510516514568209,0.0036579247192657064,1.7553380445175295,2.180026841678704,1.5269145802749942,1.352521538734436,5.4387688636779785,1.4688076291765486,1.5976016362508139,1.7084517609505427,1.8752607413700648,2.180026855922881
transformer_snr5,19,0.003913628256174909,2.5115287623815314,0.003957526432904637,1.8647802253542025,2.2569314688679047,1.5269145802749942,1.5432270765304565,5.219905376434326,1.60351110072363,1.7024524234590077,1.805650217760177,1.9853644705954052,2.256931473527636
transformer_snr5,20,0.0038809936412608163,2.502069687193545,0.003571573617990084,1.6496449974581733,2.0549687326724824,1.5269145802749942,1.3129161596298218,5.1060261726379395,1.4164238714036488,1.486881152788798,1.5844342873209998,1.7679123095103673,2.0549687351499286
transformer_snr5,21,0.003849337981580376,2.481852732364487,0.003806306872173168,1.7745607233473233,2.124830672052,1.5269145802749942,1.3715953826904297,5.368663787841797,1.5896836161613463,1.6382270506450107,1.7137534022331238,1.8676421704746429,2.1248306586628867
transformer_snr5,22,0.0038273942498665936,2.4726063585381337,0.003925088818539821,1.7761612915195568,2.208095731045649,1.5269145802749942,1.355738639831543,5.44827127456665,1.5007612903912861,1.5741439461708069,1.7228820942697072,1.9256173985345022,2.2080957174301146
transformer_snr5,23,0.003759600708272847,2.455676389190386,0.003976571109489582,1.9335468523769772,2.270602806111232,1.5269145802749942,1.542686104774475,5.543618679046631,1.7600170635041736,1.8162845305034092,1.8925677821749733,2.0039726155144826,2.270602798461914
transformer_snr5,24,0.003798121540559225,2.454924918320694,0.0036886374413457124,1.6935033389902119,2.0970465128023146,1.5269145802749942,1.3259506225585938,5.155714511871338,1.4398146947224935,1.531264486766997,1.639068110783895,1.8109479404631115,2.097046522867112
transformer_snr5,25,0.003767278743663752,2.4483050465333887,0.004036723787985032,2.0135288425610356,2.4215003144173397,1.5269145802749942,1.6468894481658936,5.439206123352051,1.6808421339307513,1.8439746640977406,1.9237512543087913,2.207252277646746,2.421500314985003
transformer_snr5,26,0.0037044245296741682,2.420554477713643,0.0038439814965905887,1.95157385624923,2.3177193795612854,1.5269145802749942,1.5865505933761597,5.339151859283447,1.6735739401408605,1.7848765021278745,1.8906880957739693,2.0806960446493967,2.317719386872791
transformer_snr5,27,0.0036752674503123047,2.409073812906597,0.0034577033634940607,1.5835827217190637,2.007284230461214,1.5269145802749942,1.1782419681549072,5.30536413192749,1.3029282342819941,1.4146393656730651,1.5154791911443075,1.7110804767835708,2.007284235954285
transformer_snr5,28,0.0036722159274781524,2.4132259786753782,0.003428228337240095,1.5330280107013614,1.9175038158778903,1.5269145802749942,1.1819487810134888,4.8792643547058105,1.3026128218287514,1.3750772873560588,1.477352806500026,1.6454318211192176,1.9175038263911293
transformer_snr5,29,0.0036528815668607348,2.403031116261672,0.0034820268096934473,1.601415198436007,1.9716381980581597,1.5269145802749942,1.2320759296417236,5.0851593017578125,1.3570424948419844,1.4692213262830462,1.52777548403967,1.720055565947578,1.9716381964229401
transformer_snr5,30,0.003619788370272867,2.387216570742225,0.003961046806736184,1.7882138645248709,2.164950132738089,1.5269145802749942,1.4584726095199585,5.081357479095459,1.5242477206956773,1.6317840842973619,1.7362507065137227,1.9229126623698642,2.164950140317281
transformer_snr5,31,0.003615232820298515,2.386913522984247,0.0033266932977962173,1.4632935363996131,1.8898239623689386,1.4632935363996131,1.102461814880371,4.976657867431641,1.1874037345250448,1.2875482150486537,1.396676542645409,1.5967104207901728,1.8898239493370057
transformer_snr5,32,0.003572477117098821,2.3731551917593934,0.003911079398156809,1.8550002402509562,2.2368921798990673,1.4632935363996131,1.4605650901794434,5.283487796783447,1.616620185261681,1.7132950022107079,1.820772357781728,1.9731439545041038,2.2368921722684587
