snr_db,model_key,ade_m,fde_m,interaction_ade_m,interaction_fde_m,collision_rate,ground_truth_collision_rate,excess_collision_rate
5,constant_velocity,1.5537836224977604,2.566005456960188,1.5266046743735515,2.50073563983515,0.16475,0.000875,0.16429166666666667
10,constant_velocity,1.2511137213491421,2.2433119667667274,1.2220322763236464,2.175345801092257,0.09083333333333334,0.000875,0.090375
15,constant_velocity,1.2153815067379583,2.2059478658825453,1.1858620767739152,2.1373751959683664,0.07945833333333334,0.000875,0.07908333333333334
20,constant_velocity,1.049659612249776,2.034953555408886,1.0176444153531312,1.9627331262550314,0.03833333333333333,0.000875,0.03779166666666667
5,graph_motion_token_gpt2,0.8348197477733944,1.527391876590817,0.8094995640548052,1.475673819638072,0.02,0.000875,0.019333333333333334
10,graph_motion_token_gpt2,0.6682584079124173,1.2898700970667594,0.6432605955900315,1.238501743477897,0.00625,0.000875,0.005666666666666667
15,graph_motion_token_gpt2,0.6526421446206156,1.2695553646066617,0.6276888862811287,1.2183346927248808,0.005791666666666666,0.000875,0.005208333333333333
20,graph_motion_token_gpt2,0.5899768692235305,1.193547949743639,0.5653159633442671,1.1429360205066823,0.0031666666666666666,0.000875,0.002625
5,independent_gru,0.9776154943968784,1.857721451966476,0.9501394020336942,1.8007137046628314,0.0465,0.000875,0.04583333333333333
10,independent_gru,0.7969663670044618,1.6011148118394476,0.7691026361815558,1.542792629822873,0.015458333333333333,0.000875,0.014791666666666667
15,independent_gru,0.7785366999616696,1.5756717972087755,0.7506738101734834,1.5174241306716616,0.013666666666666667,0.000875,0.013
20,independent_gru,0.7015327993643192,1.4721811077954883,0.6733737355318214,1.4131390262899983,0.008333333333333333,0.000875,0.0077083333333333335
5,lstm,0.9320812746024841,1.7504753996019458,0.9096310491992866,1.704171657451749,0.05425,0.000875,0.053625
10,lstm,0.7210212413110701,1.426559907519962,0.6983508343191318,1.3798306304454528,0.015833333333333335,0.000875,0.015208333333333334
15,lstm,0.7010996698045152,1.398315557545049,0.6784645317328534,1.3518425825294824,0.014083333333333333,0.000875,0.013458333333333333
20,lstm,0.6243886975810967,1.2971975240318356,0.6017470993856053,1.2506238021117755,0.008791666666666666,0.000875,0.008208333333333333
5,target_interaction_gnn,0.8698532343383923,1.590162360917904,0.844264621845126,1.5378212903355393,0.021208333333333333,0.000875,0.020583333333333332
10,target_interaction_gnn,0.7081347918694443,1.369281747769626,0.6826932464228521,1.3172375350448529,0.006583333333333333,0.000875,0.006
15,target_interaction_gnn,0.6916691560755753,1.3477401531518096,0.6662637898744174,1.2958510338349054,0.006166666666666667,0.000875,0.005625
20,target_interaction_gnn,0.6228727552252016,1.261197249339986,0.5974498606186169,1.2092411185618752,0.0031666666666666666,0.000875,0.0026666666666666666
5,tcn,0.9682834262700696,1.7820731233472729,0.9463424594211689,1.737000981018137,0.05429166666666667,0.000875,0.05366666666666667
10,tcn,0.7452590111308744,1.4609074820757175,0.7228686106405164,1.4134414310598897,0.016416666666666666,0.000875,0.01575
15,tcn,0.7245236350735598,1.4332671025622115,0.7021391719731538,1.3859241020905855,0.014375,0.000875,0.013708333333333333
20,tcn,0.6428971854381288,1.331031925491619,0.6202580246573838,1.283174509252198,0.008333333333333333,0.000875,0.007666666666666666
5,transformer,1.0337807208043344,1.8678372014055178,1.0074381005915956,1.8127486740589693,0.050458333333333334,0.000875,0.049916666666666665
10,transformer,0.7878732969374483,1.5305972485190058,0.7621476048489976,1.4755407796129714,0.014458333333333333,0.000875,0.013916666666666667
15,transformer,0.764500206187121,1.5003059210561733,0.7387862014240444,1.4453570890227863,0.012958333333333334,0.000875,0.012416666666666666
20,transformer,0.6743414077842906,1.3865656691848771,0.6482840885126595,1.3305671302522586,0.008333333333333333,0.000875,0.00775
