snr_db,ade_reduction_vs_gnn_pct,fde_reduction_vs_gnn_pct
5,4.027516962863776,3.9474261163403157
10,5.631185533442736,5.799511373916829
15,5.642439179504976,5.801176759652506
20,5.281317207360824,5.363895269494869
