snr_db,model_key,ade_m,fde_m
5,lstm,2.211890935897827,4.686000823974609
5,transformer,2.109694719314575,4.369819164276123
5,target_interaction_gnn,1.2088907957077026,2.431530714035034
5,proposed,1.027464747428894,1.8066558837890625
20,lstm,1.8161541223526,4.312764644622803
20,transformer,1.9872311353683472,4.598522186279297
20,target_interaction_gnn,1.0463327169418335,2.2233402729034424
20,proposed,0.880436360836029,1.845828890800476
