scene_index,ground_truth_min_distance_m,closest_future_step,closing_gain_m,heading_angle_deg,interaction_path_length_1_m,interaction_path_length_2_m,interaction_path_length_ratio,independent_ade_m,independent_fde_m,proposed_ade_m,proposed_fde_m,independent_pair_distance_error_m,proposed_pair_distance_error_m,pair_distance_better_fraction,group_path_length_min_m,group_path_length_max_m,group_path_length_ratio,group_lateral_displacement_max_m,group_curve_deviation_max_m,group_curve_deviation_mean_m,group_spatial_extent_x_m,group_spatial_extent_y_m,group_spatial_aspect_ratio,per_target_ade_better_count,proposed_target_ade_max_m,proposed_target_fde_max_m,target_ade_gain_min_pct,target_fde_gain_min_pct,ade_gain_pct,fde_gain_pct,pair_distance_error_gain_pct
0,3.000310182571411,6,3.8839609622955322,90.0,21.091493606567383,0.0,21091493.606567383,1.1095207929611206,1.9440252780914307,0.19975823163986206,0.22702491283416748,0.45113858580589294,0.33540472388267517,0.699999988079071,0.0,21.116817474365234,21116818.0,2.5963802337646484,0.48952528834342957,0.2458735965192318,30.35573959350586,8.897558212280273,3.4116933345794678,4,0.3780299127101898,0.4408653676509857,54.11355209350586,73.01222229003906,81.9959902592955,88.32191559478836,25.653727161571915
1,6.055278301239014,6,4.468115329742432,153.06236267089844,29.871625900268555,0.07387308776378632,404.36411695399676,0.8653871417045593,1.8962160348892212,0.32384636998176575,0.5848283767700195,0.7136186957359314,0.22693181037902832,0.800000011920929,0.0,29.877948760986328,29877948.0,29.871612548828125,0.21525852382183075,0.10750482686853502,10.037063598632812,31.313919067382812,3.119828701019287,4,0.7160804867744446,1.2267013788223267,53.74399948120117,64.10995483398438,62.57786204866839,69.15813567602355,68.19985074171844
3,2.8506908416748047,10,13.323465347290039,0.7438843846321106,0.14357022941112518,31.842824935913086,221.7926729414671,1.7090412378311157,3.767979860305786,1.1123268604278564,2.888110637664795,1.4728301763534546,1.5171825885772705,0.550000011920929,0.18544675409793854,31.859453201293945,171.7983856201172,4.493039608001709,0.3971606492996216,0.18122205429244787,36.00464630126953,13.723310470581055,2.623612403869629,3,1.6570338010787964,4.339265823364258,-66.84414672851562,-92.04850006103516,34.91515384149118,23.35121882975209,-3.0113731328907862
5,4.433148384094238,19,4.712656021118164,2.0250673294067383,21.95241928100586,27.351118087768555,1.2459272819845362,2.009446859359741,3.9249541759490967,1.0331509113311768,2.0683836936950684,2.989314079284668,2.6563076972961426,0.75,21.97222900390625,33.532920837402344,1.526150107383728,3.6068246364593506,0.9944391250610352,0.8010835722088814,54.712188720703125,7.156591892242432,7.64500617980957,4,1.5374330282211304,3.1513750553131104,0.08507190644741058,-0.6279407739639282,48.58530811507183,47.301711027112546,11.139892736470589
7,5.757203578948975,12,10.12391471862793,143.11952209472656,20.948291778564453,5.5494585037231445,3.774835286093264,1.084715485572815,2.422450065612793,0.9707576632499695,2.211236000061035,0.3446815013885498,1.6098915338516235,0.0,5.956567287445068,24.395824432373047,4.09561824798584,4.850780487060547,1.0959347486495972,0.825404055416584,58.36473083496094,16.028064727783203,3.6414084434509277,2,1.1490265130996704,3.772495985031128,-18.538515090942383,-233.87335205078125,10.505779979960993,8.71902659831827,-367.0664156231691
15,2.887059211730957,10,12.50869369506836,178.26426696777344,26.089529037475586,3.119934558868408,8.362203932552415,1.3882559537887573,2.4795281887054443,0.45791396498680115,0.9739240407943726,1.2887933254241943,0.780034601688385,0.9000000357627869,0.0,26.093229293823242,26093230.0,26.08905029296875,0.08947916328907013,0.027365061920136213,6.156045436859131,26.08905029296875,4.2379560470581055,4,1.2613357305526733,2.7801358699798584,50.7186279296875,46.5508918762207,67.01516289290274,60.72139670640905,39.47558648073819
16,6.103968620300293,17,4.446267127990723,1.492396593093872,17.855669021606445,12.630172729492188,1.4137311819902842,2.121222734451294,3.5217652320861816,1.6747273206710815,2.7682106494903564,4.039365291595459,2.745839834213257,0.800000011920929,12.702736854553223,17.962005615234375,1.4140263795852661,1.634555697441101,0.8104169964790344,0.48322049528360367,40.7010498046875,6.296750545501709,6.463818073272705,4,3.522657871246338,5.9833664894104,4.923957347869873,-24.524282455444336,21.048964190726974,21.397070302424545,32.02298787073274
20,6.076498508453369,9,2.1320767402648926,90.0,0.0,11.107526779174805,11107526.779174805,0.5216417908668518,0.9939846992492676,0.15835167467594147,0.31920117139816284,0.44075021147727966,0.22922907769680023,0.800000011920929,0.0,11.109230041503906,11109230.0,11.107513427734375,0.09377273917198181,0.023443184792995453,9.613086700439453,11.848785400390625,1.2325682640075684,4,0.37256214022636414,1.090035080909729,54.53791046142578,50.742671966552734,69.6435988357458,67.88671177340579,47.991158772565484
30,5.969526290893555,4,2.044727325439453,90.0,0.0,27.23720932006836,27237209.32006836,1.0670900344848633,2.3970749378204346,0.9915056228637695,2.3223958015441895,0.4319867193698883,1.3953828811645508,0.20000000298023224,0.0,27.285938262939453,27285938.0,27.216201782226562,0.9936116337776184,0.48431894928216934,14.655394554138184,47.03947448730469,3.2097036838531494,2,1.8359806537628174,4.4575066566467285,-77.30706024169922,-63.57551193237305,7.083227204683066,3.115427686384636,-223.0152267643569
33,5.68820333480835,18,3.6248373985290527,4.65610408782959,3.657668352127075,0.04181903228163719,87.46420355913314,0.6796180009841919,1.3866119384765625,0.529483437538147,1.1620756387710571,1.5077874660491943,0.5281820893287659,1.0,0.04192567989230156,15.30965518951416,365.1617736816406,0.8954417705535889,0.45190340280532837,0.17024939956900198,20.688077926635742,7.766686916351318,2.663694143295288,3,1.2633565664291382,2.855454206466675,-112.34484100341797,-185.83853149414062,22.09102219609058,16.193160716054273,64.96972542736783
46,6.025335311889648,19,16.990325927734375,90.0,22.759620666503906,0.0,22759620.666503906,1.6388963460922241,3.7934916019439697,0.6702364087104797,1.5725762844085693,0.20861254632472992,0.1349341869354248,0.699999988079071,0.27737146615982056,29.0069580078125,104.57801818847656,2.2929441928863525,0.5643435716629028,0.22443386167287827,42.145835876464844,13.275308609008789,3.1747536659240723,4,1.301505446434021,3.0492374897003174,25.58479881286621,21.607402801513672,59.1044052109465,58.545412790614726,35.31827816080443
47,6.025334358215332,19,16.990325927734375,90.0,0.0,22.759620666503906,22759620.666503906,1.845436930656433,3.994032144546509,0.8035619854927063,1.668225884437561,0.5167226195335388,0.13014380633831024,0.8500000238418579,0.27737292647361755,29.0069580078125,104.57746887207031,28.997146606445312,0.5643436908721924,0.22443369030952454,12.339219093322754,42.401641845703125,3.436331033706665,4,1.899679183959961,4.377571105957031,52.43571472167969,50.4949951171875,56.45681669506449,58.23203659701704,74.81360377531082
48,4.564036846160889,4,4.953063488006592,172.4153289794922,26.177371978759766,11.853981971740723,2.2083188620638414,1.0167016983032227,2.0917110443115234,0.37304434180259705,0.7393144369125366,0.9913870096206665,0.13236740231513977,0.9000000357627869,0.8479118347167969,28.676376342773438,33.81999588012695,1.6392230987548828,0.28037700057029724,0.20943370461463928,49.32691192626953,12.006217002868652,4.108447551727295,4,0.46734619140625,0.9539088606834412,32.54643249511719,-54.913490295410156,63.30837821701565,64.65503976167615,86.64826137213686
49,4.564035415649414,4,4.95306396484375,172.41539001464844,11.853981971740723,26.177370071411133,2.20831870116022,1.4442895650863647,3.1941328048706055,0.822156548500061,1.7013354301452637,2.268695831298828,0.6061899662017822,0.9000000357627869,11.87170124053955,28.676372528076172,2.4155235290527344,1.4570283889770508,0.4017557203769684,0.2835390157997608,52.44651794433594,12.218802452087402,4.2922797203063965,4,1.5522626638412476,3.5176923274993896,13.734349250793457,-8.786226272583008,43.075366022540074,46.7356076256139,73.28024507125141
55,3.2913670539855957,11,4.274228572845459,4.166686534881592,14.5858793258667,0.6134630441665649,23.776296656439506,1.4030712842941284,2.8992972373962402,0.9042152762413025,1.6824204921722412,1.5859500169754028,0.9020925760269165,0.949999988079071,0.6138949990272522,16.14298439025879,26.296003341674805,4.107215881347656,1.2148739099502563,0.8177819484844804,19.79924201965332,10.829534530639648,1.8282634019851685,4,1.192887306213379,3.1998956203460693,29.340538024902344,25.668420791625977,35.55457328768549,41.97143809638623,43.11973477276948
70,6.025334358215332,16,14.022027015686035,90.0,23.65792465209961,0.0,23657924.65209961,1.4374831914901733,3.5038034915924072,1.154833197593689,2.674894332885742,0.8353751301765442,0.40594297647476196,0.45000001788139343,0.2773716449737549,30.178977966308594,108.80339813232422,3.759794235229492,0.48069047927856445,0.21823990158736706,43.85829544067383,14.522445678710938,3.0200350284576416,2,2.009108304977417,5.4213972091674805,-13.930164337158203,-11.653325080871582,19.66283818619639,23.65741003157522,51.40590594443817
71,3.2503507137298584,15,16.0676212310791,90.0,25.58710479736328,0.0,25587104.79736328,0.7940012812614441,1.1512744426727295,0.24974067509174347,0.2630715072154999,0.8953118324279785,0.3021756708621979,0.8500000238418579,0.0,25.58723258972168,25587232.0,25.587051391601562,0.03950026258826256,0.00987506564706564,6.548323631286621,25.587051391601562,3.9074201583862305,4,0.7647432684898376,0.8008773326873779,36.418418884277344,55.71406936645508,68.54656522783237,77.149539895564,66.24911456349977
72,7.821547985076904,14,2.00538969039917,0.4423476755619049,12.693953514099121,10.645223617553711,1.192455318004509,1.403525710105896,3.147881031036377,0.6383737325668335,1.340144157409668,0.5363919734954834,0.26374825835227966,0.8500000238418579,10.645602226257324,14.490324020385742,1.3611558675765991,0.7290821075439453,0.19102226197719574,0.11084919050335884,31.67408561706543,11.232405662536621,2.8198843002319336,3,1.1087898015975952,2.468528985977173,-94.84870147705078,-1962.3759765625,54.51642047093899,57.42710273366169,50.82919368954716
74,3.1654586791992188,5,4.346203804016113,25.997148513793945,27.03315544128418,0.07372140884399414,366.69341871220206,0.7563900947570801,1.6653515100479126,0.45942291617393494,0.9967927932739258,0.6196721196174622,0.727608323097229,0.30000001192092896,0.07383394241333008,31.316360473632812,424.1458435058594,2.9654407501220703,0.20195427536964417,0.08680806532356655,46.27568817138672,13.422216415405273,3.4476935863494873,3,0.8176643252372742,1.773345947265625,-76.69707489013672,-105.44422149658203,39.261114158100945,40.14520134279352,-17.418276547022696
76,3.9964349269866943,13,3.7564661502838135,9.15778923034668,0.09898228943347931,13.365342140197754,135.02761167370133,0.6464148759841919,1.5539956092834473,0.5684370398521423,1.4333510398864746,0.5419532060623169,0.605731189250946,0.15000000596046448,0.00030422210693359375,13.540939331054688,44510.04296875,13.30877685546875,0.8784460425376892,0.22679136390797794,4.0507917404174805,13.975067138671875,3.4499595165252686,3,1.3474029302597046,4.055717945098877,-50.91878128051758,-489.4681091308594,12.063125251151632,7.763507739420337,-11.768171582934707
79,3.524414300918579,12,3.325327157974243,0.6884182691574097,25.414384841918945,36.16007614135742,1.4228192563494333,1.524807333946228,2.6948041915893555,0.8280491232872009,1.577187180519104,1.3460265398025513,0.4951882064342499,0.6000000238418579,0.0,36.17134475708008,36171344.0,2.5499134063720703,0.24821525812149048,0.17548254132270813,52.1707649230957,14.548447608947754,3.5860021114349365,4,1.4402016401290894,2.508775234222412,10.735363960266113,5.637645721435547,45.694836006317246,41.47303223582629,63.211111238052624
80,6.2979607582092285,10,15.597536087036133,176.4734649658203,23.25740623474121,19.77113151550293,1.1763315729554793,0.845584511756897,1.395524263381958,0.4788435995578766,0.9274944067001343,0.7437309622764587,0.32380589842796326,0.8500000238418579,19.77118492126465,23.910907745361328,1.2093815803527832,3.966425895690918,0.14580115675926208,0.06134926062077284,51.220603942871094,13.771219253540039,3.7193949222564697,2,0.5512389540672302,1.344307780265808,-82.43575286865234,-124.1465835571289,43.371290166731114,33.537923271042615,56.461958039660246
