scene_index,target_interaction_gnn_ade_snr5,target_interaction_gnn_fde_snr5,proposed_ade_snr5,proposed_fde_snr5,ade_gain_snr5,fde_gain_snr5,target_error_cv_snr5,target_interaction_gnn_ade_snr20,target_interaction_gnn_fde_snr20,proposed_ade_snr20,proposed_fde_snr20,ade_gain_snr20,fde_gain_snr20,target_error_cv_snr20,median_distance_score,imbalance_score,selection_score,eligible
870,1.2088907957077026,2.431530714035034,1.027464747428894,1.8066558837890625,0.15007645762791924,0.25698825297132083,0.22166487574577332,1.0463327169418335,2.2233402729034424,0.880436360836029,1.845828890800476,0.1585502903805566,0.1697946943631697,0.2760525941848755,0.07009693927291183,0.2488587349653244,0.13231162301424293,True
1191,1.1317148208618164,2.0762224197387695,1.0942225456237793,1.945351004600525,0.03312873044243268,0.06303342738910934,0.43856924772262573,0.8927707076072693,1.771894931793213,0.8701240420341492,1.7050682306289673,0.025366721130239422,0.03771482155356407,0.4577549993991852,0.03117453114365056,0.44816212356090546,0.14321506203387693,True
514,1.1750268936157227,2.0108141899108887,1.1396135091781616,2.04091739654541,0.030138360772823745,-0.014970655561096642,0.21898818016052246,0.8166103363037109,1.7813756465911865,0.7668540477752686,1.6539499759674072,0.06093027030940886,0.07153217282812815,0.15640920400619507,0.10881572062660627,0.18769869208335876,0.15574039364744596,False
713,1.0572398900985718,1.799990177154541,1.0909254550933838,1.888386845588684,-0.031861799115119785,-0.04910952823858306,0.3892475366592407,0.7761239409446716,1.4460748434066772,0.7985395789146423,1.4051904678344727,-0.028881518514539253,0.028272655290710113,0.14493848383426666,0.11091984240264534,0.2670930102467537,0.17769309496433378,False
466,0.8508160710334778,1.4213391542434692,0.9678955078125,1.6120586395263672,-0.1376083982955411,-0.13418295324764445,0.13109873235225677,0.8770503401756287,1.5893421173095703,0.8673950433731079,1.6106854677200317,0.011008828524697095,-0.013429047263021843,0.3486536741256714,0.13083131423865052,0.23987620323896408,0.19080036504839154,False
1053,1.1638553142547607,2.240295886993408,1.1129835844039917,2.0062150955200195,0.04370966839924016,0.10448655145617264,0.13011790812015533,1.0149437189102173,1.9134609699249268,0.9226239323616028,1.5633206367492676,0.09096049842817065,0.18298796718565766,0.6343644261360168,0.10101663537987071,0.3822411671280861,0.19657692716189223,True
631,1.036920189857483,2.0380587577819824,1.1231982707977295,2.2038254737854004,-0.08320609607582709,-0.08133559220040434,0.23807021975517273,0.8901023864746094,1.8318136930465698,0.8818405270576477,1.8589987754821777,0.009281920307712088,-0.014840528018106036,0.46600890159606934,0.11594180567602475,0.35203956067562103,0.20395169584493,False
604,0.9595850110054016,2.04721999168396,0.9027460217475891,2.035729169845581,0.05923288568071698,0.0056128905955666365,0.3428002893924713,0.7572733759880066,1.7256462574005127,0.7450329661369324,1.7042784690856934,0.016163792679366663,0.012382484662301211,0.19585111737251282,0.13802721926078407,0.26932570338249207,0.20535864510640708,True
1100,0.8694656491279602,1.6240334510803223,0.9206357002258301,1.8596049547195435,-0.05885229755677113,-0.1450533568027905,0.46113118529319763,0.8765470385551453,1.7621785402297974,0.8656771779060364,1.7251393795013428,0.012400772772019402,0.021018960271542344,0.5823627710342407,0.07974309846465037,0.5217469781637192,0.21017984300558018,False
900,1.0084562301635742,1.6413815021514893,1.0337650775909424,1.656008243560791,-0.025096624593476904,-0.008911238118700208,0.30187374353408813,0.879799485206604,1.5943493843078613,0.924115002155304,1.7445337772369385,-0.05037001918487518,-0.09419791822748762,0.6477384567260742,0.09595920858781973,0.4748061001300812,0.21466073362034002,False
