origin,slot,episode_id,source_block,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
0,0,s1_t1118936940200_a1485,21,0.13643991947174072,1.4038676023483276,0.1382976919412613,1.4123276472091675
0,1,s1_t1118936940200_a1485,21,0.0068120332434773445,0.009081657975912094,0.0075841136276721954,0.0163152776658535
0,2,s1_t1118936940200_a1485,21,0.01332266628742218,0.016121432185173035,0.011021358892321587,0.008741969242691994
0,3,s1_t1118936940200_a1485,21,0.029041266068816185,0.04555225372314453,0.026998961344361305,0.04227491468191147
0,4,s1_t1118936940200_a1485,21,0.018224261701107025,0.033800721168518066,0.022633865475654602,0.03887786343693733
0,5,s1_t1118936940200_a1485,21,0.014930292963981628,0.024645941331982613,0.01954685151576996,0.028839237987995148
0,6,s1_t1118936940200_a1485,21,0.36794814467430115,1.6052474975585938,0.36336445808410645,1.5984896421432495
0,7,s1_t1118936940200_a1485,21,0.02851583994925022,0.2616376280784607,0.029624903574585915,0.2702881693840027
1,0,s1_t1118936940200_a1485,21,2.1379683017730713,5.477295875549316,2.144045114517212,5.492848873138428
1,1,s1_t1118936940200_a1485,21,0.14219249784946442,1.354620099067688,0.14553120732307434,1.3683836460113525
1,2,s1_t1118936940200_a1485,21,0.008453993126749992,0.009768390096724033,0.01420688908547163,0.01830359175801277
1,3,s1_t1118936940200_a1485,21,0.12624716758728027,0.9709106683731079,0.12930484116077423,0.98172926902771
1,4,s1_t1118936940200_a1485,21,0.025571053847670555,0.04020310193300247,0.031362880021333694,0.048180751502513885
1,5,s1_t1118936940200_a1485,21,0.25882720947265625,1.537876009941101,0.256744384765625,1.5173064470291138
1,6,s1_t1118936940200_a1485,21,1.6472256183624268,4.921217918395996,1.6554378271102905,4.932139873504639
1,7,s1_t1118936940200_a1485,21,1.3106679916381836,6.962000846862793,1.3191813230514526,6.983980178833008
2,0,s1_t1118936940200_a1485,21,1.6446821689605713,3.8038504123687744,1.2572386264801025,2.8657896518707275
2,1,s1_t1118936940200_a1485,21,0.8239459991455078,1.725425124168396,0.4380679130554199,0.6461539268493652
2,2,s1_t1118936940200_a1485,21,1.878731369972229,4.2573089599609375,1.7054507732391357,3.9078030586242676
2,3,s1_t1118936940200_a1485,21,1.584241271018982,3.2699272632598877,1.0269412994384766,2.072472333908081
2,4,s1_t1118936940200_a1485,21,1.233886480331421,2.9062602519989014,1.0856659412384033,2.0834689140319824
2,5,s1_t1118936940200_a1485,21,1.72429621219635,2.3005146980285645,1.4145866632461548,1.078133225440979
2,6,s1_t1118936940200_a1485,21,0.3626647889614105,0.6329372525215149,0.5362876653671265,0.981579601764679
2,7,s1_t1118936940200_a1485,21,4.763443946838379,9.209407806396484,4.9246015548706055,10.028946876525879
3,0,s1_t1118936940200_a1485,21,0.8066562414169312,1.9390125274658203,0.4719340205192566,1.3769772052764893
3,1,s1_t1118936940200_a1485,21,2.696572780609131,6.299400329589844,2.7588582038879395,6.496927738189697
3,2,s1_t1118936940200_a1485,21,1.1341874599456787,1.5848541259765625,0.778480052947998,0.40500885248184204
3,3,s1_t1118936940200_a1485,21,1.675480604171753,3.9044389724731445,0.9507641792297363,2.318373203277588
3,4,s1_t1118936940200_a1485,21,0.46094590425491333,2.9640285968780518,0.5462787747383118,3.1962897777557373
3,5,s1_t1118936940200_a1485,21,4.067483901977539,7.133350372314453,4.656681060791016,7.981064796447754
3,6,s1_t1118936940200_a1485,21,0.5806229114532471,1.4909212589263916,1.633191704750061,3.851896047592163
3,7,s1_t1118936940200_a1485,21,1.4743496179580688,2.1730730533599854,0.4160305857658386,0.4074810743331909
4,0,s1_t1118936940200_a1485,21,0.32200348377227783,1.2469407320022583,0.4046170115470886,1.3540962934494019
4,1,s1_t1118936940200_a1485,21,2.091845989227295,4.452791213989258,1.476768970489502,2.9614105224609375
4,2,s1_t1118936940200_a1485,21,0.5324609875679016,1.3921117782592773,0.5473755598068237,1.0214489698410034
4,3,s1_t1118936940200_a1485,21,1.2941147089004517,2.9425041675567627,0.5637032985687256,1.1380703449249268
4,4,s1_t1118936940200_a1485,21,0.6910284161567688,0.38643860816955566,1.2468023300170898,1.4743667840957642
4,5,s1_t1118936940200_a1485,21,3.3188717365264893,6.541820049285889,2.513835906982422,4.068904399871826
4,6,s1_t1118936940200_a1485,21,1.395119309425354,1.5213571786880493,1.8370835781097412,2.418623685836792
4,7,s1_t1118936940200_a1485,21,0.5975345373153687,1.514865756034851,1.5896638631820679,3.677260637283325
5,0,s1_t1118936940200_a1485,21,0.8843742609024048,1.5022891759872437,0.9988952875137329,1.5348421335220337
5,1,s1_t1118936940200_a1485,21,0.8613807559013367,2.581131935119629,0.4896338880062103,1.7365059852600098
5,2,s1_t1118936940200_a1485,21,2.657270908355713,5.151428699493408,2.464456558227539,4.24623441696167
5,3,s1_t1118936940200_a1485,21,0.4781825542449951,1.0416228771209717,0.4022749960422516,1.171175241470337
5,4,s1_t1118936940200_a1485,21,0.5326525568962097,0.7510799169540405,0.7717996835708618,1.8369792699813843
5,5,s1_t1118936940200_a1485,21,0.6624807715415955,1.3711774349212646,0.715081512928009,1.1427453756332397
