split,origin,slot,episode_id,source_block,source_component,source_key,active_tracks_last,neighbor_count,history_count,speed_change_proxy,heading_change_proxy_deg,forward_speed_mps,forward_vx_mps,forward_vy_mps,stratum_active_tracks,stratum_neighbors,stratum_history,stratum_speed_change,stratum_heading_change,Q_best_ADE5,Q_best_FDE5,Q_best_ADE10,Q_best_FDE10,Q_best_ADE20,Q_best_FDE20,Q_best_step_01,Q_best_step_02,Q_best_step_03,Q_best_step_04,Q_best_step_05,Q_best_step_06,Q_best_step_07,Q_best_step_08,Q_best_step_09,Q_best_step_10,Q_best_step_11,Q_best_step_12,Q_best_step_13,Q_best_step_14,Q_best_step_15,Q_best_step_16,Q_best_step_17,Q_best_step_18,Q_best_step_19,Q_best_step_20,G_best_ADE5,G_best_FDE5,G_best_ADE10,G_best_FDE10,G_best_ADE20,G_best_FDE20,G_best_step_01,G_best_step_02,G_best_step_03,G_best_step_04,G_best_step_05,G_best_step_06,G_best_step_07,G_best_step_08,G_best_step_09,G_best_step_10,G_best_step_11,G_best_step_12,G_best_step_13,G_best_step_14,G_best_step_15,G_best_step_16,G_best_step_17,G_best_step_18,G_best_step_19,G_best_step_20,A_best_ADE5,A_best_FDE5,A_best_ADE10,A_best_FDE10,A_best_ADE20,A_best_FDE20,A_best_step_01,A_best_step_02,A_best_step_03,A_best_step_04,A_best_step_05,A_best_step_06,A_best_step_07,A_best_step_08,A_best_step_09,A_best_step_10,A_best_step_11,A_best_step_12,A_best_step_13,A_best_step_14,A_best_step_15,A_best_step_16,A_best_step_17,A_best_step_18,A_best_step_19,A_best_step_20,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE
V_select,0,0,s1_t1118936940200_a1485,21,0,1485,8,7,20,0.0,,0.02500000037252903,0.0,-0.02500000037252903,6-8,>=3,20,T1,unavailable,0.010050122530516514,0.008149107915651595,0.008760340144660608,0.007906507779673454,0.1364399129945845,1.403867568530546,0.012134279515163972,0.011302489990539278,0.009405010588471142,0.00925972464275658,0.008149107915651595,0.007855740471178086,0.006982537088105147,0.005902575363362417,0.008705428091704423,0.007906507779673454,0.007982398051071893,0.005831637986508119,0.005302202130179758,0.008621841800888725,0.013119404178099217,0.039042703320975175,0.10176130895059046,0.2930416054559104,0.7626241880403142,1.403867568530546,0.007142208572999058,0.00571075342671122,0.006428760850200077,0.007550055455156698,0.13674319430367066,1.4025742813953581,0.008378441376537099,0.008791465927883409,0.006557624015813092,0.006272758118050467,0.00571075342671122,0.004705186510633374,0.004905620398256279,0.005254678837471459,0.006161024435487688,0.007550055455156698,0.009599241510747767,0.010368651913018858,0.01038604482110677,0.012337299475358544,0.021000512540846374,0.044497205998846594,0.10261529774218722,0.29435270991575546,0.7628450322581861,1.4025742813953581,0.0079367367659446,0.006106809280219977,0.007575802573260628,0.0063782317391931,0.13843852041461097,1.4146314036015555,0.009866943076505496,0.009811349206499353,0.006879535098791132,0.0070190471677070414,0.006106809280219977,0.010039896263693004,0.008558174966844728,0.005290733468418812,0.005807305464733639,0.0063782317391931,0.008817311833000758,0.008147147257409908,0.0065948497040182255,0.006696539442690198,0.017036411573097,0.046445918865328825,0.11015252625611809,0.30272719312404833,0.7717630809023459,1.4146314036015555,-0.0003032813090861619,0.0012932871351878372,0.0019986074200264714,0.010763835071009531
V_select,0,1,s1_t1118936940200_a1485,21,0,1494,8,7,20,0.0,,0.02500000037252903,0.0,-0.02500000037252903,6-8,>=3,20,T1,unavailable,0.004289842664804622,0.003710132990272201,0.004998308256917315,0.007737912945763717,0.006812047077454857,0.009081596409266724,0.005407152580757506,0.00340998144213124,0.004282094593542204,0.004639851717319957,0.003710132990272201,0.004205629985687402,0.004132053930576331,0.004493118975472863,0.007965153407649724,0.007737912945763717,0.008515393384053377,0.008243366618264983,0.008820111872850036,0.007781769905308761,0.009652385638188089,0.007618191312393999,0.008532550053635098,0.00869610132031701,0.009316392465645905,0.009081596409266724,0.0015692640240819282,0.0021128033137973426,0.001767191599431125,0.0023136375864776567,0.004566362148975196,0.007788438676169373,0.00253753095605825,0.0006613830216450781,0.001559733709931726,0.0009748691189772451,0.0021128033137973426,0.0022309496479812124,0.0010617115560759725,0.0026700012396053377,0.0015492958437614299,0.0023136375864776567,0.005618766066056673,0.004505747262276131,0.006214676895244142,0.005710040996616414,0.007096640776665996,0.009462159259194507,0.00803879745765287,0.009907312580899752,0.0093127470144168,0.007788438676169373,0.0012329935790161034,0.002499552757640682,0.0034285661006325735,0.006164978257321291,0.008757372196581431,0.01951605606408514,0.0006462083398781472,0.0013714341517773588,0.0006710833777267716,0.0009766892680575577,0.002499552757640682,0.00642581920507605,0.0059623282710744106,0.002847057630556332,0.006720509747217138,0.006164978257321291,0.010589110269854473,0.011330263244783537,0.008381008887334748,0.011400285932938748,0.0129321344597599,0.0141540482958686,0.016839284545533708,0.018579901422980754,0.017139689802163294,0.01951605606408514,0.0022456849284796607,0.0012931577330973507,0.0019453251191265744,0.010434459654818417
V_select,0,2,s1_t1118936940200_a1485,21,0,1498,8,7,20,5.01490657578707e-05,,0.1902754008769989,-0.013065098784863949,-0.18982632458209991,6-8,>=3,20,T1,unavailable,0.015026800249838355,0.011495351226542438,0.012627225219436131,0.010021791192082845,0.0133227436059584,0.016121898590601844,0.01781957833989116,0.01541777353511279,0.015628362476669933,0.01477293567097545,0.011495351226542438,0.010599868987321428,0.010383614843448036,0.010984955731521678,0.009148020190795565,0.010021791192082845,0.010590049201282523,0.012766156836420479,0.012889999863605449,0.013333558966528273,0.014912720831857499,0.014479843702227336,0.01411336972161915,0.0143464367260471,0.01662858548461698,0.016121898590601844,0.012993737465389836,0.01184457737047007,0.013270602087794504,0.012581861016424896,0.013844942106772614,0.020297486170327096,0.014742579758111123,0.013550575250468058,0.012467800503448792,0.01236315444445114,0.01184457737047007,0.013419427608928742,0.013610214461512301,0.015052028307127447,0.013073802157002443,0.012581861016424896,0.010703032595380756,0.01113193299844698,0.011536078888668758,0.011745699161905876,0.011454527509686918,0.013840351431323462,0.015625827612988787,0.017572004013637444,0.02028588087514116,0.020297486170327096,0.013118111879112724,0.011756154395623712,0.012532648598211179,0.012724729261586753,0.014429713025537125,0.02017128629027402,0.01337983738925706,0.014133316245617205,0.01347432153328485,0.012846929831780799,0.011756154395623712,0.010678239322981033,0.010137480359485864,0.012826685091256566,0.013368792551237926,0.012724729261586753,0.014124697679281555,0.014593903736519856,0.014753091034983085,0.01393784471962107,0.014800470862121443,0.015233440852230546,0.018001456078316682,0.01905644086977025,0.01859514240551219,0.02017128629027402,-0.0005221985008142145,-0.004175587579725252,0.0011069694195787252,0.004049387699672176
V_select,0,3,s1_t1118936940200_a1485,21,0,1492,8,7,20,0.01500000022351742,,0.0,0.0,0.0,6-8,>=3,20,T2,unavailable,0.017944915288902952,0.019911935133336195,0.020710799685296703,0.027464810895068185,0.029041753627206103,0.045552084959560174,0.015572522302546115,0.01640995428770499,0.017789456256080017,0.020040708464847446,0.019911935133336195,0.020309390308466246,0.021116280883918814,0.023161555434760183,0.025331382886238832,0.027464810895068185,0.02960276581818401,0.030785046788058247,0.03379664706407851,0.03406189918057082,0.03719350922582429,0.03814231881300081,0.039309990658345326,0.041878315194071744,0.04340449798946112,0.045552084959560174,0.013588293165615625,0.015785324326217643,0.016587400899726212,0.02337782016791075,0.024616794789255325,0.0399247763213051,0.010564883280912492,0.013612996674359999,0.012695881883832378,0.015282379662755615,0.015785324326217643,0.016036408245833585,0.019109339964328707,0.018704422364412436,0.020704552426698518,0.02337782016791075,0.026757560678045047,0.02598116557098234,0.02972109772805463,0.029572009028311898,0.029797780550318974,0.034253164151613245,0.03509325101273752,0.03658012376569889,0.0387809579807767,0.0399247763213051,0.014253264988866058,0.016081780449230636,0.018937194560291297,0.02712764404207804,0.029031925663473065,0.048003026073137604,0.01110922806593851,0.01433395847830851,0.013304941898281613,0.01643641605257102,0.016081780449230636,0.022120332085391586,0.02173031669936681,0.020120190498741645,0.02700713733300459,0.02712764404207804,0.03213133381011967,0.03319320862858675,0.03329215665923174,0.03481060744133506,0.03684699263507735,0.03952551823194296,0.043277122103012974,0.04484340720514753,0.045343194878956695,0.048003026073137604,0.004424958837950778,0.005627308638255071,-9.827963733038264e-06,0.0024509411135774303
V_select,0,4,s1_t1118936940200_a1485,21,0,1495,8,7,20,0.0011803399050873756,,0.055901702493429184,0.02500000037252903,-0.05000000074505806,6-8,>=3,20,T1,unavailable,0.008206428912030906,0.007779482423561555,0.010783639117299185,0.016337878841638093,0.018221938052744618,0.03379997219948172,0.010042484398849846,0.007149570095580344,0.008244915748622336,0.00781569189354045,0.007779482423561555,0.00950572732713595,0.012541978915338498,0.014024343280398617,0.014394318248326161,0.016337878841638093,0.017430399943804735,0.018828569515575953,0.021622905239527042,0.02362913905708736,0.02422751437956362,0.02666598780577365,0.028421240090894674,0.030283462853120877,0.0316931787970709,0.03379997219948172,0.007389250400292063,0.010966351358147705,0.012533217160800907,0.020712469486959293,0.02089629991926883,0.037595144715972174,0.006102782179078974,0.005068259668835957,0.00679517586705193,0.008013682928345752,0.010966351358147705,0.0143333930415138,0.014099756453715353,0.019239748216929295,0.020000552407431003,0.020712469486959293,0.021290875648686248,0.02346670747974063,0.02476058964007142,0.027209168089721052,0.030337480878044068,0.02891566346034435,0.03151005011934503,0.03269361931795291,0.03481452742748979,0.037595144715972174,0.007801606920770349,0.011002640452701287,0.010538163911014026,0.01668157197260733,0.016660514174405425,0.02920215757957636,0.005353322332993521,0.006151588265003947,0.007848469218512767,0.008652014334640221,0.011002640452701287,0.007644975178309189,0.010863408191421516,0.01753774798259622,0.013645901181354255,0.01668157197260733,0.014256674184547756,0.016786048826351367,0.02100134966662636,0.02141255166330311,0.023665712194478983,0.024175051679229537,0.023628491749025773,0.02521824979064392,0.028482357044185055,0.02920215757957636,-0.0026743618665242136,-0.003795172516490454,-0.0015614238783391923,-0.004597814619905362
V_select,0,5,s1_t1118936940200_a1485,21,0,1501,8,7,20,0.0,,0.02500000037252903,0.0,-0.02500000037252903,6-8,>=3,20,T1,unavailable,0.009610482407149934,0.008900081360191107,0.010835155132204278,0.01352563049521761,0.01492950622107489,0.024648935159210045,0.011243556022471372,0.008864836641258535,0.009581457366415094,0.009462480645413562,0.008900081360191107,0.009567490403301918,0.012470503100838134,0.012747419833381169,0.011988095453554257,0.01352563049521761,0.013398545964257116,0.01479386699888031,0.016965345898805738,0.018014437030760194,0.017434543034520026,0.019907187401175464,0.020867640780938015,0.022012649222087177,0.022195421608820962,0.024648935159210045,0.009523809395574283,0.011843950577778333,0.013195867278288052,0.017852990793640992,0.017697967661930936,0.0259148945605081,0.008976408425093339,0.008028093526045324,0.008972980749262064,0.009797613699692351,0.011843950577778333,0.014589223791433927,0.014778780791178964,0.018908737616664634,0.018209892812090574,0.017852990793640992,0.017904122529026224,0.02013127106154909,0.019958992279816155,0.022563967642375705,0.023565682688819964,0.02146698769929232,0.023279314042848012,0.02300729867867054,0.02420814927283208,0.0259148945605081,0.009306993803267855,0.011305810756847553,0.010396212576668023,0.013486947683119001,0.01271357259139097,0.018113557345845896,0.007848580087336575,0.008149035063662146,0.009667716452978913,0.009563826655514088,0.011305810756847553,0.0074184183302304085,0.009907764331391575,0.01563234068963746,0.010981685715962496,0.013486947683119001,0.010013490034376743,0.01160851382329632,0.01551443508066568,0.014635843058092428,0.015762766075120876,0.016367396841939264,0.014771116647699159,0.015413384053101399,0.018108823101001453,0.018113557345845896,-0.002768461440856046,-0.0012659594012980543,-0.0022159336296839194,-0.006535377813364149
V_select,0,6,s1_t1118936940200_a1485,21,0,1503,8,7,20,0.2320358346859357,,0.0,0.0,0.0,6-8,>=3,20,T2,unavailable,0.0034833081455012795,0.0038767189409241757,0.05201652704879046,0.16741410181850724,0.36794728672681487,1.6052474847802483,0.0025635065420418603,0.005711860572155758,0.003423502313850227,0.001840952358534373,0.0038767189409241757,0.014679102128540997,0.05536781540044351,0.1108680989904888,0.1544196114224176,0.16741410181850724,0.18503279556725266,0.21716111229501342,0.2557876232701739,0.32742644966418305,0.44908808923550453,0.6114086087407548,0.8145125670310428,1.0501982893902926,1.3229174440739264,1.6052474847802483,0.00770138328506156,0.008152212647829197,0.053167249183918325,0.1642775382821964,0.3677522426702319,1.6016086910484333,0.0062247844371777165,0.008108569144787572,0.0085394684213177,0.007481881774195612,0.008152212647829197,0.01448132994637617,0.05502218388074778,0.10940703309036291,0.14997749021419216,0.1642775382821964,0.18331852473353052,0.21552518042392232,0.2529627647551075,0.3270133004921353,0.4463289569674592,0.6130477389777678,0.8147460879713457,1.0486064752500421,1.3202146409457107,1.6016086910484333,0.006404147574436222,0.007685781012413742,0.05246420819453686,0.1639042169980346,0.3688761413052447,1.6090804096325566,0.006537887618955306,0.005751936407846176,0.006454964952844721,0.005590167880121169,0.007685781012413742,0.015860929565626875,0.05562824650162867,0.10691966107737519,0.1503082899305221,0.1639042169980346,0.1858035106422089,0.21969217364308882,0.25348492652836563,0.32699423910692144,0.4477499320676883,0.6133259444518452,0.8182350267879676,1.053297780824959,1.3252168004739233,1.6090804096325566,0.00019504405658299362,0.003638793731814971,0.0009288545784298385,0.0038329248523083503
V_select,0,7,s1_t1118936940200_a1485,21,0,1518,8,7,20,1.0131375126095519,,0.0,0.0,0.0,6-8,>=3,20,T2,unavailable,0.008340445888237685,0.005449569350455887,0.006365730073582482,0.003985935237794258,0.028516515461179,0.26164489477322533,0.011059972223724726,0.008310467543798382,0.008920046393271572,0.007962173929937857,0.005449569350455887,0.00480338371574383,0.004525627580836766,0.005489963742018883,0.0031501610182426603,0.003985935237794258,0.003926606480113728,0.006966005279965156,0.006282865579379594,0.006303484770078699,0.00974872947894738,0.016882298810524703,0.009198868771467071,0.04571136776063148,0.14000788678342202,0.26164489477322533,0.004742382313023815,0.006319308127517975,0.007326229691797908,0.014863546968130316,0.03872997497479454,0.2954983620425193,0.003835893766961893,0.002197958803186814,0.0042366784215927995,0.007122072445859593,0.006319308127517975,0.006914636074591676,0.00824205801096298,0.008039618815213473,0.011490525483961567,0.014863546968130316,0.01672422148749314,0.019024953288762407,0.02402100362703782,0.02422222276740101,0.019717460644204016,0.023587960205101312,0.031879426696341855,0.07865233931987252,0.16800925249917822,0.2954983620425193,0.006818739369707401,0.006417020512170727,0.006942519563298883,0.008579457579020053,0.030210133081279567,0.26512030131925757,0.006263749803412006,0.007215228429836633,0.007021447585201164,0.007176250517916469,0.006417020512170727,0.005273734387503914,0.0041895224679484476,0.008595811032902379,0.008692973317077038,0.008579457579020053,0.009486800853076674,0.009223560442354811,0.009689274457509226,0.009107184819065096,0.011775205535905567,0.01657698713014852,0.014114947535731524,0.04837965222530792,0.1413035516742455,0.26512030131925757,-0.010213459513615537,-0.033853467269293946,0.001693617620100566,0.0034754065460322336
V_select,1,0,s1_t1118936940200_a1485,21,0,1485,8,7,20,0.0,,0.02500000037252903,0.0,-0.02500000037252903,6-8,>=3,20,T1,unavailable,0.006570305213203778,0.012741715682838946,0.26610142115854374,1.4113179489999692,2.137676489376553,5.477887766484644,0.003175577491819292,0.004448075197248827,0.004407790188730537,0.008078367505381285,0.012741715682838946,0.04303615460084822,0.1058742302481348,0.2968330573062766,0.7711012943641891,1.4113179489999692,2.207919429330813,2.868597519753576,3.4101983692552063,3.6570758037166295,3.9033717649465873,4.175537213046347,4.474688796918775,4.792466889948466,5.124772022544571,5.477887766484644,0.009064784828154055,0.015824771950261437,0.2647280155714121,1.4067371528645993,2.135897664867821,5.470771373349197,0.0053742022014538525,0.005270320390461136,0.007957479931389021,0.010897149667204824,0.015824771950261437,0.03956110870752375,0.10124401566774871,0.2904148341840212,0.763999120149458,1.4067371528645993,2.206311746042965,2.865426332896159,3.4097035422518696,3.6547709525502117,3.901155761456201,4.178448010523997,4.472815003768437,4.79047715673648,5.120793262066776,5.470771373349197,0.008943592156401406,0.01623706438651304,0.2669797261934585,1.4093769447587503,2.1410558139391336,5.488895558274568,0.00697977701307374,0.00532990246967593,0.007366035672132674,0.008805181240611653,0.01623706438651304,0.0451514449876156,0.10750127702093626,0.2939985478072603,0.7690510865780156,1.4093769447587503,2.2094683917677633,2.8717574264261625,3.4102311872756346,3.6608505159556364,3.9070243760789354,4.182691092498754,4.4834915653190475,4.802535516998576,5.134373386253018,5.488895558274568,0.001778824508731791,0.0071163931354467636,0.00337932456258061,0.011007791789924504
V_select,1,1,s1_t1118936940200_a1485,21,0,1494,8,7,20,0.0,,0.02500000037252903,0.0,-0.02500000037252903,6-8,>=3,20,T1,unavailable,0.009200556824286263,0.011075409764194742,0.01120502688718493,0.015403279314359943,0.14219224852113088,1.3546200706723235,0.007734117885950012,0.008633896481644835,0.008564855272172213,0.009994504717469512,0.011075409764194742,0.011790525681336893,0.011713632890138808,0.011820211058106052,0.015319835806476284,0.015403279314359943,0.015756593784994187,0.01627687688114662,0.015684282483894665,0.007762805385052044,0.009340719277146615,0.0431690202652716,0.1421507710180637,0.35277631879099,0.7742572429918855,1.3546200706723235,0.006127729528021803,0.007126482037385676,0.006430147278282934,0.009308181708416342,0.13886735222932145,1.3515115475700075,0.004704811666949745,0.006271144295135634,0.006341927752281237,0.00619428188835672,0.007126482037385676,0.0061462031541256075,0.006094595003365075,0.004361203040364035,0.007752642236449259,0.009308181708416342,0.012204718101318438,0.011139580170519463,0.013611595419813887,0.0045787809337782225,0.0032215214152780287,0.04686601462664226,0.1417081657060989,0.35397481900510924,0.7742288288550333,1.3515115475700075,0.007969268674813446,0.00913190578634599,0.0104414135966233,0.013781580314259398,0.14470862787645672,1.3667670593342551,0.007049612487067719,0.007720568149002383,0.007338298018125444,0.008605958933525688,0.00913190578634599,0.014053917107176265,0.013444519389326458,0.009336742754195982,0.013951033027207663,0.013781580314259398,0.017822379537815496,0.019478839821008027,0.015358555364238441,0.01136885738975463,0.00878063427990791,0.05072543956882089,0.15116695918715703,0.3638539737356362,0.7844357233443072,1.3667670593342551,0.0033248962918094316,0.0031085231023160187,0.0025163793553258373,0.012146988661931646
