horizon_steps,horizon_seconds,ADE,FDE,J,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,total_scenes,scenes_without_supervision,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,ADE_point_scoreable_scenes,FDE_scoreable_scenes,fixed_complete_targets,fixed_complete_scenes,fixed_ADE,fixed_FDE,model,family,checkpoint_stage,split,snr_db
11,1.1,0.25931627794450024,0.4417732828045836,0.48020291934679205,5436,5418,34342,33666,374113,5549,113,0.2543144006565374,0.43134396219773546,0.469986381755405,0.25960092149432046,0.4417732828045836,33073,5399,0.25332421578387543,0.43163686825736836,Q_best,Q,best,train,10
12,1.2000000000000002,0.2767633659990505,0.4740190642374718,0.5137728981177864,5436,5418,34342,33608,407721,5549,113,0.2714911074303213,0.46282848982494545,0.5029053523427941,0.27713468637432914,0.4740190642374718,33073,5399,0.2708129907079323,0.46318951487255816,Q_best,Q,best,train,10
13,1.3,0.29381123980765356,0.5047415555909096,0.5461820176031084,5436,5415,34342,33540,441261,5549,113,0.2882805410779257,0.4925528065461841,0.5345569443510177,0.29427312774860376,0.5047415555909096,33073,5399,0.28801628765355924,0.49445585100108247,Q_best,Q,best,train,10
14,1.4000000000000001,0.3105422306772629,0.5349272068070142,0.57800583408077,5436,5413,34342,33475,474736,5549,113,0.30475664393299473,0.5218167184080678,0.5656650031370286,0.31109172501548704,0.5349272068070142,33073,5399,0.3050125062653348,0.5259633482184171,Q_best,Q,best,train,10
15,1.5,0.32700483538737296,0.5650040472989368,0.6095068590368413,5436,5410,34342,33406,508142,5549,113,0.3209671311060482,0.5508509453752475,0.5963926037936719,0.327639185155898,0.5650040472989368,33073,5399,0.32185770723788476,0.5576905208535843,Q_best,Q,best,train,10
16,1.6,0.34329657813251796,0.5967042093801226,0.6416486828225793,5436,5407,34342,33329,541471,5549,113,0.3370342558541556,0.5814344314504095,0.6277514715793604,0.34404030274737113,0.5967042093801226,33073,5399,0.3386184986936416,0.5900303705299933,Q_best,Q,best,train,10
17,1.7000000000000002,0.35943224606501945,0.6282140283182146,0.6735392602241268,5436,5407,34342,33272,574743,5549,113,0.3529717809324333,0.6121379079323457,0.659040734898606,0.36030912663614284,0.6282140283182146,33073,5399,0.3553011008137044,0.6222227347347098,Q_best,Q,best,train,10
18,1.8,0.37556213907251107,0.6611930033547062,0.7061586407498641,5436,5404,34342,33207,607950,5549,113,0.3689116944041686,0.6439154784878054,0.6908694336480713,0.3765803885667277,0.6611930033547062,33073,5399,0.3720738711296505,0.6572109665007347,Q_best,Q,best,train,10
19,1.9000000000000001,0.39185390259287256,0.6980396854434849,0.740873745314615,5436,5402,34342,33140,641090,5549,113,0.3850249402827999,0.6795477348649677,0.7247988077152837,0.39302858602451374,0.6980396854434849,33073,5399,0.3891437660223796,0.6964018740915031,Q_best,Q,best,train,10
20,2.0,0.4084424324126614,0.7383357520029361,0.7776103084141295,5436,5399,34342,33073,674163,5549,113,0.4014464712598279,0.7183771355314204,0.7606350390255381,0.4097914770089745,0.7383357520029361,33073,5399,0.40660336532140745,0.7383357520029361,Q_best,Q,best,train,10
1,0.1,0.0492132712826827,0.0492132712826827,0.07381990692402404,5436,5436,34342,34342,34342,5549,113,0.04821109077179008,0.04821109077179008,0.07231663615768512,0.0492132712826827,0.0492132712826827,33073,5399,0.047053242797209995,0.047053242797209995,Q_best,Q,best,train,15
2,0.2,0.07320466845198872,0.09711195899646217,0.12176064795021982,5436,5436,34342,34284,68626,5549,113,0.071651754762707,0.09513436819332644,0.11921893885937022,0.07314120441101199,0.09711195899646217,33073,5399,0.07011904619750942,0.09318484959780884,Q_best,Q,best,train,15
3,0.30000000000000004,0.09706035395182303,0.1446929732316556,0.16940684056765082,5436,5433,34342,34216,102842,5549,113,0.09498556855938513,0.14166821473555324,0.16581967592716176,0.09696006621339735,0.1446929732316556,33073,5399,0.09338992105966591,0.1399316707839789,Q_best,Q,best,train,15
4,0.4,0.12050459411555914,0.19119026792871927,0.21609972807991878,5436,5431,34342,34151,136993,5549,113,0.11796896804532535,0.18712458913693897,0.21153126261379482,0.12042122952235289,0.19119026792871927,33073,5399,0.1162454728395219,0.18481212817908985,Q_best,Q,best,train,15
5,0.5,0.14306012544401148,0.2339622069152499,0.26004122890163645,5436,5430,34342,34083,171076,5549,113,0.14008608329222008,0.22894481592175298,0.25455849125309654,0.1429981008441003,0.2339622069152499,33073,5399,0.13831728473340252,0.22660453230892497,Q_best,Q,best,train,15
6,0.6000000000000001,0.16429270340477578,0.271763600698806,0.30017450375417876,5436,5427,34342,33999,205075,5549,113,0.16091913132599375,0.26578862155206706,0.2938134421020273,0.16426421260631702,0.271763600698806,33073,5399,0.1591494541308501,0.26331030111808806,Q_best,Q,best,train,15
7,0.7000000000000001,0.1846914860391932,0.3088862605439465,0.3391346163111665,5436,5427,34342,33941,239016,5549,113,0.18095648244396145,0.30209510469850387,0.3320040347932134,0.1847180870275096,0.3088862605439465,33073,5399,0.17913616853247133,0.2990564549421985,Q_best,Q,best,train,15
8,0.8,0.2042833757091675,0.34389489603538553,0.37623082372686023,5436,5424,34342,33874,272890,5549,113,0.20020935311959415,0.3361481196784882,0.36828341295883826,0.2043711737418374,0.34389489603538553,33073,5399,0.19846582462519202,0.33377341727423726,Q_best,Q,best,train,15
9,0.9,0.22316252191365754,0.3771745118478405,0.4117497778375778,5436,5422,34342,33812,306702,5549,113,0.21877284484252663,0.36854211628022904,0.40304390298264114,0.2233205511462804,0.3771745118478405,33073,5399,0.2171841909051033,0.3669311211443933,Q_best,Q,best,train,15
10,1.0,0.24149734782511925,0.4100183710925452,0.44650653337139184,5436,5421,34342,33745,340447,5549,113,0.23679405774360632,0.400560387401818,0.4370742514445153,0.2417163771926548,0.4100183710925452,33073,5399,0.2354862710490475,0.40020499234454565,Q_best,Q,best,train,15
11,1.1,0.2593069142715225,0.4417668785253492,0.48019035353419715,5436,5418,34342,33666,374113,5549,113,0.25430501864914973,0.4313377091098111,0.4699738732040553,0.25959134445992127,0.4417668785253492,33073,5399,0.2533169701409647,0.43162396106013684,Q_best,Q,best,train,15
12,1.2000000000000002,0.27675466351323363,0.4740164514904527,0.51376288925846,5436,5418,34342,33608,407721,5549,113,0.27148230022710107,0.46282593875928507,0.5028952696067436,0.27712569609274906,0.4740164514904527,33073,5399,0.27080619284208696,0.4631876425544312,Q_best,Q,best,train,15
13,1.3,0.29380364805845377,0.5047492243730255,0.5461782602449665,5436,5415,34342,33540,441261,5549,113,0.2882729166656054,0.4925602901387517,0.5345530617349813,0.2942653448450045,0.5047492243730255,33073,5399,0.28801052357542684,0.49446249237550527,Q_best,Q,best,train,15
14,1.4000000000000001,0.31053599583149005,0.5349425304600552,0.5780072610615177,5436,5413,34342,33475,474736,5549,113,0.30475047032242364,0.5218316664949143,0.5656663035698808,0.3110854230719516,0.5349425304600552,33073,5399,0.3050080378880506,0.5259757239521601,Q_best,Q,best,train,15
15,1.5,0.3269995864351768,0.5650142645612408,0.6095067187157972,5436,5410,34342,33406,508142,5549,113,0.3209619725915183,0.5508609066996418,0.5963924259413392,0.32763391940955394,0.5650142645612408,33073,5399,0.3218541736799488,0.557700074766523,Q_best,Q,best,train,15
