record_type,split,snr_db,input_path,input_semantic_hash,window_entries,unique_episode_frame_slot,track_exists_exact,detected_change_count,all_state_exact_fraction,position_difference_m_count,position_difference_m_mean,position_difference_m_median,position_difference_m_p90,position_difference_m_p99,position_difference_m_max,velocity_difference_mps_count,velocity_difference_mps_mean,velocity_difference_mps_median,velocity_difference_mps_p90,velocity_difference_mps_p99,velocity_difference_mps_max,state_x_mean,state_x_std,state_y_mean,state_y_std,state_vx_mean,state_vx_std,state_vy_mean,state_vy_std,model,prediction_change_m,paired_ADE_signed_difference_m,paired_ADE_absolute_difference_m,paired_FDE_signed_difference_m,paired_FDE_absolute_difference_m
model_output_difference_vs_20dB,train,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 34425, ""mean"": 0.0009817346708154446, ""median"": 2.8117065085098147e-05, ""p90"": 0.0014643367147073208, ""p99"": 0.025007247924804688}","{""count"": 34342, ""mean"": 3.9556756993929175e-06, ""median"": 0.0, ""p90"": 0.00027333171680236673, ""p99"": 0.005447726517591658}","{""count"": 34342, ""mean"": 0.0005278335772973137, ""median"": 1.0417503605881367e-05, ""p90"": 0.0008430062903051654, ""p99"": 0.01172356589094569}","{""count"": 33073, ""mean"": 1.1731661478061231e-05, ""median"": 0.0, ""p90"": 0.0007506791062860118, ""p99"": 0.012542769585797774}","{""count"": 33073, ""mean"": 0.0011800190859164914, ""median"": 2.7880365617849456e-05, ""p90"": 0.0022034633907046727, ""p99"": 0.022129038812629374}"
model_output_difference_vs_20dB,train,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 34425, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
model_output_difference_vs_20dB,train,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 34425, ""mean"": 0.004317851696765765, ""median"": 0.0006262732786126435, ""p90"": 0.020064086094498657, ""p99"": 0.03557736158370972}","{""count"": 34342, ""mean"": 0.00010125124887650013, ""median"": 0.0, ""p90"": 0.0023026583303181808, ""p99"": 0.02287394215503049}","{""count"": 34342, ""mean"": 0.002165682485964984, ""median"": 0.00023518128159232682, ""p90"": 0.005700130937022037, ""p99"": 0.025777693142160857}","{""count"": 33073, ""mean"": 6.36943497179085e-05, ""median"": 0.0, ""p90"": 0.005444417821782133, ""p99"": 0.039806524737081364}","{""count"": 33073, ""mean"": 0.004541494723851588, ""median"": 0.0006357395682723421, ""p90"": 0.012678030834429324, ""p99"": 0.04991295408110399}"
model_output_difference_vs_20dB,train,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 34425, ""mean"": 0.0022658148516828958, ""median"": 0.00021237236796878278, ""p90"": 0.0039471109397709375, ""p99"": 0.030204351246356984}","{""count"": 34342, ""mean"": 2.9183620934298067e-05, ""median"": 0.0, ""p90"": 0.0008769436418936047, ""p99"": 0.015492429285296245}","{""count"": 34342, ""mean"": 0.0011561576814967684, ""median"": 7.244484372548321e-05, ""p90"": 0.002206516211558058, ""p99"": 0.021510494881770283}","{""count"": 33073, ""mean"": 4.589886132779408e-05, ""median"": 0.0, ""p90"": 0.0023213770794917933, ""p99"": 0.025835799631910943}","{""count"": 33073, ""mean"": 0.0024966851230552567, ""median"": 0.0001932860285593918, ""p90"": 0.005449639916400455, ""p99"": 0.037114272469214594}"
model_output_difference_vs_20dB,train,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 34425, ""mean"": 0.0008889898348304931, ""median"": 2.1938241843599826e-05, ""p90"": 0.0011453702114522471, ""p99"": 0.025000653117895125}","{""count"": 34342, ""mean"": 8.737505745414118e-06, ""median"": 0.0, ""p90"": 0.00023749065769649325, ""p99"": 0.004470765696023292}","{""count"": 34342, ""mean"": 0.00045772851324400114, ""median"": 7.2951513215846475e-06, ""p90"": 0.000659073337908578, ""p99"": 0.01038654936944869}","{""count"": 33073, ""mean"": 1.0540303788530285e-05, ""median"": 0.0, ""p90"": 0.0006517411494051716, ""p99"": 0.010779463710225425}","{""count"": 33073, ""mean"": 0.001012776584217909, ""median"": 1.756525869334169e-05, ""p90"": 0.00175234660317658, ""p99"": 0.02136131613959618}"
model_output_difference_vs_20dB,train,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 34425, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 34342, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 33073, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
input_difference_vs_20dB,V_select,5,data/f01d/inputs/V_select_snr_5.npz,0e9a9ab4a13d65f0ea08e0700e4431a25295732b6290b61e76cf1ed78f375f86,57958,30804,True,0,0.8530487594464957,57958,0.0021799319235590226,0.0,0.0,0.03535109092874405,0.039705136486671025,57958,0.00164918315241284,0.0,0.00019264752314582598,0.025000572204589844,0.036375630842460274,-1.1048434933461049,8.711767679167396,-42.339114507035,133.6722837306323,0.04263213745957842,0.9875802145058514,-1.881508996202098,7.846737511123266,,,,,,
input_difference_vs_20dB,V_select,10,data/f01d/inputs/V_select_snr_10.npz,c176b7381ea84de21b070680332df5cdc849a7d66ad5265a4858472b6cd2593e,57958,30804,True,0,0.925290727768384,57958,0.00110919332672288,0.0,0.0,0.02500152587890625,0.035362892186082934,57958,0.000803292317376459,0.0,0.0,0.025000005960464478,0.03535640117689146,-1.1048226158602792,8.711689088790164,-42.33916194784116,133.67233058166107,0.04268867921559199,0.9876018657234164,-1.8814929900944963,7.846742796956104,,,,,,
input_difference_vs_20dB,V_select,15,data/f01d/inputs/V_select_snr_15.npz,87f854adc9c7046926b24453a40a7a9b6426395c853aaf229176f9761fa4485a,57958,30804,True,0,0.9725663411435868,57958,0.00040934972290889094,0.0,0.0,0.024999618530273438,0.035362892186082934,57958,0.0002887088655528143,0.0,0.0,0.02052754361198128,0.03535640117689146,-1.1048728352257484,8.711633577416105,-42.339183690938476,133.67234086287093,0.04270930036701861,0.9876031936511396,-1.881456872179934,7.846747523525467,,,,,,
input_difference_vs_20dB,V_select,20,data/f01d/inputs/V_select_snr_20.npz,e624865062b792ba16d597a48f60e15060412e21d0de1b42a64ad18b3d35ce40,57958,30804,True,0,1.0,57958,0.0,0.0,0.0,0.0,0.0,57958,0.0,0.0,0.0,0.0,0.0,-1.104899714015281,8.711597606422933,-42.33917895607664,133.67236238577223,0.042723785977880645,0.9875723030088056,-1.8814455724448556,7.846758573147146,,,,,,
