model,split,episode_id,targets,off_minus_on_ADE,off_minus_on_FDE,prediction_change_mean_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_latest,train,s0_t1118936220200_a618,217,0.16748160767757153,0.4995684187541786,0.17976428390843235,116,101,61,156
A_latest,train,s0_t1118936220200_a622,186,0.2669112937965959,0.7490636558079196,0.28073556009637474,61,125,60,126
A_latest,train,s0_t1118936240200_a582,184,0.07962516961485636,0.20912317722631493,0.42452985588454833,58,103,45,90
A_latest,train,s0_t1118936240200_a617,237,0.32896303152449397,0.8061646903614172,0.7665048989145339,57,155,58,150
A_latest,train,s0_t1118936240200_a621,19,0.0,0.0,0.0,0,0,0,0
A_latest,train,s0_t1118936260200_a563,125,0.437105650950469,1.0992623847991425,0.8340775588974356,21,104,17,96
A_latest,train,s0_t1118936260200_a610,225,0.1300965571227111,0.3336876715658058,0.3122805251325998,84,141,82,139
A_latest,train,s0_t1118936260200_a648,222,0.07797153156664921,0.1998789287373404,0.27376410755454883,83,139,75,143
A_latest,train,s0_t1118936280200_a607,202,0.2007291792853481,0.4701267857275088,0.4859405868995928,48,121,44,119
A_latest,train,s0_t1118936280200_a622,143,0.3094644438725741,0.8879833154107803,0.5435649070667324,38,92,26,85
A_latest,train,s0_t1118936280200_a626,192,0.11038919189329388,0.28538315669106185,0.36840486287322466,79,113,74,107
A_latest,train,s0_t1118936300200_a658,124,-0.0012716378007841633,0.013337979981970107,0.15067811982325727,74,50,75,49
A_latest,train,s0_t1118936300200_a679,219,0.13291815122254652,0.3851666214505705,0.31830545267601207,86,133,77,130
A_latest,train,s0_t1118936300200_a710,219,0.1595111024412275,0.4739642955536115,0.29692540556087593,57,161,50,167
A_latest,train,s0_t1118936320200_a612,188,0.0486450210661569,0.15815387818169166,0.12262346157954294,90,96,79,89
A_latest,train,s0_t1118936320200_a719,124,0.06382243146604932,0.14454082641983013,0.13808744137655124,31,93,57,67
A_latest,train,s0_t1118936320200_a728,204,0.20846482135321118,0.46451342284147484,0.5548934741014176,69,135,66,134
A_latest,train,s0_t1118936340200_a680,169,0.24888363150437787,0.6873104931855335,0.5068349241742403,50,117,45,102
A_latest,train,s0_t1118936340200_a717,248,0.018649707915252053,0.06137876756952736,0.03305449003058921,80,168,83,165
A_latest,train,s0_t1118936340200_a745,248,0.2904628424730669,0.6301751666498341,0.7390601445372487,65,183,68,180
A_latest,train,s0_t1118936360200_a686,119,0.13186973494380985,0.3647862766099383,0.41673488907140344,21,42,14,35
A_latest,train,s0_t1118936360200_a698,124,0.14379460712799305,0.30714264666824254,0.3501904974395251,24,37,22,31
A_latest,train,s0_t1118936360200_a714,248,0.06377634142245818,0.20174404957703626,0.20855980801710053,90,158,87,161
A_latest,train,s0_t1118936380200_a739,248,0.008403274841999571,0.0021914613741556657,0.18391125735847563,123,125,131,117
A_latest,train,s0_t1118936380200_a748,128,0.15294647810328874,0.40325539319811077,0.41086379198895884,36,92,38,86
A_latest,train,s0_t1118936380200_a766,128,0.11122246150747753,0.2787068032209731,0.29782263438119116,31,77,29,75
A_latest,train,s0_t1118936400200_a709,17,0.054647875711215335,-0.261175744227851,0.5103477830176845,7,9,4,3
A_latest,train,s0_t1118936400200_a759,167,0.05240359720134476,0.13579471766972512,0.11542326320245239,71,67,72,62
A_latest,train,s0_t1118936400200_a789,194,0.02035136429100609,0.07026935603349928,0.26589612905396637,73,92,76,85
A_latest,train,s0_t1118936420200_a816,248,0.1210857919046162,0.3196661278454606,0.315978447217628,73,148,70,151
A_latest,train,s0_t1118936420200_a831,248,0.19811006535449155,0.5065643551046154,0.3620932864480364,78,170,76,172
A_latest,train,s0_t1118936420200_a841,248,0.11450411663362983,0.29566610868190896,0.355290079209578,88,135,85,138
A_latest,train,s0_t1118936440200_a725,137,0.08077028576325478,0.2801604551373523,0.33899900706639036,53,82,38,67
