split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
V_select,5,10,1.0,2840,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.009804979445945933, ""median"": 0.010073634951373124, ""p90"": 0.01517131772014265, ""p99"": 0.01861829108512245}","{""count"": 2840, ""mean"": 0.007091824975335745, ""median"": 0.0076765018111684385, ""p90"": 0.013964081416918317, ""p99"": 0.018516229124379023}","{""count"": 2840, ""mean"": 0.009804979445945933, ""median"": 0.010073634951373124, ""p90"": 0.01517131772014265, ""p99"": 0.01861829108512245}","{""count"": 2840, ""mean"": 0.007091824975335745, ""median"": 0.0076765018111684385, ""p90"": 0.013964081416918317, ""p99"": 0.018516229124379023}","{""count"": 2840, ""mean"": 0.7068439261404275, ""median"": 0.1020614077457411, ""p90"": 2.0926643037803254, ""p99"": 4.699510356903578}","{""count"": 2840, ""mean"": 0.7121376497980504, ""median"": 0.11076363192530336, ""p90"": 2.0996395500702643, ""p99"": 4.713054084001186}",,,,
V_select,5,10,1.0,2840,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6083222616668804, ""median"": 0.16461549467874348, ""p90"": 1.7594829809973567, ""p99"": 4.223271677769653}","{""count"": 2840, ""mean"": 0.49523950068922884, ""median"": 0.1731345105128047, ""p90"": 1.4057296912784867, ""p99"": 3.242742908730361}"
V_select,5,10,1.0,2840,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6050791171908958, ""median"": 0.15385715355995888, ""p90"": 1.7138476181294973, ""p99"": 4.460459880508925}","{""count"": 2840, ""mean"": 0.5007675749771244, ""median"": 0.1798286948992429, ""p90"": 1.4395891835634453, ""p99"": 3.0106845027265594}"
V_select,5,10,1.0,2840,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.5729990245977556, ""median"": 0.12685653556969312, ""p90"": 1.6153223231765803, ""p99"": 4.166750034738449}","{""count"": 2840, ""mean"": 0.49620831661464776, ""median"": 0.1885003031282192, ""p90"": 1.3976473484724212, ""p99"": 3.031923480525392}"
V_select,5,20,2.0,2808,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 0.009805648971697448, ""median"": 0.010073634951373124, ""p90"": 0.015138259760824712, ""p99"": 0.01860411928686814}","{""count"": 2808, ""mean"": 0.007052971381735906, ""median"": 0.007644345109942441, ""p90"": 0.013925217771893676, ""p99"": 0.01851272887852089}","{""count"": 2808, ""mean"": 0.009805648971697448, ""median"": 0.010073634951373124, ""p90"": 0.015138259760824712, ""p99"": 0.01860411928686814}","{""count"": 2808, ""mean"": 0.014105942763471812, ""median"": 0.015288690219884882, ""p90"": 0.02785043554378735, ""p99"": 0.03702545775704178}","{""count"": 2808, ""mean"": 1.7379182448621706, ""median"": 0.6528571140654793, ""p90"": 4.954025969173595, ""p99"": 9.70774010949623}","{""count"": 2808, ""mean"": 1.744028775288062, ""median"": 0.6641043442432072, ""p90"": 4.9531906515182165, ""p99"": 9.691527027993205}",,,,
V_select,5,20,2.0,2808,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5371092938070332, ""median"": 0.48650062189246324, ""p90"": 4.51493740468795, ""p99"": 8.875053403700008}","{""count"": 2808, ""mean"": 1.0743225915199397, ""median"": 0.42914277640022935, ""p90"": 2.953005138583948, ""p99"": 7.136705778071233}"
V_select,5,20,2.0,2808,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5738836177502085, ""median"": 0.4288649537826622, ""p90"": 4.6082423746387535, ""p99"": 9.437898800130368}","{""count"": 2808, ""mean"": 1.0943964615389348, ""median"": 0.4108448986808214, ""p90"": 3.122101705973203, ""p99"": 6.821591793635457}"
V_select,5,20,2.0,2808,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.4782704522865373, ""median"": 0.318704369926761, ""p90"": 4.318652529233162, ""p99"": 8.883091569721644}","{""count"": 2808, ""mean"": 1.0765153802799523, ""median"": 0.4363326173848652, ""p90"": 2.992599128118442, ""p99"": 6.918810497405267}"
V_select,10,5,0.5,2853,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.009732858338804714, ""median"": 0.010073634951373124, ""p90"": 0.014929355435130054, ""p99"": 0.017989248321062662}","{""count"": 2853, ""mean"": 0.007015372759223718, ""median"": 0.007703216906434073, ""p90"": 0.01358085853069975, ""p99"": 0.018007991314591208}","{""count"": 2853, ""mean"": 0.009732858338804714, ""median"": 0.010073634951373124, ""p90"": 0.014929355435130054, ""p99"": 0.017989248321062662}","{""count"": 2853, ""mean"": 0.003507686379611859, ""median"": 0.0038516084532170367, ""p90"": 0.006790429265349875, ""p99"": 0.009003995657295604}","{""count"": 2853, ""mean"": 0.3026045910811573, ""median"": 0.009765165000874345, ""p90"": 0.9619727848723234, ""p99"": 2.4785949245438164}","{""count"": 2853, ""mean"": 0.30786775025478025, ""median"": 0.019832970203102995, ""p90"": 0.958577137939446, ""p99"": 2.480388561208218}",,,,
V_select,10,5,0.5,2853,,,,,,,,Q_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22705553168203216, ""median"": 0.056206197984107205, ""p90"": 0.6521879340118937, ""p99"": 2.0222195176300586}","{""count"": 2853, ""mean"": 0.24584344001896316, ""median"": 0.07468965859095879, ""p90"": 0.7165455095322679, ""p99"": 1.5760396392983762}"
V_select,10,5,0.5,2853,,,,,,,,G_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22241395111230233, ""median"": 0.049595268596514995, ""p90"": 0.6040839054026881, ""p99"": 1.889666541308142}","{""count"": 2853, ""mean"": 0.24554726329676785, ""median"": 0.08190363018410324, ""p90"": 0.7076152205174538, ""p99"": 1.6065077710921645}"
V_select,10,5,0.5,2853,,,,,,,,A_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.2075451169965393, ""median"": 0.03667467440599161, ""p90"": 0.5499105737896537, ""p99"": 1.891633436350435}","{""count"": 2853, ""mean"": 0.2435296348575677, ""median"": 0.07052993601618941, ""p90"": 0.6902752235411316, ""p99"": 1.6281620911673833}"
V_select,10,10,1.0,2840,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.00973686429629493, ""median"": 0.010073634951373124, ""p90"": 0.014934132859041625, ""p99"": 0.01800940961275021}","{""count"": 2840, ""mean"": 0.006993356026762873, ""median"": 0.007678309948161866, ""p90"": 0.013558472237728039, ""p99"": 0.017793150793453}","{""count"": 2840, ""mean"": 0.00973686429629493, ""median"": 0.010073634951373124, ""p90"": 0.014934132859041625, ""p99"": 0.01800940961275021}","{""count"": 2840, ""mean"": 0.006993356026762873, ""median"": 0.007678309948161866, ""p90"": 0.013558472237728039, ""p99"": 0.017793150793453}","{""count"": 2840, ""mean"": 0.7068439261404275, ""median"": 0.1020614077457411, ""p90"": 2.0926643037803254, ""p99"": 4.699510356903578}","{""count"": 2840, ""mean"": 0.7121478416467123, ""median"": 0.10990236939554845, ""p90"": 2.0996395500702643, ""p99"": 4.713054084001186}",,,,
V_select,10,10,1.0,2840,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.608402974228659, ""median"": 0.16461398450189108, ""p90"": 1.757258725626, ""p99"": 4.222567199972797}","{""count"": 2840, ""mean"": 0.4952830142956936, ""median"": 0.17470778981619633, ""p90"": 1.4048340624924867, ""p99"": 3.242503789786505}"
V_select,10,10,1.0,2840,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.605131101501706, ""median"": 0.15328459873541933, ""p90"": 1.7163675247713188, ""p99"": 4.457201676936381}","{""count"": 2840, ""mean"": 0.5009194628084503, ""median"": 0.18029493560247156, ""p90"": 1.4374565953279368, ""p99"": 3.010678559876681}"
V_select,10,10,1.0,2840,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.5730448187986472, ""median"": 0.12712966687059069, ""p90"": 1.6151986475887852, ""p99"": 4.166568831421596}","{""count"": 2840, ""mean"": 0.4963146807438081, ""median"": 0.18656208554754988, ""p90"": 1.3976167640331187, ""p99"": 3.031099256880035}"
V_select,10,20,2.0,2808,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 0.009733293013656255, ""median"": 0.010073634951373124, ""p90"": 0.014916904474506665, ""p99"": 0.017914806628677934}","{""count"": 2808, ""mean"": 0.0069541198300812936, ""median"": 0.0076443451100154155, ""p90"": 0.013540601700441838, ""p99"": 0.01773644527601874}","{""count"": 2808, ""mean"": 0.009733293013656255, ""median"": 0.010073634951373124, ""p90"": 0.014916904474506665, ""p99"": 0.017914806628677934}","{""count"": 2808, ""mean"": 0.013908239660162587, ""median"": 0.015288690220030831, ""p90"": 0.027081203400883675, ""p99"": 0.03547289055203748}","{""count"": 2808, ""mean"": 1.7379182448621706, ""median"": 0.6528571140654793, ""p90"": 4.954025969173595, ""p99"": 9.70774010949623}","{""count"": 2808, ""mean"": 1.7441386810623376, ""median"": 0.6594892251881981, ""p90"": 4.9531906515182165, ""p99"": 9.691527027993205}",,,,
V_select,10,20,2.0,2808,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5374436410024275, ""median"": 0.49213563960836004, ""p90"": 4.51605811826993, ""p99"": 8.878302110336847}","{""count"": 2808, ""mean"": 1.0743340183816865, ""median"": 0.42833066568227013, ""p90"": 2.95286690757496, ""p99"": 7.134669963433656}"
V_select,10,20,2.0,2808,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5740573934359752, ""median"": 0.43114608514253255, ""p90"": 4.605446185133688, ""p99"": 9.431183082157768}","{""count"": 2808, ""mean"": 1.094739201918783, ""median"": 0.4114193463606848, ""p90"": 3.1169239842287704, ""p99"": 6.80801571665244}"
V_select,10,20,2.0,2808,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.4784598722186877, ""median"": 0.317430821266707, ""p90"": 4.317518969945404, ""p99"": 8.882486066318547}","{""count"": 2808, ""mean"": 1.076659289722592, ""median"": 0.4354879547029321, ""p90"": 2.99293889240699, ""p99"": 6.920449452091356}"
V_select,15,5,0.5,2853,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.009685138039222276, ""median"": 0.010073634951373124, ""p90"": 0.014818454759812747, ""p99"": 0.01785630891660291}","{""count"": 2853, ""mean"": 0.006986472493212065, ""median"": 0.007712135122401213, ""p90"": 0.013468383081297946, ""p99"": 0.017499502685702776}","{""count"": 2853, ""mean"": 0.009685138039222276, ""median"": 0.010073634951373124, ""p90"": 0.014818454759812747, ""p99"": 0.01785630891660291}","{""count"": 2853, ""mean"": 0.0034932362466060323, ""median"": 0.0038560675612006063, ""p90"": 0.006734191540648973, ""p99"": 0.008749751342851388}","{""count"": 2853, ""mean"": 0.3026045910811573, ""median"": 0.009765165000874345, ""p90"": 0.9619727848723234, ""p99"": 2.4785949245438164}","{""count"": 2853, ""mean"": 0.30776926733804066, ""median"": 0.019541348486322337, ""p90"": 0.958535469370228, ""p99"": 2.480388561208218}",,,,
V_select,15,5,0.5,2853,,,,,,,,Q_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22708663872940174, ""median"": 0.056408332393925904, ""p90"": 0.652211425208925, ""p99"": 2.0224981742787005}","{""count"": 2853, ""mean"": 0.245747727304386, ""median"": 0.07482217592734206, ""p90"": 0.7164201916701258, ""p99"": 1.5798022366398041}"
V_select,15,5,0.5,2853,,,,,,,,G_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22243213826825803, ""median"": 0.04956319218543821, ""p90"": 0.6072484746348386, ""p99"": 1.88980636723405}","{""count"": 2853, ""mean"": 0.24544640938748316, ""median"": 0.08078706819854553, ""p90"": 0.7075612569910942, ""p99"": 1.6061476263510244}"
V_select,15,5,0.5,2853,,,,,,,,A_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.20755702890990446, ""median"": 0.03769162899229173, ""p90"": 0.5477156987683713, ""p99"": 1.8914018465933908}","{""count"": 2853, ""mean"": 0.24347944552111847, ""median"": 0.0707951240293622, ""p90"": 0.6897072852316792, ""p99"": 1.628426373931282}"
V_select,15,10,1.0,2840,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.009688925558721445, ""median"": 0.010073634951373124, ""p90"": 0.014819494021665932, ""p99"": 0.017858800172651627}","{""count"": 2840, ""mean"": 0.006964323470801166, ""median"": 0.0076806430614270674, ""p90"": 0.013460039848888048, ""p99"": 0.017478474823749285}","{""count"": 2840, ""mean"": 0.009688925558721445, ""median"": 0.010073634951373124, ""p90"": 0.014819494021665932, ""p99"": 0.017858800172651627}","{""count"": 2840, ""mean"": 0.006964323470801166, ""median"": 0.0076806430614270674, ""p90"": 0.013460039848888048, ""p99"": 0.017478474823749285}","{""count"": 2840, ""mean"": 0.7068439261404275, ""median"": 0.1020614077457411, ""p90"": 2.0926643037803254, ""p99"": 4.699510356903578}","{""count"": 2840, ""mean"": 0.7120520045584685, ""median"": 0.10796624436838503, ""p90"": 2.0996395500702643, ""p99"": 4.713054084001186}",,,,
V_select,15,10,1.0,2840,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6084266425515688, ""median"": 0.16519639196397196, ""p90"": 1.756151464146087, ""p99"": 4.224318750128044}","{""count"": 2840, ""mean"": 0.49525050715323626, ""median"": 0.1746729951975205, ""p90"": 1.405789615416745, ""p99"": 3.2414532055273053}"
V_select,15,10,1.0,2840,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6051544745189396, ""median"": 0.15305831955033125, ""p90"": 1.7198134833134562, ""p99"": 4.456835608197772}","{""count"": 2840, ""mean"": 0.500786174243214, ""median"": 0.1803819694732674, ""p90"": 1.4376092852145246, ""p99"": 3.01032973659809}"
V_select,15,10,1.0,2840,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.5730741391483968, ""median"": 0.1271352089928024, ""p90"": 1.6147207669265433, ""p99"": 4.165271480582106}","{""count"": 2840, ""mean"": 0.49626022454355034, ""median"": 0.18562013073485883, ""p90"": 1.3973125326392601, ""p99"": 3.0312947063419604}"
V_select,15,20,2.0,2808,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 0.00968538181807445, ""median"": 0.010073634951373124, ""p90"": 0.014804781546227769, ""p99"": 0.017721758085180214}","{""count"": 2808, ""mean"": 0.006926470671266306, ""median"": 0.007644345110073052, ""p90"": 0.013418799470920595, ""p99"": 0.017446181506356476}","{""count"": 2808, ""mean"": 0.00968538181807445, ""median"": 0.010073634951373124, ""p90"": 0.014804781546227769, ""p99"": 0.017721758085180214}","{""count"": 2808, ""mean"": 0.013852941342532612, ""median"": 0.015288690220146103, ""p90"": 0.02683759894184119, ""p99"": 0.03489236301271295}","{""count"": 2808, ""mean"": 1.7379182448621706, ""median"": 0.6528571140654793, ""p90"": 4.954025969173595, ""p99"": 9.70774010949623}","{""count"": 2808, ""mean"": 1.7440385981412907, ""median"": 0.6588144137817848, ""p90"": 4.945409743196459, ""p99"": 9.691527027993205}",,,,
V_select,15,20,2.0,2808,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5374982920957083, ""median"": 0.4908673040731074, ""p90"": 4.5149715735368385, ""p99"": 8.878428121058198}","{""count"": 2808, ""mean"": 1.074246673387327, ""median"": 0.42779226802507175, ""p90"": 2.948920162230383, ""p99"": 7.134994967050074}"
V_select,15,20,2.0,2808,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5740353729292786, ""median"": 0.4313842921986848, ""p90"": 4.603895651554081, ""p99"": 9.430973758260494}","{""count"": 2808, ""mean"": 1.0945983068056973, ""median"": 0.41104501494380896, ""p90"": 3.1139347252609975, ""p99"": 6.822923801347319}"
V_select,15,20,2.0,2808,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.4784772536244175, ""median"": 0.3153389213941805, ""p90"": 4.319709031346606, ""p99"": 8.8832047813719}","{""count"": 2808, ""mean"": 1.0765494823480244, ""median"": 0.4356605665165424, ""p90"": 2.995410504199873, ""p99"": 6.920641559496871}"
V_select,20,5,0.5,2853,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.009728341260676818, ""median"": 0.01010411990300643, ""p90"": 0.014864682370687351, ""p99"": 0.017714536537853036}","{""count"": 2853, ""mean"": 0.0069739168137404346, ""median"": 0.007703216906434073, ""p90"": 0.01337238566167426, ""p99"": 0.017466849166767863}","{""count"": 2853, ""mean"": 0.009728341260676818, ""median"": 0.01010411990300643, ""p90"": 0.014864682370687351, ""p99"": 0.017714536537853036}","{""count"": 2853, ""mean"": 0.0034869584068702173, ""median"": 0.0038516084532170367, ""p90"": 0.00668619283083713, ""p99"": 0.008733424583383931}","{""count"": 2853, ""mean"": 0.3026045910811573, ""median"": 0.009765165000874345, ""p90"": 0.9619727848723234, ""p99"": 2.4785949245438164}","{""count"": 2853, ""mean"": 0.3077758130864766, ""median"": 0.0190583691978628, ""p90"": 0.958535469370228, ""p99"": 2.480388561208218}",,,,
V_select,20,5,0.5,2853,,,,,,,,Q_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22707202313853764, ""median"": 0.05626969290870645, ""p90"": 0.6529054956519197, ""p99"": 2.023335606743349}","{""count"": 2853, ""mean"": 0.24575713660316326, ""median"": 0.07481461145575091, ""p90"": 0.7157703259783561, ""p99"": 1.5799434737957911}"
V_select,20,5,0.5,2853,,,,,,,,G_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22243201066666052, ""median"": 0.049558298322244385, ""p90"": 0.6072968623371373, ""p99"": 1.8856079457500816}","{""count"": 2853, ""mean"": 0.245426421866687, ""median"": 0.08067884254445193, ""p90"": 0.7079379009182208, ""p99"": 1.6061574095719224}"
V_select,20,5,0.5,2853,,,,,,,,A_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.20756121332266939, ""median"": 0.03761359610869094, ""p90"": 0.5470477993225071, ""p99"": 1.8914469378650722}","{""count"": 2853, ""mean"": 0.24345369996811717, ""median"": 0.07077058516739228, ""p90"": 0.6897672093871657, ""p99"": 1.6283897879310698}"
V_select,20,10,1.0,2840,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.0097320861766452, ""median"": 0.010113213002139312, ""p90"": 0.014887639306946818, ""p99"": 0.017716622762636445}","{""count"": 2840, ""mean"": 0.00695200394582869, ""median"": 0.007678309948161866, ""p90"": 0.01337238566167426, ""p99"": 0.017431472008564333}","{""count"": 2840, ""mean"": 0.0097320861766452, ""median"": 0.010113213002139312, ""p90"": 0.014887639306946818, ""p99"": 0.017716622762636445}","{""count"": 2840, ""mean"": 0.00695200394582869, ""median"": 0.007678309948161866, ""p90"": 0.01337238566167426, ""p99"": 0.017431472008564333}","{""count"": 2840, ""mean"": 0.7068439261404275, ""median"": 0.1020614077457411, ""p90"": 2.0926643037803254, ""p99"": 4.699510356903578}","{""count"": 2840, ""mean"": 0.7120177199816876, ""median"": 0.10581857780624457, ""p90"": 2.0996395500702643, ""p99"": 4.713054084001186}",,,,
V_select,20,10,1.0,2840,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6084053814485284, ""median"": 0.1655171282986364, ""p90"": 1.7556090284147852, ""p99"": 4.223072297848401}","{""count"": 2840, ""mean"": 0.49519518883297325, ""median"": 0.17361254574090967, ""p90"": 1.4060444168704462, ""p99"": 3.2409465852278334}"
V_select,20,10,1.0,2840,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.6051683362791601, ""median"": 0.15434152829225806, ""p90"": 1.719927803220405, ""p99"": 4.45524781883944}","{""count"": 2840, ""mean"": 0.5007915739092802, ""median"": 0.18131732632098332, ""p90"": 1.4371820952018672, ""p99"": 3.0104822044413155}"
V_select,20,10,1.0,2840,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 2840, ""mean"": 0.5730723507400557, ""median"": 0.12706880427240919, ""p90"": 1.615342631515474, ""p99"": 4.1582853552808725}","{""count"": 2840, ""mean"": 0.4962475460685641, ""median"": 0.1865618116366957, ""p90"": 1.3974279158701528, ""p99"": 3.0312628213007335}"
V_select,20,20,2.0,2808,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 0.009729034294891921, ""median"": 0.010114224884508416, ""p90"": 0.014845622867560908, ""p99"": 0.017628194319208215}","{""count"": 2808, ""mean"": 0.006914010752846851, ""median"": 0.0076443451100154155, ""p90"": 0.013369157640137153, ""p99"": 0.017313806899941518}","{""count"": 2808, ""mean"": 0.009729034294891921, ""median"": 0.010114224884508416, ""p90"": 0.014845622867560908, ""p99"": 0.017628194319208215}","{""count"": 2808, ""mean"": 0.013828021505693702, ""median"": 0.015288690220030831, ""p90"": 0.026738315280274306, ""p99"": 0.034627613799883036}","{""count"": 2808, ""mean"": 1.7379182448621706, ""median"": 0.6528571140654793, ""p90"": 4.954025969173595, ""p99"": 9.70774010949623}","{""count"": 2808, ""mean"": 1.7440018228575849, ""median"": 0.6588144137817848, ""p90"": 4.945409743196459, ""p99"": 9.691527027993205}",,,,
V_select,20,20,2.0,2808,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.537517830950942, ""median"": 0.4900976737816567, ""p90"": 4.515613081390954, ""p99"": 8.879225020569601}","{""count"": 2808, ""mean"": 1.0741142639887404, ""median"": 0.42534814735735504, ""p90"": 2.947679220919659, ""p99"": 7.133886417583098}"
V_select,20,20,2.0,2808,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.5740773840729445, ""median"": 0.4314185299199379, ""p90"": 4.604096744321422, ""p99"": 9.431078016960985}","{""count"": 2808, ""mean"": 1.094539875589013, ""median"": 0.411378629655799, ""p90"": 3.1076726542521427, ""p99"": 6.819851079943432}"
V_select,20,20,2.0,2808,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 2808, ""mean"": 1.4785332898180739, ""median"": 0.3163041834742953, ""p90"": 4.319673627295155, ""p99"": 8.882966618600989}","{""count"": 2808, ""mean"": 1.0764394699517237, ""median"": 0.4356929334674926, ""p90"": 2.995713969085058, ""p99"": 6.91815096441501}"
