split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
train,10,5,0.5,34083,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.009822764534092554, ""median"": 0.009946625212351075, ""p90"": 0.014608753587932876, ""p99"": 0.018111787537231198}","{""count"": 34083, ""mean"": 0.00649381319825517, ""median"": 0.006985323739409989, ""p90"": 0.01372227436957033, ""p99"": 0.01779568401706422}","{""count"": 34083, ""mean"": 0.009822764534092554, ""median"": 0.009946625212351075, ""p90"": 0.014608753587932876, ""p99"": 0.018111787537231198}","{""count"": 34083, ""mean"": 0.003246906599127585, ""median"": 0.0034926618697049944, ""p90"": 0.006861137184785165, ""p99"": 0.00889784200853211}","{""count"": 34083, ""mean"": 0.3261396021458798, ""median"": 0.10329698399769535, ""p90"": 0.9636252087296769, ""p99"": 2.3943319551098}","{""count"": 34083, ""mean"": 0.3300770160849612, ""median"": 0.1033052418126211, ""p90"": 0.965448191929022, ""p99"": 2.392301074664079}",,,,
train,10,5,0.5,34083,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.245872215883949, ""median"": 0.08546417412492353, ""p90"": 0.6663600957623691, ""p99"": 1.9338513377516469}","{""count"": 34083, ""mean"": 0.22161411257339883, ""median"": 0.1039462129776104, ""p90"": 0.6026803134222282, ""p99"": 1.498707398102452}"
train,10,5,0.5,34083,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.22863313644049355, ""median"": 0.07635302750658492, ""p90"": 0.5998989329577594, ""p99"": 1.8593645406516153}","{""count"": 34083, ""mean"": 0.2320820108680546, ""median"": 0.10659201563464106, ""p90"": 0.6328870949529198, ""p99"": 1.5679404153920942}"
train,10,5,0.5,34083,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.21877976041841665, ""median"": 0.07326869164225117, ""p90"": 0.5785863561868755, ""p99"": 1.7823264587182794}","{""count"": 34083, ""mean"": 0.23943877070196073, ""median"": 0.11143757180436079, ""p90"": 0.6575374355129041, ""p99"": 1.583241185932019}"
train,10,10,1.0,33745,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.009818913758340429, ""median"": 0.009943415588848026, ""p90"": 0.014602578360883288, ""p99"": 0.018110503033009952}","{""count"": 33745, ""mean"": 0.006460936288221963, ""median"": 0.006940208853593812, ""p90"": 0.013703022405441901, ""p99"": 0.01778417242771512}","{""count"": 33745, ""mean"": 0.009818913758340429, ""median"": 0.009943415588848026, ""p90"": 0.014602578360883288, ""p99"": 0.018110503033009952}","{""count"": 33745, ""mean"": 0.006460936288221963, ""median"": 0.006940208853593812, ""p90"": 0.013703022405441901, ""p99"": 0.01778417242771512}","{""count"": 33745, ""mean"": 0.7732491153316421, ""median"": 0.3271695603919446, ""p90"": 2.1634875209353637, ""p99"": 4.725416586215859}","{""count"": 33745, ""mean"": 0.776953344676363, ""median"": 0.3281337562587414, ""p90"": 2.162664409185607, ""p99"": 4.72601583139305}",,,,
train,10,10,1.0,33745,,,,,,,,Q_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6658385086953608, ""median"": 0.2593059756091157, ""p90"": 1.8457299539353733, ""p99"": 4.218874294634288}","{""count"": 33745, ""mean"": 0.3941496162328008, ""median"": 0.20723338114408318, ""p90"": 1.0257844844618227, ""p99"": 2.4955395841605137}"
train,10,10,1.0,33745,,,,,,,,G_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6272691821524786, ""median"": 0.24366312508485347, ""p90"": 1.7094638385843095, ""p99"": 4.222470713717664}","{""count"": 33745, ""mean"": 0.436082287393986, ""median"": 0.22589708499062847, ""p90"": 1.148524947791981, ""p99"": 2.772897110652339}"
train,10,10,1.0,33745,,,,,,,,A_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.607646667661813, ""median"": 0.23565151345406368, ""p90"": 1.6498965898120586, ""p99"": 4.0817789465703855}","{""count"": 33745, ""mean"": 0.4493688130145056, ""median"": 0.23336222052154107, ""p90"": 1.1948723407879565, ""p99"": 2.781438390218367}"
train,10,20,2.0,33073,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 0.009814818586160276, ""median"": 0.009940932426695656, ""p90"": 0.014600882058435733, ""p99"": 0.018069833350324017}","{""count"": 33073, ""mean"": 0.006391945006568653, ""median"": 0.006812951247790183, ""p90"": 0.013676091878656992, ""p99"": 0.01774045827941818}","{""count"": 33073, ""mean"": 0.009814818586160276, ""median"": 0.009940932426695656, ""p90"": 0.014600882058435733, ""p99"": 0.018069833350324017}","{""count"": 33073, ""mean"": 0.012783890013137306, ""median"": 0.013625902495580365, ""p90"": 0.027352183757313984, ""p99"": 0.03548091655883636}","{""count"": 33073, ""mean"": 1.9440557591340328, ""median"": 1.0508333116359638, ""p90"": 5.26941382787977, ""p99"": 9.743773955759364}","{""count"": 33073, ""mean"": 1.947696062618487, ""median"": 1.0504755821626777, ""p90"": 5.269585625937081, ""p99"": 9.735534992600671}",,,,
train,10,20,2.0,33073,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.7444113158726122, ""median"": 0.7583699107518912, ""p90"": 4.934611890221036, ""p99"": 9.0060046002498}","{""count"": 33073, ""mean"": 0.7275385424569508, ""median"": 0.40510016602717475, ""p90"": 1.8306593939980953, ""p99"": 4.896642255635852}"
