snr_ref_db,stream,targets,gt_identities,matched_frames,continuity,coast_ratio,id_switches,track_position_rmse_m,track_velocity_rmse_mps
-5.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.04902592652471573,0.3260310529591082
0.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.03444511334164469,0.2107109688207208
5.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.016369016112892067,0.1349195439621229
10.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.01329833453198725,0.10504543304243308
15.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.012567410497659616,0.09154204957405584
20.0,stream_count3,3,3,30,0.9629629629629629,0.0,0,0.012549946284523043,0.08557025277178412
-5.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.04142893390439302,0.2341853502251273
0.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.034512958657055795,0.14730207162613027
5.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.029862358737985723,0.1066255750497728
10.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.02825101665847099,0.09149773357043474
15.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.027740434359809166,0.08706405188188111
20.0,stream_count5,5,5,52,0.9777777777777777,0.0,0,0.0275860876984525,0.08613037207393667
-5.0,stream_count8,8,8,77,0.875,0.0,1,0.07293121914888998,0.44341034119381717
0.0,stream_count8,8,8,85,0.9861111111111112,0.011764705882352941,0,0.03735291619590016,0.18979124609778028
5.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.02285659220328553,0.12329080658203019
10.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.0157763642151062,0.08904676844728562
15.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.012631422244360284,0.07410634001651938
20.0,stream_count8,8,8,85,0.9861111111111112,0.0,0,0.011392502582732077,0.06814478874016364
-5.0,train_stream_low,1,1,11,1.0,0.0,2,0.07293643863153733,1.6709218561965062
0.0,train_stream_low,1,1,11,1.0,0.0,0,0.08232052962523603,0.27652488921811036
5.0,train_stream_low,1,1,11,1.0,0.0,0,0.0688334243462617,0.23075783171720163
10.0,train_stream_low,1,1,11,1.0,0.0,0,0.06635815178978316,0.21852388563057626
15.0,train_stream_low,1,1,11,1.0,0.0,0,0.0668742808672986,0.2169197150886698
20.0,train_stream_low,1,1,11,1.0,0.0,0,0.06776566574067691,0.21775726804377407
-5.0,train_stream_mid,5,5,55,1.0,0.0,3,0.10868849425854415,1.1220320634584688
0.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,3,0.11763128897907531,1.083762781867893
5.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,3,0.10934922871935585,1.0643677349700718
10.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,4,0.10352347188839423,1.0255917350253834
15.0,train_stream_mid,5,5,55,1.0,0.01818181818181818,4,0.10226886877641427,1.0233680519425081
20.0,train_stream_mid,5,5,55,1.0,0.0,3,0.09259932286199361,1.0132578768053901
-5.0,train_stream_high,8,8,60,0.75,0.35,2,1.8097668724535554,4.11578615514358
0.0,train_stream_high,8,8,60,0.75,0.35,2,1.7971745737679186,4.109813774700642
5.0,train_stream_high,8,8,60,0.75,0.35,2,1.7906633016778037,4.107238689767672
10.0,train_stream_high,8,8,60,0.75,0.35,2,1.7870932637388575,4.1061175890289885
15.0,train_stream_high,8,8,60,0.75,0.35,2,1.785114715557875,4.105590314656712
20.0,train_stream_high,8,8,60,0.75,0.35,2,1.7840112920885602,4.105326384992773
