kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
detection,synthetic,count1_r40_norm_b65,5.0,0,1,150-225,-4.8838401413220485,22.909024888373423,27.79286502969547,,296.87174054013883,1.5193798758452948,15.912477808640901
input,synthetic,count1_r40_norm_b65,10.0,0,0,10-75,25.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b65,10.0,0,0,10-75,25.917600346881503,25.108503979504484,-0.8090963673770197,,384035.4068242994,1184.4612816176023,26.404972536071174
input,synthetic,count1_r40_norm_b65,10.0,0,1,150-225,0.11615985867795153,,,,,,
detection,synthetic,count1_r40_norm_b65,10.0,0,1,150-225,0.11615985867795153,23.198744990136873,23.08258513145892,,934.7190782850221,4.475139811652854,17.010215715967544
input,synthetic,count1_r40_norm_b65,15.0,0,0,10-75,30.917600346881503,,,,,,
detection,synthetic,count1_r40_norm_b65,15.0,0,0,10-75,30.917600346881503,25.108667081144734,-5.808933265736769,,1214574.8929277784,3745.912178180646,26.4059642077092
input,synthetic,count1_r40_norm_b65,15.0,0,1,150-225,5.1161598586779515,,,,,,
detection,synthetic,count1_r40_norm_b65,15.0,0,1,150-225,5.1161598586779515,23.30673102909995,18.190571170421997,,2948.8712803243693,13.771546501004044,17.4384718680837
input,synthetic,count1_r40_norm_b65,20.0,0,0,10-75,35.9176003468815,,,,,,
