q_min_db,q_max_db,samples,sigma_r_m,sigma_u,detection_rate,fallback_used,median_abs_e_r_m,median_abs_e_u
,6.0,35,0.15596066322140162,0.0065072713350551835,0.013693270735524257,False,0.11125138485527941,0.00474079569017849
6.0,12.0,200,0.07920965477849765,0.004071773401440471,0.0782472613458529,False,0.05098862439174923,0.0027262598797012094
12.0,20.0,387,0.026335752518662933,0.0015963247427412967,0.15140845070422534,False,0.017622742144752124,0.001066245432447567
20.0,,1739,0.0032350782489441706,0.0001719995826654785,0.6803599374021909,False,0.0025418021720078343,0.00011614311445617975
