model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
E0,256,10.0,5.0,0.5,30,2,2,0,False,0.0017791374319955366,0.015676666441847887
B64,64,10.0,5.0,0.5,30,1,1,0,True,0.0983028487468971,0.4042002989178989
E0,256,10.0,5.0,0.5,31,2,2,0,False,0.008488411466245793,0.03389546559477696
B64,64,10.0,5.0,0.5,31,1,1,0,True,0.1403379184678215,0.5781377570781793
E0,256,10.0,5.0,1.0,0,3,2,1,False,0.0017148957828254652,0.011020685307184667
B64,64,10.0,5.0,1.0,0,1,1,0,True,0.12931798010015427,1.0536455416051589
E0,256,10.0,5.0,1.0,1,2,2,0,False,0.005149087902637461,0.03627375015094378
B64,64,10.0,5.0,1.0,1,5,2,3,False,0.22506273970199686,2.170567761047304
E0,256,10.0,5.0,1.0,2,3,2,1,False,0.0016867893626084651,0.024237602704585585
B64,64,10.0,5.0,1.0,2,1,1,0,True,0.030130056835673713,0.48411290550505665
E0,256,10.0,5.0,1.0,3,3,2,1,False,0.0025739678782201736,0.015124716416419718
B64,64,10.0,5.0,1.0,3,3,1,2,True,0.13214195374470705,1.0811264043347306
E0,256,10.0,5.0,1.0,4,2,2,0,False,0.0046820863708347815,0.03190329562455886
B64,64,10.0,5.0,1.0,4,3,2,1,False,0.14184921614689472,1.3686431191944632
E0,256,10.0,5.0,1.0,5,2,2,0,False,0.00569551801572743,0.05703545592466086
B64,64,10.0,5.0,1.0,5,2,1,1,True,0.1375177561776013,1.1178443101257782
E0,256,10.0,5.0,1.0,6,2,2,0,False,0.007971075325784227,0.07160590374473436
B64,64,10.0,5.0,1.0,6,1,1,0,True,0.13864298716984536,1.1444674120521932
E0,256,10.0,5.0,1.0,7,2,2,0,False,0.005175912640325464,0.04515919670648397
B64,64,10.0,5.0,1.0,7,1,1,0,True,0.1356658628823766,1.1098446873777759
E0,256,10.0,5.0,1.0,8,2,2,0,False,0.009164241468184287,0.07191798826642043
B64,64,10.0,5.0,1.0,8,1,1,0,True,0.13864542617443476,1.1462944084914048
E0,256,10.0,5.0,1.0,9,2,2,0,False,0.0005053106021506437,0.006491578104165977
B64,64,10.0,5.0,1.0,9,1,1,0,True,0.11656600631982883,0.9529721371806755
E0,256,10.0,5.0,1.0,10,2,2,0,False,0.00286127731999386,0.017800606876379094
B64,64,10.0,5.0,1.0,10,2,1,1,True,0.08201239137875405,0.5950512358006916
E0,256,10.0,5.0,1.0,11,2,2,0,False,0.0026407014271114804,0.021815874124887523
B64,64,10.0,5.0,1.0,11,1,1,0,True,0.09858750180131892,0.7627853901727774
E0,256,10.0,5.0,1.0,12,3,2,1,False,0.0008717718192627899,0.013883854094997046
B64,64,10.0,5.0,1.0,12,2,1,1,True,0.10544398318208437,0.8668269674027032
E0,256,10.0,5.0,1.0,13,3,2,1,False,0.004170888695156805,0.03979848560554523
B64,64,10.0,5.0,1.0,13,3,2,1,False,0.2407219445531723,2.2888317451451043
E0,256,10.0,5.0,1.0,14,3,2,1,False,0.0031370913771269215,0.02930286842619929
B64,64,10.0,5.0,1.0,14,1,1,0,True,0.026213633155521165,0.44557788660772035
E0,256,10.0,5.0,1.0,15,3,2,1,False,0.004671818974784969,0.03644388875184648
B64,64,10.0,5.0,1.0,15,2,2,0,False,0.19977746716952538,1.929220940862531
E0,256,10.0,5.0,1.0,16,3,2,1,False,0.009292996228580819,0.0735312081162844
B64,64,10.0,5.0,1.0,16,1,1,0,True,0.13685466560229997,1.1319813638435923
E0,256,10.0,5.0,1.0,17,5,2,3,False,0.002617388381182195,0.01881863339924613
B64,64,10.0,5.0,1.0,17,2,1,1,True,0.08898558701207548,0.6608953009969158
E0,256,10.0,5.0,1.0,18,3,2,1,False,0.008501800031368134,0.058055396140185074
B64,64,10.0,5.0,1.0,18,1,1,0,True,0.13796437655770433,1.1247958637095201
E0,256,10.0,5.0,1.0,19,2,2,0,False,0.007275888193859714,0.07005552152512018
B64,64,10.0,5.0,1.0,19,1,1,0,True,0.14008031895230033,1.1340504713732626
E0,256,10.0,5.0,1.0,20,2,2,0,False,0.0009507046876677805,0.019383994659571066
B64,64,10.0,5.0,1.0,20,3,1,2,True,0.1284997504874923,1.032142887434961
E0,256,10.0,5.0,1.0,21,3,2,1,False,0.004428441699488417,0.04334023326539064
B64,64,10.0,5.0,1.0,21,1,1,0,True,0.13319759435216838,1.1119328235532708
E0,256,10.0,5.0,1.0,22,2,2,0,False,0.002893268707907737,0.021423549034441478
B64,64,10.0,5.0,1.0,22,1,1,0,True,0.11568285918420429,1.0985714184843538
E0,256,10.0,5.0,1.0,23,2,2,0,False,0.008263361801866154,0.07978099045366097
