ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
0.4725,1.4568,211,high,False,41,57,0.9843,220,1118935967600,1.4568,5,False,0,ambiguous_close_vehicle,4
2.3484,16.5251,4,high,False,5,10,11.6402,15,1118935723100,13.9886,3,True,0,true_tracking_tail,8
2.0722,13.9458,4,high,False,5,9,9.3458,15,1118935723100,11.418,3,True,0,true_tracking_tail,8
0.4816,10.0683,11,high,False,5,24,2.9711,4,1118935724600,3.4528,7,True,0,true_tracking_tail,8
1.9237,8.7595,19,high,False,8,44,0.9348,20,1118935746600,2.8585,5,True,0,unresolved,8
5.6,7.803,4,high,False,5,77,0.9027,3,1118935728100,6.5027,6,True,0,unresolved,8
1.7482,6.8823,5,high,False,5,125,0.8947,7,1118935734600,2.6429,3,False,0,unresolved,8
18.7026,29.1002,37,high,True,7,163,0.0505,43,1118935736600,18.7531,0,True,0,alignment_suspect,8
11.5085,13.3176,36,high,True,7,38,0.0084,43,1118935724100,11.517,2,True,0,alignment_suspect,8
11.8745,12.9177,36,high,True,7,37,0.0065,43,1118935724100,11.881,2,True,0,alignment_suspect,8
0.4694,1.4475,211,high,True,41,59,0.9781,220,1118935967600,1.4475,5,False,0,ambiguous_close_vehicle,3
0.4694,1.4475,211,high,True,41,59,0.9781,220,1118935968100,1.4475,5,False,0,ambiguous_close_vehicle,3
0.4385,1.395,671,high,True,93,105,0.9566,635,1118936311100,1.395,2,False,0,ambiguous_close_vehicle,8
0.7733,6.5109,7,high,True,5,35,1.1995,11,1118935724100,1.9728,7,True,0,true_tracking_tail,8
1.0988,6.41,7,high,True,5,36,1.0391,11,1118935724100,2.138,7,True,0,true_tracking_tail,8
0.9463,4.1252,7,high,True,5,14,2.7018,4,1118935723100,3.6481,6,True,0,true_tracking_tail,8
5.5535,16.0814,41,high,True,7,97,0.9521,39,1118935730100,6.5056,7,True,0,unresolved,8
2.9881,8.5536,20,high,True,8,96,0.5542,19,1118935750100,3.5423,7,True,0,unresolved,8
2.1377,8.0022,5,high,True,5,124,0.9394,7,1118935734600,3.0771,3,False,0,unresolved,8
160.329,4.0904,8,low,False,6,63,4.0904,8,1118935726600,164.4194,2,True,0,true_tracking_tail,3
158.5509,3.2128,8,low,False,6,62,3.2128,8,1118935726600,161.7637,2,True,0,true_tracking_tail,3
30.6633,2.8499,1191,low,False,164,45,2.8499,1191,1118936785600,33.5131,2,False,0,true_tracking_tail,3
6.9276,7.5855,467,mid,False,66,85,0.2561,479,1118936130600,7.1837,3,True,0,alignment_suspect,6
2.7654,7.1317,1210,mid,False,160,146,0.4248,1191,1118936756600,3.1903,3,True,0,alignment_suspect,6
5.0337,6.2732,614,mid,False,82,95,0.3824,604,1118936231600,5.4161,3,False,0,alignment_suspect,6
1.1936,8.246,8,mid,False,2,105,8.246,8,1118935712100,9.4396,6,True,0,true_tracking_tail,5
0.702,6.9067,8,mid,False,2,104,6.9067,8,1118935712100,7.6087,6,True,0,true_tracking_tail,5
0.1946,5.5913,8,mid,False,2,103,5.5913,8,1118935712100,5.7859,6,True,0,true_tracking_tail,5
4.8879,6.4405,614,mid,False,82,94,0.518,604,1118936231600,5.4058,3,False,0,unresolved,6
4.8202,5.3807,604,mid,False,82,106,0.5605,614,1118936231100,5.3807,3,True,0,unresolved,6
3.9461,4.9388,604,mid,False,82,105,0.9927,614,1118936231100,4.9388,3,True,0,unresolved,6
17.7833,19.0394,1193,mid,True,165,48,0.0198,1190,1118936785100,17.8031,0,True,0,alignment_suspect,5
18.0358,18.0649,1193,mid,True,165,93,0.0292,1185,1118936789600,18.0649,4,True,0,alignment_suspect,5
17.5129,17.5775,1193,mid,True,165,92,0.0646,1185,1118936789600,17.5775,4,True,0,alignment_suspect,5
0.8226,4.5082,15,mid,True,4,96,4.5082,15,1118935711100,5.3308,0,True,0,true_tracking_tail,4
1.3668,3.7484,15,mid,True,4,99,3.7484,15,1118935711100,5.1152,0,True,0,true_tracking_tail,4
8.0981,3.2852,12,mid,True,4,101,3.2852,12,1118935710600,11.3833,1,False,0,true_tracking_tail,4
2.2351,10.3092,479,mid,True,66,133,0.9111,470,1118936133600,3.1461,7,True,0,unresolved,6
3.4133,6.7916,1187,mid,True,160,48,0.8193,1185,1118936745100,4.2326,7,True,0,unresolved,6
1.6328,6.7134,1187,mid,True,160,23,0.8416,1190,1118936743600,2.4744,0,True,0,unresolved,6
4.0992,11.4307,39,high,False,7,82,0.0571,40,1118935728600,4.1563,2,True,10,alignment_suspect,8
2.1123,7.4916,19,high,False,8,69,0.3048,18,1118935747600,2.4171,0,False,10,alignment_suspect,8
3.1586,6.8339,7,high,False,5,117,0.3359,11,1118935732100,3.4944,7,True,10,alignment_suspect,8
0.471,1.4556,211,high,False,41,57,0.9846,220,1118935967600,1.4556,3,False,10,ambiguous_close_vehicle,4
3.0214,16.9662,5,high,False,5,30,3.6732,12,1118935723600,6.6946,5,True,10,true_tracking_tail,8
1.5851,10.7008,4,high,False,5,37,4.4273,12,1118935724100,6.0124,6,True,10,true_tracking_tail,8
3.1479,10.5303,11,high,False,5,33,7.3824,12,1118935723600,10.5303,4,True,10,true_tracking_tail,8
3.0834,15.0162,18,high,False,8,103,0.6135,24,1118935750600,3.6969,0,True,10,unresolved,8
1.8811,8.271,19,high,False,8,70,0.7099,18,1118935747600,2.5911,0,False,10,unresolved,8
3.0846,7.2474,19,high,False,8,94,0.7956,24,1118935750100,3.8802,5,False,10,unresolved,8
11.5106,13.3194,36,high,True,7,38,0.0061,43,1118935724100,11.5168,2,True,10,alignment_suspect,8
11.8751,12.9187,36,high,True,7,37,0.0068,43,1118935724100,11.8819,2,True,10,alignment_suspect,8
12.0602,12.4896,36,high,True,7,36,0.0122,43,1118935724100,12.0724,2,True,10,alignment_suspect,8
0.4924,1.4533,1070,high,True,149,124,0.9609,1081,1118936694100,1.4533,4,False,10,ambiguous_close_vehicle,8
