ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
5.4622,12.2796,479,mid,False,66,173,0.4492,470,1118936137600,5.9114,2,True,5,alignment_suspect,6
3.2331,10.6321,479,mid,False,66,14,0.4465,470,1118936123600,3.6797,3,True,5,alignment_suspect,6
6.936,7.5907,467,mid,False,66,85,0.2538,479,1118936130100,7.1898,6,True,5,alignment_suspect,6
1.4217,2.4388,2,mid,False,2,88,1.0171,8,1118935709100,2.4388,2,False,5,true_tracking_tail,5
1.4217,2.4388,2,mid,False,2,88,1.0171,8,1118935709600,2.4388,2,False,5,true_tracking_tail,5
0.0171,2.3127,0,mid,False,2,107,2.3127,0,1118935711100,2.3298,6,False,5,true_tracking_tail,5
1.1254,7.4889,1191,mid,False,160,32,0.7636,1187,1118936743600,1.889,2,True,5,unresolved,6
0.8997,7.3636,1191,mid,False,160,33,0.8945,1187,1118936743600,1.7943,2,True,5,unresolved,6
6.103,6.9074,665,mid,False,92,11,0.8044,640,1118936303100,6.9074,1,True,5,unresolved,5
5.3609,12.4641,618,mid,True,82,137,0.2861,614,1118936234100,5.647,3,True,5,alignment_suspect,6
5.5154,11.9821,479,mid,True,66,172,0.3852,470,1118936137600,5.9005,2,True,5,alignment_suspect,6
3.3606,7.7201,1190,mid,True,160,68,0.2239,1185,1118936747100,3.5845,2,True,5,alignment_suspect,6
0.8348,4.5021,15,mid,True,4,96,4.5021,15,1118935711100,5.3369,0,True,5,true_tracking_tail,4
1.3318,3.7661,15,mid,True,4,99,3.7661,15,1118935711100,5.0979,0,True,5,true_tracking_tail,4
8.0972,3.2559,12,mid,True,4,101,3.2559,12,1118935710600,11.3531,1,False,5,true_tracking_tail,4
2.6208,7.931,1185,mid,True,160,82,0.5101,1190,1118936748600,3.1309,0,True,5,unresolved,6
4.4594,7.3892,618,mid,True,82,117,0.8674,615,1118936232100,5.3268,7,True,5,unresolved,6
4.4594,7.3892,618,mid,True,82,117,0.8674,615,1118936232600,5.3268,7,True,5,unresolved,6
,,8,mid,True,2,176,,0,,,1,,-5,identity_switch_event,
,,11,mid,True,4,116,,12,,,2,,-5,identity_switch_event,
,,12,mid,True,4,131,,11,,,2,,-5,identity_switch_event,
,,11,mid,False,4,101,,15,,,5,,-5,identity_switch_event,
,,12,mid,True,4,141,,11,,,0,,0,identity_switch_event,
,,11,mid,False,4,106,,15,,,4,,0,identity_switch_event,
,,15,mid,True,4,111,,11,,,4,,0,identity_switch_event,
,,12,mid,False,4,136,,11,,,7,,0,identity_switch_event,
,,12,mid,True,4,141,,11,,,0,,5,identity_switch_event,
,,11,mid,False,4,106,,15,,,4,,5,identity_switch_event,
