condition,miss_probability,false_alarm_rate,snr_db,method,association_f1,track_decision_accuracy,identity_f1,id_switches,id_switches_per_1000_detections,position_rmse_m
miss_0.05__far_1.50,0.05,1.5,5,gated_hungarian_ekf_legacy,0.9760797342192692,0.9664556962025317,0.9159261790840738,67,92.28650137741047,1.0623666362098034
miss_0.05__far_1.50,0.05,1.5,5,gated_hungarian_ekf,0.9810040705563094,0.9683544303797469,0.9825783972125435,4,5.509641873278237,0.602573818409115
miss_0.05__far_1.50,0.05,1.5,5,edge_mlp,0.9946308724832215,0.9911392405063291,0.9972413793103448,1,1.3774104683195592,0.6007982318068387
miss_0.05__far_1.50,0.05,1.5,5,association_gnn,0.9956419711699632,0.9930379746835443,0.9993108201240524,0,0.0,0.5954082467885671
miss_0.05__far_1.50,0.05,1.5,10,gated_hungarian_ekf_legacy,0.9833887043189369,0.9753164556962025,0.9381868131868132,56,78.10320781032078,1.4901136731608853
miss_0.05__far_1.50,0.05,1.5,10,gated_hungarian_ekf,0.9846782431052095,0.9715189873417721,0.9714285714285714,3,4.184100418410042,0.5359173098596872
miss_0.05__far_1.50,0.05,1.5,10,edge_mlp,0.9983227104998322,0.9968354430379747,1.0,0,0.0,0.5010247153262593
miss_0.05__far_1.50,0.05,1.5,10,association_gnn,0.9996647670130742,0.9993670886075949,1.0,0,0.0,0.5010247153262593
miss_0.05__far_1.50,0.05,1.5,15,gated_hungarian_ekf_legacy,0.9833887043189369,0.9753164556962025,0.9855868222374742,15,20.718232044198896,0.7188196170812481
miss_0.05__far_1.50,0.05,1.5,15,gated_hungarian_ekf,0.9839863713798979,0.970253164556962,0.9845938375350141,1,1.3812154696132597,0.5073418402161988
miss_0.05__far_1.50,0.05,1.5,15,edge_mlp,0.9986586183769283,0.9974683544303797,1.0,0,0.0,0.4744305012728007
miss_0.05__far_1.50,0.05,1.5,15,association_gnn,0.9996647670130742,0.9993670886075949,1.0,0,0.0,0.4744305012728007
miss_0.05__far_1.50,0.05,1.5,20,gated_hungarian_ekf_legacy,0.9823978744603122,0.9740506329113924,0.9337883959044369,55,75.75757575757575,1.393077231054414
miss_0.05__far_1.50,0.05,1.5,20,gated_hungarian_ekf,0.9794661190965093,0.9620253164556962,0.9853454291695743,1,1.3774104683195592,0.43255856704695883
miss_0.05__far_1.50,0.05,1.5,20,edge_mlp,0.9993293091884641,0.9987341772151899,1.0,0,0.0,0.3924398704029323
miss_0.05__far_1.50,0.05,1.5,20,association_gnn,0.9996647670130742,0.9993670886075949,1.0,0,0.0,0.3924398704029323
miss_0.10__far_1.50,0.1,1.5,5,gated_hungarian_ekf_legacy,0.9538354737938216,0.939873417721519,0.9341917024320457,62,90.77598828696925,1.0068116055413028
miss_0.10__far_1.50,0.1,1.5,5,gated_hungarian_ekf,0.9719424460431654,0.9544303797468354,0.9792592592592593,6,8.784773060029282,0.624804302330778
miss_0.10__far_1.50,0.1,1.5,5,edge_mlp,0.9925611052072263,0.9879746835443038,0.998533724340176,0,0.0,0.6100877905330259
miss_0.10__far_1.50,0.1,1.5,5,association_gnn,0.994694021931376,0.9917721518987341,0.9992673992673992,0,0.0,0.608739363558237
miss_0.10__far_1.50,0.1,1.5,10,gated_hungarian_ekf_legacy,0.9607775078097883,0.9468354430379747,0.8524118070554356,120,177.25258493353027,2.801409311019531
miss_0.10__far_1.50,0.1,1.5,10,gated_hungarian_ekf,0.9754512635379061,0.9569620253164557,0.964992389649924,3,4.431314623338257,0.5462666623734365
miss_0.10__far_1.50,0.1,1.5,10,edge_mlp,0.9961061946902655,0.9930379746835443,0.9970457902511078,2,2.9542097488921715,0.516382999027172
miss_0.10__far_1.50,0.1,1.5,10,association_gnn,0.9985855728429985,0.9974683544303797,0.9977859778597786,2,2.9542097488921715,0.511829796405038
miss_0.10__far_1.50,0.1,1.5,15,gated_hungarian_ekf_legacy,0.9607775078097883,0.9468354430379747,0.8642857142857142,107,155.52325581395348,2.0774582258925385
miss_0.10__far_1.50,0.1,1.5,15,gated_hungarian_ekf,0.9754335260115606,0.9569620253164557,0.9763663220088626,5,7.267441860465116,0.5197250031257575
miss_0.10__far_1.50,0.1,1.5,15,edge_mlp,0.9964614295824485,0.9936708860759493,0.998546511627907,1,1.4534883720930232,0.479679550363165
miss_0.10__far_1.50,0.1,1.5,15,association_gnn,0.9985855728429985,0.9974683544303797,0.9978181818181817,1,1.4534883720930232,0.493788852588856
miss_0.10__far_1.50,0.1,1.5,20,gated_hungarian_ekf_legacy,0.9642485248177717,0.950632911392405,0.784115523465704,164,241.88790560471978,3.7141285136226085
miss_0.10__far_1.50,0.1,1.5,20,gated_hungarian_ekf,0.9735411380935122,0.9537974683544304,0.9774096385542168,1,1.4749262536873156,0.4448957146393766
miss_0.10__far_1.50,0.1,1.5,20,edge_mlp,1.0,1.0,0.9992619926199262,0,0.0,0.40066872731177133
miss_0.10__far_1.50,0.1,1.5,20,association_gnn,1.0,1.0,1.0,0,0.0,0.40035252495889734
miss_0.20__far_1.50,0.2,1.5,5,gated_hungarian_ekf_legacy,0.9108678655199376,0.8930379746835443,0.8763866877971473,105,173.841059602649,1.4928151821554216
miss_0.20__far_1.50,0.2,1.5,5,gated_hungarian_ekf,0.9588235294117646,0.9424050632911393,0.9534292972057579,14,23.178807947019866,0.7170364223502347
miss_0.20__far_1.50,0.2,1.5,5,edge_mlp,0.989344262295082,0.9867088607594937,0.9950248756218905,2,3.3112582781456954,0.6448414668147051
miss_0.20__far_1.50,0.2,1.5,5,association_gnn,0.9922290388548057,0.990506329113924,0.9975144987572493,1,1.6556291390728477,0.6422169278949776
miss_0.20__far_1.50,0.2,1.5,10,gated_hungarian_ekf_legacy,0.9179046129788898,0.8987341772151899,0.7908082408874803,156,257.001647446458,3.076369978396558
miss_0.20__far_1.50,0.2,1.5,10,gated_hungarian_ekf,0.9629005059021922,0.9443037974683545,0.9592529711375213,6,9.884678747940692,0.5711328348462497
miss_0.20__far_1.50,0.2,1.5,10,edge_mlp,0.9959083469721768,0.9936708860759493,0.9958779884583676,2,3.2948929159802307,0.5059258296189288
miss_0.20__far_1.50,0.2,1.5,10,association_gnn,0.9983660130718954,0.9974683544303797,0.9983525535420099,1,1.6474464579901154,0.5026125403082461
miss_0.20__far_1.50,0.2,1.5,15,gated_hungarian_ekf_legacy,0.9194683346364347,0.9,0.7416267942583731,188,312.81198003327785,3.8856625175329933
miss_0.20__far_1.50,0.2,1.5,15,gated_hungarian_ekf,0.9637130801687764,0.9455696202531646,0.9311531841652323,20,33.277870216306155,0.7855391755176048
miss_0.20__far_1.50,0.2,1.5,15,edge_mlp,0.9959083469721768,0.9936708860759493,0.9983361064891847,1,1.663893510815308,0.4922921988897814
miss_0.20__far_1.50,0.2,1.5,15,association_gnn,0.9983660130718954,0.9974683544303797,0.9991673605328892,0,0.0,0.4924823773388674
miss_0.20__far_1.50,0.2,1.5,20,gated_hungarian_ekf_legacy,0.921453692848769,0.9012658227848102,0.7115072933549434,199,333.89261744966444,3.7611656370425295
miss_0.20__far_1.50,0.2,1.5,20,gated_hungarian_ekf,0.9606099110546379,0.9411392405063291,0.9706896551724139,1,1.6778523489932886,0.45238999565429616
miss_0.20__far_1.50,0.2,1.5,20,edge_mlp,0.9995913363302003,0.9993670886075949,1.0,0,0.0,0.40196065102863915
miss_0.20__far_1.50,0.2,1.5,20,association_gnn,1.0,1.0,1.0,0,0.0,0.40196065102863915
miss_0.30__far_1.50,0.3,1.5,5,gated_hungarian_ekf_legacy,0.8846652267818574,0.8734177215189873,0.7557117750439367,177,333.3333333333333,2.8015627600331356
miss_0.30__far_1.50,0.3,1.5,5,gated_hungarian_ekf,0.9507109004739337,0.9392405063291139,0.8593749999999999,53,99.81167608286252,2.1404356879139277
miss_0.30__far_1.50,0.3,1.5,5,edge_mlp,0.9894350022967388,0.9873417721518988,0.9915014164305949,3,5.649717514124294,0.6582384761459087
miss_0.30__far_1.50,0.3,1.5,5,association_gnn,0.9926672777268561,0.9911392405063291,0.9952874646559849,2,3.766478342749529,0.6546731863815568
miss_0.30__far_1.50,0.3,1.5,10,gated_hungarian_ekf_legacy,0.8976241900647948,0.8835443037974684,0.7206405693950177,185,346.44194756554305,2.9692125002839087
miss_0.30__far_1.50,0.3,1.5,10,gated_hungarian_ekf,0.9606448553816975,0.9481012658227848,0.937984496124031,14,26.217228464419474,1.0700932981504958
miss_0.30__far_1.50,0.3,1.5,10,edge_mlp,0.9977074736359468,0.9968354430379747,0.99624765478424,1,1.8726591760299625,0.5285244131221908
miss_0.30__far_1.50,0.3,1.5,10,association_gnn,0.9990842490842491,0.9987341772151899,0.9971936389148736,2,3.745318352059925,0.5265087423952233
miss_0.30__far_1.50,0.3,1.5,15,gated_hungarian_ekf_legacy,0.8993520518358532,0.8848101265822785,0.6835902085222121,208,401.5444015444015,4.161156444825456
miss_0.30__far_1.50,0.3,1.5,15,gated_hungarian_ekf,0.9611005692599621,0.9487341772151898,0.8565656565656566,48,92.66409266409266,2.6600555916609174
miss_0.30__far_1.50,0.3,1.5,15,edge_mlp,0.9977074736359468,0.9968354430379747,0.9980694980694981,1,1.9305019305019304,0.49491461236252415
miss_0.30__far_1.50,0.3,1.5,15,association_gnn,0.9986257443884562,0.9981012658227848,0.9971014492753624,1,1.9305019305019304,0.4975763165398226
miss_0.30__far_1.50,0.3,1.5,20,gated_hungarian_ekf_legacy,0.8981001727115717,0.8835443037974684,0.7038019451812556,198,370.0934579439252,4.539579582547819
miss_0.30__far_1.50,0.3,1.5,20,gated_hungarian_ekf,0.9551526717557252,0.9411392405063291,0.8952007835455437,29,54.205607476635514,2.501302866608002
miss_0.30__far_1.50,0.3,1.5,20,edge_mlp,0.9995419147961521,0.9993670886075949,0.9990645463049579,0,0.0,0.40800427887210183
miss_0.30__far_1.50,0.3,1.5,20,association_gnn,1.0,1.0,1.0,0,0.0,0.4079838202688767
miss_0.10__far_0.50,0.1,0.5,5,gated_hungarian_ekf_legacy,0.9813708260105448,0.9746835443037974,0.9470630891950689,43,62.957540263543194,1.0555980994357776
miss_0.10__far_0.50,0.1,0.5,5,gated_hungarian_ekf,0.9807005003573982,0.9689873417721518,0.9799554565701559,4,5.856515373352855,0.6242744970608222
miss_0.10__far_0.50,0.1,0.5,5,edge_mlp,0.9932695713779668,0.989240506329114,0.9992673992673992,0,0.0,0.608739363558237
miss_0.10__far_0.50,0.1,0.5,5,association_gnn,0.995049504950495,0.9924050632911392,0.9992673992673992,0,0.0,0.608739363558237
miss_0.10__far_0.50,0.1,0.5,10,gated_hungarian_ekf_legacy,0.9862917398945518,0.980379746835443,0.9530791788856304,37,54.65288035450517,0.9919628442582326
miss_0.10__far_0.50,0.1,0.5,10,gated_hungarian_ekf,0.9831359885181199,0.970253164556962,0.9751693002257337,4,5.908419497784343,0.5562601288991682
miss_0.10__far_0.50,0.1,0.5,10,edge_mlp,0.997523876901309,0.9955696202531645,0.9970457902511078,2,2.9542097488921715,0.516382999027172
miss_0.10__far_0.50,0.1,0.5,10,association_gnn,0.9985855728429985,0.9974683544303797,0.9985228951255539,1,1.4771048744460857,0.5123780088760148
miss_0.10__far_0.50,0.1,0.5,15,gated_hungarian_ekf_legacy,0.9869947275922671,0.9810126582278481,0.9732078204199854,21,30.523255813953487,1.3574019844189589
miss_0.10__far_0.50,0.1,0.5,15,gated_hungarian_ekf,0.9831359885181199,0.970253164556962,0.9860396767083028,2,2.9069767441860463,0.5175492293917203
miss_0.10__far_0.50,0.1,0.5,15,edge_mlp,0.997523876901309,0.9955696202531645,0.998546511627907,1,1.4534883720930232,0.479679550363165
miss_0.10__far_0.50,0.1,0.5,15,association_gnn,0.9985855728429985,0.9974683544303797,1.0,0,0.0,0.48176200480590636
miss_0.10__far_0.50,0.1,0.5,20,gated_hungarian_ekf_legacy,0.9891036906854129,0.9841772151898734,0.8935860058309038,81,119.46902654867256,2.057429045648259
miss_0.10__far_0.50,0.1,0.5,20,gated_hungarian_ekf,0.9805475504322767,0.9658227848101266,0.9812171299774606,0,0.0,0.4360665358118095
miss_0.10__far_0.50,0.1,0.5,20,edge_mlp,1.0,1.0,1.0,0,0.0,0.40035252495889734
miss_0.10__far_0.50,0.1,0.5,20,association_gnn,1.0,1.0,1.0,0,0.0,0.40035252495889734
