================================================================================
📡 SNR ROBUSTNESS | Target SNR: 0dB | Grid: 61 | Smooth: 7 | Temp: 0.3
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr0_g61_s7_t0p3_e0_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=1.5424, high=1.9961

[gpt2_soft_snr0] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr0] Ep   1/120 [313s] Loss=0.7313/2.6696 | Train_ADE=2.298m | Val_ADE=2.042m FDE=3.331m (best=2.042) | S1=0.875m S5=1.399m S10=1.931m S15=2.582m S20=3.331m | L_cls=0.683 L_reg=0.0048 | Acc=78.60%/36.86%
[gpt2_soft_snr0] Ep   2/120 [311s] Loss=0.4093/2.8410 | Train_ADE=1.795m | Val_ADE=1.937m FDE=3.043m (best=1.937) | S1=0.895m S5=1.377m S10=1.877m S15=2.389m S20=3.043m | L_cls=0.375 L_reg=0.0035 | Acc=86.33%/32.97%
[gpt2_soft_snr0] Ep   3/120 [311s] Loss=0.3747/3.2838 | Train_ADE=1.708m | Val_ADE=1.890m FDE=2.976m (best=1.890) | S1=0.883m S5=1.362m S10=1.833m S15=2.334m S20=2.976m | L_cls=0.343 L_reg=0.0031 | Acc=86.66%/31.14%
[gpt2_soft_snr0] Ep   4/120 [312s] Loss=0.3580/2.6059 | Train_ADE=1.616m | Val_ADE=1.800m FDE=2.925m (best=1.800) | S1=0.870m S5=1.282m S10=1.662m S15=2.219m S20=2.925m | L_cls=0.329 L_reg=0.0029 | Acc=86.77%/36.00%
[gpt2_soft_snr0] Ep   5/120 [311s] Loss=0.3474/2.3180 | Train_ADE=1.525m | Val_ADE=1.695m FDE=2.679m (best=1.695) | S1=0.859m S5=1.238m S10=1.598m S15=2.066m S20=2.679m | L_cls=0.321 L_reg=0.0027 | Acc=86.83%/42.01%
[gpt2_soft_snr0] Ep   6/120 [311s] Loss=0.3408/3.0088 | Train_ADE=1.471m | Val_ADE=1.646m FDE=2.472m (best=1.646) | S1=0.858m S5=1.258m S10=1.603m S15=1.972m S20=2.472m | L_cls=0.316 L_reg=0.0025 | Acc=86.87%/33.33%
[gpt2_soft_snr0] Ep   7/120 [304s] Loss=0.3362/4.1514 | Train_ADE=1.430m | Val_ADE=1.766m FDE=2.718m (best=1.646) | S1=0.861m S5=1.341m S10=1.698m S15=2.136m S20=2.718m | L_cls=0.312 L_reg=0.0024 | Acc=86.91%/21.80%
[gpt2_soft_snr0] Ep   8/120 [311s] Loss=0.3329/2.5349 | Train_ADE=1.406m | Val_ADE=1.594m FDE=2.322m (best=1.594) | S1=0.861m S5=1.256m S10=1.561m S15=1.887m S20=2.322m | L_cls=0.309 L_reg=0.0024 | Acc=86.94%/39.55%
[gpt2_soft_snr0] Ep   9/120 [311s] Loss=0.3297/1.8744 | Train_ADE=1.383m | Val_ADE=1.584m FDE=2.357m (best=1.584) | S1=0.857m S5=1.247m S10=1.525m S15=1.870m S20=2.357m | L_cls=0.307 L_reg=0.0023 | Acc=86.95%/48.39%
[gpt2_soft_snr0] Ep  10/120 [312s] Loss=0.3274/1.9109 | Train_ADE=1.369m | Val_ADE=1.563m FDE=2.354m (best=1.563) | S1=0.845m S5=1.211m S10=1.505m S15=1.853m S20=2.354m | L_cls=0.305 L_reg=0.0023 | Acc=86.98%/49.49%
[gpt2_soft_snr0] Ep  11/120 [312s] Loss=0.3254/2.0599 | Train_ADE=1.349m | Val_ADE=1.549m FDE=2.266m (best=1.549) | S1=0.846m S5=1.208m S10=1.512m S15=1.840m S20=2.266m | L_cls=0.303 L_reg=0.0022 | Acc=87.00%/47.05%
