================================================================================
📡 SNR ROBUSTNESS | Target SNR: 5dB | Grid: 61 | Smooth: 5 | Temp: 0.25
[Localize] Building cache for SNR 5dB with Grid 61...
[train] Anchor MAE: 0.5205m | Grid: 61 | Smooth: 5 | Temp: 0.25
[val] Anchor MAE: 0.5322m | Grid: 61 | Smooth: 5 | Temp: 0.25
[Cache] saved to ./logs/localized_cache_dataset_lankershim_v3_localize_snr5_g61_s5_t0p25_e0_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=1.3073, high=1.5741

[gpt2_soft_snr5] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr5] Ep   1/100 [307s] Loss=0.7458/2.4675 | Train_ADE=2.152m | Val_ADE=2.044m FDE=3.391m (best=2.044) | S1=0.768m S5=1.357m S10=1.913m S15=2.629m S20=3.391m | L_cls=0.703 L_reg=0.0043 | Acc=78.20%/38.15%
[gpt2_soft_snr5] Ep   2/100 [309s] Loss=0.4082/2.3017 | Train_ADE=1.770m | Val_ADE=1.950m FDE=3.287m (best=1.950) | S1=0.780m S5=1.330m S10=1.783m S15=2.474m S20=3.287m | L_cls=0.377 L_reg=0.0031 | Acc=86.33%/42.32%
[gpt2_soft_snr5] Ep   3/100 [306s] Loss=0.3696/2.3940 | Train_ADE=1.630m | Val_ADE=1.716m FDE=2.741m (best=1.716) | S1=0.791m S5=1.243m S10=1.594m S15=2.132m S20=2.741m | L_cls=0.342 L_reg=0.0027 | Acc=86.68%/42.10%
[gpt2_soft_snr5] Ep   4/100 [310s] Loss=0.3494/2.3744 | Train_ADE=1.470m | Val_ADE=1.653m FDE=2.490m (best=1.653) | S1=0.787m S5=1.252m S10=1.586m S15=2.027m S20=2.490m | L_cls=0.326 L_reg=0.0023 | Acc=86.79%/42.73%
[gpt2_soft_snr5] Ep   5/100 [308s] Loss=0.3393/2.2596 | Train_ADE=1.386m | Val_ADE=1.555m FDE=2.417m (best=1.555) | S1=0.775m S5=1.217m S10=1.435m S15=1.867m S20=2.417m | L_cls=0.318 L_reg=0.0021 | Acc=86.84%/44.00%
[gpt2_soft_snr5] Ep   6/100 [307s] Loss=0.3325/2.5499 | Train_ADE=1.339m | Val_ADE=1.515m FDE=2.239m (best=1.515) | S1=0.775m S5=1.212m S10=1.453m S15=1.801m S20=2.239m | L_cls=0.313 L_reg=0.0020 | Acc=86.89%/39.30%
[gpt2_soft_snr5] Ep   7/100 [309s] Loss=0.3284/2.2786 | Train_ADE=1.299m | Val_ADE=1.515m FDE=2.291m (best=1.515) | S1=0.763m S5=1.201m S10=1.428m S15=1.804m S20=2.291m | L_cls=0.309 L_reg=0.0019 | Acc=86.93%/44.22%
[gpt2_soft_snr5] Ep   8/100 [307s] Loss=0.3242/2.7007 | Train_ADE=1.267m | Val_ADE=1.494m FDE=2.152m (best=1.494) | S1=0.771m S5=1.216m S10=1.451m S15=1.761m S20=2.152m | L_cls=0.306 L_reg=0.0018 | Acc=86.95%/40.67%
[gpt2_soft_snr5] Ep   9/100 [308s] Loss=0.3217/2.4268 | Train_ADE=1.252m | Val_ADE=1.428m FDE=2.118m (best=1.428) | S1=0.760m S5=1.162m S10=1.345m S15=1.684m S20=2.118m | L_cls=0.304 L_reg=0.0018 | Acc=86.96%/44.05%
[gpt2_soft_snr5] Ep  10/100 [303s] Loss=0.3205/2.0261 | Train_ADE=1.238m | Val_ADE=1.466m FDE=2.235m (best=1.428) | S1=0.761m S5=1.161m S10=1.365m S15=1.739m S20=2.235m | L_cls=0.303 L_reg=0.0018 | Acc=86.98%/48.19%
[gpt2_soft_snr5] Ep  11/100 [303s] Loss=0.3183/2.2507 | Train_ADE=1.227m | Val_ADE=1.481m FDE=2.183m (best=1.428) | S1=0.762m S5=1.187m S10=1.419m S15=1.750m S20=2.183m | L_cls=0.301 L_reg=0.0017 | Acc=87.01%/44.75%
[gpt2_soft_snr5] Ep  12/100 [304s] Loss=0.3163/2.0978 | Train_ADE=1.216m | Val_ADE=1.452m FDE=2.069m (best=1.428) | S1=0.748m S5=1.173m S10=1.417m S15=1.721m S20=2.069m | L_cls=0.299 L_reg=0.0017 | Acc=87.04%/47.50%
[gpt2_soft_snr5] Ep  13/100 [306s] Loss=0.3148/2.2829 | Train_ADE=1.205m | Val_ADE=1.444m FDE=2.071m (best=1.428) | S1=0.754m S5=1.172m S10=1.401m S15=1.706m S20=2.071m | L_cls=0.298 L_reg=0.0017 | Acc=87.05%/43.19%
[gpt2_soft_snr5] Ep  14/100 [310s] Loss=0.3138/2.0621 | Train_ADE=1.197m | Val_ADE=1.394m FDE=2.041m (best=1.394) | S1=0.752m S5=1.143m S10=1.319m S15=1.634m S20=2.041m | L_cls=0.297 L_reg=0.0017 | Acc=87.06%/47.83%
[gpt2_soft_snr5] Ep  15/100 [303s] Loss=0.3128/1.9861 | Train_ADE=1.188m | Val_ADE=1.412m FDE=2.046m (best=1.394) | S1=0.750m S5=1.158m S10=1.354m S15=1.659m S20=2.046m | L_cls=0.296 L_reg=0.0017 | Acc=87.08%/48.47%
[gpt2_soft_snr5] Ep  16/100 [308s] Loss=0.3116/1.9248 | Train_ADE=1.179m | Val_ADE=1.394m FDE=2.095m (best=1.394) | S1=0.747m S5=1.127m S10=1.293m S15=1.644m S20=2.095m | L_cls=0.295 L_reg=0.0017 | Acc=87.09%/49.48%
[gpt2_soft_snr5] Ep  17/100 [308s] Loss=0.3104/2.1426 | Train_ADE=1.168m | Val_ADE=1.371m FDE=1.990m (best=1.371) | S1=0.749m S5=1.139m S10=1.304m S15=1.598m S20=1.990m | L_cls=0.294 L_reg=0.0016 | Acc=87.10%/47.18%
[gpt2_soft_snr5] Ep  18/100 [309s] Loss=0.3095/2.3444 | Train_ADE=1.163m | Val_ADE=1.367m FDE=1.962m (best=1.367) | S1=0.752m S5=1.150m S10=1.300m S15=1.586m S20=1.962m | L_cls=0.293 L_reg=0.0016 | Acc=87.11%/44.89%
[gpt2_soft_snr5] Ep  19/100 [303s] Loss=0.3081/1.8767 | Train_ADE=1.152m | Val_ADE=1.367m FDE=1.950m (best=1.367) | S1=0.750m S5=1.143m S10=1.310m S15=1.590m S20=1.950m | L_cls=0.292 L_reg=0.0016 | Acc=87.14%/51.30%
[gpt2_soft_snr5] Ep  20/100 [309s] Loss=0.3075/2.0078 | Train_ADE=1.144m | Val_ADE=1.342m FDE=1.962m (best=1.342) | S1=0.747m S5=1.107m S10=1.259m S15=1.570m S20=1.962m | L_cls=0.292 L_reg=0.0016 | Acc=87.14%/49.52%
[gpt2_soft_snr5] Ep  21/100 [304s] Loss=0.3080/1.9477 | Train_ADE=1.147m | Val_ADE=1.353m FDE=1.953m (best=1.342) | S1=0.748m S5=1.118m S10=1.286m S15=1.581m S20=1.953m | L_cls=0.292 L_reg=0.0016 | Acc=87.13%/49.97%
[gpt2_soft_snr5] Ep  22/100 [304s] Loss=0.3066/2.1965 | Train_ADE=1.139m | Val_ADE=1.349m FDE=1.936m (best=1.342) | S1=0.756m S5=1.131m S10=1.275m S15=1.567m S20=1.936m | L_cls=0.291 L_reg=0.0016 | Acc=87.16%/47.30%
[gpt2_soft_snr5] Ep  23/100 [308s] Loss=0.3055/2.0926 | Train_ADE=1.124m | Val_ADE=1.327m FDE=1.910m (best=1.327) | S1=0.746m S5=1.116m S10=1.256m S15=1.540m S20=1.910m | L_cls=0.290 L_reg=0.0015 | Acc=87.17%/47.26%
[gpt2_soft_snr5] Ep  24/100 [304s] Loss=0.3050/2.0150 | Train_ADE=1.126m | Val_ADE=1.338m FDE=1.939m (best=1.327) | S1=0.751m S5=1.106m S10=1.257m S15=1.565m S20=1.939m | L_cls=0.289 L_reg=0.0015 | Acc=87.17%/48.23%
[gpt2_soft_snr5] Ep  25/100 [303s] Loss=0.3043/1.9205 | Train_ADE=1.114m | Val_ADE=1.340m FDE=1.898m (best=1.327) | S1=0.748m S5=1.121m S10=1.280m S15=1.561m S20=1.898m | L_cls=0.289 L_reg=0.0015 | Acc=87.17%/50.70%
[gpt2_soft_snr5] Ep  26/100 [308s] Loss=0.3034/1.9425 | Train_ADE=1.105m | Val_ADE=1.323m FDE=1.928m (best=1.323) | S1=0.747m S5=1.105m S10=1.237m S15=1.531m S20=1.928m | L_cls=0.288 L_reg=0.0015 | Acc=87.18%/50.52%
[gpt2_soft_snr5] Ep  27/100 [308s] Loss=0.3031/1.8129 | Train_ADE=1.102m | Val_ADE=1.302m FDE=1.893m (best=1.302) | S1=0.754m S5=1.090m S10=1.216m S15=1.503m S20=1.893m | L_cls=0.288 L_reg=0.0015 | Acc=87.20%/51.82%
[gpt2_soft_snr5] Ep  28/100 [304s] Loss=0.3027/1.9383 | Train_ADE=1.098m | Val_ADE=1.341m FDE=1.881m (best=1.302) | S1=0.746m S5=1.128m S10=1.290m S15=1.564m S20=1.881m | L_cls=0.288 L_reg=0.0015 | Acc=87.20%/49.23%
[gpt2_soft_snr5] Ep  29/100 [308s] Loss=0.3022/1.8929 | Train_ADE=1.089m | Val_ADE=1.285m FDE=1.838m (best=1.285) | S1=0.748m S5=1.093m S10=1.205m S15=1.483m S20=1.838m | L_cls=0.287 L_reg=0.0015 | Acc=87.20%/50.45%
[gpt2_soft_snr5] Ep  30/100 [304s] Loss=0.3016/1.8048 | Train_ADE=1.085m | Val_ADE=1.324m FDE=1.851m (best=1.285) | S1=0.760m S5=1.123m S10=1.264m S15=1.531m S20=1.851m | L_cls=0.287 L_reg=0.0015 | Acc=87.22%/51.34%
[gpt2_soft_snr5] Ep  31/100 [307s] Loss=0.3004/1.7348 | Train_ADE=1.076m | Val_ADE=1.280m FDE=1.833m (best=1.280) | S1=0.749m S5=1.086m S10=1.202m S15=1.474m S20=1.833m | L_cls=0.286 L_reg=0.0015 | Acc=87.22%/53.04%
