================================================================================
📡 SNR ROBUSTNESS | Target SNR: 20dB | Grid: 121 | Smooth: 3 | Temp: 0.06
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=0.6424, high=0.7810

[gpt2_soft_snr20] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr20] Ep  21/100 [304s] Loss=0.2257/1.1999 | Train_ADE=0.614m | Val_ADE=0.831m FDE=1.297m (best=0.827) | S1=0.298m S5=0.639m S10=0.750m S15=1.036m S20=1.297m | L_cls=0.215 L_reg=0.0011 | Acc=90.48%/65.27%
[gpt2_soft_snr20] Ep  22/100 [308s] Loss=0.2247/1.1987 | Train_ADE=0.608m | Val_ADE=0.822m FDE=1.277m (best=0.822) | S1=0.298m S5=0.632m S10=0.746m S15=1.027m S20=1.277m | L_cls=0.214 L_reg=0.0011 | Acc=90.47%/65.66%
[gpt2_soft_snr20] Ep  23/100 [303s] Loss=0.2249/1.1808 | Train_ADE=0.610m | Val_ADE=0.831m FDE=1.302m (best=0.822) | S1=0.301m S5=0.630m S10=0.754m S15=1.041m S20=1.302m | L_cls=0.214 L_reg=0.0011 | Acc=90.48%/65.79%
[gpt2_soft_snr20] Ep  24/100 [307s] Loss=0.2242/1.2052 | Train_ADE=0.608m | Val_ADE=0.819m FDE=1.266m (best=0.819) | S1=0.294m S5=0.615m S10=0.748m S15=1.030m S20=1.266m | L_cls=0.214 L_reg=0.0011 | Acc=90.49%/65.49%
[gpt2_soft_snr20] Ep  25/100 [304s] Loss=0.2235/1.1814 | Train_ADE=0.603m | Val_ADE=0.826m FDE=1.300m (best=0.819) | S1=0.311m S5=0.622m S10=0.750m S15=1.022m S20=1.300m | L_cls=0.213 L_reg=0.0010 | Acc=90.50%/66.01%
[gpt2_soft_snr20] Ep  26/100 [304s] Loss=0.2238/1.2041 | Train_ADE=0.606m | Val_ADE=0.844m FDE=1.351m (best=0.819) | S1=0.306m S5=0.622m S10=0.760m S15=1.066m S20=1.351m | L_cls=0.213 L_reg=0.0011 | Acc=90.50%/66.53%
[gpt2_soft_snr20] Ep  27/100 [306s] Loss=0.2226/1.2637 | Train_ADE=0.603m | Val_ADE=0.879m FDE=1.421m (best=0.819) | S1=0.321m S5=0.634m S10=0.798m S15=1.112m S20=1.421m | L_cls=0.212 L_reg=0.0010 | Acc=90.52%/63.16%
[gpt2_soft_snr20] Ep  28/100 [304s] Loss=0.2226/1.2175 | Train_ADE=0.603m | Val_ADE=0.840m FDE=1.308m (best=0.819) | S1=0.308m S5=0.633m S10=0.767m S15=1.055m S20=1.308m | L_cls=0.212 L_reg=0.0010 | Acc=90.51%/65.57%
[gpt2_soft_snr20] Ep  29/100 [305s] Loss=0.2220/1.1638 | Train_ADE=0.599m | Val_ADE=0.823m FDE=1.265m (best=0.819) | S1=0.306m S5=0.626m S10=0.758m S15=1.028m S20=1.265m | L_cls=0.212 L_reg=0.0010 | Acc=90.54%/66.25%
[gpt2_soft_snr20] Ep  30/100 [306s] Loss=0.2217/1.1509 | Train_ADE=0.596m | Val_ADE=0.825m FDE=1.290m (best=0.819) | S1=0.304m S5=0.605m S10=0.761m S15=1.039m S20=1.290m | L_cls=0.211 L_reg=0.0010 | Acc=90.53%/66.22%
[gpt2_soft_snr20] Ep  31/100 [309s] Loss=0.2212/1.1976 | Train_ADE=0.597m | Val_ADE=0.806m FDE=1.245m (best=0.806) | S1=0.304m S5=0.618m S10=0.739m S15=1.000m S20=1.245m | L_cls=0.211 L_reg=0.0010 | Acc=90.55%/65.42%
[gpt2_soft_snr20] Ep  32/100 [305s] Loss=0.2213/1.1850 | Train_ADE=0.596m | Val_ADE=0.824m FDE=1.250m (best=0.806) | S1=0.317m S5=0.648m S10=0.755m S15=1.019m S20=1.250m | L_cls=0.211 L_reg=0.0010 | Acc=90.55%/65.84%
[gpt2_soft_snr20] Ep  33/100 [305s] Loss=0.2209/1.1783 | Train_ADE=0.594m | Val_ADE=0.809m FDE=1.255m (best=0.806) | S1=0.326m S5=0.611m S10=0.735m S15=1.010m S20=1.255m | L_cls=0.210 L_reg=0.0010 | Acc=90.54%/66.31%
[gpt2_soft_snr20] Ep  34/100 [305s] Loss=0.2201/1.1796 | Train_ADE=0.592m | Val_ADE=0.810m FDE=1.273m (best=0.806) | S1=0.302m S5=0.599m S10=0.743m S15=1.021m S20=1.273m | L_cls=0.210 L_reg=0.0010 | Acc=90.56%/66.23%
[gpt2_soft_snr20] Ep  35/100 [305s] Loss=0.2211/1.1758 | Train_ADE=0.598m | Val_ADE=0.829m FDE=1.278m (best=0.806) | S1=0.316m S5=0.618m S10=0.759m S15=1.040m S20=1.278m | L_cls=0.211 L_reg=0.0010 | Acc=90.53%/65.80%
[gpt2_soft_snr20] Ep  36/100 [303s] Loss=0.2205/1.1571 | Train_ADE=0.595m | Val_ADE=0.818m FDE=1.249m (best=0.806) | S1=0.305m S5=0.628m S10=0.749m S15=1.019m S20=1.249m | L_cls=0.210 L_reg=0.0010 | Acc=90.56%/66.42%
[gpt2_soft_snr20] Ep  37/100 [308s] Loss=0.2201/1.1807 | Train_ADE=0.591m | Val_ADE=0.804m FDE=1.239m (best=0.804) | S1=0.310m S5=0.607m S10=0.736m S15=1.009m S20=1.239m | L_cls=0.210 L_reg=0.0010 | Acc=90.57%/65.66%
[gpt2_soft_snr20] Ep  38/100 [305s] Loss=0.2191/1.1683 | Train_ADE=0.589m | Val_ADE=0.808m FDE=1.233m (best=0.804) | S1=0.308m S5=0.617m S10=0.747m S15=1.008m S20=1.233m | L_cls=0.209 L_reg=0.0010 | Acc=90.59%/66.51%
[gpt2_soft_snr20] Ep  39/100 [304s] Loss=0.2187/1.1779 | Train_ADE=0.588m | Val_ADE=0.810m FDE=1.241m (best=0.804) | S1=0.306m S5=0.628m S10=0.742m S15=1.008m S20=1.241m | L_cls=0.209 L_reg=0.0010 | Acc=90.60%/66.27%
[gpt2_soft_snr20] Ep  40/100 [303s] Loss=0.2186/1.2069 | Train_ADE=0.585m | Val_ADE=0.810m FDE=1.252m (best=0.804) | S1=0.294m S5=0.609m S10=0.746m S15=1.014m S20=1.252m | L_cls=0.208 L_reg=0.0010 | Acc=90.59%/66.18%
[gpt2_soft_snr20] Ep  41/100 [308s] Loss=0.2180/1.1743 | Train_ADE=0.584m | Val_ADE=0.799m FDE=1.244m (best=0.799) | S1=0.285m S5=0.611m S10=0.732m S15=0.996m S20=1.244m | L_cls=0.208 L_reg=0.0010 | Acc=90.61%/66.21%
[gpt2_soft_snr20] Ep  42/100 [304s] Loss=0.2177/1.2234 | Train_ADE=0.582m | Val_ADE=0.808m FDE=1.249m (best=0.799) | S1=0.295m S5=0.605m S10=0.765m S15=1.003m S20=1.249m | L_cls=0.208 L_reg=0.0010 | Acc=90.61%/65.75%
[gpt2_soft_snr20] Ep  43/100 [308s] Loss=0.2171/1.1906 | Train_ADE=0.582m | Val_ADE=0.790m FDE=1.210m (best=0.790) | S1=0.294m S5=0.603m S10=0.730m S15=0.991m S20=1.210m | L_cls=0.207 L_reg=0.0010 | Acc=90.62%/65.64%
[gpt2_soft_snr20] Ep  44/100 [305s] Loss=0.2167/1.2001 | Train_ADE=0.578m | Val_ADE=0.811m FDE=1.229m (best=0.790) | S1=0.310m S5=0.632m S10=0.752m S15=1.005m S20=1.229m | L_cls=0.207 L_reg=0.0010 | Acc=90.63%/65.51%
[gpt2_soft_snr20] Ep  45/100 [304s] Loss=0.2167/1.2573 | Train_ADE=0.580m | Val_ADE=0.828m FDE=1.300m (best=0.790) | S1=0.304m S5=0.618m S10=0.765m S15=1.040m S20=1.300m | L_cls=0.207 L_reg=0.0010 | Acc=90.62%/64.16%
[gpt2_soft_snr20] Ep  46/100 [304s] Loss=0.2161/1.2104 | Train_ADE=0.577m | Val_ADE=0.796m FDE=1.225m (best=0.790) | S1=0.303m S5=0.602m S10=0.739m S15=0.994m S20=1.225m | L_cls=0.206 L_reg=0.0010 | Acc=90.65%/66.10%
[gpt2_soft_snr20] Ep  47/100 [304s] Loss=0.2155/1.1556 | Train_ADE=0.575m | Val_ADE=0.794m FDE=1.225m (best=0.790) | S1=0.305m S5=0.601m S10=0.730m S15=0.989m S20=1.225m | L_cls=0.206 L_reg=0.0010 | Acc=90.66%/66.82%
[gpt2_soft_snr20] Ep  48/100 [304s] Loss=0.2154/1.1764 | Train_ADE=0.576m | Val_ADE=0.802m FDE=1.232m (best=0.790) | S1=0.289m S5=0.602m S10=0.760m S15=0.995m S20=1.232m | L_cls=0.206 L_reg=0.0010 | Acc=90.65%/66.47%
[gpt2_soft_snr20] Ep  49/100 [304s] Loss=0.2152/1.1647 | Train_ADE=0.576m | Val_ADE=0.792m FDE=1.228m (best=0.790) | S1=0.298m S5=0.604m S10=0.733m S15=0.981m S20=1.228m | L_cls=0.205 L_reg=0.0010 | Acc=90.68%/66.36%
[gpt2_soft_snr20] Ep  50/100 [304s] Loss=0.2150/1.1694 | Train_ADE=0.576m | Val_ADE=0.808m FDE=1.245m (best=0.790) | S1=0.286m S5=0.614m S10=0.757m S15=1.012m S20=1.245m | L_cls=0.205 L_reg=0.0010 | Acc=90.66%/66.06%
[gpt2_soft_snr20] Ep  51/100 [304s] Loss=0.2147/1.1511 | Train_ADE=0.573m | Val_ADE=0.790m FDE=1.226m (best=0.790) | S1=0.294m S5=0.611m S10=0.724m S15=0.984m S20=1.226m | L_cls=0.205 L_reg=0.0010 | Acc=90.68%/66.67%
[gpt2_soft_snr20] Ep  52/100 [305s] Loss=0.2147/1.1603 | Train_ADE=0.573m | Val_ADE=0.796m FDE=1.228m (best=0.790) | S1=0.305m S5=0.607m S10=0.733m S15=0.992m S20=1.228m | L_cls=0.205 L_reg=0.0010 | Acc=90.67%/66.71%
[gpt2_soft_snr20] Ep  53/100 [305s] Loss=0.2149/1.1664 | Train_ADE=0.572m | Val_ADE=0.851m FDE=1.251m (best=0.790) | S1=0.340m S5=0.669m S10=0.796m S15=1.044m S20=1.251m | L_cls=0.205 L_reg=0.0010 | Acc=90.66%/66.37%
[gpt2_soft_snr20] Ep  54/100 [307s] Loss=0.2144/1.1750 | Train_ADE=0.572m | Val_ADE=0.789m FDE=1.213m (best=0.789) | S1=0.281m S5=0.600m S10=0.733m S15=0.988m S20=1.213m | L_cls=0.205 L_reg=0.0010 | Acc=90.70%/65.58%
[gpt2_soft_snr20] Ep  55/100 [305s] Loss=0.2134/1.1488 | Train_ADE=0.568m | Val_ADE=0.802m FDE=1.246m (best=0.789) | S1=0.295m S5=0.601m S10=0.738m S15=1.002m S20=1.246m | L_cls=0.204 L_reg=0.0010 | Acc=90.71%/66.78%
[gpt2_soft_snr20] Ep  56/100 [304s] Loss=0.2131/1.1353 | Train_ADE=0.567m | Val_ADE=0.820m FDE=1.260m (best=0.789) | S1=0.291m S5=0.621m S10=0.756m S15=1.030m S20=1.260m | L_cls=0.204 L_reg=0.0010 | Acc=90.71%/66.77%
[gpt2_soft_snr20] Ep  57/100 [305s] Loss=0.2130/1.1833 | Train_ADE=0.565m | Val_ADE=0.799m FDE=1.233m (best=0.789) | S1=0.304m S5=0.605m S10=0.744m S15=0.985m S20=1.233m | L_cls=0.203 L_reg=0.0009 | Acc=90.71%/66.47%
[gpt2_soft_snr20] Ep  58/100 [304s] Loss=0.2126/1.1624 | Train_ADE=0.566m | Val_ADE=0.792m FDE=1.232m (best=0.789) | S1=0.288m S5=0.604m S10=0.733m S15=0.979m S20=1.232m | L_cls=0.203 L_reg=0.0009 | Acc=90.73%/67.01%
[gpt2_soft_snr20] Ep  59/100 [309s] Loss=0.2129/1.1408 | Train_ADE=0.569m | Val_ADE=0.785m FDE=1.214m (best=0.785) | S1=0.298m S5=0.603m S10=0.727m S15=0.967m S20=1.214m | L_cls=0.203 L_reg=0.0010 | Acc=90.71%/66.81%
[gpt2_soft_snr20] Ep  60/100 [304s] Loss=0.2123/1.1210 | Train_ADE=0.564m | Val_ADE=0.789m FDE=1.222m (best=0.785) | S1=0.309m S5=0.599m S10=0.737m S15=0.971m S20=1.222m | L_cls=0.203 L_reg=0.0009 | Acc=90.74%/67.37%
[gpt2_soft_snr20] Ep  61/100 [304s] Loss=0.2119/1.1473 | Train_ADE=0.563m | Val_ADE=0.790m FDE=1.225m (best=0.785) | S1=0.308m S5=0.596m S10=0.735m S15=0.979m S20=1.225m | L_cls=0.203 L_reg=0.0009 | Acc=90.73%/66.75%
