================================================================================
📡 SNR ROBUSTNESS | Target SNR: 10dB | Grid: 81 | Smooth: 3 | Temp: 0.15
[Localize] Building cache for SNR 10dB with Grid 81...
[train] Anchor MAE: 0.4851m | Grid: 81 | Smooth: 3 | Temp: 0.15
[val] Anchor MAE: 0.4744m | Grid: 81 | Smooth: 3 | Temp: 0.15
[Cache] saved to ./logs/localized_cache_dataset_lankershim_v3_localize_snr10_g81_s3_t0p15_e0_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=1.0194, high=1.2273

[gpt2_soft_snr10] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr10] Ep  20/100 [308s] Loss=0.3051/1.9881 | Train_ADE=1.080m | Val_ADE=1.275m FDE=1.820m (best=1.275) | S1=0.691m S5=1.059m S10=1.188m S15=1.500m S20=1.820m | L_cls=0.289 L_reg=0.0016 | Acc=87.18%/47.36%
[gpt2_soft_snr10] Ep  21/100 [311s] Loss=0.3042/2.1307 | Train_ADE=1.075m | Val_ADE=1.260m FDE=1.804m (best=1.260) | S1=0.689m S5=1.052m S10=1.163m S15=1.476m S20=1.804m | L_cls=0.288 L_reg=0.0016 | Acc=87.19%/45.24%
[gpt2_soft_snr10] Ep  22/100 [303s] Loss=0.3034/2.1802 | Train_ADE=1.069m | Val_ADE=1.299m FDE=1.834m (best=1.260) | S1=0.698m S5=1.076m S10=1.220m S15=1.536m S20=1.834m | L_cls=0.288 L_reg=0.0016 | Acc=87.20%/45.27%
[gpt2_soft_snr10] Ep  23/100 [302s] Loss=0.3035/2.2028 | Train_ADE=1.064m | Val_ADE=1.279m FDE=1.865m (best=1.260) | S1=0.694m S5=1.055m S10=1.178m S15=1.506m S20=1.865m | L_cls=0.288 L_reg=0.0015 | Acc=87.21%/45.39%
[gpt2_soft_snr10] Ep  24/100 [303s] Loss=0.3021/2.3338 | Train_ADE=1.058m | Val_ADE=1.288m FDE=1.849m (best=1.260) | S1=0.696m S5=1.058m S10=1.201m S15=1.525m S20=1.849m | L_cls=0.287 L_reg=0.0015 | Acc=87.24%/43.15%
[gpt2_soft_snr10] Ep  25/100 [313s] Loss=0.3007/2.2251 | Train_ADE=1.049m | Val_ADE=1.245m FDE=1.782m (best=1.245) | S1=0.694m S5=1.041m S10=1.150m S15=1.450m S20=1.782m | L_cls=0.286 L_reg=0.0015 | Acc=87.25%/45.71%
[gpt2_soft_snr10] Ep  26/100 [307s] Loss=0.3003/2.2941 | Train_ADE=1.044m | Val_ADE=1.286m FDE=1.832m (best=1.245) | S1=0.707m S5=1.059m S10=1.193m S15=1.514m S20=1.832m | L_cls=0.285 L_reg=0.0015 | Acc=87.25%/45.45%
[gpt2_soft_snr10] Ep  27/100 [306s] Loss=0.3001/2.1434 | Train_ADE=1.050m | Val_ADE=1.291m FDE=1.796m (best=1.245) | S1=0.695m S5=1.059m S10=1.222m S15=1.532m S20=1.796m | L_cls=0.285 L_reg=0.0015 | Acc=87.26%/45.97%
[gpt2_soft_snr10] Ep  28/100 [305s] Loss=0.2998/1.9397 | Train_ADE=1.038m | Val_ADE=1.307m FDE=1.876m (best=1.245) | S1=0.698m S5=1.085m S10=1.220m S15=1.540m S20=1.876m | L_cls=0.285 L_reg=0.0015 | Acc=87.25%/46.51%
[gpt2_soft_snr10] Ep  29/100 [305s] Loss=0.2988/2.3323 | Train_ADE=1.029m | Val_ADE=1.270m FDE=1.767m (best=1.245) | S1=0.714m S5=1.054m S10=1.198m S15=1.486m S20=1.767m | L_cls=0.284 L_reg=0.0015 | Acc=87.28%/44.56%
[gpt2_soft_snr10] Ep  30/100 [305s] Loss=0.2980/2.2075 | Train_ADE=1.028m | Val_ADE=1.307m FDE=1.803m (best=1.245) | S1=0.710m S5=1.073m S10=1.251m S15=1.537m S20=1.803m | L_cls=0.283 L_reg=0.0015 | Acc=87.28%/44.49%
[gpt2_soft_snr10] Ep  31/100 [306s] Loss=0.2973/2.1239 | Train_ADE=1.019m | Val_ADE=1.252m FDE=1.737m (best=1.245) | S1=0.718m S5=1.047m S10=1.175m S15=1.458m S20=1.737m | L_cls=0.283 L_reg=0.0014 | Acc=87.30%/46.35%
[gpt2_soft_snr10] Ep  32/100 [307s] Loss=0.2966/2.0894 | Train_ADE=1.014m | Val_ADE=1.257m FDE=1.758m (best=1.245) | S1=0.703m S5=1.037m S10=1.187m S15=1.474m S20=1.758m | L_cls=0.282 L_reg=0.0014 | Acc=87.32%/46.82%
[gpt2_soft_snr10] Ep  33/100 [306s] Loss=0.2965/1.7932 | Train_ADE=1.016m | Val_ADE=1.250m FDE=1.714m (best=1.245) | S1=0.717m S5=1.052m S10=1.177m S15=1.447m S20=1.714m | L_cls=0.282 L_reg=0.0014 | Acc=87.32%/50.54%
[gpt2_soft_snr10] Ep  34/100 [312s] Loss=0.2958/2.2083 | Train_ADE=1.008m | Val_ADE=1.245m FDE=1.727m (best=1.245) | S1=0.717m S5=1.038m S10=1.171m S15=1.442m S20=1.727m | L_cls=0.282 L_reg=0.0014 | Acc=87.32%/44.00%
[gpt2_soft_snr10] Ep  35/100 [312s] Loss=0.2964/2.1070 | Train_ADE=1.038m | Val_ADE=1.237m FDE=1.765m (best=1.237) | S1=0.704m S5=1.029m S10=1.155m S15=1.434m S20=1.765m | L_cls=0.281 L_reg=0.0015 | Acc=87.32%/44.33%
[gpt2_soft_snr10] Ep  36/100 [310s] Loss=0.2948/2.0049 | Train_ADE=1.017m | Val_ADE=1.237m FDE=1.667m (best=1.237) | S1=0.719m S5=1.050m S10=1.177m S15=1.425m S20=1.667m | L_cls=0.281 L_reg=0.0014 | Acc=87.34%/46.65%
[gpt2_soft_snr10] Ep  37/100 [311s] Loss=0.2945/2.1043 | Train_ADE=0.999m | Val_ADE=1.218m FDE=1.688m (best=1.218) | S1=0.700m S5=1.024m S10=1.142m S15=1.411m S20=1.688m | L_cls=0.281 L_reg=0.0014 | Acc=87.34%/46.08%
[gpt2_soft_snr10] Ep  38/100 [305s] Loss=0.2937/2.3763 | Train_ADE=0.994m | Val_ADE=1.225m FDE=1.707m (best=1.218) | S1=0.710m S5=1.018m S10=1.150m S15=1.411m S20=1.707m | L_cls=0.280 L_reg=0.0014 | Acc=87.35%/41.88%
[gpt2_soft_snr10] Ep  39/100 [307s] Loss=0.2934/2.2765 | Train_ADE=0.989m | Val_ADE=1.306m FDE=1.808m (best=1.218) | S1=0.732m S5=1.077m S10=1.236m S15=1.535m S20=1.808m | L_cls=0.280 L_reg=0.0014 | Acc=87.36%/44.34%
[gpt2_soft_snr10] Ep  40/100 [306s] Loss=0.2934/2.0884 | Train_ADE=1.000m | Val_ADE=1.290m FDE=1.778m (best=1.218) | S1=0.711m S5=1.061m S10=1.240m S15=1.510m S20=1.778m | L_cls=0.279 L_reg=0.0014 | Acc=87.35%/45.07%
[gpt2_soft_snr10] Ep  41/100 [310s] Loss=0.2931/2.2099 | Train_ADE=1.006m | Val_ADE=1.207m FDE=1.678m (best=1.207) | S1=0.706m S5=1.015m S10=1.132m S15=1.394m S20=1.678m | L_cls=0.279 L_reg=0.0014 | Acc=87.37%/44.42%
[gpt2_soft_snr10] Ep  42/100 [309s] Loss=0.2923/1.9475 | Train_ADE=0.990m | Val_ADE=1.259m FDE=1.786m (best=1.207) | S1=0.718m S5=1.029m S10=1.177m S15=1.467m S20=1.786m | L_cls=0.279 L_reg=0.0014 | Acc=87.39%/48.19%
[gpt2_soft_snr10] Ep  43/100 [307s] Loss=0.2933/2.1905 | Train_ADE=1.051m | Val_ADE=1.275m FDE=1.801m (best=1.207) | S1=0.722m S5=1.058m S10=1.198m S15=1.480m S20=1.801m | L_cls=0.278 L_reg=0.0015 | Acc=87.39%/44.35%
[gpt2_soft_snr10] Ep  44/100 [306s] Loss=0.2925/1.9831 | Train_ADE=1.032m | Val_ADE=1.247m FDE=1.736m (best=1.207) | S1=0.714m S5=1.040m S10=1.177m S15=1.443m S20=1.736m | L_cls=0.278 L_reg=0.0014 | Acc=87.39%/46.71%
[gpt2_soft_snr10] Ep  45/100 [306s] Loss=0.2921/1.9186 | Train_ADE=1.008m | Val_ADE=1.247m FDE=1.694m (best=1.207) | S1=0.707m S5=1.030m S10=1.194m S15=1.451m S20=1.694m | L_cls=0.278 L_reg=0.0014 | Acc=87.40%/48.18%
[gpt2_soft_snr10] Ep  46/100 [306s] Loss=0.2924/2.2847 | Train_ADE=0.991m | Val_ADE=1.232m FDE=1.710m (best=1.207) | S1=0.709m S5=1.021m S10=1.158m S15=1.439m S20=1.710m | L_cls=0.279 L_reg=0.0014 | Acc=87.39%/43.56%
[gpt2_soft_snr10] Ep  47/100 [306s] Loss=0.2922/2.1436 | Train_ADE=0.980m | Val_ADE=1.221m FDE=1.686m (best=1.207) | S1=0.717m S5=0.993m S10=1.154m S15=1.423m S20=1.686m | L_cls=0.279 L_reg=0.0014 | Acc=87.37%/45.72%
[gpt2_soft_snr10] Ep  48/100 [310s] Loss=0.2913/1.8529 | Train_ADE=0.975m | Val_ADE=1.198m FDE=1.661m (best=1.198) | S1=0.692m S5=1.020m S10=1.124m S15=1.376m S20=1.661m | L_cls=0.278 L_reg=0.0014 | Acc=87.42%/50.07%
[gpt2_soft_snr10] Ep  49/100 [305s] Loss=0.2909/1.8865 | Train_ADE=0.975m | Val_ADE=1.218m FDE=1.700m (best=1.198) | S1=0.711m S5=1.004m S10=1.145m S15=1.422m S20=1.700m | L_cls=0.277 L_reg=0.0014 | Acc=87.43%/48.67%
[gpt2_soft_snr10] Ep  50/100 [305s] Loss=0.2903/1.9370 | Train_ADE=0.966m | Val_ADE=1.242m FDE=1.689m (best=1.198) | S1=0.738m S5=1.029m S10=1.181m S15=1.441m S20=1.689m | L_cls=0.277 L_reg=0.0013 | Acc=87.43%/48.36%
[gpt2_soft_snr10] Ep  51/100 [306s] Loss=0.2891/2.0953 | Train_ADE=0.960m | Val_ADE=1.214m FDE=1.683m (best=1.198) | S1=0.735m S5=0.997m S10=1.138m S15=1.409m S20=1.683m | L_cls=0.276 L_reg=0.0013 | Acc=87.44%/45.26%
[gpt2_soft_snr10] Ep  52/100 [305s] Loss=0.2889/2.0131 | Train_ADE=0.955m | Val_ADE=1.198m FDE=1.675m (best=1.198) | S1=0.701m S5=0.995m S10=1.126m S15=1.394m S20=1.675m | L_cls=0.276 L_reg=0.0013 | Acc=87.44%/46.87%
[gpt2_soft_snr10] Ep  53/100 [306s] Loss=0.2887/2.0064 | Train_ADE=0.957m | Val_ADE=1.236m FDE=1.676m (best=1.198) | S1=0.740m S5=1.040m S10=1.160m S15=1.423m S20=1.676m | L_cls=0.276 L_reg=0.0013 | Acc=87.44%/47.36%
[gpt2_soft_snr10] Ep  54/100 [314s] Loss=0.2882/2.1706 | Train_ADE=0.956m | Val_ADE=1.182m FDE=1.629m (best=1.182) | S1=0.726m S5=0.986m S10=1.112m S15=1.360m S20=1.629m | L_cls=0.275 L_reg=0.0013 | Acc=87.45%/45.39%
[gpt2_soft_snr10] Ep  55/100 [307s] Loss=0.2881/1.8983 | Train_ADE=0.954m | Val_ADE=1.201m FDE=1.631m (best=1.182) | S1=0.709m S5=0.998m S10=1.144m S15=1.392m S20=1.631m | L_cls=0.275 L_reg=0.0013 | Acc=87.46%/50.82%
[gpt2_soft_snr10] Ep  56/100 [307s] Loss=0.2874/1.7734 | Train_ADE=0.949m | Val_ADE=1.212m FDE=1.688m (best=1.182) | S1=0.718m S5=0.999m S10=1.136m S15=1.410m S20=1.688m | L_cls=0.274 L_reg=0.0013 | Acc=87.47%/51.41%
[gpt2_soft_snr10] Ep  57/100 [306s] Loss=0.2874/2.1227 | Train_ADE=0.949m | Val_ADE=1.199m FDE=1.616m (best=1.182) | S1=0.720m S5=1.006m S10=1.139m S15=1.379m S20=1.616m | L_cls=0.274 L_reg=0.0013 | Acc=87.47%/44.41%
[gpt2_soft_snr10] Ep  58/100 [305s] Loss=0.2868/2.0172 | Train_ADE=0.943m | Val_ADE=1.187m FDE=1.653m (best=1.182) | S1=0.718m S5=0.985m S10=1.100m S15=1.365m S20=1.653m | L_cls=0.274 L_reg=0.0013 | Acc=87.49%/45.92%
[gpt2_soft_snr10] Ep  59/100 [304s] Loss=0.2868/2.1791 | Train_ADE=0.941m | Val_ADE=1.194m FDE=1.644m (best=1.182) | S1=0.699m S5=1.014m S10=1.127m S15=1.377m S20=1.644m | L_cls=0.274 L_reg=0.0013 | Acc=87.48%/44.52%
[gpt2_soft_snr10] Ep  60/100 [304s] Loss=0.2863/1.9026 | Train_ADE=0.939m | Val_ADE=1.184m FDE=1.619m (best=1.182) | S1=0.729m S5=0.989m S10=1.108m S15=1.352m S20=1.619m | L_cls=0.274 L_reg=0.0013 | Acc=87.49%/48.78%
[gpt2_soft_snr10] Ep  61/100 [304s] Loss=0.2862/2.0953 | Train_ADE=0.940m | Val_ADE=1.182m FDE=1.589m (best=1.182) | S1=0.724m S5=1.000m S10=1.111m S15=1.357m S20=1.589m | L_cls=0.274 L_reg=0.0013 | Acc=87.50%/45.60%
[gpt2_soft_snr10] Ep  62/100 [303s] Loss=0.2857/2.0000 | Train_ADE=0.933m | Val_ADE=1.188m FDE=1.623m (best=1.182) | S1=0.709m S5=0.992m S10=1.119m S15=1.365m S20=1.623m | L_cls=0.273 L_reg=0.0013 | Acc=87.49%/47.38%
[gpt2_soft_snr10] Ep  63/100 [303s] Loss=0.2853/2.0419 | Train_ADE=0.930m | Val_ADE=1.190m FDE=1.639m (best=1.182) | S1=0.708m S5=0.981m S10=1.125m S15=1.381m S20=1.639m | L_cls=0.273 L_reg=0.0013 | Acc=87.52%/46.29%
[gpt2_soft_snr10] Ep  64/100 [304s] Loss=0.2850/1.8188 | Train_ADE=0.929m | Val_ADE=1.202m FDE=1.619m (best=1.182) | S1=0.727m S5=1.011m S10=1.140m S15=1.381m S20=1.619m | L_cls=0.273 L_reg=0.0013 | Acc=87.52%/49.73%
[gpt2_soft_snr10] Ep  65/100 [303s] Loss=0.2848/1.8276 | Train_ADE=0.930m | Val_ADE=1.187m FDE=1.615m (best=1.182) | S1=0.717m S5=0.984m S10=1.113m S15=1.371m S20=1.615m | L_cls=0.272 L_reg=0.0012 | Acc=87.51%/50.26%
[gpt2_soft_snr10] Ep  66/100 [308s] Loss=0.2844/1.8054 | Train_ADE=0.924m | Val_ADE=1.164m FDE=1.604m (best=1.164) | S1=0.706m S5=0.971m S10=1.095m S15=1.341m S20=1.604m | L_cls=0.272 L_reg=0.0012 | Acc=87.53%/50.15%
[gpt2_soft_snr10] Ep  67/100 [305s] Loss=0.2847/1.9720 | Train_ADE=0.926m | Val_ADE=1.180m FDE=1.610m (best=1.164) | S1=0.711m S5=0.976m S10=1.117m S15=1.358m S20=1.610m | L_cls=0.272 L_reg=0.0013 | Acc=87.52%/48.21%
[gpt2_soft_snr10] Ep  68/100 [308s] Loss=0.2835/1.9802 | Train_ADE=0.918m | Val_ADE=1.159m FDE=1.612m (best=1.159) | S1=0.706m S5=0.959m S10=1.085m S15=1.331m S20=1.612m | L_cls=0.271 L_reg=0.0012 | Acc=87.54%/44.94%
[gpt2_soft_snr10] Ep  69/100 [304s] Loss=0.2840/1.7933 | Train_ADE=0.917m | Val_ADE=1.178m FDE=1.623m (best=1.159) | S1=0.693m S5=0.980m S10=1.107m S15=1.360m S20=1.623m | L_cls=0.272 L_reg=0.0012 | Acc=87.53%/50.82%
[gpt2_soft_snr10] Ep  70/100 [303s] Loss=0.2844/1.8907 | Train_ADE=0.924m | Val_ADE=1.175m FDE=1.583m (best=1.159) | S1=0.720m S5=0.987m S10=1.105m S15=1.358m S20=1.583m | L_cls=0.272 L_reg=0.0012 | Acc=87.53%/49.82%
[gpt2_soft_snr10] Ep  71/100 [303s] Loss=0.2845/1.8886 | Train_ADE=0.919m | Val_ADE=1.200m FDE=1.644m (best=1.159) | S1=0.702m S5=0.999m S10=1.135m S15=1.393m S20=1.644m | L_cls=0.272 L_reg=0.0012 | Acc=87.53%/48.22%
[gpt2_soft_snr10] Ep  72/100 [306s] Loss=0.2831/1.8349 | Train_ADE=0.915m | Val_ADE=1.208m FDE=1.638m (best=1.159) | S1=0.726m S5=1.003m S10=1.139m S15=1.397m S20=1.638m | L_cls=0.271 L_reg=0.0012 | Acc=87.55%/49.74%
[gpt2_soft_snr10] Ep  73/100 [303s] Loss=0.2828/1.6601 | Train_ADE=0.922m | Val_ADE=1.198m FDE=1.644m (best=1.159) | S1=0.710m S5=0.993m S10=1.125m S15=1.388m S20=1.644m | L_cls=0.270 L_reg=0.0012 | Acc=87.56%/52.91%
[gpt2_soft_snr10] Ep  74/100 [303s] Loss=0.2841/1.7609 | Train_ADE=0.999m | Val_ADE=1.194m FDE=1.682m (best=1.159) | S1=0.710m S5=0.972m S10=1.122m S15=1.386m S20=1.682m | L_cls=0.270 L_reg=0.0014 | Acc=87.56%/50.50%
[gpt2_soft_snr10] Ep  75/100 [304s] Loss=0.2831/1.7396 | Train_ADE=0.945m | Val_ADE=1.206m FDE=1.631m (best=1.159) | S1=0.726m S5=1.017m S10=1.140m S15=1.388m S20=1.631m | L_cls=0.270 L_reg=0.0013 | Acc=87.56%/51.27%
[gpt2_soft_snr10] Ep  76/100 [315s] Loss=0.2834/1.7946 | Train_ADE=0.919m | Val_ADE=1.150m FDE=1.568m (best=1.150) | S1=0.711m S5=0.970m S10=1.076m S15=1.324m S20=1.568m | L_cls=0.271 L_reg=0.0012 | Acc=87.55%/50.69%
[gpt2_soft_snr10] Ep  77/100 [304s] Loss=0.2832/1.8157 | Train_ADE=0.911m | Val_ADE=1.168m FDE=1.574m (best=1.150) | S1=0.710m S5=0.984m S10=1.107m S15=1.351m S20=1.574m | L_cls=0.271 L_reg=0.0012 | Acc=87.56%/50.58%
[gpt2_soft_snr10] Ep  78/100 [304s] Loss=0.2831/1.8382 | Train_ADE=0.912m | Val_ADE=1.151m FDE=1.590m (best=1.150) | S1=0.694m S5=0.952m S10=1.085m S15=1.334m S20=1.590m | L_cls=0.271 L_reg=0.0012 | Acc=87.54%/49.81%
[gpt2_soft_snr10] Ep  79/100 [311s] Loss=0.2834/1.7715 | Train_ADE=0.915m | Val_ADE=1.147m FDE=1.560m (best=1.147) | S1=0.696m S5=0.949m S10=1.078m S15=1.327m S20=1.560m | L_cls=0.271 L_reg=0.0012 | Acc=87.54%/50.38%
[gpt2_soft_snr10] Ep  80/100 [304s] Loss=0.2821/1.8183 | Train_ADE=0.907m | Val_ADE=1.153m FDE=1.573m (best=1.147) | S1=0.704m S5=0.962m S10=1.088m S15=1.330m S20=1.573m | L_cls=0.270 L_reg=0.0012 | Acc=87.57%/50.34%
[gpt2_soft_snr10] Ep  81/100 [305s] Loss=0.2825/1.7960 | Train_ADE=0.911m | Val_ADE=1.182m FDE=1.594m (best=1.147) | S1=0.712m S5=0.979m S10=1.110m S15=1.369m S20=1.594m | L_cls=0.270 L_reg=0.0012 | Acc=87.57%/50.43%
[gpt2_soft_snr10] Ep  82/100 [316s] Loss=0.2821/1.8087 | Train_ADE=0.904m | Val_ADE=1.146m FDE=1.602m (best=1.146) | S1=0.707m S5=0.951m S10=1.063m S15=1.317m S20=1.602m | L_cls=0.270 L_reg=0.0012 | Acc=87.58%/49.30%
[gpt2_soft_snr10] Ep  83/100 [306s] Loss=0.2820/1.7237 | Train_ADE=0.902m | Val_ADE=1.154m FDE=1.566m (best=1.146) | S1=0.716m S5=0.956m S10=1.085m S15=1.331m S20=1.566m | L_cls=0.270 L_reg=0.0012 | Acc=87.57%/51.49%
[gpt2_soft_snr10] Ep  84/100 [303s] Loss=0.2819/2.0154 | Train_ADE=0.902m | Val_ADE=1.199m FDE=1.627m (best=1.146) | S1=0.715m S5=0.994m S10=1.128m S15=1.395m S20=1.627m | L_cls=0.270 L_reg=0.0012 | Acc=87.57%/46.92%
[gpt2_soft_snr10] Ep  85/100 [305s] Loss=0.2817/1.7588 | Train_ADE=0.905m | Val_ADE=1.160m FDE=1.557m (best=1.146) | S1=0.706m S5=0.974m S10=1.090m S15=1.337m S20=1.557m | L_cls=0.269 L_reg=0.0012 | Acc=87.59%/50.88%
[gpt2_soft_snr10] Ep  86/100 [306s] Loss=0.2817/1.8384 | Train_ADE=0.898m | Val_ADE=1.148m FDE=1.603m (best=1.146) | S1=0.686m S5=0.944m S10=1.073m S15=1.329m S20=1.603m | L_cls=0.269 L_reg=0.0012 | Acc=87.57%/49.48%
[gpt2_soft_snr10] Ep  87/100 [306s] Loss=0.2814/1.7945 | Train_ADE=0.904m | Val_ADE=1.193m FDE=1.594m (best=1.146) | S1=0.728m S5=0.995m S10=1.125m S15=1.378m S20=1.594m | L_cls=0.269 L_reg=0.0012 | Acc=87.58%/50.49%
