model,epoch,train_loss,train_ade,val_loss,val_ade,val_fde,best_val_ade,train_token_acc,val_token_acc,train_token_temp,val_token_temp,step1_ade,step5_ade,step10_ade,step15_ade,step20_ade
gpt2_soft_snr20,1,0.6244157928840669,1.231178703298109,1.4638074539956591,0.9680038395382109,1.6316690291677203,0.9680038395382109,0.8098270550287359,0.5746726319903419,0.23074011098538805,0.22915854085059392,0.2883431436760085,0.7259607309386844,0.8541506994338263,1.2290047861280895,1.6316690291677203
gpt2_soft_snr20,2,0.29047611059007905,0.7558939744341548,1.3226421679769242,0.9337089280287425,1.6444802511306036,0.9337089280287425,0.8939817656511031,0.632157750356765,0.23074010948590012,0.22915854085059392,0.26936775474321273,0.6350526305891219,0.7997535251435779,1.2252846700804574,1.6444802511306036
gpt2_soft_snr20,3,0.26452072183416075,0.7120015467487791,1.250221343835195,0.906926961739858,1.5242688122249786,0.906926961739858,0.8968676416129187,0.6364360227471306,0.23074011120406338,0.22915854085059392,0.27882409940163294,0.6360614416145143,0.7959618670599801,1.1828755651201521,1.5242688122249786
gpt2_soft_snr20,4,0.2542108611928092,0.6875572280813813,1.2534912467002868,0.9116372871966589,1.5102589760507856,0.906926961739858,0.8984563474385243,0.637302838904517,0.2307401110478667,0.22915854085059392,0.2823451172737848,0.6575295279423395,0.8073080988157363,1.173806561174847,1.5102589760507856
gpt2_soft_snr20,5,0.24824036336045097,0.6732604646082944,1.3895893255869547,0.9068183583872659,1.5083740143548874,0.9068183583872659,0.8997371397928122,0.5744568577834538,0.23074011014192608,0.22915854085059392,0.27936988331022716,0.6491432405653454,0.7995996225447882,1.1698745829718453,1.5083740143548874
gpt2_soft_snr20,6,0.24444385222793874,0.6634423315400098,1.1946498496191842,0.869819473368781,1.3782806714375815,0.869819473368781,0.9004602465989455,0.6406324511482602,0.23074011176637133,0.22915854085059392,0.30418547640244165,0.6567055435407729,0.7745482961336771,1.1057291013853892,1.3782806714375815
gpt2_soft_snr20,7,0.24088647368069216,0.657406936589027,1.2322568910462515,0.8694639643033345,1.3921009886832465,0.8694639643033345,0.901276708024103,0.6447842376572746,0.2307401104543194,0.22915854085059392,0.2911543852516583,0.6480590549253282,0.773498120762053,1.1135075336410887,1.3921009886832465
gpt2_soft_snr20,8,0.23869276181082055,0.6567381916555969,1.2483223560310546,0.8542602116153354,1.3680910910878863,0.8542602116153354,0.9017402182335124,0.6416778388477508,0.23074011042308007,0.22915854085059392,0.2811391637438819,0.6418014434121904,0.766805590050561,1.0796669872034164,1.3680910910878863
gpt2_soft_snr20,9,0.23667269042327968,0.649112565150051,1.2539027696564085,0.8688516514641899,1.3963116123562767,0.8542602116153354,0.9022266558631161,0.6324665313675291,0.23074011151645668,0.22915854085059392,0.28689225344430835,0.6497226216963359,0.7797680763971238,1.1050721375715165,1.3963116123562767
gpt2_soft_snr20,10,0.23537536812028545,0.6465248403684148,1.2148457010587057,0.8578208091713133,1.3783187803767976,0.8542602116153354,0.9026819767442139,0.6402455491679055,0.2307401096420968,0.22915854085059392,0.27901709427436194,0.6408397363764899,0.7672542174657185,1.0992265505450112,1.3783187803767976
