ablation,method,epoch,train_loss,train_ade,val_loss,val_ade,val_fde,best_val_ade,train_token_acc,val_token_acc,train_token_temp,val_token_temp,step5_ade,step10_ade,step15_ade,step20_ade
wo_token_loss,w/o Token Loss,1,0.019909928920844755,1.2700835305189937,0.03627543766051531,1.0838802434149242,1.9833867413657051,1.0838802434149242,4.913522091897232e-05,0.00012276785924942012,0.23074011098538805,0.22915854085059392,0.7885005502473741,0.8691517679464249,1.3599008866718838,1.9833867413657051
wo_token_loss,w/o Token Loss,2,0.01293771449658059,0.7712603320115767,0.035391338919067664,1.0437094427290416,1.9455998608044216,1.0437094427290416,0.00011628668942484826,0.00011904762109874615,0.23074010948590012,0.22915854085059392,0.7000602952071598,0.845259725196021,1.3564042014735085,1.9455998608044216
wo_token_loss,w/o Token Loss,3,0.01231157201765968,0.7149773754913602,0.033207231206775066,0.9470638661157518,1.653153645992279,0.9470638661157518,0.00011546776913822994,0.00011532738294807218,0.23074011120406338,0.22915854085059392,0.6662469111737751,0.8066010653972626,1.217064688886915,1.653153645992279
wo_token_loss,w/o Token Loss,4,0.012001826456675708,0.6917929540640153,0.03217993064761339,0.8949823430606297,1.4768423994382223,0.8949823430606297,0.00011464884885161162,0.00011532738294807218,0.2307401110478667,0.22915854085059392,0.6610646632455645,0.774598593371255,1.1425638567833674,1.4768423994382223
wo_token_loss,w/o Token Loss,5,0.011711010333556737,0.6732351066431409,0.031766983283506266,0.8975437345958891,1.5410390019416809,0.8949823430606297,0.0001154677690162013,0.00011532738294807218,0.23074011014192608,0.22915854085059392,0.6340396218356632,0.7736317157745362,1.1604486771992275,1.5410390019416809
wo_token_loss,w/o Token Loss,6,0.011522175516714528,0.6622240134130234,0.031610588883493274,0.8916959640525636,1.4422471290542966,0.8916959640525636,0.00011382992838195035,0.00011532738294807218,0.23074011176637133,0.22915854085059392,0.6601764944337664,0.7895399110657828,1.141152444339934,1.4422471290542966
wo_token_loss,w/o Token Loss,7,0.011395216026964286,0.6598478986157311,0.030836977091218742,0.8660642987205869,1.4098515737624395,0.8660642987205869,0.00011301100803431771,0.00011532738294807218,0.2307401104543194,0.22915854085059392,0.6357616259938195,0.7690705282347543,1.1080743738583156,1.4098515737624395
wo_token_loss,w/o Token Loss,8,0.011355860119263799,0.6556060662184622,0.030896026444887478,0.8658469151882898,1.425324659120469,0.8658469151882898,0.00011301100803431771,0.00011532738294807218,0.23074011042308007,0.22915854085059392,0.6240251859029134,0.769381936107363,1.1130721591767812,1.425324659120469
wo_token_loss,w/o Token Loss,9,0.01116050763370028,0.645566537507675,0.03125329687858799,0.8822227787403834,1.5054565435364133,0.8658469151882898,0.00011301100803431771,0.00011532738294807218,0.23074011151645668,0.22915854085059392,0.6225890141157877,0.7743479975632259,1.1358676609538851,1.5054565435364133
wo_token_loss,w/o Token Loss,10,0.010989533199643643,0.637231351319599,0.031068651501222382,0.878172976346243,1.4688306013743082,0.8658469151882898,0.00011301100815634636,0.00011532738294807218,0.2307401096420968,0.22915854085059392,0.6295059354532333,0.7703982157366617,1.129879957721347,1.4688306013743082
wo_token_loss,w/o Token Loss,11,0.010904854268472118,0.6332891238560466,0.03081573438830674,0.8621226055281502,1.419380650066194,0.8621226055281502,0.00011301100809533204,0.00011532738294807218,0.2307401107354734,0.22915854085059392,0.618029695607367,0.7614094217618307,1.1140092423983983,1.419380650066194
wo_token_loss,w/o Token Loss,12,0.011201977556272637,0.6388712875873038,0.031791096601990004,0.8496490702742622,1.3612697748910814,0.8496490702742622,0.00011628668942484826,0.00011904762109874615,0.2307401109541487,0.22915854085059392,0.638609583179156,0.751194546620051,1.0831163925783975,1.3612697748910814
wo_token_loss,w/o Token Loss,13,0.010903541505848305,0.6306414969687192,0.03127811850225996,0.9165619753655934,1.5868337960470291,0.8496490702742622,0.00011219208768668509,0.00011532738294807218,0.23074011001696876,0.22915854085059392,0.6337176259074893,0.7917893270651499,1.1862162550290425,1.5868337960470291
wo_token_loss,w/o Token Loss,14,0.010903642971929655,0.6277485187448546,0.03282808622323154,0.8821981801873162,1.4457264786674864,0.8496490702742622,0.00011137316733905245,0.00011532738294807218,0.2307401109541487,0.22915854085059392,0.6487800260384877,0.7749162645567031,1.1183012599036808,1.4457264786674864
wo_token_loss,w/o Token Loss,15,0.010611807441327182,0.6203023207762456,0.030457918922461216,0.8469585100809733,1.3533593172118776,0.8469585100809733,0.00011137316727803813,0.00011532738294807218,0.23074011011068676,0.22915854085059392,0.6331852867489769,0.7587836853095463,1.0765001427559626,1.3533593172118776
wo_token_loss,w/o Token Loss,16,0.010448003349097472,0.6135677589060625,0.030631241513349648,0.841781793321882,1.3668180936858767,0.841781793321882,0.00011301100809533204,0.00011532738294807218,0.23074011145397802,0.22915854085059392,0.631339210555667,0.7464945154530661,1.0670341505890801,1.3668180936858767
wo_token_loss,w/o Token Loss,17,0.010466949273031635,0.619359239467285,0.030921582036673844,0.8680574158827464,1.4106150723638988,0.841781793321882,0.00011301100809533204,0.00011904762109874615,0.23074011107910605,0.22915854085059392,0.6443222179299309,0.7679668911865779,1.1017129767508733,1.4106150723638988
wo_token_loss,w/o Token Loss,18,0.010192079097618285,0.6085548694528624,0.03197970194187725,0.8650120397408804,1.3476883661179315,0.841781793321882,0.00011710560989450953,0.00012276785924942012,0.23074010982953277,0.22915854085059392,0.699867924622127,0.7687821314448402,1.0618674746581487,1.3476883661179315
wo_token_loss,w/o Token Loss,19,0.010142417513302662,0.6033792034010217,0.030949094908178917,0.8648456692695617,1.4194385608037312,0.841781793321882,0.00012038129116301141,0.00011904762109874615,0.2307401105480374,0.22915854085059392,0.6547506756725765,0.7615640526726133,1.0922910400799342,1.4194385608037312
wo_token_loss,w/o Token Loss,20,0.010154539623553524,0.6058973360736415,0.03256584606909504,0.8689984165486835,1.4539181624140058,0.841781793321882,0.00011301100797330339,0.00012276785924942012,0.23074011057927674,0.22915854085059392,0.6419419952801295,0.7640849334853036,1.1009531600134714,1.4539181624140058
wo_token_loss,w/o Token Loss,21,0.010042385245278961,0.5954065232906701,0.03148542104477418,0.8224604918843224,1.2880278195653643,0.8224604918843224,0.00011956237112045038,0.00011532738294807218,0.23074011117282403,0.22915854085059392,0.6620207525434948,0.7310308822563716,1.0225509731542497,1.2880278195653643
