page,slot,idx,label,traj_idx,start_frame,turn_score,path_length_m,net_displacement_m,ours_ade,ours_fde,lstm_ade,tcn_ade,transformer_ade
1,1,6989,Straight,99,177,0.13801079988479614,2.1398727893829346,2.1398725509643555,0.928348183631897,1.893606185913086,3.9848766326904297,3.2595596313476562,4.401972770690918
1,2,11372,Turning,162,96,24.37175941467285,12.289444923400879,12.236078262329102,0.510224461555481,1.1595160961151123,2.3384339809417725,1.8749759197235107,2.1441080570220947
1,3,12529,Straight,178,207,0.006283773574978113,17.504146575927734,17.504148483276367,0.6066561937332153,2.8616952896118164,4.084902763366699,2.949423313140869,3.3079075813293457
1,4,9048,Straight,129,54,0.05677253007888794,2.443176507949829,2.443176746368408,0.4753842353820801,0.8621055483818054,3.5608344078063965,2.3488478660583496,3.731440782546997
1,5,2107,Straight,30,21,0.013783320784568787,9.450728416442871,9.450728416442871,0.9774202108383179,1.953997015953064,3.9855411052703857,3.3637490272521973,3.7349777221679688
1,6,2591,Straight,37,3,0.04440988600254059,2.4089395999908447,2.4089395999908447,1.0240147113800049,1.9425309896469116,3.5000786781311035,2.906979560852051,4.4405598640441895
2,1,8821,Straight,126,3,0.07880672067403793,2.408940076828003,2.408940076828003,0.9934040307998657,2.0345981121063232,3.2093913555145264,2.317046642303467,3.9204845428466797
2,2,1726,Straight,24,138,0.084038645029068,3.3769936561584473,3.3769936561584473,0.5682799220085144,1.4785609245300293,2.7007501125335693,2.057894706726074,3.3117434978485107
2,3,4036,Straight,57,138,0.08480362594127655,3.3769965171813965,3.3769965171813965,0.6487565636634827,1.2302926778793335,2.600883960723877,2.608389377593994,2.9918224811553955
2,4,2846,Turning,40,138,51.381710052490234,2.389740228652954,2.380817413330078,0.515264630317688,0.7642562389373779,2.119694232940674,1.1953920125961304,2.689526081085205
2,5,10140,Straight,144,180,0.14663049578666687,2.139878749847412,2.139878749847412,0.8048720359802246,1.8119027614593506,2.013225555419922,1.7882919311523438,2.622415065765381
2,6,588,Straight,8,84,0.1433110237121582,8.68497371673584,8.68497371673584,0.14902850985527039,0.4408348798751831,0.8784860372543335,1.4074211120605469,0.6683534383773804
3,1,8359,Straight,119,87,0.0005669056554324925,7.003082752227783,7.003082752227783,0.6836189031600952,1.3691437244415283,1.2563639879226685,1.4537785053253174,1.4391157627105713
3,2,3698,Turning,52,174,23.03529930114746,8.3510160446167,8.326493263244629,0.6374704241752625,1.3729256391525269,1.179645299911499,1.1179835796356201,1.6028944253921509
3,3,12333,Straight,176,39,0.12893347442150116,8.44155502319336,8.441555976867676,0.11998970806598663,0.2342071533203125,0.3637048602104187,0.42490750551223755,1.5084288120269775
3,4,4499,Straight,64,57,0.007082905620336533,8.11126708984375,8.11126708984375,0.14357413351535797,0.2521170675754547,0.4793320298194885,0.49175795912742615,1.2863476276397705
3,5,6832,Turning,97,126,21.7062931060791,4.034071445465088,4.0279388427734375,0.45666295289993286,0.4216694235801697,0.8582634925842285,0.69932621717453,1.610198736190796
3,6,934,Turning,13,72,21.01859474182129,2.71762752532959,2.7119433879852295,0.15407530963420868,0.3357256352901459,0.7875450849533081,0.790980339050293,0.6246749758720398
4,1,143,Straight,2,9,0.02313384972512722,5.534424304962158,5.534424304962158,0.17869941890239716,0.143166646361351,0.6389972567558289,0.4623495936393738,1.0670886039733887
4,2,715,Straight,10,45,0.1375156044960022,5.383711814880371,5.383712291717529,0.4502873420715332,0.7603621482849121,0.8585644960403442,1.2017905712127686,0.8811787366867065
4,3,5503,Turning,78,129,21.232515335083008,4.3333353996276855,4.327301502227783,0.448950856924057,1.0254485607147217,1.104914903640747,0.5905334949493408,1.2128502130508423
4,4,7170,Turning,102,90,20.139562606811523,12.37110710144043,12.323079109191895,0.745792031288147,1.2579169273376465,1.2048476934432983,1.1606616973876953,1.426550269126892
4,5,4724,Straight,67,102,0.14206792414188385,8.139586448669434,8.139585494995117,0.12770378589630127,0.08288060873746872,0.28395968675613403,0.6043443083763123,0.988726794719696
4,6,3011,Turning,43,3,22.4289608001709,4.802246570587158,4.765259742736816,0.3494107127189636,0.7916382551193237,0.9286327362060547,0.7137185335159302,0.8137542605400085
