split,snr_db,valid_entries,identical_entries,identical_fraction,nonzero_delta_entries,max_abs_component_delta,p95_max_abs_component_delta,p99_max_abs_component_delta,mask_mismatch_entries
train,5,701822,606437,0.8640894699795675,95385,0.02910222578793764,0.02500009536743164,0.02500152587890625,0
train,10,701822,656351,0.9352100675099954,45471,0.030145781114697456,0.024999618530273438,0.025000572204589844,0
train,15,701822,685467,0.9766963703047211,16355,0.02864837646484375,0.0,0.025000005960464478,0
train,20,701822,701822,1.0,0,0.0,0.0,0.0,0
V_select,5,57958,49441,0.8530487594464957,8517,0.03184700012207031,0.02500009536743164,0.02500152587890625,0
V_select,10,57958,53628,0.925290727768384,4330,0.026679471135139465,0.024999618530273438,0.025000572204589844,0
V_select,15,57958,56368,0.9725663411435868,1590,0.02552032470703125,0.0,0.025000005960464478,0
V_select,20,57958,57958,1.0,0,0.0,0.0,0.0,0
