snr_db,targets,pos_err_median_m,pos_err_p95_m,pos_err_max_m,vel_err_median_mps,vel_err_p95_mps,vel_err_max_mps,search_failures,identical_to_20db,identical_fraction,empirical_snr_median_db,rd_peak_floor_median_db,rd_range_err_median_m
-20,80,0.0309240777221539,0.0632908583261298,0.07079594431353312,0.031266776468440234,0.08689103460648051,0.11062959189665593,0,3,0.0375,-19.998353707329002,27.613430144716546,0.43046421143640146
-15,80,0.02046014518849768,0.034876769465039516,0.04620343497545413,0.021501914955317364,0.04974910653161283,0.05718349987778339,0,6,0.075,-14.998353707329004,32.63877044230989,0.43046421143640146
-10,80,0.011249930367439551,0.02551764628176103,0.027453286769377822,0.012830038637197625,0.029198496875378534,0.036672981930966526,0,24,0.3,-9.998353707329004,37.63628604583252,0.43046421143640146
-5,80,0.00973272560878589,0.019283924494344483,0.023149551217688743,0.011003255349341868,0.020708720247468882,0.031210913031292944,0,42,0.525,-4.998353707329005,42.62013277293953,0.43046421143640146
0,80,0.009574675294539984,0.018095933235557006,0.02252663036979176,0.01020058090231003,0.01621555817272283,0.0198142244718311,0,52,0.65,0.0016462926709958543,47.56069343053289,0.43046421143640146
5,80,0.009574675294539984,0.015249304130542105,0.01804085276759612,0.010174995242456686,0.015039214909793777,0.017811323193509216,0,66,0.825,5.001646292670995,52.438238571994646,0.43046421143640146
10,80,0.009442576979258474,0.014707477576799534,0.017447608531557447,0.010174995242456686,0.015036886147782121,0.01773426010910362,0,74,0.925,10.001646292670996,57.244986930825625,0.43046421143640146
15,80,0.009442576979258474,0.014707477576799534,0.017447608531557447,0.010174995242456686,0.015036886147782121,0.01773426010910362,0,77,0.9625,15.001646292670996,62.10210225415524,0.43046421143640146
20,80,0.009442576979258474,0.014880501577396345,0.017447608531557447,0.010174995242456686,0.015211784248916152,0.01773426010910362,0,80,1.0,20.001646292670998,66.93739208599398,0.43046421143640146
