split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,27,20,1453,1453,1453,1453,True,0,0,True
train,28,5,1453,1453,1453,1453,True,0,0,True
train,28,10,1453,1453,1453,1453,True,0,0,True
train,28,15,1453,1453,1453,1453,True,0,0,True
train,28,20,1453,1453,1453,1453,True,0,0,True
train,29,5,898,898,898,898,True,0,0,True
train,29,10,898,898,898,898,True,0,0,True
train,29,15,898,898,898,898,True,0,0,True
train,29,20,898,898,898,898,True,0,0,True
train,30,5,1154,1154,1154,1154,True,0,0,True
train,30,10,1154,1154,1154,1154,True,0,0,True
train,30,15,1154,1154,1154,1154,True,0,0,True
train,30,20,1154,1154,1154,1154,True,0,0,True
train,31,5,1407,1407,1407,1407,True,0,0,True
train,31,10,1407,1407,1407,1407,True,0,0,True
train,31,15,1407,1407,1407,1407,True,0,0,True
train,31,20,1407,1407,1407,1407,True,0,0,True
train,32,5,1592,1592,1592,1592,True,0,0,True
train,32,10,1592,1592,1592,1592,True,0,0,True
train,32,15,1592,1592,1592,1592,True,0,0,True
train,32,20,1592,1592,1592,1592,True,0,0,True
train,33,5,1233,1233,1233,1233,True,0,0,True
train,33,10,1233,1233,1233,1233,True,0,0,True
train,33,15,1233,1233,1233,1233,True,0,0,True
train,33,20,1233,1233,1233,1233,True,0,0,True
train,34,5,1592,1592,1592,1592,True,0,0,True
train,34,10,1592,1592,1592,1592,True,0,0,True
train,34,15,1592,1592,1592,1592,True,0,0,True
train,34,20,1592,1592,1592,1592,True,0,0,True
train,35,5,1592,1592,1592,1592,True,0,0,True
train,35,10,1592,1592,1592,1592,True,0,0,True
train,35,15,1592,1592,1592,1592,True,0,0,True
train,35,20,1592,1592,1592,1592,True,0,0,True
train,36,5,1289,1289,1289,1289,True,0,0,True
train,36,10,1289,1289,1289,1289,True,0,0,True
train,36,15,1289,1289,1289,1289,True,0,0,True
train,36,20,1289,1289,1289,1289,True,0,0,True
train,37,5,1495,1495,1495,1495,True,0,0,True
train,37,10,1495,1495,1495,1495,True,0,0,True
train,37,15,1495,1495,1495,1495,True,0,0,True
train,37,20,1495,1495,1495,1495,True,0,0,True
train,38,5,1592,1592,1592,1592,True,0,0,True
train,38,10,1592,1592,1592,1592,True,0,0,True
train,38,15,1592,1592,1592,1592,True,0,0,True
train,38,20,1592,1592,1592,1592,True,0,0,True
train,39,5,1400,1400,1400,1400,True,0,0,True
train,39,10,1400,1400,1400,1400,True,0,0,True
train,39,15,1400,1400,1400,1400,True,0,0,True
train,39,20,1400,1400,1400,1400,True,0,0,True
train,40,5,1369,1369,1369,1369,True,0,0,True
train,40,10,1369,1369,1369,1369,True,0,0,True
train,40,15,1369,1369,1369,1369,True,0,0,True
train,40,20,1369,1369,1369,1369,True,0,0,True
train,41,5,778,778,778,778,True,0,0,True
train,41,10,778,778,778,778,True,0,0,True
train,41,15,778,778,778,778,True,0,0,True
train,41,20,778,778,778,778,True,0,0,True
train,42,5,1592,1592,1592,1592,True,0,0,True
train,42,10,1592,1592,1592,1592,True,0,0,True
train,42,15,1592,1592,1592,1592,True,0,0,True
train,42,20,1592,1592,1592,1592,True,0,0,True
train,43,5,1446,1446,1446,1446,True,0,0,True
train,43,10,1446,1446,1446,1446,True,0,0,True
train,43,15,1446,1446,1446,1446,True,0,0,True
train,43,20,1446,1446,1446,1446,True,0,0,True
train,44,5,1248,1248,1248,1248,True,0,0,True
train,44,10,1248,1248,1248,1248,True,0,0,True
train,44,15,1248,1248,1248,1248,True,0,0,True
train,44,20,1248,1248,1248,1248,True,0,0,True
train,45,5,1545,1545,1545,1545,True,0,0,True
train,45,10,1545,1545,1545,1545,True,0,0,True
train,45,15,1545,1545,1545,1545,True,0,0,True
train,45,20,1545,1545,1545,1545,True,0,0,True
train,46,5,1545,1545,1545,1545,True,0,0,True
train,46,10,1545,1545,1545,1545,True,0,0,True
train,46,15,1545,1545,1545,1545,True,0,0,True
train,46,20,1545,1545,1545,1545,True,0,0,True
train,47,5,1592,1592,1592,1592,True,0,0,True
train,47,10,1592,1592,1592,1592,True,0,0,True
train,47,15,1592,1592,1592,1592,True,0,0,True
train,47,20,1592,1592,1592,1592,True,0,0,True
train,48,5,1592,1592,1592,1592,True,0,0,True
train,48,10,1592,1592,1592,1592,True,0,0,True
train,48,15,1592,1592,1592,1592,True,0,0,True
train,48,20,1592,1592,1592,1592,True,0,0,True
train,49,5,1592,1592,1592,1592,True,0,0,True
train,49,10,1592,1592,1592,1592,True,0,0,True
train,49,15,1592,1592,1592,1592,True,0,0,True
train,49,20,1592,1592,1592,1592,True,0,0,True
train,50,5,1433,1433,1433,1433,True,0,0,True
train,50,10,1433,1433,1433,1433,True,0,0,True
train,50,15,1433,1433,1433,1433,True,0,0,True
train,50,20,1433,1433,1433,1433,True,0,0,True
train,51,5,1551,1551,1551,1551,True,0,0,True
train,51,10,1551,1551,1551,1551,True,0,0,True
train,51,15,1551,1551,1551,1551,True,0,0,True
train,51,20,1551,1551,1551,1551,True,0,0,True
train,52,5,1433,1433,1433,1433,True,0,0,True
train,52,10,1433,1433,1433,1433,True,0,0,True
train,52,15,1433,1433,1433,1433,True,0,0,True
train,52,20,1433,1433,1433,1433,True,0,0,True
train,53,5,1458,1458,1458,1458,True,0,0,True
train,53,10,1458,1458,1458,1458,True,0,0,True
train,53,15,1458,1458,1458,1458,True,0,0,True
train,53,20,1458,1458,1458,1458,True,0,0,True
train,54,5,1357,1357,1357,1357,True,0,0,True
train,54,10,1357,1357,1357,1357,True,0,0,True
train,54,15,1357,1357,1357,1357,True,0,0,True
train,54,20,1357,1357,1357,1357,True,0,0,True
train,55,5,1590,1590,1590,1590,True,0,0,True
train,55,10,1590,1590,1590,1590,True,0,0,True
train,55,15,1590,1590,1590,1590,True,0,0,True
train,55,20,1590,1590,1590,1590,True,0,0,True
train,56,5,1099,1099,1099,1099,True,0,0,True
train,56,10,1099,1099,1099,1099,True,0,0,True
train,56,15,1099,1099,1099,1099,True,0,0,True
train,56,20,1099,1099,1099,1099,True,0,0,True
train,57,5,533,533,533,533,True,0,0,True
train,57,10,533,533,533,533,True,0,0,True
