split,episode_index,frame_index,slot,seed,snr_db,truth_x,truth_y,truth_vx,truth_vy,est_x,est_y,est_vx,est_vy,pos_err_m,vel_err_mps,pos_err_x,pos_err_y,vel_err_x,vel_err_y,search_failure,optimizer_success,pos_coarse_edge,pos_fine_edge,vel_coarse_edge,vel_fine_edge,signal_rms,noise_rms,empirical_snr_db,coarse_range_s0,coarse_radial_v_s0,coarse_range_s1,coarse_radial_v_s1,coarse_range_s2,coarse_radial_v_s2,rd_peak_floor_db_s0,rd_peak_range_s0,rd_peak_velocity_s0,true_range_s0,true_radial_v_s0,rd_range_err_s0,coarse_range_err_s0,rd_peak_floor_db_s1,rd_peak_range_s1,rd_peak_velocity_s1,true_range_s1,true_radial_v_s1,rd_range_err_s1,coarse_range_err_s1,rd_peak_floor_db_s2,rd_peak_range_s2,rd_peak_velocity_s2,true_range_s2,true_radial_v_s2,rd_range_err_s2,coarse_range_err_s2
train,0,30,0,8963832366968030235,-20,9.138079260000001,-219.00178704,-0.7223760000000023,7.24479119999998,9.146256905093699,-219.00173601603444,-0.7226402053654502,7.194894356436652,0.008177804272757834,0.04989754304631001,0.00817764509369745,5.1023965568219865e-05,-0.0002642053654478005,-0.04989684356332802,False,True,False,False,False,False,0.1,1.00055424627602,-20.004812788373968,134.0371757706767,6.407338281907618,242.91722395676692,6.160902194141941,334.08665432330827,7.146646545204651,27.564774617404325,133.6346617293233,5.914466106376263,133.97279916734044,6.457332460309274,0.33813743801712803,0.06437660333625672,29.494807950260974,243.11848097744362,5.914466106376263,242.91331297182407,6.219106019286166,0.20516800561955506,0.003910984942848472,24.02944941787784,333.2816262406015,7.885954808501684,334.06559239913815,7.2265496687816615,0.7839661585366571,0.021061924170112434
train,0,30,1,7398013203650557483,-20,5.934021659999999,-203.96082144,0.8406383999999889,12.163653599999957,5.892600042115847,-203.94872295526662,0.8643964304952008,12.202651631791001,0.04315233204572336,0.045664981075072025,-0.04142161788415244,0.012098484733371606,0.023758030495211857,0.038998031791043886,False,True,False,False,False,False,0.1,0.9996741704851276,-19.997169419624633,119.74792730263158,9.364571335095752,231.0430597368421,11.089623949455493,318.589863731203,11.58249612498685,26.493030594614094,119.1441562406015,9.857443510627107,119.76225813562714,9.364769643149737,0.6181018950256316,0.014330832995554488,25.0259829293135,230.23803165413534,11.828932212752527,230.93038468111376,11.137337658750193,0.6923530269784237,0.1126750557283458,29.695151072013463,318.7911207518797,11.828932212752527,318.6882212962958,11.68006831169795,0.1028994555838949,0.09835756509278326
train,0,30,0,8963832366968030235,-15,9.138079260000001,-219.00178704,-0.7223760000000023,7.24479119999998,9.146256905093699,-219.00173601603444,-0.7226402053654502,7.219894356436652,0.008177804272757834,0.024898245397858575,0.00817764509369745,5.1023965568219865e-05,-0.0002642053654478005,-0.024896843563328552,False,True,False,False,False,False,0.17782794100389232,1.00055424627602,-15.004812788373966,134.0371757706767,6.407338281907618,242.91722395676692,6.160902194141941,334.08665432330827,7.146646545204651,32.723387397295205,133.6346617293233,5.914466106376263,133.97279916734044,6.457332460309274,0.33813743801712803,0.06437660333625672,34.375772274310016,243.11848097744362,5.914466106376263,242.91331297182407,6.219106019286166,0.20516800561955506,0.003910984942848472,29.13450319383032,333.2816262406015,7.885954808501684,334.06559239913815,7.2265496687816615,0.7839661585366571,0.021061924170112434
train,0,30,1,7398013203650557483,-15,5.934021659999999,-203.96082144,0.8406383999999889,12.163653599999957,5.917600042115847,-203.94872295526662,0.8377621817097928,12.17784040746831,0.020397128885623325,0.01447543221451273,-0.016421617884152084,0.012098484733371606,-0.002876218290196131,0.014186807468352214,False,True,False,False,False,False,0.17782794100389232,0.9996741704851276,-14.997169419624631,119.74792730263158,9.364571335095752,231.0430597368421,11.089623949455493,318.589863731203,11.58249612498685,31.492214578076158,119.1441562406015,9.857443510627107,119.76225813562714,9.364769643149737,0.6181018950256316,0.014330832995554488,29.981054972549067,230.23803165413534,11.828932212752527,230.93038468111376,11.137337658750193,0.6923530269784237,0.1126750557283458,34.62680634550666,318.7911207518797,11.828932212752527,318.6882212962958,11.68006831169795,0.1028994555838949,0.09835756509278326
train,0,30,0,8963832366968030235,-10,9.138079260000001,-219.00178704,-0.7223760000000023,7.24479119999998,9.146256905093699,-219.00173601603444,-0.7226402053654502,7.244894356436652,0.008177804272757834,0.0002836295569192842,0.00817764509369745,5.1023965568219865e-05,-0.0002642053654478005,0.00010315643667180296,False,True,False,False,False,False,0.31622776601683794,1.00055424627602,-10.004812788373968,134.0371757706767,6.407338281907618,242.91722395676692,6.160902194141941,334.08665432330827,7.146646545204651,37.780944878545576,133.6346617293233,5.914466106376263,133.97279916734044,6.457332460309274,0.33813743801712803,0.06437660333625672,39.278596537375165,243.11848097744362,5.914466106376263,242.91331297182407,6.219106019286166,0.20516800561955506,0.003910984942848472,34.16712243204818,333.2816262406015,7.885954808501684,334.06559239913815,7.2265496687816615,0.7839661585366571,0.021061924170112434
train,0,30,1,7398013203650557483,-10,5.934021659999999,-203.96082144,0.8406383999999889,12.163653599999957,5.915754093145723,-203.95146750185472,0.8379455598651165,12.177785620361506,0.02052316149137203,0.014386291651819549,-0.018267566854276218,0.009353938145267193,-0.002692840134872365,0.014132020361548925,False,True,False,False,False,False,0.31622776601683794,0.9996741704851276,-9.997169419624631,119.74792730263158,9.364571335095752,230.84180271616543,11.089623949455493,318.589863731203,11.58249612498685,36.469678316851244,119.1441562406015,9.857443510627107,119.76225813562714,9.364769643149737,0.6181018950256316,0.014330832995554488,34.89169344402124,230.23803165413534,11.828932212752527,230.93038468111376,11.137337658750193,0.6923530269784237,0.08858196494833237,39.57149248859663,318.7911207518797,11.828932212752527,318.6882212962958,11.68006831169795,0.1028994555838949,0.09835756509278326
train,0,30,0,8963832366968030235,-5,9.138079260000001,-219.00178704,-0.7223760000000023,7.24479119999998,9.146256905093699,-219.00173601603444,-0.7226402053654502,7.244894356436652,0.008177804272757834,0.0002836295569192842,0.00817764509369745,5.1023965568219865e-05,-0.0002642053654478005,0.00010315643667180296,False,True,False,False,False,False,0.5623413251903492,1.00055424627602,-5.004812788373969,134.0371757706767,6.407338281907618,242.91722395676692,6.160902194141941,334.08665432330827,7.146646545204651,42.78042984867342,133.6346617293233,5.914466106376263,133.97279916734044,6.457332460309274,0.33813743801712803,0.06437660333625672,44.17718636484712,243.11848097744362,5.914466106376263,242.91331297182407,6.219106019286166,0.20516800561955506,0.003910984942848472,39.13516120171968,333.2816262406015,7.885954808501684,334.06559239913815,7.2265496687816615,0.7839661585366571,0.021061924170112434
train,0,30,1,7398013203650557483,-5,5.934021659999999,-203.96082144,0.8406383999999889,12.163653599999957,5.940754093145723,-203.95146750185472,0.8363114564733253,12.177974111452707,0.01152483470107618,0.014959929430023436,0.006732433145724137,0.009353938145267193,-0.004326943526663629,0.01432051145275004,False,True,False,False,False,False,0.5623413251903492,0.9996741704851276,-4.9971694196246315,119.74792730263158,9.364571335095752,230.84180271616543,11.089623949455493,318.589863731203,11.58249612498685,41.39490353457367,119.1441562406015,9.857443510627107,119.76225813562714,9.364769643149737,0.6181018950256316,0.014330832995554488,39.79096755705211,230.23803165413534,11.828932212752527,230.93038468111376,11.137337658750193,0.6923530269784237,0.08858196494833237,44.53460928269187,318.7911207518797,11.828932212752527,318.6882212962958,11.68006831169795,0.1028994555838949,0.09835756509278326
train,0,30,0,8963832366968030235,0,9.138079260000001,-219.00178704,-0.7223760000000023,7.24479119999998,9.146256905093699,-219.00173601603444,-0.7226402053654502,7.244894356436652,0.008177804272757834,0.0002836295569192842,0.00817764509369745,5.1023965568219865e-05,-0.0002642053654478005,0.00010315643667180296,False,True,False,False,False,False,1.0,1.00055424627602,-0.004812788373970296,134.0371757706767,6.407338281907618,242.91722395676692,6.160902194141941,334.08665432330827,7.146646545204651,47.71836141108756,133.6346617293233,5.914466106376263,133.97279916734044,6.457332460309274,0.33813743801712803,0.06437660333625672,49.10129561041274,243.11848097744362,5.914466106376263,242.91331297182407,6.219106019286166,0.20516800561955506,0.003910984942848472,44.02109301205252,333.2816262406015,7.885954808501684,334.06559239913815,7.2265496687816615,0.7839661585366571,0.021061924170112434
train,0,30,1,7398013203650557483,0,5.934021659999999,-203.96082144,0.8406383999999889,12.163653599999957,5.940754093145723,-203.95146750185472,0.8363114564733253,12.177974111452707,0.01152483470107618,0.014959929430023436,0.006732433145724137,0.009353938145267193,-0.004326943526663629,0.01432051145275004,False,True,False,False,False,False,1.0,0.9996741704851276,0.00283058037536745,119.74792730263158,9.364571335095752,230.84180271616543,11.089623949455493,318.589863731203,11.58249612498685,46.24849828350942,119.1441562406015,9.857443510627107,119.76225813562714,9.364769643149737,0.6181018950256316,0.014330832995554488,44.60144244571396,230.23803165413534,11.828932212752527,230.93038468111376,11.137337658750193,0.6923530269784237,0.08858196494833237,49.5087878063456,318.7911207518797,11.828932212752527,318.6882212962958,11.68006831169795,0.1028994555838949,0.09835756509278326
