split,snr_db,entries,truth_missing,position_rmse_m,position_median_m,position_p95_m,position_max_m,velocity_rmse_mps,velocity_median_mps,velocity_p95_mps,velocity_max_mps
train,5,701822,0,0.010631318255078995,0.009933549360221772,0.016364873252840494,0.02687916390968568,0.008766916684053775,0.0071156276462386965,0.015772023886608814,0.027231892931066544
train,10,701822,0,0.010510523101617996,0.009920770186348498,0.016092785691364794,0.02426853389751051,0.008612495795650104,0.007119100219534573,0.015400511873635942,0.02409741730574851
train,15,701822,0,0.010476164300190402,0.009920770186348498,0.0160646156023469,0.022827066017197868,0.008561957663438004,0.007113081570868001,0.015285216118467346,0.02407283978342431
train,20,701822,0,0.010467580721573076,0.009920770186348498,0.0160646156023469,0.022708809909244686,0.008549424734607168,0.007111793485801072,0.015258873309210214,0.02407283978342431
V_select,5,57958,0,0.010630518224201583,0.010071061484180169,0.016867474697642115,0.024993523449356486,0.008937350994971616,0.007674667899126662,0.015539170746640112,0.024901924243158402
V_select,10,57958,0,0.010501406193123328,0.010071061484180169,0.016492412783708856,0.022061308036068327,0.008792027473436189,0.007680067201582232,0.01513600287383496,0.02435633155878235
V_select,15,57958,0,0.01047577826961528,0.010073634951373124,0.016425678454672778,0.022061308036068327,0.008744379019950569,0.007675591227336715,0.015007423287454807,0.0229152565195758
V_select,20,57958,0,0.010482734024019481,0.010073634951373124,0.016476738876255143,0.02126076256248811,0.008727591558858121,0.007676513366273811,0.014958712072453612,0.0229152565195758
