scene_index,ground_truth_min_distance_m,closest_future_step,closing_gain_m,heading_angle_deg,interaction_path_length_1_m,interaction_path_length_2_m,interaction_path_length_ratio,independent_ade_m,independent_fde_m,proposed_ade_m,proposed_fde_m,independent_pair_distance_error_m,proposed_pair_distance_error_m,ade_gain_pct,fde_gain_pct,pair_distance_error_gain_pct
167,7.39702033996582,7,2.217020034790039,16.307575225830078,9.473444938659668,8.006326675415039,1.1832448665565567,1.6720958948135376,4.047590255737305,1.1596640348434448,2.579634189605713,1.7768391370773315,1.0884063243865967,30.646080859329913,36.26740784966611,38.7448024036164
1044,4.566208839416504,12,2.429290771484375,13.386805534362793,8.718477249145508,10.681388854980469,1.2251438582382428,2.2414138317108154,4.646609306335449,1.7860924005508423,3.4213755130767822,0.9659038782119751,0.713095486164093,20.314027901417813,26.368341138303023,26.173245366388446
1061,7.660194396972656,9,4.979292869567871,161.6679229736328,8.932473182678223,12.883545875549316,1.442326846335568,1.5150700807571411,4.000164985656738,1.2950388193130493,3.1543593406677246,0.526342511177063,0.4757004380226135,14.522843810243641,21.14426899944856,9.621505403619837
