split,scope,subset,snr_db,position_n,position_mae,position_rmse,position_median,position_p90,position_p95,position_p99,velocity_n,velocity_mae,velocity_rmse,velocity_median,velocity_p90,velocity_p95,velocity_p99,vx_rmse,vy_rmse
train,overall,n_bs_2,-10.0,19153,1.5040954670682563,1.7501257164373958,1.3487870735949963,2.6851839908097896,3.170188938047836,4.319769198347145,19153,1.6756727351872593,2.0052705033518428,1.4394422032494854,3.1254756416917298,3.8251392357213336,5.370646052716842,1.344035032327021,1.1209415039212403
train,overall,n_bs_2,-5.0,19153,0.8452266343626917,0.9834606783983649,0.7583447574160823,1.5093455443656618,1.7837515523895056,2.4271716592647405,19153,0.9420060422172982,1.1271993230103778,0.8095706089041997,1.757650306627766,2.149006001317469,3.016832969199955,0.7553460520271749,0.6297993709450119
train,overall,n_bs_2,0.0,19153,0.47521034473961454,0.5529165705939842,0.426250400793472,0.8487099940091434,1.0021339894721566,1.3649903811547237,19153,0.5296736916299702,0.6337815040940356,0.4552360895598556,0.9887423468603768,1.208995890819458,1.6911407238500193,0.4246863002382923,0.3540597130814567
train,overall,n_bs_2,5.0,19153,0.2672306428126811,0.31092409886531286,0.23978004238160555,0.4772609876090587,0.5637824863970652,0.7678002684493505,19153,0.2978607424933425,0.35639945760424596,0.25610239476635394,0.5560305820576419,0.6802008653986936,0.9502175474185621,0.23882151258400092,0.1990931449907222
train,overall,n_bs_2,10.0,19153,0.1503061536399374,0.17488251770753677,0.13482585213886356,0.2684029931998093,0.3171174749199426,0.43192225657710176,19153,0.16752924187833412,0.20045215201421923,0.14399673237996258,0.3126553124756859,0.38254110635331107,0.5341889249868859,0.1343312715575353,0.11197769635718813
train,overall,n_bs_3,-10.0,30612,0.8144077627812443,0.9323134161499932,0.748853049904525,1.432323200574506,1.656190031249454,2.1096562104987937,30612,1.0997541146865302,1.2640752188459494,1.0039247216696778,1.9280118945336546,2.2559833749194884,2.961318580650221,0.691035131120493,0.6258424350350122
train,overall,n_bs_3,-5.0,30612,0.4579207563233835,0.5242030588976277,0.4209810753284543,0.8053103171696567,0.9315373932999846,1.1855203218439898,30612,0.6182922512230832,0.7107035458100479,0.5644100161626708,1.0854321435520682,1.2685568352350296,1.6672759324081927,0.38849966091796145,0.3519330340054181
train,overall,n_bs_3,0.0,30612,0.2575184560412673,0.29477826733920814,0.23669922056547887,0.45264792134653137,0.5237854109536223,0.6666177025331725,30612,0.34766189769777567,0.39963780905924745,0.3174066181879577,0.6101755355645277,0.7136642263606559,0.9380682754291277,0.21846368541919747,0.1979086785579844
train,overall,n_bs_3,5.0,30612,0.14481430667744255,0.16576937217675233,0.1330268410499787,0.2546989388948113,0.29482366909939606,0.37456804122236576,30612,0.1955049167080527,0.22473971840206694,0.17848194358192393,0.3432394374043548,0.401105580319196,0.5279554309158864,0.122857507770369,0.11129024007669473
train,overall,n_bs_3,10.0,30612,0.08145193693188806,0.09324017250648174,0.07482962283212348,0.14327778011896564,0.16580628453517424,0.21061630373260357,30612,0.10995946667856354,0.12640424174371354,0.1003809478119817,0.19302302276084027,0.22558029725026021,0.29704653645418594,0.06910362509469677,0.062597274443941
train,scene_0,n_bs_2,-10.0,9048,1.4561499771879782,1.6806864874610736,1.3240407462474142,2.5828823405580175,3.002002566022277,3.9106320201370455,9048,1.587046522147359,1.8746625843665201,1.3837129110289361,2.9185240753347115,3.481655005136659,4.786858331361935,1.0528731013401065,1.3100249240410304
train,scene_0,n_bs_2,-5.0,9048,0.818425550935269,0.9445175782903222,0.745008312671691,1.4500284285780054,1.6846200830986482,2.1990314038323406,9048,0.8921657416627535,1.05372988103667,0.7772402161212759,1.6417511119327726,1.9535653789005003,2.696563427944083,0.5916568214967594,0.736244294562455
train,scene_0,n_bs_2,0.0,9048,0.4601852536105233,0.5310466133485314,0.41911976671870466,0.8150540857164773,0.9463108972164002,1.2366719478319403,9048,0.501643507808025,0.5924571261691252,0.43682477151526256,0.922742536631728,1.0998892380059355,1.516924566853797,0.33264605024056004,0.41395302971267084
train,scene_0,n_bs_2,5.0,9048,0.25879410482763276,0.29863280688612587,0.23550586708193058,0.4585496459353275,0.5321509836012632,0.6958079494016681,9048,0.2820961499545337,0.33315655881578743,0.24584797669389688,0.5190465919522358,0.6191030267104021,0.8529152908123802,0.18705946799010942,0.2327881199373013
train,scene_0,n_bs_2,10.0,9048,0.1455637137431336,0.16796945726769869,0.13257931770363204,0.25801929476584473,0.2992489411954875,0.3914542944782928,9048,0.15866198242718063,0.18737807342242216,0.1383223299371159,0.2919420501557376,0.34821863310915935,0.4795027078524256,0.10520959992876748,0.13093768998128058
train,scene_0,n_bs_3,-10.0,15304,0.8024194106118283,0.9175865443036355,0.7385578140738788,1.4151550835978275,1.6240836393655214,2.0549591444356547,15304,1.0672031518518061,1.217616593464406,0.9831022251380512,1.8622182335788666,2.165729273742936,2.773285939241524,0.674001303295207,0.6226454122881258
train,scene_0,n_bs_3,-5.0,15304,0.451276796255325,0.516082062348606,0.4152254492316675,0.7946066915011196,0.9142763283439886,1.1576860811482477,15304,0.5999538411476241,0.684552700912558,0.5529235498957585,1.0471733474255964,1.2187833602336873,1.5604641332413862,0.378971765495132,0.35031570909037624
train,scene_0,n_bs_3,0.0,15304,0.2537972807503887,0.2902369770019699,0.2334778246636885,0.4468295271511279,0.5142946577147811,0.6515481640006603,15304,0.3373335238468155,0.3849239404932486,0.3110803142797511,0.5888407402769537,0.6848256633581754,0.8791747542181374,0.21312183077089938,0.19701925811478965
train,scene_0,n_bs_3,5.0,15304,0.14271183932441742,0.16320783389094687,0.1312815915433951,0.25147323341646294,0.2895270345188866,0.3671341495283412,15304,0.18968849318012523,0.21645965952460694,0.1749396459725233,0.331160272722999,0.38470971354073474,0.4942495484162241,0.11984994143894788,0.11078261858457611
train,scene_0,n_bs_3,10.0,15304,0.08026688440970917,0.09179887456849208,0.07388675310171068,0.14140498185545478,0.1628154088951815,0.20646123625736146,15304,0.10668562000858181,0.12174536266259972,0.09839746669077601,0.18625374354894456,0.21623165499622238,0.277643626984817,0.06740934086645989,0.062313835831147184
train,scene_1,n_bs_2,-10.0,10105,1.5470257780466585,1.810042377884996,1.369508454182301,2.783340569400856,3.346067718776714,4.505307337128217,10105,1.7550284972441634,2.1153848058692195,1.4930532261452627,3.332758232551059,4.109314283408067,5.703948018050745,1.5592685041179475,0.9192035366584211
train,scene_1,n_bs_2,-5.0,10105,0.8692242793751925,1.0170657354385344,0.7682666785556763,1.5624795497087245,1.8777511493547152,2.5320866789752428,10105,0.9866329634857314,1.1891381185880912,0.8399340142112108,1.8721718921701904,2.3077367134120115,3.207505621964031,0.8763412072370442,0.5161867866397268
train,scene_1,n_bs_2,0.0,10105,0.488663786059359,0.5717895164692661,0.4319131707485245,0.8787653201880453,1.055281823293773,1.4242851715905656,10105,0.5547718710679673,0.6686194770443907,0.4723637791482304,1.0528235164371222,1.3005331752674347,1.8028395078928359,0.49271923653790445,0.2901223967391381
train,scene_1,n_bs_2,5.0,10105,0.27478470473140626,0.321531236513408,0.24293262669637697,0.49393693661468596,0.593885487098072,0.8004526247996178,10105,0.31197633213125847,0.3759938477620149,0.26550222657684375,0.5919614403061121,0.731313023710494,1.0135930590021498,0.2770817505730911,0.16311970927264566
train,scene_1,n_bs_2,10.0,10105,0.15455252634516065,0.18084835933788151,0.13663215152168215,0.27775954424060545,0.33411221551899073,0.4502156151512182,10105,0.17546897107319184,0.21147388225164304,0.14935137989984734,0.33274597012066465,0.41132308253330296,0.5696907300081049,0.1558558228068353,0.09173380823016063
train,scene_1,n_bs_3,-10.0,15308,0.8263929823788887,0.9468074919887634,0.7571925302990077,1.4511811349670252,1.682319121070171,2.155206533639383,15308,1.1322965719129878,1.3088743339721876,1.0288732351702454,2.0064470998632813,2.3585726834568375,3.134138297933125,0.7076547691620789,0.6290223800217422
train,scene_1,n_bs_3,-5.0,15308,0.4645629803161693,0.5321980752730755,0.4256692840911824,0.8167654852735774,0.9469261138031395,1.2156146388769191,15308,0.6366258694485095,0.7359192384994182,0.578433974022386,1.1278786740150364,1.328094563238507,1.7635006539889277,0.39779701266856027,0.35354254063172574
train,scene_1,n_bs_3,0.0,15308,0.2612386589842778,0.2992494891664255,0.23929452157125042,0.459033897078808,0.5324752576191981,0.6837604782435569,15308,0.35798757273142423,0.4138252051876487,0.3252695717315755,0.6342526185359303,0.7459830140417854,0.9932974542192948,0.22367665618305432,0.19879388885258611
train,scene_1,n_bs_3,5.0,15308,0.14691622465305634,0.16829127209988393,0.1344948703851383,0.2579479984538528,0.29934458286891324,0.3843463819274933,15308,0.2013198203970651,0.23272331915563574,0.18294334605863627,0.35662499693501526,0.41954876939136515,0.560165188054915,0.12579242914029698,0.11179542493313638
train,scene_1,n_bs_3,10.0,15308,0.08263667979832556,0.09465915950358529,0.07558644843958857,0.14503504277225546,0.1683553039214318,0.21580829693140194,15308,0.11323245788821865,0.1308962537340516,0.10292946797156591,0.20060381857360376,0.2359747220539211,0.3147727837192867,0.07075692425177799,0.06287936186343936
val,overall,n_bs_2,-10.0,2238,1.5788823766829887,1.8548971740147835,1.3936815318472342,2.8253704546017464,3.3913824236702688,4.830899199080638,2238,1.74666206698549,2.1402067424105375,1.4442888001865173,3.3249301995050056,4.160763413523075,6.203367733976956,1.4759500410075512,1.1234834233836466
val,overall,n_bs_2,-5.0,2238,0.8874573010370228,1.0426347998243946,0.784623064285723,1.585443029095593,1.9029175028123764,2.7029179137448893,2238,0.9821280224146439,1.203350741399518,0.8140520489509145,1.8712929340446105,2.3364287743440575,3.4828283917803504,0.8293129295936886,0.6319235639011962
val,overall,n_bs_2,0.0,2238,0.49902595464927446,0.5862842294893607,0.44032727077171463,0.8904598862912919,1.0671884211238303,1.5129326481449612,2238,0.5523044415475469,0.6766987278878976,0.45786244634525114,1.051398589318256,1.3136761605007758,1.9578153925686008,0.46622448617141354,0.3554770403867664
val,overall,n_bs_2,5.0,2238,0.2806468697949602,0.32972017901720724,0.2474068924096819,0.5004243336633062,0.6005009081011586,0.8498035382533529,2238,0.31061003742199167,0.3805659377820002,0.25753253114236485,0.5915132476188562,0.7390396139569474,1.1008424096006804,0.2621658186274017,0.19996119622207587
val,overall,n_bs_2,10.0,2238,0.15786031432909683,0.1854655040848624,0.1392496762703389,0.2814339835969333,0.3378759802225365,0.4777012151639359,2238,0.17470733149060122,0.21405466736626808,0.14488525429820032,0.3327722130669448,0.41581874945800984,0.6191189445399856,0.14745789484884544,0.11248832140359702
