split,scope,subset,snr_db,position_n,position_mae,position_rmse,position_median,position_p90,position_p95,position_p99,velocity_n,velocity_mae,velocity_rmse,velocity_median,velocity_p90,velocity_p95,velocity_p99,vx_rmse,vy_rmse
train,overall,all,-10.0,49765,1.0798470996687988,1.309010077602472,0.9170628813028493,2.0215127340666577,2.5101735628636974,3.6681693648910625,49765,1.3214072712915834,1.5907575344809615,1.1348400638450147,2.4038109799690246,2.9916636733881923,4.519400828007374,0.9944757659283832,0.8511905393306398
train,overall,all,-5.0,49765,0.6069827372755963,0.7357135271207831,0.5154841439622116,1.1357924931563161,1.408977428287589,2.063940280727907,49765,0.7428796166186865,0.8942642199444698,0.6381297474811567,1.3517855127959146,1.6836896405870703,2.533542820315748,0.5589534879905006,0.4783778760057332
train,overall,all,0.0,49765,0.34130129024682226,0.4136571055347469,0.28981283154125836,0.6389946209771818,0.7918012789854796,1.1600625739236423,49765,0.4177125736584573,0.5028285689638389,0.358765095071355,0.7598534630900723,0.9465430736411204,1.4235269633384422,0.31428066955566153,0.2689607066153526
train,overall,all,5.0,49765,0.19192854531902245,0.23261603942418718,0.16292837232735521,0.35913678739440064,0.4451438225018403,0.652019630078646,49765,0.23489848912371944,0.2827636335073058,0.20174211222477836,0.4270063905608325,0.5323158346956561,0.7996262738346419,0.17673720836064155,0.15124212699602643
train,overall,all,10.0,49765,0.10795178245804637,0.13083796553965643,0.09162430659872227,0.201867792270211,0.2503658328593866,0.3666032326001649,49765,0.13211628179764734,0.1590378149773291,0.11346084033726826,0.24021801979557506,0.2993011995211483,0.44962761301829895,0.0994100561202447,0.08506593894577384
train,scene_0,all,-10.0,24352,1.0453133891918631,1.2564449967643736,0.8994887202927876,1.945238416059981,2.395853066507699,3.3904100112264146,24352,1.2603512634826441,1.4958259853934888,1.0997341800264797,2.2699557303504307,2.7734217510761785,4.048033807065903,0.8350867840509766,0.9387673263368428
train,scene_0,all,-5.0,24352,0.5876911331617037,0.7062909700140133,0.5057322238704841,1.0936942393065106,1.3469428379318764,1.906777215414493,24352,0.7085253455768659,0.8408621437529192,0.6180148660228146,1.275758721422475,1.5613640469299725,2.2722754874073727,0.4693845253189373,0.5277547742223198
train,scene_0,all,0.0,24352,0.33048085410939404,0.3971399991590108,0.2843842639386993,0.6146592126872281,0.7575420674450069,1.0731364254205267,24352,0.3983829955485658,0.4727910666784498,0.34754283711197,0.7171005319432788,0.8781497295510805,1.2790081112998715,0.263928174443314,0.296752586622322
train,scene_0,all,5.0,24352,0.18584227371473824,0.2233278715992005,0.1598561508051912,0.3455884042796676,0.42608730640066156,0.6032803022818001,24352,0.22402261269781773,0.26586741988117224,0.19538800450007815,0.40338944305687885,0.4936717052568475,0.7188267003034794,0.14841856431726308,0.16687500711320263
train,scene_0,all,10.0,24352,0.10452795996033436,0.12561367517330876,0.08987998926029755,0.1944026153698429,0.239626237989482,0.3392689859602902,24352,0.12599746820024912,0.1495332004167739,0.10988577404006045,0.2268992610451144,0.27753901635540057,0.4044058458555825,0.08347695466148145,0.0938636960224266
train,scene_1,all,-10.0,25413,1.1129390178813015,1.357472125187215,0.9348072068429782,2.0990191258634363,2.6128857681301567,3.8737850393024362,25413,1.3799141733560105,1.676690270704771,1.1732450493350437,2.5452286559079846,3.2015363241247097,4.841673540736266,1.1262412140686475,0.7578332919537599
train,scene_1,all,-5.0,25413,0.6254689114140889,0.762843689826851,0.5255029600508377,1.1754967046172164,1.4710380907868343,2.17641849423155,25413,0.7757995870436825,0.9426024034769298,0.6600171558999712,1.4302835852799705,1.8000389373886678,2.7241351961135525,0.6330013193323831,0.4257227088517916
train,scene_1,all,0.0,25413,0.35166997008858253,0.4288882164929892,0.2950388655808577,0.6612218802312636,0.8267897011674925,1.2229422565929657,25413,0.4362351363677824,0.530017214154302,0.37121912075513486,0.8050637693221696,1.0125427548085724,1.5326769623781549,0.3559087926290506,0.23931993977909288
train,scene_1,all,5.0,25413,0.1977607133474933,0.24118104768988644,0.1661030370724823,0.3721399574116339,0.46474239508540466,0.6875591024794384,25413,0.24532029460609295,0.298057114732054,0.20882853429098752,0.45256726839655254,0.5693571700255198,0.8619000748927674,0.20014888459690375,0.13456865073042304
train,scene_1,all,10.0,25413,0.11123265938970668,0.1356555010152275,0.09340188246367251,0.2095106993312272,0.2613215654564082,0.386828870892648,25413,0.1379796331817359,0.16764077038213002,0.11750160376364001,0.25464386551412244,0.32016162547241644,0.4848528226054883,0.11258178364010794,0.075681945985184
val,overall,all,-10.0,4779,1.16466449188561,1.4341587201214692,0.9630049426743145,2.239383932737283,2.767119503891915,4.166229534796124,4779,1.4226305380057414,1.7480338493426493,1.1860553957380418,2.634518853099686,3.373747075105849,5.192986693868562,1.1172164896531585,0.8992433206577208
val,overall,all,-5.0,4779,0.6545752843514362,0.8059159318891436,0.542386343443978,1.2580942670996216,1.555233855132716,2.3426374525564806,4779,0.7996738409209788,0.9827260675837558,0.668076849307542,1.4727529090898819,1.8982058136370743,2.918371745878754,0.6276174502673121,0.5055658467427412
val,overall,all,0.0,4779,0.36799986240944266,0.4531491930711169,0.30446056491817763,0.7068866754127282,0.8728396188481206,1.317405048834829,4779,0.44964183489906384,0.5525947555035168,0.37546290475567917,0.8314502878715255,1.0667760011388296,1.6406268068942567,0.3528590343238699,0.28431442643142524
val,overall,all,5.0,4779,0.20694684828050383,0.2548454265269106,0.17117203398601818,0.3977916545633744,0.49110442082331307,0.7399170430429297,4779,0.2528601323831905,0.3107641373456234,0.21114075112330616,0.46745430771722263,0.598771252307356,0.9224954579950504,0.19843165788069062,0.1599095637302646
val,overall,all,10.0,4779,0.11640202520476232,0.14334841435931803,0.09629884480467685,0.2237401785196431,0.27621540817579193,0.4161880537600018,4779,0.14222093347302012,0.1747918354110441,0.11876306718410051,0.26279295056958296,0.33670571542314365,0.5188136601743414,0.11161406955144404,0.08995036063016175
val,scene_0,all,-10.0,2464,1.0838402061933785,1.3046700988072328,0.9381897776899293,2.0226812263936735,2.49481326840784,3.4693764252425434,2464,1.2950203558216373,1.5454258881884946,1.1158344480932636,2.3779722114031,2.9155746897974413,4.203748974053198,0.855817510971473,0.9847540071694391
val,scene_0,all,-5.0,2464,0.6093016632481086,0.7334247191354095,0.5259066169712983,1.1342913411444207,1.3982112549731465,1.9456294254294833,2464,0.7279133364148201,0.8689131552397615,0.6261430958079608,1.332782028792007,1.6385780291930245,2.356332964748061,0.4808311415416491,0.5538169661202237
val,scene_0,all,0.0,2464,0.3426451471597592,0.41248282604665837,0.2957014819743493,0.6373146967742658,0.7886992848151626,1.0943657396307522,2464,0.40929661115211363,0.4886277924237175,0.35187829841359836,0.7482679717723723,0.9205696446022749,1.3247962596189533,0.2703894540292937,0.3114989966808533
val,scene_0,all,5.0,2464,0.1927277631136797,0.23200313927939856,0.16641953532131354,0.3584503281591189,0.44338411828615865,0.6155574873148235,2464,0.2301721306355083,0.2747983937116692,0.19805443376481474,0.4203746912979816,0.5170589887885011,0.7444978022394507,0.15207030287428708,0.17521438188464608
val,scene_0,all,10.0,2464,0.1084142281160429,0.13050659293924663,0.09383559758048751,0.20175314229857716,0.24954083157780066,0.3462731460023951,2464,0.12946041935613883,0.1545648373250091,0.11143660429586813,0.23620877564518822,0.2909038255748332,0.4185793446441558,0.08553668830082524,0.09856696076849322
val,scene_1,all,-10.0,2315,1.2506908590327621,1.5602193772308386,0.9907254324776892,2.4845428448880673,3.088694084008255,4.685894905156972,2315,1.5584540753282603,1.940580227415159,1.2653820334383945,2.9730210522913225,3.874620876832294,6.021147698243113,1.3405658648956609,0.7982278289831386
val,scene_1,all,-5.0,2315,0.7027628447827965,0.8765108812130077,0.5562468146127476,1.3919859343690177,1.7439367951285618,2.633124994880692,2315,0.8760530560843373,1.0908963437515116,0.7105031837595421,1.6699075295079022,2.1826895559373014,3.376915358101983,0.7530477433206221,0.44854255223392325
val,scene_1,all,0.0,2315,0.39498647941817705,0.49275958509157763,0.31324385157308693,0.78356149640814,0.9778450462206982,1.4801231905764523,2315,0.49258379226946775,0.6133935289801564,0.3988388606278398,0.9377556291704172,1.2277552926504565,1.9004737249370438,0.423339967626494,0.25218104708645883
val,scene_1,all,5.0,2315,0.22208111430687735,0.27709689352934225,0.17630352586639617,0.4402651866178116,0.5504960345025974,0.8322157411710355,2315,0.2770083986062095,0.34494932225593605,0.22537704327069885,0.5283639479708673,0.6905225250382735,1.0692435282123587,0.23805618801380196,0.14181657079463256
val,scene_1,all,10.0,2315,0.12490393968709695,0.1558586413568869,0.09921384331248392,0.24780684403635633,0.3094664760770566,0.46807814374374945,2315,0.1558027506583313,0.194017682662279,0.12652800898088176,0.29713294701734344,0.38829283873787407,0.6015432509680083,0.13390211614908193,0.0797630201058891
