candidate,a_range,a_bearing,a_radial_velocity,score,band_loss,soft_reference_loss,monotonicity_violations,position_rmse_-10.0,velocity_rmse_-10.0,position_rmse_-5.0,velocity_rmse_-5.0,position_rmse_0.0,velocity_rmse_0.0,position_rmse_5.0,velocity_rmse_5.0,position_rmse_10.0,velocity_rmse_10.0,in_band_+10_position,in_band_+10_velocity,in_band_+0_position,in_band_+0_velocity,in_band_-10_position,in_band_-10_velocity
rank_01,0.35,0.0111,0.3,0.0,0.0,0.05397283811387371,0,1.3090100776018152,1.5907575344825104,0.7357135271207391,0.8942642199452692,0.4136571055355205,0.5028285689637125,0.23261603942412978,0.2827636335073177,0.13083796553965646,0.15903781497732913,1,1,1,1,1,1
rank_02,0.35,0.0111,0.3,0.0,0.0,0.05397283811387371,0,1.3090100776018152,1.5907575344825104,0.7357135271207391,0.8942642199452692,0.4136571055355205,0.5028285689637125,0.23261603942412978,0.2827636335073177,0.13083796553965646,0.15903781497732913,1,1,1,1,1,1
rank_03,0.35,0.0111,0.3,0.0,0.0,0.05397283811387371,0,1.3090100776018152,1.5907575344825104,0.7357135271207391,0.8942642199452692,0.4136571055355205,0.5028285689637125,0.23261603942412978,0.2827636335073177,0.13083796553965646,0.15903781497732913,1,1,1,1,1,1
rank_04,0.35,0.0111,0.3,0.0,0.0,0.05397283811387371,0,1.3090100776018152,1.5907575344825104,0.7357135271207391,0.8942642199452692,0.4136571055355205,0.5028285689637125,0.23261603942412978,0.2827636335073177,0.13083796553965646,0.15903781497732913,1,1,1,1,1,1
rank_05,0.35,0.0111,0.3,0.0,0.0,0.05397283811387371,0,1.3090100776018152,1.5907575344825104,0.7357135271207391,0.8942642199452692,0.4136571055355205,0.5028285689637125,0.23261603942412978,0.2827636335073177,0.13083796553965646,0.15903781497732913,1,1,1,1,1,1
rank_06,0.35,0.011933,0.3,0.0,0.0,0.054574278608037506,0,1.3434839921970105,1.591937237502685,0.7549453859353162,0.8948861162792194,0.42444483771086244,0.5031702571944644,0.2386762481327084,0.2829541576881984,0.13424176298464266,0.15914453668229114,1,1,1,1,1,1
rank_07,0.35,0.012,0.3,0.0,0.0,0.054784899970912,0,1.3461149956467797,1.5920299575721462,0.7564107105798136,0.8949347732753625,0.4252663713378018,0.5031969460712181,0.2391377031721784,0.2829690310234189,0.13450095415382415,0.15915286667732212,1,1,1,1,1,1
rank_08,0.35,0.012,0.3,0.0,0.0,0.054784899970912,0,1.3461149956467797,1.5920299575721462,0.7564107105798136,0.8949347732753625,0.4252663713378018,0.5031969460712181,0.2391377031721784,0.2829690310234189,0.13450095415382415,0.15915286667732212,1,1,1,1,1,1
rank_09,0.35,0.012,0.3,0.0,0.0,0.054784899970912,0,1.3461149956467797,1.5920299575721462,0.7564107105798136,0.8949347732753625,0.4252663713378018,0.5031969460712181,0.2391377031721784,0.2829690310234189,0.13450095415382415,0.15915286667732212,1,1,1,1,1,1
rank_10,0.4,0.01,0.3,0.0,0.0,0.056177706623579536,0,1.3611065999376002,1.5915666074866206,0.7652207370745375,0.8947620365756899,0.4302874244836344,0.5031156384526968,0.24197891083860593,0.28292622226051173,0.1361130456999976,0.15912968911284703,1,1,1,1,1,1
rank_11,0.32375,0.012,0.3,0.0,0.0,0.057143228429867306,0,1.2782283168163369,1.5903439466626597,0.7181604259076417,0.8939917945099635,0.40374476678354243,0.5026686405865138,0.22703345114881543,0.28267238159347996,0.12769336300125156,0.15898613027422637,1,1,1,1,1,1
rank_12,0.37625,0.0111,0.3,0.0,0.0,0.057495885400531486,0,1.3694172574309735,1.5922567419511386,0.7697290376219197,0.8951029223855728,0.43279168697134185,0.5032985125267352,0.24337787362789332,0.2830274224676338,0.1368909895609347,0.15918608534892206,1,1,1,1,1,1
rank_13,0.35,0.010268,0.3,0.0,0.0,0.057963005152673,0,1.271010828717945,1.5895266678059816,0.7144641326812046,0.8936103541053209,0.40172922676879036,0.502468307008697,0.22591428829286542,0.28256256775502203,0.12707420389676718,0.1589251621571854,1,1,1,1,1,1
rank_14,0.35,0.0102,0.3,0.0,0.0,0.05853598356316487,0,1.2677331022954448,1.5894236354416826,0.7126293722777145,0.893555413395783,0.40069902779672867,0.5024379946427244,0.22533543432078376,0.2825456426421833,0.1267491372833223,0.15891567842811222,1,1,1,1,1,1
rank_15,0.35,0.012765,0.3,0.0,0.0,0.05859100774601378,0,1.3747851167201686,1.5930671627310369,0.7723489156442604,0.8954766267069635,0.43419702185117043,0.5034936636223005,0.24415329104859385,0.28313429495627507,0.13731815590614488,0.1592454098426989,1,1,1,1,1,1
rank_16,0.35,0.0129,0.3,0.0,0.0,0.05950045287333051,0,1.3795962086510059,1.5932462650791739,0.7750172849493762,0.8955697104471797,0.4356911051475318,0.5035445380103764,0.24499222542927906,0.2831626122353631,0.13778937676861622,0.15926126368128682,1,1,1,1,1,1
rank_17,0.35,0.01,0.3,0.0,0.0,0.06046582905076886,0,1.257933537850893,1.5891184185144793,0.707142478212142,0.8933924848060368,0.3976179672300894,0.5023480672436512,0.22360421159873028,0.2824954248583718,0.12577695990543789,0.15888753894112176,1,1,1,1,1,1
rank_18,0.32375,0.0111,0.3,0.0,0.0,0.06377898231205385,0,1.2449636985140091,1.5892239465519387,0.6996457994445502,0.8934070762860792,0.3933665038394714,0.5023484625477936,0.22120441859185588,0.28249408610120424,0.12441957916433052,0.15888630903596251,1,1,1,1,1,1
rank_19,0.37625,0.012,0.3,0.0,0.0,0.06696185708220975,0,1.410279099227465,1.5936855996521253,0.7925560062986206,0.8958616173541871,0.44560105021560376,0.5037163431008242,0.25057458433063884,0.28326061417809245,0.14093328183388565,0.15931675396143682,1,1,1,1,1,1
rank_20,0.35,0.0138,0.3,0.0,0.0,0.06702312652417827,0,1.4099453425362622,1.594412538802982,0.7917951828274854,0.8961719724563537,0.4450757403373031,0.5038729099557632,0.25026019299669316,0.28334523840315085,0.14074825815414346,0.15936348408091827,1,1,1,1,1,1
