scene_id,frame,timestamp,vehicles,min_pair_m,mean_junction_m,max_junction_m,categories
0,144,14.414414414414415,1,inf,47.8860908884375,47.8860908884375,low_density
0,145,14.514514514514515,1,inf,49.66800150895154,49.66800150895154,low_density
0,146,14.614614614614615,1,inf,51.47962276240991,51.47962276240991,low_density
0,147,14.714714714714715,1,inf,53.31742223043245,53.31742223043245,low_density
0,148,14.814814814814815,1,inf,55.18054997658225,55.18054997658225,low_density
0,149,14.914914914914915,1,inf,57.06935767455119,57.06935767455119,low_density
0,307,30.73073073073073,6,4.652286097575036,51.19359262034714,101.98743771537956,median_density
0,308,30.83083083083083,6,4.1604609802304395,50.22069880623943,100.19349274839193,median_density
0,309,30.93093093093093,6,3.7994286332454013,49.26573930287166,98.39973840279418,median_density
0,310,31.03103103103103,6,3.623781319850858,48.331476567054104,96.60887251874136,median_density
0,311,31.13113113113113,6,3.672083033102739,47.42162087353165,94.82116762533168,median_density
0,312,31.23123123123123,6,3.9421110607187364,46.540546961040285,93.04130135305948,median_density
0,633,63.36336336336337,17,4.926085685229704,48.39006879966242,102.54991522572656,high_density
0,634,63.46346346346347,17,4.2844603437058435,48.2992526181656,101.1718956135173,high_density
0,635,63.56356356356357,17,4.125443789574764,48.22938125487296,99.80045330692235,high_density
0,636,63.66366366366367,18,4.498299361656801,49.6142072530243,98.43690835086075,high_density
0,637,63.76376376376377,18,5.293495352340455,49.510686373431575,97.07649536233005,high_density
0,638,63.86386386386387,18,4.431249461400251,49.42500055051255,95.71861010696875,high_density
0,895,89.5895895895896,6,16.849836438643226,39.109828252744684,103.33881330026652,far_target
0,914,91.4914914914915,6,15.954001252416965,50.780675419950626,103.63800659908436,far_target
0,1071,107.2072072072072,7,5.626681892840309,59.597166624326476,103.56725170435168,far_target
0,1144,114.51451451451452,8,6.371714026794509,53.39637438288037,103.25725504261352,far_target
0,1156,115.71571571571572,9,9.442827255320722,58.35290448819722,103.26772263278335,far_target
0,1304,130.53053053053054,4,10.895456038950964,17.988537237614903,26.92623670550067,junction_center
0,1305,130.63063063063063,4,10.826076520439019,17.82807952156877,26.526832186874827,junction_center
0,1306,130.73073073073073,4,10.846170502084227,17.679331008089097,26.114822132204477,junction_center
0,1307,130.83083083083085,4,10.953366390721348,17.54109682183913,25.68687778780052,junction_center
0,1308,130.93093093093094,4,11.152062398480606,17.413096269577274,25.24564415253424,junction_center
0,1309,131.03103103103103,4,11.409128030157301,17.295326274050588,24.792500236917853,junction_center
0,1364,136.53653653653654,8,4.710527470978277,42.12728622189013,102.25944126313622,far_target
0,3196,319.91991991991995,14,3.018999208206754,43.55621571419984,71.82757109762656,closest_pair
0,3330,333.33333333333337,11,3.1041173105699476,39.40533829813403,66.39056616052565,closest_pair
0,3503,350.6506506506507,8,3.0734377527078696,47.94945268009485,97.90698221861003,closest_pair
0,3504,350.75075075075074,8,3.0854509945160355,48.2875634135091,97.33274968758556,closest_pair
0,3865,386.8868868868869,6,3.088555171300975,55.44404061643147,79.66736158575856,closest_pair
0,5027,503.2032032032032,8,2.9752592458019516,41.101822488827416,69.78461586972713,closest_pair
1,85,8.508508508508509,1,inf,60.9239541959367,60.9239541959367,low_density
1,86,8.608608608608609,1,inf,59.04036956918847,59.04036956918847,low_density
