split,scene_id,frame,station_id,target_snr_db,timestamp,detections,visible_targets,unmatched_detections,unmatched_targets,unmatched_targets_crowded,unmatched_targets_isolated,rd_local_maxima,nms_suppressed,roi_rejected,fov_rejected,ghost_detections
train,0,633,0,-10.0,63.36336336336337,2,11,0,9,0,9,2,0,0,0,0
train,0,633,0,-5.0,63.36336336336337,2,11,0,9,0,9,2,0,0,0,0
train,0,633,0,0.0,63.36336336336337,3,11,0,8,0,8,3,0,0,0,0
train,0,633,0,5.0,63.36336336336337,5,11,0,6,0,6,5,0,0,0,0
train,0,633,0,10.0,63.36336336336337,6,11,0,5,0,5,6,0,0,0,0
train,0,633,0,15.0,63.36336336336337,9,11,0,2,0,2,9,0,0,0,0
train,0,633,1,-10.0,63.36336336336337,4,13,0,9,4,5,4,0,0,1,0
train,0,633,1,-5.0,63.36336336336337,6,13,0,7,3,4,6,0,0,1,0
train,0,633,1,0.0,63.36336336336337,11,13,0,2,0,2,11,0,0,1,0
train,0,633,1,5.0,63.36336336336337,12,13,0,1,0,1,12,0,0,1,0
train,0,633,2,-10.0,63.36336336336337,4,15,0,11,8,3,3,0,0,0,0
train,0,633,2,-5.0,63.36336336336337,7,15,0,8,5,3,5,0,0,0,0
train,0,633,2,0.0,63.36336336336337,11,15,0,4,4,0,10,0,0,0,0
train,0,633,2,5.0,63.36336336336337,11,15,0,4,4,0,10,0,0,0,0
train,0,633,2,10.0,63.36336336336337,11,15,0,4,4,0,10,0,0,0,0
train,0,633,2,15.0,63.36336336336337,11,15,0,4,4,0,10,0,0,0,0
train,0,634,0,-10.0,63.46346346346347,2,11,0,9,0,9,2,0,0,0,0
train,0,634,0,-5.0,63.46346346346347,2,11,0,9,0,9,2,0,0,0,0
train,0,634,0,0.0,63.46346346346347,3,11,0,8,0,8,3,0,0,0,0
train,0,634,0,5.0,63.46346346346347,5,11,0,6,0,6,5,0,0,0,0
train,0,634,0,10.0,63.46346346346347,6,11,0,5,0,5,6,0,0,0,0
train,0,634,0,15.0,63.46346346346347,9,11,0,2,0,2,9,0,0,0,0
train,0,634,1,-10.0,63.46346346346347,4,12,0,8,4,4,4,0,0,0,0
train,0,634,1,-5.0,63.46346346346347,8,12,0,4,0,4,8,0,0,0,0
train,0,634,1,0.0,63.46346346346347,11,12,0,1,0,1,11,0,0,0,0
train,0,634,2,-10.0,63.46346346346347,4,15,0,11,9,2,3,0,0,0,0
train,0,634,2,-5.0,63.46346346346347,7,15,0,8,6,2,6,0,0,0,0
train,0,634,2,0.0,63.46346346346347,11,15,0,4,4,0,10,0,0,0,0
train,0,634,2,5.0,63.46346346346347,11,15,0,4,4,0,10,0,0,0,0
train,0,634,2,10.0,63.46346346346347,11,15,0,4,4,0,10,0,0,0,0
train,0,634,2,15.0,63.46346346346347,11,15,0,4,4,0,10,0,0,0,0
train,0,635,0,-10.0,63.56356356356357,2,11,0,9,0,9,2,0,0,0,0
train,0,635,0,-5.0,63.56356356356357,2,11,0,9,0,9,2,0,0,0,0
train,0,635,0,0.0,63.56356356356357,3,11,0,8,0,8,3,0,0,0,0
train,0,635,0,5.0,63.56356356356357,5,11,0,6,0,6,5,0,0,0,0
train,0,635,0,10.0,63.56356356356357,6,11,0,5,0,5,6,0,0,0,0
train,0,635,0,15.0,63.56356356356357,9,11,0,2,0,2,9,0,0,0,0
train,0,635,1,-10.0,63.56356356356357,4,12,0,8,4,4,4,0,0,0,0
train,0,635,1,-5.0,63.56356356356357,8,12,0,4,0,4,8,0,0,0,0
train,0,635,1,0.0,63.56356356356357,11,12,0,1,0,1,11,0,0,0,0
train,0,635,2,-10.0,63.56356356356357,3,15,0,12,10,2,2,0,0,0,0
train,0,635,2,-5.0,63.56356356356357,7,15,0,8,6,2,6,0,0,0,0
train,0,635,2,0.0,63.56356356356357,10,15,0,5,5,0,9,0,0,0,0
train,0,635,2,5.0,63.56356356356357,10,15,0,5,5,0,9,0,0,0,0
train,0,635,2,10.0,63.56356356356357,10,15,0,5,5,0,9,0,0,0,0
train,0,635,2,15.0,63.56356356356357,10,15,0,5,5,0,9,0,0,0,0
train,0,636,0,-10.0,63.66366366366367,2,12,0,10,0,10,2,0,0,0,0
train,0,636,0,-5.0,63.66366366366367,2,12,0,10,0,10,2,0,0,0,0
train,0,636,0,0.0,63.66366366366367,4,12,0,8,0,8,4,0,0,0,0
train,0,636,0,5.0,63.66366366366367,4,12,0,8,0,8,4,0,0,0,0
train,0,636,0,10.0,63.66366366366367,6,12,0,6,0,6,6,0,0,0,0
train,0,636,0,15.0,63.66366366366367,9,12,0,3,0,3,9,0,0,0,0
train,0,636,1,-10.0,63.66366366366367,4,12,0,8,4,4,4,0,0,0,0
train,0,636,1,-5.0,63.66366366366367,8,12,0,4,0,4,8,0,0,0,0
train,0,636,1,0.0,63.66366366366367,11,12,0,1,0,1,11,0,0,0,0
train,0,636,2,-10.0,63.66366366366367,3,16,0,13,10,3,2,0,0,0,0
train,0,636,2,-5.0,63.66366366366367,7,16,0,9,6,3,6,0,0,0,0
train,0,636,2,0.0,63.66366366366367,11,16,0,5,5,0,10,0,0,0,0
train,0,636,2,5.0,63.66366366366367,11,16,0,5,5,0,10,0,0,0,0
train,0,636,2,10.0,63.66366366366367,11,16,0,5,5,0,10,0,0,0,0
train,0,636,2,15.0,63.66366366366367,11,16,0,5,5,0,10,0,0,0,0
train,0,637,0,-10.0,63.76376376376377,1,12,0,11,1,10,1,0,0,0,0
train,0,637,0,-5.0,63.76376376376377,1,12,0,11,1,10,1,0,0,0,0
train,0,637,0,0.0,63.76376376376377,3,12,0,9,1,8,3,0,0,0,0
train,0,637,0,5.0,63.76376376376377,3,12,0,9,1,8,3,0,0,0,0
train,0,637,0,10.0,63.76376376376377,6,12,0,6,1,5,6,0,0,0,0
train,0,637,0,15.0,63.76376376376377,7,12,0,5,1,4,7,0,0,0,0
train,0,637,1,-10.0,63.76376376376377,4,12,0,8,2,6,4,0,0,0,0
train,0,637,1,-5.0,63.76376376376377,9,12,0,3,0,3,9,0,0,0,0
train,0,637,1,0.0,63.76376376376377,11,12,0,1,0,1,11,0,0,0,0
train,0,637,2,-10.0,63.76376376376377,5,16,0,11,8,3,4,0,0,0,0
train,0,637,2,-5.0,63.76376376376377,10,16,0,6,3,3,9,0,0,0,0
train,0,637,2,0.0,63.76376376376377,12,16,0,4,4,0,11,0,0,0,0
train,0,637,2,5.0,63.76376376376377,12,16,0,4,4,0,11,0,0,0,0
train,0,637,2,10.0,63.76376376376377,12,16,0,4,4,0,11,0,0,0,0
train,0,637,2,15.0,63.76376376376377,12,16,0,4,4,0,11,0,0,0,0
train,0,638,0,-10.0,63.86386386386387,1,12,0,11,1,10,1,0,0,0,0
train,0,638,0,-5.0,63.86386386386387,1,12,0,11,1,10,1,0,0,0,0
train,0,638,0,0.0,63.86386386386387,3,12,0,9,1,8,3,0,0,0,0
train,0,638,0,5.0,63.86386386386387,3,12,0,9,1,8,3,0,0,0,0
train,0,638,0,10.0,63.86386386386387,6,12,0,6,1,5,6,0,0,0,0
train,0,638,0,15.0,63.86386386386387,6,12,0,6,1,5,6,0,0,0,0
train,0,638,1,-10.0,63.86386386386387,4,12,0,8,2,6,4,0,0,0,0
train,0,638,1,-5.0,63.86386386386387,9,12,0,3,0,3,9,0,0,0,0
train,0,638,1,0.0,63.86386386386387,11,12,0,1,0,1,11,0,0,0,0
train,0,638,2,-10.0,63.86386386386387,3,16,0,13,10,3,2,0,0,0,0
train,0,638,2,-5.0,63.86386386386387,6,16,0,10,7,3,5,0,0,0,0
train,0,638,2,0.0,63.86386386386387,10,16,0,6,6,0,9,0,0,0,0
train,0,638,2,5.0,63.86386386386387,10,16,0,6,6,0,9,0,0,0,0
train,0,638,2,10.0,63.86386386386387,10,16,0,6,6,0,9,0,0,0,0
train,0,638,2,15.0,63.86386386386387,10,16,0,6,6,0,9,0,0,0,0
train,0,895,0,-10.0,89.5895895895896,2,5,0,3,0,3,2,0,0,0,0
train,0,895,0,-5.0,89.5895895895896,3,5,0,2,0,2,3,0,0,0,0
train,0,895,1,-10.0,89.5895895895896,3,6,0,3,0,3,3,0,0,0,0
train,0,895,1,-5.0,89.5895895895896,4,6,0,2,0,2,4,0,0,0,0
train,0,895,1,0.0,89.5895895895896,5,6,0,1,0,1,5,0,0,0,0
train,0,895,2,-10.0,89.5895895895896,2,4,0,2,0,2,2,0,0,0,0
train,0,895,2,-5.0,89.5895895895896,2,4,0,2,0,2,2,0,0,0,0
train,0,895,2,0.0,89.5895895895896,2,4,0,2,0,2,2,0,0,0,0
train,0,914,0,-10.0,91.4914914914915,2,3,0,1,0,1,2,0,0,0,0
train,0,914,1,-10.0,91.4914914914915,2,6,0,4,2,2,2,0,0,0,0
train,0,914,1,-5.0,91.4914914914915,5,6,0,1,0,1,5,0,0,0,0
train,0,914,1,0.0,91.4914914914915,5,6,0,1,0,1,5,0,0,0,0
train,0,914,2,-10.0,91.4914914914915,1,4,0,3,0,3,1,0,0,0,0
train,0,914,2,-5.0,91.4914914914915,1,4,0,3,0,3,1,0,0,0,0
train,0,914,2,0.0,91.4914914914915,2,4,0,2,0,2,2,0,0,0,0
train,0,914,2,5.0,91.4914914914915,3,4,0,1,0,1,3,0,0,0,0
train,0,1071,0,-10.0,107.2072072072072,1,3,0,2,0,2,1,0,0,0,0
train,0,1071,0,-5.0,107.2072072072072,2,3,0,1,0,1,2,0,0,0,0
train,0,1071,1,-10.0,107.2072072072072,2,7,0,5,0,5,2,0,0,0,0
train,0,1071,1,-5.0,107.2072072072072,3,7,0,4,0,4,3,0,0,0,0
train,0,1071,1,0.0,107.2072072072072,3,7,0,4,0,4,3,0,0,0,0
train,0,1071,1,5.0,107.2072072072072,4,7,0,3,0,3,4,0,0,0,0
train,0,1144,0,-10.0,114.51451451451452,1,5,0,4,2,2,1,0,0,0,0
train,0,1144,0,-5.0,114.51451451451452,3,5,0,2,0,2,3,0,0,0,0
train,0,1144,0,0.0,114.51451451451452,3,5,0,2,0,2,3,0,0,0,0
train,0,1144,0,5.0,114.51451451451452,4,5,0,1,0,1,4,0,0,0,0
train,0,1144,1,-10.0,114.51451451451452,1,7,0,6,2,4,1,0,0,0,0
train,0,1144,1,-5.0,114.51451451451452,1,7,0,6,2,4,1,0,0,0,0
train,0,1144,1,0.0,114.51451451451452,3,7,0,4,0,4,3,0,0,0,0
train,0,1144,1,5.0,114.51451451451452,4,7,0,3,0,3,4,0,0,0,0
train,0,1144,1,10.0,114.51451451451452,5,7,0,2,0,2,5,0,0,0,0
train,0,1144,1,15.0,114.51451451451452,5,7,0,2,0,2,5,0,0,0,0
train,0,1144,2,-10.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1144,2,-5.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1144,2,0.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1144,2,5.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1144,2,10.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1144,2,15.0,114.51451451451452,4,6,0,2,2,0,4,0,0,0,0
train,0,1156,0,-10.0,115.71571571571572,2,5,0,3,0,3,2,0,0,0,0
train,0,1156,0,-5.0,115.71571571571572,3,5,0,2,0,2,3,0,0,0,0
train,0,1156,0,0.0,115.71571571571572,4,5,0,1,0,1,4,0,0,0,0
train,0,1156,1,-10.0,115.71571571571572,3,7,0,4,0,4,3,0,0,0,0
train,0,1156,1,-5.0,115.71571571571572,3,7,0,4,0,4,3,0,0,0,0
train,0,1156,1,0.0,115.71571571571572,4,7,0,3,0,3,4,0,0,0,0
train,0,1156,1,5.0,115.71571571571572,6,7,0,1,0,1,6,0,0,0,0
train,0,1156,2,-10.0,115.71571571571572,4,6,0,2,0,2,4,0,0,0,0
train,0,1304,1,-10.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1304,1,-5.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1304,1,0.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1304,1,5.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1304,1,10.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1304,1,15.0,130.53053053053054,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,-10.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,-5.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,0.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,5.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,10.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1305,1,15.0,130.63063063063063,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,-10.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,-5.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,0.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,5.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,10.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1306,1,15.0,130.73073073073073,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,-10.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,-5.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,0.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,5.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,10.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1307,1,15.0,130.83083083083085,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,-10.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,-5.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,0.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,5.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,10.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1308,1,15.0,130.93093093093094,3,4,0,1,1,0,3,0,0,0,0
train,0,1364,0,-10.0,136.53653653653654,2,6,0,4,0,4,2,0,0,0,0
train,0,1364,0,-5.0,136.53653653653654,2,6,0,4,0,4,2,0,0,0,0
train,0,1364,0,0.0,136.53653653653654,2,6,0,4,0,4,2,0,0,0,0
train,0,1364,0,5.0,136.53653653653654,3,6,0,3,0,3,3,0,0,0,0
train,0,1364,1,-10.0,136.53653653653654,1,8,0,7,2,5,1,0,0,0,0
train,0,1364,1,-5.0,136.53653653653654,3,8,0,5,2,3,3,0,0,0,0
train,0,1364,1,0.0,136.53653653653654,5,8,0,3,1,2,5,0,0,0,0
train,0,1364,1,5.0,136.53653653653654,6,8,0,2,1,1,6,0,0,0,0
train,0,1364,1,10.0,136.53653653653654,6,8,0,2,1,1,6,0,0,0,0
train,0,1364,1,15.0,136.53653653653654,7,8,0,1,1,0,7,0,0,0,0
train,0,1364,2,-10.0,136.53653653653654,2,7,0,5,4,1,2,0,0,1,0
train,0,1364,2,-5.0,136.53653653653654,3,7,0,4,3,1,3,0,0,1,0
train,0,1364,2,0.0,136.53653653653654,3,7,0,4,3,1,3,0,0,1,0
train,0,1364,2,5.0,136.53653653653654,3,7,0,4,3,1,3,0,0,1,0
train,0,1364,2,10.0,136.53653653653654,3,7,0,4,3,1,3,0,0,1,0
train,0,1364,2,15.0,136.53653653653654,6,7,0,1,1,0,6,0,0,1,0
train,0,3196,0,-10.0,319.91991991991995,1,10,0,9,5,4,1,0,0,0,0
train,0,3196,0,-5.0,319.91991991991995,2,10,0,8,4,4,2,0,0,0,0
train,0,3196,0,0.0,319.91991991991995,4,10,0,6,3,3,4,0,0,0,0
train,0,3196,0,5.0,319.91991991991995,6,10,0,4,2,2,6,0,0,0,0
train,0,3196,0,10.0,319.91991991991995,6,10,0,4,2,2,6,0,0,0,0
train,0,3196,0,15.0,319.91991991991995,6,10,0,4,2,2,6,0,0,0,0
train,0,3196,1,-10.0,319.91991991991995,5,13,0,8,3,5,5,0,0,0,0
train,0,3196,1,-5.0,319.91991991991995,7,13,0,6,2,4,7,0,0,0,0
train,0,3196,1,0.0,319.91991991991995,10,13,0,3,1,2,10,0,0,0,0
train,0,3196,1,5.0,319.91991991991995,12,13,0,1,1,0,12,0,0,0,0
train,0,3196,1,10.0,319.91991991991995,12,13,0,1,1,0,12,0,0,0,0
train,0,3196,1,15.0,319.91991991991995,12,13,0,1,1,0,12,0,0,0,0
train,0,3196,2,-10.0,319.91991991991995,3,12,0,9,8,1,2,0,0,0,0
train,0,3196,2,-5.0,319.91991991991995,4,12,0,8,8,0,3,0,0,0,0
train,0,3196,2,0.0,319.91991991991995,4,12,0,8,8,0,3,0,0,0,0
train,0,3196,2,5.0,319.91991991991995,4,12,0,8,8,0,3,0,0,0,0
train,0,3196,2,10.0,319.91991991991995,4,12,0,8,8,0,3,0,0,0,0
train,0,3196,2,15.0,319.91991991991995,4,12,0,8,8,0,3,0,0,0,0
train,0,3330,0,-10.0,333.33333333333337,2,7,0,5,2,3,2,0,0,0,0
train,0,3330,0,-5.0,333.33333333333337,3,7,0,4,2,2,3,0,0,0,0
train,0,3330,0,0.0,333.33333333333337,4,7,0,3,2,1,4,0,0,0,0
train,0,3330,0,5.0,333.33333333333337,6,7,0,1,0,1,6,0,0,0,0
train,0,3330,0,10.0,333.33333333333337,6,7,0,1,0,1,6,0,0,0,0
train,0,3330,1,-10.0,333.33333333333337,4,11,0,7,2,5,3,0,0,0,0
train,0,3330,1,-5.0,333.33333333333337,7,11,0,4,0,4,6,0,0,0,0
train,0,3330,1,0.0,333.33333333333337,10,11,0,1,0,1,9,0,0,0,0
train,0,3330,2,-10.0,333.33333333333337,1,11,0,10,8,2,1,0,0,0,0
train,0,3330,2,-5.0,333.33333333333337,1,11,0,10,8,2,1,0,0,0,0
train,0,3330,2,0.0,333.33333333333337,2,11,0,9,8,1,2,0,0,0,0
train,0,3330,2,5.0,333.33333333333337,5,11,0,6,5,1,3,0,0,0,0
train,0,3330,2,10.0,333.33333333333337,7,11,0,4,4,0,5,0,0,0,0
train,0,3330,2,15.0,333.33333333333337,7,11,0,4,4,0,5,0,0,0,0
train,0,3503,0,-10.0,350.6506506506507,3,6,0,3,1,2,3,0,0,0,0
train,0,3503,0,-5.0,350.6506506506507,3,6,0,3,1,2,3,0,0,0,0
train,0,3503,0,0.0,350.6506506506507,3,6,0,3,1,2,3,0,0,0,0
train,0,3503,0,5.0,350.6506506506507,5,6,0,1,1,0,5,0,0,0,0
train,0,3503,0,10.0,350.6506506506507,5,6,0,1,1,0,5,0,0,0,0
train,0,3503,0,15.0,350.6506506506507,5,6,0,1,1,0,5,0,0,0,0
train,0,3503,1,-10.0,350.6506506506507,3,8,0,5,1,4,3,0,0,0,0
train,0,3503,1,-5.0,350.6506506506507,4,8,0,4,1,3,4,0,0,0,0
train,0,3503,1,0.0,350.6506506506507,5,8,0,3,1,2,5,0,0,0,0
train,0,3503,1,5.0,350.6506506506507,5,8,0,3,1,2,5,0,0,0,0
train,0,3503,1,10.0,350.6506506506507,7,8,0,1,1,0,7,0,0,0,0
train,0,3503,1,15.0,350.6506506506507,7,8,0,1,1,0,7,0,0,0,0
train,0,3503,2,-10.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3503,2,-5.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3503,2,0.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3503,2,5.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3503,2,10.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3503,2,15.0,350.6506506506507,3,4,0,1,1,0,3,0,0,0,0
train,0,3504,0,-10.0,350.75075075075074,3,6,0,3,1,2,3,0,0,0,0
train,0,3504,0,-5.0,350.75075075075074,3,6,0,3,1,2,3,0,0,0,0
train,0,3504,0,0.0,350.75075075075074,3,6,0,3,1,2,3,0,0,0,0
train,0,3504,0,5.0,350.75075075075074,5,6,0,1,1,0,5,0,0,0,0
train,0,3504,0,10.0,350.75075075075074,5,6,0,1,1,0,5,0,0,0,0
train,0,3504,0,15.0,350.75075075075074,5,6,0,1,1,0,5,0,0,0,0
train,0,3504,1,-10.0,350.75075075075074,3,8,0,5,1,4,3,0,0,0,0
train,0,3504,1,-5.0,350.75075075075074,4,8,0,4,1,3,4,0,0,0,0
train,0,3504,1,0.0,350.75075075075074,5,8,0,3,1,2,5,0,0,0,0
train,0,3504,1,5.0,350.75075075075074,7,8,0,1,1,0,7,0,0,0,0
train,0,3504,1,10.0,350.75075075075074,7,8,0,1,1,0,7,0,0,0,0
train,0,3504,1,15.0,350.75075075075074,7,8,0,1,1,0,7,0,0,0,0
train,0,3504,2,-10.0,350.75075075075074,3,4,0,1,1,0,3,0,0,0,0
