split,scene_id,frame,station_id,target_snr_db,timestamp,vehicle_id,range_gt_m,radial_velocity_gt_mps,bearing_gt_deg,crowded_gt,nearest_rd_window_dbearing_deg,per_target_share_db,per_target_frame_snr_db,predicted_peak_margin_db
train,0,307,1,-10.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-54.20863157680724,-29.565657451683876
train,0,307,1,-10.0,30.73073073073073,11,25.174835030503804,-11.299470371394177,-6.957994616632921,False,,-27.66637698908061,-37.66637698908061,-13.023402863957244
train,0,307,1,-10.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,-10.007746935897364,14.635227189226
train,0,307,1,-10.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-57.883820694792824,-33.24084656966946
train,0,307,1,-10.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-58.66847125760807,-34.0254971324847
train,0,307,1,-10.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-65.77838039220731,-41.135406267083944
train,0,307,1,-5.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-49.20863157680724,-24.565657451683876
train,0,307,1,-5.0,30.73073073073073,11,25.174835030503804,-11.299470371394177,-6.957994616632921,False,,-27.66637698908061,-32.66637698908061,-8.023402863957244
train,0,307,1,-5.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,-5.007746935897364,19.635227189226
train,0,307,1,-5.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-52.883820694792824,-28.240846569669458
train,0,307,1,-5.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-53.66847125760807,-29.025497132484702
train,0,307,1,-5.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-60.7783803922073,-36.13540626708394
train,0,307,1,0.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-44.20863157680724,-19.565657451683876
train,0,307,1,0.0,30.73073073073073,11,25.174835030503804,-11.299470371394177,-6.957994616632921,False,,-27.66637698908061,-27.66637698908061,-3.0234028639572443
train,0,307,1,0.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,-0.0077469358973637145,24.635227189226
train,0,307,1,0.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-47.883820694792824,-23.240846569669458
train,0,307,1,0.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-48.66847125760807,-24.025497132484702
train,0,307,1,0.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-55.7783803922073,-31.135406267083937
train,0,307,1,5.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-39.20863157680724,-14.565657451683876
train,0,307,1,5.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,4.992253064102636,29.635227189226
train,0,307,1,5.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-42.883820694792824,-18.240846569669458
train,0,307,1,5.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-43.66847125760807,-19.025497132484702
train,0,307,1,5.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-50.7783803922073,-26.135406267083937
train,0,307,1,10.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-34.20863157680724,-9.565657451683876
train,0,307,1,10.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,9.992253064102636,34.635227189226
train,0,307,1,10.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-37.883820694792824,-13.240846569669458
train,0,307,1,10.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-38.66847125760807,-14.025497132484702
train,0,307,1,10.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-45.7783803922073,-21.135406267083937
train,0,307,1,15.0,30.73073073073073,7,65.24135885741161,-12.741353500595872,-18.57438306875931,False,,-44.20863157680724,-29.208631576807242,-4.565657451683876
train,0,307,1,15.0,30.73073073073073,12,5.122723106204014,-2.1303146130374553,50.72083225739194,False,,-0.0077469358973637145,14.992253064102636,39.635227189226
train,0,307,1,15.0,30.73073073073073,13,80.61256237133894,14.323573419366586,43.827384510294,False,,-47.883820694792824,-32.883820694792824,-8.240846569669458
train,0,307,1,15.0,30.73073073073073,14,84.33716343748186,22.52590663573401,45.761753663911215,False,,-48.66847125760807,-33.66847125760807,-9.025497132484702
train,0,307,1,15.0,30.73073073073073,15,126.98917986677179,19.147230441931185,41.42986449630122,False,,-55.7783803922073,-40.7783803922073,-16.135406267083937
train,0,307,2,-10.0,30.73073073073073,13,69.04400227972938,7.770536585457103,-59.41550799751685,True,0.8833473924334,-10.23639941444122,-20.23639941444122,4.406574710682147
train,0,307,2,-10.0,30.73073073073073,14,73.55421153593923,11.605833276543251,-60.29885538995024,True,0.8833473924334,-11.33566286252714,-21.33566286252714,3.307311262596226
train,0,307,2,-5.0,30.73073073073073,13,69.04400227972938,7.770536585457103,-59.41550799751685,True,0.8833473924334,-10.23639941444122,-15.23639941444122,9.406574710682147
