range_error_m,radial_velocity_error_mps,bearing_error_rad,bearing_error_deg,position_error_m,angle_rank,crowded,split,scene_id,frame,station_id,target_snr_db,timestamp,vehicle_id,range_gt_m,radial_velocity_gt_mps,bearing_gt_deg
-0.004221369096242711,-0.0036785037800477483,0.00045551476763128207,0.026099073691154866,0.03152073495545779,0,False,train,0,144,1,-10.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
-0.0015388498276962537,-0.0027310613826081465,0.0003108112164063037,0.01780817092540849,0.021368943454595866,0,False,train,0,144,1,-5.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
-4.410563335000006e-05,-0.002173553109198423,0.00022922026773386506,0.01313335392000923,0.015718488787577752,0,False,train,0,144,1,0.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
0.0007920985882776677,-0.001852214568572208,0.00018326951051195195,0.010500569465763322,0.012592570776450826,0,False,train,0,144,1,5.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
0.0012609538113679264,-0.001669035238666794,0.00015740778093942254,0.009018801510348716,0.010867889874381002,0,False,train,0,144,1,10.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
0.0015241749430714435,-0.0015652422118570541,0.00014285779952238897,0.008185148983158915,0.009914849563661147,0,False,train,0,144,1,15.0,14.414414414414415,6,68.7555256026034,-21.773925048546722,41.993506561815984
-0.0019040285009950253,0.004722208683279661,-0.0010178780555771816,-0.05832011664355515,0.061396170583510795,0,False,train,0,144,2,-10.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
-0.00026894268158628165,0.0034254804202635825,-0.0006368190509347116,-0.03648704393208558,0.038394396724407705,0,False,train,0,144,2,-5.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
0.0006525397347658668,0.0026819588995188326,-0.0004224471773977001,-0.0242044403321026,0.02547770426039491,0,False,train,0,144,2,0.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
0.0011713443905776444,0.002259333703788613,-0.00030187237714462967,-0.017296013161968733,0.018237841045912685,0,False,train,0,144,2,5.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
0.0014632817510005225,0.002020249972254362,-0.00023406088404609449,-0.013410700804942157,0.014187780087452563,0,False,train,0,144,2,10.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
0.0016275103892127163,0.0018853534698095586,-0.00019592545782920467,-0.01122570183278182,0.011924773568686957,0,False,train,0,144,2,15.0,14.414414414414415,6,60.49652884619208,-8.765346790867909,-51.79269465058618
-0.0011236482690861749,-0.0003206036992935424,-4.331865925610856e-05,-0.002481976349540339,0.00326564154576644,0,False,train,0,145,1,-10.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
