snr,file_id,traj_idx,frame_idx,grid_size,posterior_temp,peak_prob,peak_count,side_peak_ratio,entropy,norm_entropy,uncertainty_m,peak_error_m,mean_error_m,gt_x,gt_y,peak_x,peak_y,mean_x,mean_y
5,0,42,260,121,0.1,2.90793836e-01,1,0.00000000,1.51401484,0.15784831,0.92904848,1.53119171,0.73767757,57.25691223,121.34645081,56.25000000,122.50000000,56.86481094,121.97129059
20,0,42,260,121,0.1,5.93752444e-01,1,0.00000000,1.18843055,0.12390351,0.78173244,0.26152328,0.07981380,57.25691223,121.34645081,57.50000000,121.25000000,57.20098114,121.28951263
