page,slot,idx,label,traj_idx,start_frame,turn_score,path_length_m,net_displacement_m,ours_ade,ours_fde,lstm_ade,tcn_ade,transformer_ade
1,1,9048,Straight,129,54,0.05677253007888794,2.443176507949829,2.443176746368408,0.4753842353820801,0.8621055483818054,3.5608344078063965,2.3488478660583496,3.59071683883667
1,2,11372,Turning,162,96,24.37175941467285,12.289444923400879,12.236078262329102,0.510224461555481,1.1595160961151123,2.3384339809417725,1.8749759197235107,1.5864111185073853
1,3,2107,Straight,30,21,0.013783320784568787,9.450728416442871,9.450728416442871,0.9774202108383179,1.953997015953064,3.9855411052703857,3.3637490272521973,3.6054279804229736
1,4,6989,Straight,99,177,0.13801079988479614,2.1398727893829346,2.1398725509643555,0.928348183631897,1.893606185913086,3.9848766326904297,3.2595596313476562,3.543093204498291
1,5,588,Straight,8,84,0.1433110237121582,8.68497371673584,8.68497371673584,0.14902850985527039,0.4408348798751831,0.8784860372543335,1.4074211120605469,5.159092426300049
1,6,4036,Straight,57,138,0.08480362594127655,3.3769965171813965,3.3769965171813965,0.6487565636634827,1.2302926778793335,2.600883960723877,2.608389377593994,3.655742645263672
2,1,2591,Straight,37,3,0.04440988600254059,2.4089395999908447,2.4089395999908447,1.0240147113800049,1.9425309896469116,3.5000786781311035,2.906979560852051,3.5834431648254395
2,2,8821,Straight,126,3,0.07880672067403793,2.408940076828003,2.408940076828003,0.9934040307998657,2.0345981121063232,3.2093913555145264,2.317046642303467,4.348679542541504
2,3,8359,Straight,119,87,0.0005669056554324925,7.003082752227783,7.003082752227783,0.6836189031600952,1.3691437244415283,1.2563639879226685,1.4537785053253174,6.159435272216797
2,4,12527,Straight,178,201,0.006174490787088871,17.504146575927734,17.504148483276367,0.4967730641365051,1.8447941541671753,3.3395397663116455,2.353273630142212,2.2824459075927734
2,5,1726,Straight,24,138,0.084038645029068,3.3769936561584473,3.3769936561584473,0.5682799220085144,1.4785609245300293,2.7007501125335693,2.057894706726074,2.379199504852295
2,6,10140,Straight,144,180,0.14663049578666687,2.139878749847412,2.139878749847412,0.8048720359802246,1.8119027614593506,2.013225555419922,1.7882919311523438,3.382115602493286
3,1,10990,Straight,157,0,0.14581769704818726,8.610030174255371,8.610029220581055,0.2710708677768707,0.34809213876724243,0.49760866165161133,0.42092689871788025,3.8981881141662598
3,2,5033,Straight,71,189,0.02292552776634693,9.248991966247559,9.248991966247559,0.2748927175998688,0.4780161380767822,0.867185115814209,0.9492138624191284,2.8555376529693604
3,3,11997,Straight,171,81,0.10669779777526855,9.637508392333984,9.637508392333984,0.20786437392234802,0.18745005130767822,0.5369782447814941,0.7553316354751587,2.3551197052001953
3,4,4872,Turning,69,126,20.833332061767578,10.013319969177246,9.96878719329834,0.5211578011512756,0.5519993305206299,0.740838885307312,0.616814374923706,3.200392246246338
3,5,5885,Straight,84,15,0.018660075962543488,7.82062292098999,7.82062292098999,0.35319197177886963,0.5145443081855774,0.44922441244125366,0.875970721244812,2.6413064002990723
3,6,5503,Turning,78,129,21.232515335083008,4.3333353996276855,4.327301502227783,0.448950856924057,1.0254485607147217,1.104914903640747,0.5905334949493408,2.1784000396728516
4,1,12123,Straight,173,39,0.09861427545547485,10.574132919311523,10.574132919311523,0.4487594962120056,0.47265127301216125,0.6879864931106567,0.7157130241394043,2.4202256202697754
4,2,143,Straight,2,9,0.02313384972512722,5.534424304962158,5.534424304962158,0.17869941890239716,0.143166646361351,0.6389972567558289,0.4623495936393738,1.8286807537078857
4,3,12333,Straight,176,39,0.12893347442150116,8.44155502319336,8.441555976867676,0.11998970806598663,0.2342071533203125,0.3637048602104187,0.42490750551223755,1.8746742010116577
4,4,1219,Straight,17,87,0.12118121236562729,7.363532066345215,7.363532066345215,0.19634495675563812,0.39042991399765015,0.45881715416908264,0.5877087712287903,1.7993261814117432
4,5,3011,Turning,43,3,22.4289608001709,4.802246570587158,4.765259742736816,0.3494107127189636,0.7916382551193237,0.9286327362060547,0.7137185335159302,1.6107673645019531
4,6,3233,Straight,46,39,0.13161775469779968,9.936958312988281,9.936957359313965,0.07985866069793701,0.08898215740919113,0.3192865550518036,0.449789822101593,1.6112550497055054
