snr,file_id,traj_idx,frame_idx,grid_size,posterior_temp,peak_prob,peak_count,side_peak_ratio,entropy,norm_entropy,uncertainty_m,peak_error_m,mean_error_m,gt_x,gt_y,peak_x,peak_y,mean_x,mean_y
5,0,35,26,121,0.1,2.75463432e-01,1,0.00000000,1.50333369,0.15673471,0.92373747,1.50890660,0.66458219,90.97129822,28.65472031,90.00000000,27.50000000,90.69174194,28.05179596
20,0,35,26,121,0.1,6.38711095e-01,1,0.00000000,1.18733561,0.12378935,0.75668681,0.29453847,0.08472517,90.97129822,28.65472031,91.25000000,28.75000000,91.01424408,28.72775459
